Star Rating,Name,Total AUM Range - Sep 2024,AUM CAGR over 5 years*,Main Office City,Main Office State,Profile,,,,,
★★★★★,www.ramirezam.com||Ramirez Asset Management,$5 Billion - $10 Billion,30%-40%,New York,New York,,,,,,
★★★★★,https://www.intrua.com/||Intrua Financial,$1 Billion - $5 Billion,20%-30%,Houston,Texas,,,,,,
★★★★★,https://www.pinionwealth.com/||Pinion Investment Advisors,$250 Million - $500 Million,20%-30%,Wichita,Kansas,,,,,,
★★★★★,fiduciaryvest.com||FiduciaryVest,$1 Billion - $5 Billion,-,Atlanta,Georgia,,,,,,
★★★★★,https://pallascapitaladvisors.com||Pallas Capital Advisors,$1 Billion - $5 Billion,-,Braintree,Massachusetts,,,,,,
★★★★★,https://equitafn.com/||Equita Financial Network,$250 Million - $500 Million,-,Fort Washington,Pennsylvania,,,,,,
★★★★★,https://eabuck.com/||Buck Wealth Strategies,$250 Million - $500 Million,-,Denver,Colorado,,,,,,
★★★★½,www.dbsia.net||DBS Investment Advisers,up to $250 Million,10%-20%,Bay City,Michigan,,,,,,
★★★★½,https://secfi.com/||Secfi Advisory Limited,up to $250 Million,-,New York,New York,,,,,,
★★★★½,www.meritfinancialadvisors.com||Merit Financial Group,$5 Billion - $10 Billion,30%-40%,Alpharetta,Georgia,,,,,,
★★★★½,http://www.wealthwatchadvisors.com||Wealth Watch Advisors,$250 Million - $500 Million,5%-10%,Englewood,Colorado,,,,,,
★★★★½,https://www.thrivewealth.com||Thrive Wealth Management,$1 Billion - $5 Billion,30%-40%,Audubon,Pennsylvania,,,,,,
★★★★½,https://www.classvipartners.com||Class VI Family Office,$1 Billion - $5 Billion,30%-40%,Denver,Colorado,,,,,,
★★★★½,https://tempuswp.com/||Tempus Wealth Planning,$250 Million - $500 Million,30%-40%,Irvine,California,,,,,,
★★★★½,https://www.invex.us/||Invex Advisors,$500 Million - $1 Billion,10%-20%,Coral Gables,Florida,,,,,,
★★★★½,https://tidalfinancialgroup.com/||Tidal Investments,over $10 Billion,60%-70%,Milwaukee,Wisconsin,,,,,,
★★★★½,https://49financial.com/||49 Wealth Management,$500 Million - $1 Billion,-,Austin,Texas,,,,,,
★★★★½,https://www.transcendcapital.com/||Transcend Capital Advisors,$1 Billion - $5 Billion,30%-40%,Madison,New Jersey,,,,,,
★★★★½,https://www.savantwealth.com/||Savant Wealth Management,over $10 Billion,30%-40%,Rockford,Illinois,,,,,,
★★★★½,http://www.newpotomacpartners.com/||New Potomac Partners,up to $250 Million,5%-10%,North Bethesda,Maryland,,,,,,
★★★★½,https://destinywealthpartners.com/||Destiny Wealth Partners,$500 Million - $1 Billion,more than 100%,Tavares,Florida,,,,,,
★★★★½,https://www.goalvestadvisory.com/||Goalvest Advisory,$250 Million - $500 Million,40%-50%,New York,New York,,,,,,
★★★★½,www.sequoia-financial.com||Sequoia Financial Advisors,over $10 Billion,30%-40%,Akron,Ohio,,,,,,
★★★★½,https://pgiwealthmanagement.com/||PGI Wealth Management,$500 Million - $1 Billion,-,Milton,Georgia,,,,,,
★★★★½,www.cfscolorado.com||Coordinated Financial Services,$250 Million - $500 Million,-,Denver,Colorado,,,,,,
★★★★½,https://www.obsidianplanning.com/||Obsidian Personal Planning Solutions,$250 Million - $500 Million,10%-20%,Rockville,Maryland,,,,,,
★★★★½,https://www.collectivefamilyoffice.com/||Collective Family Office,$250 Million - $500 Million,20%-30%,York,Pennsylvania,,,,,,
★★★★½,https://www.journey-wealth.com/||Journey Wealth Management,$500 Million - $1 Billion,20%-30%,Cleveland,Ohio,,,,,,
★★★★½,https://www.clarendonprivate.com/||Clarendon Private,$250 Million - $500 Million,-,Boston,Massachusetts,https://www.newsweek.com/rankings/clarendon-private-llc||View Profile,,,,,
★★★★½,https://www.sgiam.com/||Summit Global Investments,$1 Billion - $5 Billion,10%-20%,Bountiful,Utah,https://www.newsweek.com/rankings/summit-global-investments||View Profile,,,,,
★★★★½,https://www.allianceadvisory.com||Alliance Advisory & Securities,$500 Million - $1 Billion,20%-30%,Westlake Village,California,,,,,,
★★★★½,strebelcpa.com||New Horizon Financial Strategies,up to $250 Million,-,Ithaca,New York,,,,,,
★★★★½,https://www.princetonglobal.com/||Princeton Global Asset Management,$500 Million - $1 Billion,20%-30%,Princeton,New Jersey,,,,,,
★★★★½,https://wealthmanagement.cbiz.com/||CBIZ Investment Advisory Services,$5 Billion - $10 Billion,30%-40%,Cleveland,Ohio,,,,,,
★★★★½,https://www.varrafinancial.com/||Varra Wealth Management,up to $250 Million,-,Louisville,Colorado,,,,,,
★★★★½,"https://hhrdm.com||H&H Retirement Design and Management, Inc.",up to $250 Million,10%-20%,Las Vegas,Nevada,,,,,,
★★★★½,http://www.401kgeneration.com||401K Generation,up to $250 Million,5%-10%,Altamonte Springs,Florida,,,,,,
★★★★½,https://leskofinancial.com||Lesko Securities,$250 Million - $500 Million,30%-40%,Vestal,New York,,,,,,
★★★★½,https://www.ally.com/invest/wealth-management/||Ally Invest Advisors Inc.,$1 Billion - $5 Billion,40%-50%,Charlotte,North Carolina,,,,,,
★★★★½,https://www.taxfavoredbenefits.com||TFB Advisors,$500 Million - $1 Billion,-,Overland Park,Kansas,,,,,,
★★★★½,https://patriotfinancialgroup.org/||The Patriot Financial Group,$1 Billion - $5 Billion,40%-50%,Walpole,Massachusetts,,,,,,
★★★★½,https://www.fiducientadvisors.com||Fiducient Advisors,over $10 Billion,30%-40%,Chicago,Illinois,,,,,,
★★★★½,https://www.compassadvisors.com/||Compass Advisory Group,$500 Million - $1 Billion,30%-40%,Melville,New York,,,,,,
★★★★½,http://www.xmlfg.com||XML Financial Group,$1 Billion - $5 Billion,40%-50%,Bethesda,Maryland,,,,,,
★★★★½,https://www.mediawealth.com/||Media Wealth,up to $250 Million,-,Pleasanton,California,,,,,,
★★★★½,jvlwealth.com||JVL Wealth Strategies,$500 Million - $1 Billion,20%-30%,Wyoming,Michigan,,,,,,
★★★★½,https://www.range.com/||Range Advisory,up to $250 Million,-,McLean,Virginia,,,,,,
★★★★½,https://onedayinjuly.com/||One Day In July,$500 Million - $1 Billion,20%-30%,Burlington,Vermont,,,,,,
★★★★½,https://www.emergentfs.com/||Emergent Financial Services,$1 Billion - $5 Billion,upto 5%,Charlottesville,Virginia,,,,,,
★★★★½,https://www.concentrumwealth.com/||Concentrum Wealth Management,$500 Million - $1 Billion,30%-40%,San Jose,California,,,,,,
★★★★½,https://orion.com||Orion Portfolio Solutions,over $10 Billion,40%-50%,Omaha,Nebraska,,,,,,
★★★★½,https://maiawealth.com/||Maia Wealth,$250 Million - $500 Million,-,Denver,Colorado,,,,,,
★★★★½,http://www.marbletrail.com||Marble Trail Advisors,$250 Million - $500 Million,20%-30%,Middlebury,Vermont,,,,,,
★★★★½,http://www.sophis.co||Sophis Investments,up to $250 Million,30%-40%,New York,New York,,,,,,
★★★★½,https://matchgradeadvisors.com/||Match Grade Advisors,$250 Million - $500 Million,10%-20%,Greenville,South Carolina,,,,,,
★★★★½,https://www.truewealthdesign.com/||True Wealth Design,$500 Million - $1 Billion,30%-40%,Akron,Ohio,,,,,,
★★★★½,https://www.fanria.com/||First Advisors National,$250 Million - $500 Million,20%-30%,Atlanta,Georgia,,,,,,
★★★★½,http://www.legacycapitalwp.com/||Legacy Capital Wealth Partners,$1 Billion - $5 Billion,30%-40%,Little Rock,Arkansas,,,,,,
★★★★½,https://www.tamarsecurities.com/||Tamar Securities,$1 Billion - $5 Billion,20%-30%,Woodland Hills,California,,,,,,
★★★★½,https://aleragroup.com/||Alera Investment Advisors,$1 Billion - $5 Billion,30%-40%,Deerfield,Illinois,,,,,,
★★★★½,https://www.virterapartners.com/||Virtera Partners,$250 Million - $500 Million,-,Pepper Pike,Ohio,,,,,,
★★★★½,https://www.wellspringadvisorsllc.com/||Wellspring Financial Advisors,$1 Billion - $5 Billion,20%-30%,Cleveland,Ohio,,,,,,
★★★★½,https://www.rootedpg.com/||Rooted Planning Group,up to $250 Million,20%-30%,Corning,New York,,,,,,
★★★★½,https://www.gsisus.com/||Global Strategic Investment Solutions,$1 Billion - $5 Billion,30%-40%,Scottsdale,Arizona,,,,,,
★★★★½,https://roganfinancial.com||Rogan & Associates,$500 Million - $1 Billion,10%-20%,Safety Harbor,Florida,,,,,,
★★★★½,https://www.sigfig.com/||Sigfig Wealth Management,$1 Billion - $5 Billion,40%-50%,San Francisco,California,,,,,,
★★★★½,http://www.keenermoney.com||Keener Financial Planning,$250 Million - $500 Million,10%-20%,Keller,Texas,,,,,,
★★★★½,https://www.carricklane.com/||Carrick Lane,$1 Billion - $5 Billion,-,New York,New York,,,,,,
★★★★½,www.sikich.com||Sikich Financial,$500 Million - $1 Billion,10%-20%,Springfield,Illinois,,,,,,
★★★★½,https://www.americanfundstars.com||American Fundstars,up to $250 Million,-,Newport Beach,California,,,,,,
★★★★½,www.smartportfolios.com||Smart Portfolios,up to $250 Million,upto 5%,Lake Forest Park,Washington,,,,,,
★★★★½,www.fisherinvestments.com||Fisher Investments,over $10 Billion,20%-30%,Plano,Texas,,,,,,
★★★★½,https://www.grpfinancial.com||Global Retirement Partners,over $10 Billion,20%-30%,San Rafael,California,,,,,,
★★★★½,https://www.seedpg.com/||S.E.E.D. Planning Group,$250 Million - $500 Million,30%-40%,Binghamton,New York,,,,,,
★★★★½,https://rfgadvisory.com/||RFG Advisory,$1 Billion - $5 Billion,30%-40%,Vestavia Hills,Alabama,,,,,,
★★★★½,https://homeforhybrids.com/||Home For Hybrids,$5 Billion - $10 Billion,-,Las Vegas,Nevada,,,,,,
★★★★½,https://www.claroadvisors.com/||Claro Advisors,$1 Billion - $5 Billion,20%-30%,Boston,Massachusetts,,,,,,
★★★★½,https://leowealth.com||LEO Wealth,$1 Billion - $5 Billion,20%-30%,Hurst,Texas,,,,,,
★★★★½,https://www.chi-cap.com/||Chicago Capital,$1 Billion - $5 Billion,10%-20%,Chicago,Illinois,,,,,,
★★★★½,https://baldwin.com/||The Baldwin Group,$1 Billion - $5 Billion,20%-30%,Bethesda,Maryland,,,,,,
★★★★½,https://www.fi3advisors.com/||Fi3 Financial Advisors,$500 Million - $1 Billion,20%-30%,Indianapolis,Indiana,,,,,,
★★★★½,https://tcpasset.com/||TCP Asset Management,$500 Million - $1 Billion,20%-30%,Columbus,Ohio,,,,,,
★★★★½,https://www.bmt.com/wealth/bryn-mawr-capital-management/overview/||Bryn Mawr Capital Management,$1 Billion - $5 Billion,30%-40%,Philadelphia,Pennsylvania,,,,,,
★★★★½,https://www.fm-invest.com/||F/M Investments,over $10 Billion,-,Washington,District of Columbia,,,,,,
★★★★½,https://www.regisllc.com/||Regis Management Company,$1 Billion - $5 Billion,-,Denver,Colorado,,,,,,
★★★★½,http://www.onecapital.com||One Capital Management,$5 Billion - $10 Billion,30%-40%,Westlake Village,California,,,,,,
★★★★½,https://imperialfund.com||Imperial Fund Asset Management,$5 Billion - $10 Billion,-,Hollywood,Florida,,,,,,
★★★★½,https://trajanwealth.com/||Trajan Wealth,$1 Billion - $5 Billion,30%-40%,Scottsdale,Arizona,,,,,,
★★★★½,http://www.fostervictor.com||Foster Victor Wealth Advisors,$1 Billion - $5 Billion,30%-40%,Greenville,South Carolina,,,,,,
★★★★½,https://www.fiatwm.com/||Fiat Wealth Management,$250 Million - $500 Million,-,Wayzata,Minnesota,,,,,,
★★★★½,www.assetstrategyconsultants.com||Asset Strategy Consultants,$5 Billion - $10 Billion,-,Hunt Valley,Maryland,,,,,,
★★★★½,northberkeleywealth.com||North Berkeley Wealth Management,$500 Million - $1 Billion,10%-20%,Berkeley,California,,,,,,
★★★★½,https://futureyouwealth.com/||Future You Wealth,up to $250 Million,-,New York,New York,,,,,,
★★★★½,https://moodyaldrich.com/||Moody Aldrich Partners,$500 Million - $1 Billion,10%-20%,Marblehead,Massachusetts,,,,,,
★★★★½,http://www.squireinvestment.com||Squire Wealth Advisors,$250 Million - $500 Million,10%-20%,Orem,Utah,,,,,,
★★★★½,https://www.navigatewealth.com||Navigate Wealth Management,$250 Million - $500 Million,10%-20%,Birmingham,Alabama,,,,,,
★★★★½,https://www.pfaretire.com/||Professional Financial Advisors,$250 Million - $500 Million,20%-30%,North Platte,Nebraska,,,,,,
★★★★½,https://www.elementpointe.com/||Element Pointe Family Office,$500 Million - $1 Billion,10%-20%,Miami,Florida,,,,,,
★★★★½,www.piowealth.com/pfo/||Pioneer Family Office,$500 Million - $1 Billion,10%-20%,North Miami Beach,Florida,,,,,,
★★★★½,https://www.doughertywealth.com/||Dougherty Wealth Advisers,$250 Million - $500 Million,20%-30%,Wayzata,Minnesota,,,,,,
★★★★½,http://www.rlevansco.net||R.L. Evans Co.,$250 Million - $500 Million,20%-30%,Bellevue,Washington,,,,,,
★★★★½,https://magcapadvisors.com/||Magnolia Capital Advisors,$1 Billion - $5 Billion,20%-30%,Jackson,Mississippi,,,,,,
★★★★½,https://www.seaviewinvestmentmanagers.com/||Seaview Investment Managers,$1 Billion - $5 Billion,20%-30%,Coral Gables,Florida,,,,,,
★★★★½,https://carlsonfinancial.com/||Carlson Financial,$500 Million - $1 Billion,20%-30%,Topeka,Kansas,,,,,,
★★★★½,https://aptuscapitaladvisors.com/||Aptus Capital Advisors,$5 Billion - $10 Billion,30%-40%,Fairhope,Alabama,,,,,,
★★★★½,https://www.ulrichcg.com/||Ulrich Investment Consultants,$1 Billion - $5 Billion,20%-30%,Albuquerque,New Mexico,,,,,,
★★★★½,https://thehgroup.com/||The H Group Washington,up to $250 Million,20%-30%,Portland,Oregon,,,,,,
★★★★½,https://allworthfinancial.com||Allworth Financial,over $10 Billion,40%-50%,Folsom,California,,,,,,
★★★★½,http://www.lkfunds.com||Lawson Kroeker Investment Management,$500 Million - $1 Billion,10%-20%,Omaha,Nebraska,,,,,,
★★★★½,https://www.sherwoodfp.com/||Sherwood Financial Partners,$250 Million - $500 Million,-,Westlake Village,California,,,,,,
★★★★½,https://www.igniteplanners.com/||Ignite Planners,$500 Million - $1 Billion,40%-50%,San Clemente,California,,,,,,
★★★★½,https://advisorscapital.com/||Advisors Capital Management,$5 Billion - $10 Billion,20%-30%,Ridgewood,New Jersey,,,,,,
★★★★½,http://www.eqwealthadv.com||EQ Wealth Advisors,$250 Million - $500 Million,-,Dallas,Texas,,,,,,
★★★★½,https://www.pfgteam.com/||PFG Advisors,$1 Billion - $5 Billion,20%-30%,Phoenix,Arizona,,,,,,
★★★★½,https://aldrichadvisors.com||Aldrich Wealth,$5 Billion - $10 Billion,20%-30%,Lake Oswego,Oregon,,,,,,
★★★★½,http://www.ruggaard.net/||Ruggaard & Associates,$250 Million - $500 Million,10%-20%,Hudson,Ohio,,,,,,
★★★★½,http://peconic.com||Peconic Partners,$1 Billion - $5 Billion,30%-40%,New York,New York,,,,,,
★★★★½,www.dashinvestments.com||Dash Investments,$500 Million - $1 Billion,20%-30%,Woodland Hills,California,,,,,,
★★★★½,https://enhancingcapital.com/||Enhancing Capital,$250 Million - $500 Million,upto 5%,Harrisburg,Pennsylvania,,,,,,
★★★★½,http://clearinvestmentresearch.com/||Clear Investment Research,$5 Billion - $10 Billion,5%-10%,Alpharetta,Georgia,,,,,,
★★★★½,https://www.bppwealth.com/||BPP Wealth Solutions,up to $250 Million,30%-40%,Basking Ridge,New Jersey,,,,,,
★★★★½,http://www.gardecapital.com||Garde Capital,$1 Billion - $5 Billion,10%-20%,Seattle,Washington,,,,,,
★★★★½,diversifiedllc.com||Diversified,$1 Billion - $5 Billion,30%-40%,Wilmington,Delaware,,,,,,
★★★★½,http://sentryadv.com||Sentry Advisors,$1 Billion - $5 Billion,10%-20%,San Francisco,California,,,,,,
★★★★½,www.multnomahgroup.com||Multnomah Group,$1 Billion - $5 Billion,10%-20%,Portland,Oregon,,,,,,
★★★★½,https://crossborder-wealth.com/||Cross Border Wealth,up to $250 Million,20%-30%,New York,New York,,,,,,
★★★★½,https://redtortoisellc.com/||Red Tortoise,$250 Million - $500 Million,20%-30%,Atlanta,Georgia,,,,,,
★★★★½,https://www.ms-wealth.com/||Marshall & Sterling Wealth Advisors,$500 Million - $1 Billion,40%-50%,Poughkeepsie,New York,,,,,,
★★★★½,https://www.mutual.group/||Mutual Advisors,$5 Billion - $10 Billion,30%-40%,Omaha,Nebraska,,,,,,
★★★★½,http://www.aspenwealthmgmt.com||Aspen Wealth Management,$250 Million - $500 Million,20%-30%,Fort Worth,Texas,,,,,,
★★★★½,https://ljiwm.com/||LJI Wealth Management,$500 Million - $1 Billion,20%-30%,Indianapolis,Indiana,,,,,,
★★★★½,https://www.claremarket.com/||Clare Market Investments,$250 Million - $500 Million,20%-30%,Dallas,Texas,,,,,,
★★★★½,https://www.planawm.com/||Plan A Wealth,$250 Million - $500 Million,20%-30%,Lincoln,Nebraska,,,,,,
★★★★½,https://tranquilitypartners.com/||Tranquility Partners,$500 Million - $1 Billion,20%-30%,Brentwood,Tennessee,,,,,,
★★★★½,https://www.leelynsmith.com/||Leelyn Smith,$500 Million - $1 Billion,20%-30%,Geneva,Illinois,,,,,,
★★★★½,http://www.missioncreekcap.com||Mission Creek Capital Partners,$500 Million - $1 Billion,20%-30%,San Francisco,California,,,,,,
★★★★½,https://centerpointadvisory.com||Centerpoint Advisory Group,up to $250 Million,-,Overland Park,Kansas,,,,,,
★★★★½,https://www.fftwealth.com/||FFT Wealth Management,$1 Billion - $5 Billion,10%-20%,Philadelphia,Pennsylvania,,,,,,
★★★★½,http://www.oakwealth.com||Oak Wealth Advisors,$250 Million - $500 Million,10%-20%,Northbrook,Illinois,,,,,,
★★★★½,www.wealthspire.com||Wealthspire Advisors,over $10 Billion,30%-40%,New York,New York,,,,,,
★★★★½,http://ccmr.io||Core Capital Management & Research,$1 Billion - $5 Billion,40%-50%,Houston,Texas,,,,,,
★★★★½,https://www.accelwealthmanagement.com||Accel Wealth Management,$500 Million - $1 Billion,20%-30%,Waverly,Iowa,,,,,,
★★★★½,https://asiocapital.com/||Asio Capital,$250 Million - $500 Million,30%-40%,Lexington,Kentucky,,,,,,
★★★★½,http://hollanderwealth.com||Hollander Asset Management,$500 Million - $1 Billion,5%-10%,Miami,Florida,,,,,,
★★★★½,csenge.com||Csenge Advisory Group,$1 Billion - $5 Billion,30%-40%,Clearwater,Florida,,,,,,
★★★★½,www.johnsonfinancialgroup.com||Johnson Wealth,$5 Billion - $10 Billion,10%-20%,Milwaukee,Wisconsin,,,,,,
★★★★½,https://practicecfo.com/||PracticeCFO Investments,$250 Million - $500 Million,-,San Diego,California,,,,,,
★★★★½,https://www.riversedgeadvisors.com/||Riversedge Advisors,$500 Million - $1 Billion,20%-30%,Wilmington,Delaware,,,,,,
★★★★½,rockwoodwealth.com||Rockwood Wealth Management,$1 Billion - $5 Billion,20%-30%,New Hope,Pennsylvania,,,,,,
★★★★½,https://smithbrothersfs.com||Smith Brothers Financial,$500 Million - $1 Billion,-,Glastonbury,Connecticut,,,,,,
★★★★½,http://www.gentrustwm.com/||GenTrust,$1 Billion - $5 Billion,20%-30%,Miami,Florida,,,,,,
★★★★½,https://lumierefg.com/||Lumiere Financial Group,up to $250 Million,-,New York,New York,,,,,,
★★★★½,www.planningretirements.com||The Retirement Planning Group,$1 Billion - $5 Billion,20%-30%,Leawood,Kansas,,,,,,
★★★★½,https://www.everspire.com/||Everspire,up to $250 Million,-,Midvale,Utah,,,,,,
★★★★½,https://www.couriercapital.com/||Courier Capital,$1 Billion - $5 Billion,10%-20%,Buffalo,New York,,,,,,
★★★★½,https://www.certiorfinancial.com/||Certior Financial Group,$250 Million - $500 Million,10%-20%,King of Prussia,Pennsylvania,,,,,,
★★★★½,https://revisorgroup.com/||Revisor Wealth Management,$1 Billion - $5 Billion,-,Akron,Ohio,,,,,,
★★★★½,https://stelac.com/||Stelac Advisory Services,$1 Billion - $5 Billion,10%-20%,New York,New York,,,,,,
★★★★½,https://venturiprivatewealth.com/||Venturi Wealth Management,$1 Billion - $5 Billion,10%-20%,Austin,Texas,,,,,,
★★★★½,https://www.fortpointcap.com||Fort Point Capital Partners,$1 Billion - $5 Billion,10%-20%,San Francisco,California,,,,,,
★★★★½,https://www.talsoncapital.com||Talson Capital Management,$500 Million - $1 Billion,5%-10%,Darien,Connecticut,,,,,,
★★★★½,https://artafinance.com/||Arta Finance Wealth Management,up to $250 Million,-,Mountain View,California,,,,,,
★★★★½,http://www.snowdenlane.com||Snowden Capital Advisors,$5 Billion - $10 Billion,20%-30%,New York,New York,,,,,,
★★★★½,https://www.pasadenaprivatewealth.com||Pasadena Private Wealth,$1 Billion - $5 Billion,20%-30%,Pasadena,California,,,,,,
★★★★½,https://hobbsgroupadvisors.com/||Hobbs Group Advisors,$250 Million - $500 Million,20%-30%,Columbia,South Carolina,,,,,,
★★★★½,www.meritfinancialpartners.com||Merit Financial Partners,$250 Million - $500 Million,20%-30%,Maspeth,New York,,,,,,
★★★★½,https://www.sepiocap.com/||Sepio Capital,$5 Billion - $10 Billion,10%-20%,Salt Lake City,Utah,,,,,,
★★★★½,https://financialfocusllc.com/||Financial Focus,$500 Million - $1 Billion,20%-30%,Carlsbad,California,,,,,,
★★★★½,https://www.scissortailwealth.com||Scissortail Wealth Management,$250 Million - $500 Million,20%-30%,Tulsa,Oklahoma,,,,,,
★★★★½,https://www.vectorglobalwmg.com/||VectorGlobal IAG,$1 Billion - $5 Billion,30%-40%,Miami,Florida,,,,,,
★★★★½,https://www.altawealthadvisors.com/||Alta Wealth Advisors,$250 Million - $500 Million,20%-30%,Woburn,Massachusetts,,,,,,
★★★★½,cipvt.com||Champlain Investment Partners,over $10 Billion,10%-20%,Burlington,Vermont,,,,,,
★★★★½,https://paragon-adv.com/||Paragon Advisors,$500 Million - $1 Billion,20%-30%,College Station,Texas,,,,,,
★★★★½,https://www.clearhavencm.com/||Clear Haven Capital Management,$250 Million - $500 Million,40%-50%,New York,New York,,,,,,
★★★★½,http://www.wamboltwealth.com||Wambolt & Associates,$500 Million - $1 Billion,20%-30%,Littleton,Colorado,,,,,,
★★★★½,https://meetolio.com/||Olio Financial Planning,$250 Million - $500 Million,20%-30%,McLean,Virginia,,,,,,
★★★★½,https://www.empirical.net/||Empirical Wealth Management,$5 Billion - $10 Billion,20%-30%,Seattle,Washington,,,,,,
★★★★½,https://1900wealth.com/||1900 Wealth Management,$1 Billion - $5 Billion,30%-40%,San Antonio,Texas,,,,,,
★★★★½,https://twowestadvisors.com/||Two West Capital Advisors,$1 Billion - $5 Billion,10%-20%,Overland Park,Kansas,,,,,,
★★★★½,https://lakest.com/||Lake Street Private Wealth,$500 Million - $1 Billion,20%-30%,Chicago,Illinois,,,,,,
★★★★½,https://eaglebayadvisors.com||Eagle Bay Family Office,$500 Million - $1 Billion,20%-30%,New York,New York,,,,,,
★★★★½,traynorcapitalmanagement.com||Traynor Capital Management,$1 Billion - $5 Billion,30%-40%,Malvern,Pennsylvania,,,,,,
★★★★½,https://baybridgecg.com/||Baybridge Capital Group,up to $250 Million,30%-40%,Pleasanton,California,,,,,,
★★★★½,https://www.brightonjones.com||Brighton Jones,over $10 Billion,10%-20%,Seattle,Washington,,,,,,
★★★★½,http://www.suncoastequity.com||Suncoast Equity Management,$1 Billion - $5 Billion,20%-30%,Tampa,Florida,,,,,,
★★★★½,https://prosperitasfin.com/||Prosperitas Financial,$250 Million - $500 Million,-,Valencia,California,,,,,,
★★★★½,https://www.withumwealth.com/||Withum Wealth Management,$1 Billion - $5 Billion,20%-30%,Red Bank,New Jersey,,,,,,
★★★★½,https://www.signaladvisors.com/||Signal Advisors Wealth,$250 Million - $500 Million,-,Detroit,Michigan,,,,,,
★★★★½,carystreetpartners.com||Cary Street Partners Investment Advisory,$5 Billion - $10 Billion,30%-40%,Richmond,Virginia,,,,,,
★★★★½,www.heroldlantern.com||Lantern Wealth Advisors,up to $250 Million,10%-20%,Melville,New York,,,,,,
★★★★½,https://www.paloaltowealth.com/||Palo Alto Wealth Advisors,$500 Million - $1 Billion,20%-30%,Palo Alto,California,,,,,,
★★★★½,https://www.wealthcpas.com/||Wealth Management CPAs,up to $250 Million,-,Salt Lake City,Utah,,,,,,
★★★★½,www.sage-cap.com||Sage Capital Advisors,$500 Million - $1 Billion,10%-20%,Sioux Falls,South Dakota,,,,,,
★★★★½,https://avestarcapital.com/||Avestar Capital,$1 Billion - $5 Billion,30%-40%,New York,New York,,,,,,
★★★★½,http://www.investpwm.com||Paradigm Wealth Management,$250 Million - $500 Million,10%-20%,Westlake,Ohio,,,,,,
★★★★½,https://www.financialadvisorsnetwork.net/||Financial Advisors Network,$500 Million - $1 Billion,20%-30%,Tustin,California,,,,,,
★★★★½,https://www.principlewealthpartners.com/||Principle Wealth Partners,$1 Billion - $5 Billion,20%-30%,Madison,Connecticut,,,,,,
★★★★½,http://www.faircourtpartners.com/||Faircourt Partners,$1 Billion - $5 Billion,30%-40%,Chicago,Illinois,,,,,,
★★★★½,www.intellicents.com||Intellicents Investment Solutions Inc.,$5 Billion - $10 Billion,5%-10%,Albert Lea,Minnesota,,,,,,
★★★★½,http://www.sandycoveadvisors.com||Sandy Cove Advisors,$250 Million - $500 Million,20%-30%,Hingham,Massachusetts,,,,,,
★★★★½,https://www.evokeadvisors.com/||Evoke Advisors,over $10 Billion,-,Los Angeles,California,,,,,,
★★★★½,https://littlehousecapital.com/||Little House Capital,$500 Million - $1 Billion,20%-30%,Braintree,Massachusetts,,,,,,
★★★★½,https://flourishwealthmanagement.com/||Flourish Wealth Management,$250 Million - $500 Million,20%-30%,Edina,Minnesota,,,,,,
★★★★½,https://www.sentinelgroup.com/||Sentinel Pension Advisors Inc.,$5 Billion - $10 Billion,10%-20%,Wakefield,Massachusetts,,,,,,
★★★★½,http://www.tandemadvisors.com||Tandem Investment Advisors Inc.,$1 Billion - $5 Billion,40%-50%,Charleston,South Carolina,,,,,,
★★★★½,http://www.tlwmadvisor.com||TLWM,$250 Million - $500 Million,10%-20%,San Antonio,Texas,,,,,,
★★★★½,http://www.mountaincapital.us||Mountain Capital Investment Advisors Inc.,$500 Million - $1 Billion,20%-30%,Westminster,Colorado,,,,,,
★★★★½,http://www.chicagopartnersllc.com||Chicago Partners Investment Group,$1 Billion - $5 Billion,20%-30%,Chicago,Illinois,,,,,,
★★★★½,https://bouchey.com/||Bouchey Financial Group,$1 Billion - $5 Billion,20%-30%,Troy,New York,,,,,,
★★★★½,https://mayfairag.com/||Mayfair Advisory Group,$500 Million - $1 Billion,-,Birmingham,Alabama,,,,,,
★★★★½,https://www.adaptivefc.com/||Adaptive Financial Consulting,$250 Million - $500 Million,20%-30%,Beachwood,Ohio,,,,,,
★★★★½,http://www.visionaryhorizons.com||Visionary Horizons,$250 Million - $500 Million,10%-20%,Knoxville,Tennessee,,,,,,
★★★★½,https://tschettergroup.com||Tschetter Group,$1 Billion - $5 Billion,20%-30%,Bellevue,Washington,,,,,,
★★★★½,https://www.sbbrg.com/||SBB Research Group,$1 Billion - $5 Billion,40%-50%,Northbrook,Illinois,,,,,,
★★★★½,https://www.nomadglobal.com/||Nomad Fintech Inc.,up to $250 Million,-,Menlo Park,California,,,,,,
★★★★½,https://roundrockadvisors.com/||Round Rock Advisors,$500 Million - $1 Billion,20%-30%,Wilton,Connecticut,,,,,,
★★★★½,amicusadvisors.com||Amicus Financial Advisors,$250 Million - $500 Million,20%-30%,Lubbock,Texas,,,,,,
★★★★½,https://pacesferrywealth.com/||Paces Ferry Wealth Advisors,$250 Million - $500 Million,10%-20%,Atlanta,Georgia,,,,,,
★★★★½,https://www.sglfinancial.com/||SGL Financial,up to $250 Million,20%-30%,Buffalo Grove,Illinois,,,,,,
★★★★½,https://capitalwealthplanning.com/||Capital Wealth Planning,$5 Billion - $10 Billion,50%-60%,Naples,Florida,,,,,,
