title,id,creator,activity,assignee,priority,status
Add support for args and kwargs in logging.conf,34356,29181,2018-08-14.18:32:33,None,4,2
Add support for AUTH command to poplib,20352,18269,2014-01-23.13:55:51,None,4,1
Add support for BigEndianUnion and LittleEndianUnion in ctypes,33178,28195,2018-03-29.13:52:51,None,4,1
Add support for Bitrig to 2.7,19853,18687,2015-07-27.17:45:29,None,4,2
Add support for Bitrig to 3.4,19854,18687,2013-12-01.16:00:27,None,4,2
Add support for bzip2 compression to the zipfile module,14371,15623,2012-05-01.05:59:21,None,4,2
Add support for C99 complex type (_Complex) as ctypes.c_complex,16899,13564,2018-07-04.15:01:25,None,4,1
Add support for CAN_RAW_JOIN_FILTERS,25780,18717,2015-12-02.22:07:48,None,4,1
Add support for CESU-8 encoding,12742,2213,2011-08-29.12:22:30,None,4,2
add support for cjkcodecs to Python email,852347,554,2004-05-10.15:04:04,19,4,2
Add support for classes/object model in multiprocessing/pickle,23513,20866,2015-11-26.17:45:34,None,4,2
Add support for csh and fish in venv activation scripts,15417,10303,2012-10-04.18:50:27,10303,4,2
Add support for custom compressor in tarfile,31020,26583,2017-07-28.08:25:38,None,4,1
Add support for customizing scheduler's timefunc and delayfunc using subclassing,28329,24696,2016-10-05.07:03:17,None,4,2
Add support for db 4.3,1071911,1237,2006-01-25.06:22:58,35,4,2
Add support for delete logger in log module.,34199,29023,2018-07-24.04:18:40,None,4,1
Add support for Digest authentication session (reuse nonces),7752,8426,2014-02-03.19:21:39,1741,4,1
Add support for duplicate options in configparser,12662,14668,2011-08-05.20:46:45,12704,4,2
Add support for EVFILT_USER kqueue filter,25602,22841,2016-06-19.19:48:27,None,4,1
Add support for frameworks and objective-c source.  Uesful for both GnuStep and for OSXS/OSX/Darwin.,402357,192,2001-03-02.07:11:00,5,4,2
Add support for glibc supported locales,20079,15623,2014-10-19.21:06:13,15623,4,2
Add support for GNU --long options (interpreter),1505841,674,2006-06-14.08:33:21,None,4,2
add support for HtmlHelp output,552835,3377,2002-06-17.14:48:04,None,4,2
Add support for IEEE 754 contexts to decimal module.,8786,1118,2013-08-30.16:08:54,None,4,1
add support for installations compiled for debugging,875654,169,2009-02-20.01:54:13,None,5,2
Add support for IsWow64Process,2745,10,2010-09-09.14:11:47,10,4,2
Add support for lists in urlencode,403391,486,2001-01-28.21:19:43,12,4,2
Add support for lists in urlencode,403392,486,2001-01-25.08:10:38,None,4,2
Add support for Memory BIO to _ssl,21965,1091,2014-10-06.10:15:13,None,4,2
Add support for Message objects and binary data to smtplib.sendmail,10321,9663,2010-11-08.17:18:43,9663,4,2
Add support for MIME header parsing to the new provisional email policies,15160,9663,2012-06-24.09:05:34,None,4,2
Add support for mingw,6335,10737,2014-02-03.15:50:18,None,4,1
Add support for mingw64 compiler,11723,14032,2014-03-13.20:29:12,None,4,1
add support for MirBSD platform,12976,14859,2011-09-20.04:32:36,None,4,2
Add support for multi-character delimiters in csv,15158,14620,2013-03-09.03:31:36,None,4,2
Add support for ncurses A_ITALIC,30101,19343,2017-04-26.15:33:04,None,4,2
"Add support for openpty(3) and forkpty(3), when available.",400640,14,2000-06-28.16:43:13,12,4,2
Add support for os.getpgid(),568235,1091,2002-06-13.21:11:06,8,4,2
Add support for other HTTP methods in urllib.request,13142,10658,2011-10-09.22:43:22,None,4,2
Add support for partial keyword arguments in extension functions,26282,15623,2016-06-10.18:55:30,15623,4,2
add support for path-like objects in sys.path,32642,12075,2018-03-18.22:18:44,None,4,1
Add support for Path.absolute(),29688,24440,2017-03-13.16:38:23,None,4,1
Add support for PEP 381 Mirror Authenticity,11357,13680,2013-11-22.21:03:35,None,4,2
Add support for POSIX semaphores,525532,3359,2002-03-17.09:54:37,8,4,2
Add support for reading records with arbitrary separators to the standard IO stack,1152248,1309,2014-09-05.03:09:20,None,4,1
Add support for retrieving the certificate chain,24107,18753,2016-06-11.13:29:40,None,4,1
Add support for RTMP schemes to urlparse,16134,16647,2013-11-24.02:51:13,None,4,1
Add support for seeking/writing beyond EOF to io.BytesIO,1757683,3805,2008-01-06.22:29:45,None,4,2
Add support for ssize_t,6729,10693,2010-03-01.04:56:34,252,4,2
Add support for symlinks to zipfile,27318,24115,2017-06-02.12:53:28,None,4,1
"Add support for sync and use ""wish"" options",986929,1717,2004-08-03.18:48:53,8,4,2
Add support for system.methodSignature() to XMLRPC Server,13404,114,2013-09-23.07:37:05,None,4,1
add support for the AutoReq flag in bdist_rpm,1022011,1334,2004-09-17.08:37:25,324,4,2
Add support for the If-Modified-Since header,1442867,3576,2007-03-05.12:42:42,None,4,2
Add support for the new data option supported by event generate (Tk 8.5),3405,4698,2018-05-29.14:18:00,None,4,1
add support for thread function result storage,1395552,3672,2009-12-10.21:10:51,None,5,2
Add support for using a default CTE of '8bit' to MIMEText,12553,9663,2016-09-08.20:31:46,None,4,2
Add support for weak reference to bound methods,16452,16408,2012-11-11.10:19:04,None,4,2
Add support for weak-keyed dictionaries,403985,8,2001-02-27.18:40:46,8,3,2
Add support for weakrefs to _socket.socket,22569,9612,2014-10-06.18:38:34,None,4,2
Add support of bytes objects in PyBytes_FromFormatV(),10832,2377,2011-05-24.23:43:47,None,4,2
Add support of check logger,34244,29023,2018-08-08.22:17:11,None,4,2
Add support of copy protocol to zlib compressors and decompressors,25007,15623,2018-06-27.18:07:13,None,4,2
Add support of file descriptor in os.scandir(),25996,15623,2017-03-30.06:21:37,15623,4,2
Add support of KOI8-T encoding,22681,15623,2015-05-12.22:13:32,15623,4,2
Add support of KZ1048 (RK1048) encoding,22682,15623,2015-05-12.21:35:20,15623,4,2
Add support of multiple signatures,29350,15623,2017-01-23.17:51:01,None,4,1
Add support of negative number in bin(),25999,23146,2016-01-04.00:56:48,None,4,2
Add support of new crypt methods,31664,15623,2017-10-25.14:41:00,None,4,2
Add support of NOP and EXTENDED_ARG in stack_effect(),33334,15623,2018-04-25.19:06:05,None,4,2
Add support of pickling very large bytes and str objects with protocol < 4,25370,15623,2018-04-08.16:55:06,None,4,1
Add support of the 'with' statement to sunau.open.,18878,15623,2013-09-05.14:39:27,15623,4,2
Add support of the cp1125 encoding,19668,15623,2014-03-10.01:35:04,None,4,2
Add support of UnicodeTranslateError in standard error handlers,23676,15623,2015-03-26.22:45:41,15623,4,1
Add support of writing to unseekable file in zipfile,23252,15623,2016-02-02.17:23:08,15623,4,2
add support string that are not inherited from PyStringObject,26454,14583,2016-02-28.13:06:15,None,4,1
Add support to pydoc to output .rst restructured text,5893,252,2009-05-01.18:55:04,None,5,2
Add support to zipfile for passing file-like objects,403789,294,2001-03-26.16:00:34,12,3,2
Add support.check_time_delta(),20964,2377,2015-10-02.21:07:03,None,4,2
Add support.NONASCII to test non-ASCII characters,16414,2377,2013-01-03.01:07:33,None,4,2
"Add switch to disable PYTHON{HOME,PATH}",442863,83,2001-07-23.16:30:38,83,4,2
Add symlink support to shutil functions,12715,14287,2011-12-29.17:55:47,None,4,2
Add syntax coloring to Mac IDE,592047,553,2006-07-15.16:56:02,156,4,2
Add syntax for dynamic attribute access,1657573,3766,2007-03-06.09:59:31,None,4,2
Add sys._debugmallocstats(),14785,11193,2012-06-22.21:02:57,None,4,2
Add sys.call_tracing  to on-line sys module documentation,9237,9584,2010-10-17.11:06:22,12260,4,2
Add sys.debug_build public variable to check if Python was compiled in debug mode,25256,2377,2016-03-25.23:33:09,None,4,2
Add sys.exc_clear() to clear current exception,693195,693,2003-03-01.03:31:35,5,4,2
Add sys.executable to test_subprocessing.CommandsWithSpaces shell tests,9588,10080,2010-08-13.21:04:04,10080,5,2
Add sys.getandroidapilevel(),28740,2377,2017-03-31.16:36:10,None,4,2
add sys.implementation,14673,14000,2012-06-04.21:49:57,None,4,2
Add sys.isinterned(),34392,15623,2018-08-19.06:55:15,None,4,1
Add sys.setasthook() to allow to use a custom AST optimizer,17515,2377,2015-03-28.14:41:42,None,4,2
Add sysexits.h EX_* symbols to posix,661368,19,2003-01-10.23:56:48,19,4,2
Add system() lookalike for MPW tools,482424,79,2001-12-03.00:13:08,79,4,2
Add SystemTap static markers,14776,11193,2016-09-10.02:15:33,None,4,2
Add Systemtap/DTrace probes,4111,7647,2015-09-02.19:19:44,11193,4,2
Add tail recursion,1684603,3922,2007-03-20.19:05:09,None,4,2
Add Task.get_loop() and Future.get_loop(),32415,16198,2017-12-23.21:29:28,16198,4,2
Add temp_dir() and change_cwd() to test.support,15415,12075,2013-07-29.12:01:19,1309,4,2
Add test cases for assert,8414,10848,2011-12-02.16:26:35,7047,4,2
Add test cases for bool,8248,10848,2010-03-30.19:01:00,None,4,2
Add test cases for builtins,8816,10848,2010-05-25.19:07:22,1118,4,2
Add test cases for ctypes/winreg for issues found in IronPython,7855,9581,2013-05-04.15:00:43,7047,4,2
Add test coverage for os.removedirs(),16775,10303,2012-12-25.10:23:19,None,4,2
add test for changed portions after reloading a namespace package,19711,37,2016-05-12.16:37:08,14000,4,2
Add test for curses haskey replacement,10598,11450,2017-11-08.23:10:20,15623,4,1
add test for defaultdict with non-callable first argument,13531,15230,2011-12-07.22:08:20,7047,4,2
Add test for MIMENonMultipart,19460,17937,2014-10-02.10:29:03,None,4,1
Add test for ntpath.expanduser,21493,12504,2014-05-28.15:39:31,15623,4,2
Add test to automatically detect missing format units in skipitem(),14769,2731,2012-06-22.19:59:15,2731,4,2
Add test.pythoninfo,30871,2377,2018-08-12.15:59:59,None,4,2
Add test.support.import_python_only,5354,1309,2009-04-22.16:14:51,1309,4,2
Add test.support.script_helper to documentation,30136,25635,2017-04-22.05:15:27,12260,4,2
add test_support.run_unittest command line options and arguments,9027,2984,2010-06-27.10:08:16,None,4,2
Add tests for 'break' and 'return' inside 'finally' clause,32478,15623,2018-01-02.08:59:00,None,4,2
Add tests for ``from ... import ...` code,24846,37,2015-08-12.14:18:45,None,4,1
Add tests for CLI of the calendar module,18982,15623,2015-02-05.16:55:30,15623,4,2
Add tests for CLI of the tabnanny module,19102,14674,2018-06-15.04:34:31,14674,5,1
add tests for complex numbers,494873,35,2001-12-29.01:02:35,35,4,2
add tests for dictview set difference operations,18357,18084,2013-08-08.17:14:30,7047,4,2
Add tests for files byte-compiled by distutils,13473,7641,2014-10-04.23:29:46,None,4,1
add tests for getpass,17484,17510,2013-12-27.16:48:23,None,4,2
Add tests for header API of 'urllib.request.Request' class,29799,24124,2017-03-12.22:32:47,None,4,1
Add tests for importlib.machinery.PathFinder,20776,37,2014-05-09.17:38:54,37,4,2
Add tests for importlib.machinery.WindowsRegistryFinder,19714,37,2014-08-22.14:43:20,37,4,2
add tests for int()/long(),494874,35,2001-12-29.00:35:30,35,4,2
Add tests for invalid use of PyArg_ParseTupleAndKeywords,30184,15623,2017-05-04.04:28:03,None,4,2
Add tests for marshal FILE* API,23392,15623,2015-02-06.07:12:50,15623,4,2
Add tests for multi-argument type(),25983,15623,2016-02-08.18:30:38,15623,4,2
Add tests for NUL checking in certain strs,13849,9612,2016-07-23.13:20:44,None,4,2
Add tests for packaging.tests.support,12659,7641,2014-03-13.20:34:00,7641,4,2
Add tests for parsing float and object arguments,26995,15623,2016-05-16.07:24:18,15623,4,2
Add tests for pdb.find_function,18714,18232,2013-10-13.18:56:00,None,4,2
Add tests for PEP 468 and PEP 520,34345,15623,2018-08-06.12:08:19,None,4,1
Add tests for pipes module (test_pipes),1680959,1488,2007-08-30.10:39:06,93,4,2
Add tests for posix.mknod() and posix.mkfifo(),9569,2694,2010-08-17.01:27:19,None,4,2
Add tests for some scripts in Tools/scripts,13447,7641,2012-02-26.03:20:39,7641,4,2
add tests for test.support,11049,37,2013-01-25.20:09:50,9663,4,2
Add tests for testing Python-Tcl interaction,17118,15623,2013-02-07.13:43:22,15623,4,2
Add tests for Tix,21337,15467,2016-09-15.03:37:42,None,5,2
Add tests for Tkinter images,21605,15623,2014-06-01.09:57:04,15623,4,2
Add tests for turtle.ScrolledCanvas,21646,17643,2014-07-08.04:05:48,11041,4,2
Add tests for turtle.TPen class,21806,17643,2014-07-08.04:04:34,None,4,2
Add tests for turtle.TurtleScreenBase,21754,17643,2014-07-08.04:05:35,None,4,2
Add tests for wsgiref.validate,23577,20786,2015-04-08.08:07:09,None,4,1
Add tests to test__header_value_parser for RFC 2231 parsing code,17733,17270,2013-04-15.00:16:35,None,4,1
Add tests to verify API match of modules with 2 implementations,9859,5251,2015-04-14.22:25:19,252,5,2
"Add textwrap.dedent, .indent, as str methods.",18335,155,2013-09-01.01:58:54,None,4,1
Add textwrap.indent() as counterpart to textwrap.dedent(),13857,1309,2012-06-12.15:00:38,1309,4,2
add thai encoding aliases to encodings.aliases,17254,17333,2015-01-23.05:14:38,None,4,1
"Add the ""htmlcharrefreplace"" error handler",19667,15623,2015-07-21.10:43:55,None,4,1
"Add the ""namereplace"" error handler",19676,15623,2014-11-26.20:27:44,15623,4,2
add the '--disable-test-suite' option to configure,27640,12652,2017-10-21.20:11:36,None,4,1
add the '--enable-sourceless-distribution' option to configure,26852,12652,2016-07-28.16:05:00,None,4,1
add the 'is_android' attribute to test.support,27027,12652,2016-07-10.16:24:18,12652,4,2
add the 'unix_shell' attribute to test.support,27472,12652,2016-07-22.10:38:17,12652,4,2
Add the 'wrapper_descriptor' type to the types module,29377,24668,2017-03-31.16:36:31,None,4,2
Add the --duplicate option for timeit,30080,15623,2017-06-07.09:56:33,15623,4,1
Add the @cached_property decorator,21145,19347,2018-08-30.15:42:41,None,4,2
Add the close method for ElementTree.iterparse() object,25707,15623,2015-11-26.09:40:50,15623,4,1
Add the const qualifier for char and wchar_t pointers to unmodifiable strings,32241,15623,2017-12-12.11:55:32,None,4,2
Add the const qualifier for PyObject* array arguments,32240,15623,2017-12-15.11:15:02,None,4,2
Add the const qualifier to fields name and doc of public structs,28761,15623,2017-03-31.16:36:34,None,4,2
"Add the ftplib option, overrides the IP address.",32572,27741,2018-02-01.17:19:30,3080,4,2
Add the interpreters module to stdlib (PEP 554).,31375,14000,2017-09-06.23:16:21,14000,4,1
Add the iterator protocol to dbm modules,5736,9289,2011-02-12.20:17:43,None,4,2
Add the license to argparse.py,17514,17536,2013-03-29.10:12:09,None,4,1
Add the members parameter for TarFile.list(),21549,15623,2014-08-21.07:10:55,15623,4,2
add the method `index` to collections.deque,10059,13117,2010-10-10.10:57:31,114,5,2
add the option for json.dumps to return newline delimited json,34529,29340,2018-09-02.08:26:28,886,4,1
Add the random.distrib module,18900,15623,2013-09-07.07:24:09,None,4,2
Add the regex-dna benchmark,26436,15623,2016-10-18.16:46:41,None,4,2
Add the SIO_KEEPALIVE_VALS option to socket.ioctl,6971,2217,2009-09-27.21:11:14,None,4,2
Add the SIO_LOOPBACK_FAST_PATH option to socket.ioctl,26536,23578,2016-06-18.17:17:47,16632,4,2
"Add the term ""dunder"" to the glossary",31937,37,2018-02-19.18:47:12,12,4,2
"add thread flags to CXX, too (fixes build on FreeBSD)",758910,1197,2003-06-28.07:47:14,8,4,2
Add Thread.isActive(),1107656,1682,2007-03-15.21:40:16,None,4,2
Add threading.Barrier,8777,2217,2011-05-26.16:46:31,None,4,2
Add threading.main_thread() function,18882,10303,2014-03-07.22:21:04,None,4,2
add threading.RWLock,8800,2217,2017-12-27.20:55:38,None,4,1
add time elapsed to gc debug output,760990,202,2004-12-20.03:51:32,None,4,2
Add time.CLOCK_PROF constant,31917,2377,2017-11-02.11:19:44,None,4,2
Add time.monotonic() function,13846,2377,2012-02-23.23:11:18,None,4,2
Add time.thread_time(),32025,2040,2017-11-20.17:21:29,None,4,2
add time.wallclock() method,10278,2217,2012-03-15.00:17:26,2377,4,2
Add timeout option to subprocess.Popen,5673,10332,2013-11-18.12:31:33,10332,4,2
add timeout parameter for get_server_certificate in ssl.py,31870,25315,2018-02-26.07:58:58,3108,4,1
Add timeout parameter to Queue.join(),9634,12857,2015-01-05.14:03:54,114,5,1
add timeout support in socket using modules,723287,1146,2003-05-13.14:57:48,None,4,2
Add timespec optional flag to datetime isoformat() to choose the precision,19475,15,2016-03-06.19:58:58,1427,4,2
Add timestamp-based dependency system to build_clib,29408,25428,2017-02-01.01:20:08,None,4,1
Add timezone support to datetime C API,10381,1427,2018-07-05.16:52:42,1427,4,2
Add tips for effective online communication to devguide,24689,18982,2016-07-22.19:50:02,18982,4,2
Add title to examples in importlib docs,27853,37,2016-09-08.17:13:50,37,4,2
Add Tix to the Windows buildbot scripts,21683,15467,2014-06-08.19:46:18,15467,4,2
Add Tix.py to Lib/lib-tk,409053,266,2001-03-18.22:47:23,None,5,2
Add tkinter basic options tests,19085,15623,2014-02-28.20:39:16,15623,2,2
Add Tkinter.Checkbutton get() and set(value),1774370,826,2008-06-26.22:43:17,8,4,2
"Add TLS-SRP (RFC 5054) support to ssl, _ssl, http, and urllib",11943,14192,2017-09-06.14:54:35,3108,4,2
"add to ""looping techniques"" tutorial a note about modifying sequence",16225,16692,2012-10-16.03:04:55,12260,4,2
"Add to ""whats new"": range(n) != range(n)",5953,9239,2009-05-14.18:10:50,114,4,2
"add to dict fails after 1,000,000 items on py 2.7.5",19443,18539,2013-10-31.20:40:57,None,4,2
Add to regrtest the ability to run Lib and Doc doctests,15629,12075,2014-07-17.12:08:39,12260,4,1
Add to shutil the ability to wait until files are definitely deleted,22024,15467,2014-08-22.05:28:57,None,4,1
"Add to unicodedata a function to query the ""Quick_Check"" property for a character",23550,20892,2015-03-28.19:25:31,None,4,1
Add to unittest.TestCase support for using context managers,15351,12075,2014-03-20.23:58:35,9716,4,1
Add Tornado HTTP benchmark,19236,2040,2013-10-24.19:59:18,None,4,2
Add tp_fastcall to PyTypeObject: support FASTCALL calling convention for all callable objects,29259,2377,2018-07-31.09:36:09,None,4,2
"Add tp_fastnew and tp_fastinit to PyTypeObject, 15-20% faster object instanciation",29358,2377,2017-01-26.14:58:30,None,4,2
add tparm to _cursesmodule,402278,3,2000-11-07.03:35:39,20,4,2
Add TRACE level to the logging module,31732,2377,2017-11-28.20:41:25,328,4,2
Add traceback.format_exc,677887,83,2003-11-05.23:03:54,83,5,2
Add traceback.print_full_exception(),1553375,1182,2017-11-02.11:17:48,None,4,1
Add tracemalloc.Traceback.format() method,20616,2377,2014-03-17.06:30:40,None,1,2
Add triangular distribution to random,1681432,3779,2008-03-23.13:32:58,114,4,2
Add triple quotes to list of delimiters that trigger '...' prompt,33571,27773,2018-06-16.04:08:24,12260,4,2
Add truncated SHA512/224 and SHA512/256,26834,3108,2018-05-02.21:44:12,None,4,1
Add try-finally contextlib.contextmanager example,33468,1309,2018-07-23.21:41:42,1309,4,2
Add ttk::spinbox to tkinter.ttk,32585,27765,2018-02-11.03:47:07,None,4,2
Add tunnel CONNECT response headers to httplib / http.client,24964,22374,2015-09-07.07:12:40,None,4,1
Add tuple/list sep to string split method,11162,13754,2011-02-09.20:08:28,None,4,2
Add turtledemo to IDLE menu,17172,114,2014-07-29.02:41:18,155,4,2
Add TurtleShell to turtle,10317,1427,2010-11-05.19:42:51,114,4,2
Add type checks to urllib.request.Request,25439,7047,2016-01-01.02:49:47,None,4,1
add type defintion support,1639002,3918,2007-01-20.18:43:31,None,4,2
Add types.CallableIterType,463737,19,2001-09-25.22:02:55,6,4,2
Add typeshed documentation for unittest.TestCase._feedErrorsToResult and ._outcome,32927,28002,2018-02-23.22:18:22,None,4,1
Add typing.Awaitable,25610,37,2015-12-15.23:53:10,5,4,2
Add typing.py class describing a PEP 3118 buffer object,27501,24249,2016-07-14.20:47:15,None,4,1
Add tzinfo= argument to datetime.combine,27661,1427,2016-08-02.21:49:36,1427,4,2
Add tzset method to time module,675422,1098,2003-03-21.21:31:21,5,4,2
Add un-parse function to ast,24002,2731,2015-04-19.18:17:35,None,4,2
add unescape method to xml.sax.saxutils,613256,3400,2002-10-26.14:52:19,8,4,2
"Add unicode for sys.argv, os.environ, os.system",1231336,621,2005-08-10.07:24:39,None,4,2
Add unicode grapheme cluster break algorithm,30717,26413,2018-08-23.21:01:13,None,4,1
Add unicode script info to the unicode database,6331,22,2018-06-20.16:20:05,None,4,1
"Add Unicode support to ""exec"" and ""eval()""",401454,4,2000-09-19.21:08:35,4,4,2
"Add unicode support to compile(), eval() and exec",683515,156,2003-02-10.09:25:57,None,4,2
Add unique option to heapq functions,18241,2040,2013-06-17.20:06:30,None,5,1
Add unit test for cgi.escape method,14281,15629,2012-03-13.08:51:33,None,4,2
Add unit test for os.chown,20069,17937,2015-02-16.06:37:22,None,4,2
Add unit test for spwd module,19925,17937,2014-05-25.13:33:54,15623,4,2
add unittest assertion for logging,18937,2040,2013-09-14.17:46:29,None,4,2
Add unittest for shelve.py,562416,114,2002-05-30.15:38:12,None,4,2
Add unittest support for pyc projects,32419,27627,2018-04-01.03:16:19,None,4,1
Add unittestguirunner to Tools/,10502,9716,2011-03-04.05:39:24,9716,5,2
Add unittests for imghdr module,19990,12504,2014-02-02.22:01:31,15623,4,2
Add Unladen Swallow's optimizations to Python 3's pickle.,9410,3805,2011-03-19.02:58:22,3805,4,2
add unpack_archive to shutil,8295,4555,2010-04-28.17:52:01,4555,4,2
Add unsigneds to ParseTuple/BuildValue,454896,5,2002-06-10.21:18:14,None,4,2
add urldecode() method to urllib,740827,3400,2005-02-24.20:02:25,None,4,2
Add urllib2.HTTPBasicPriorAuthHandler for use with APIs that don't return 401 errors,19494,5290,2015-04-16.20:44:13,None,4,2
"Add usage examples for TracebackException, StackSummary and FrameSummary",27597,11519,2016-07-23.10:58:09,12260,4,1
Add use_default_colors support to curses module.,739124,3449,2003-08-13.23:14:33,20,4,2
add user notification that parent init will not be called in dataclass init method,33452,28173,2018-05-10.02:27:36,2799,4,1
Add utf-8 alias to aliases.py dictionary,28101,24584,2016-09-12.14:25:15,None,4,2
Add UTF-8 locale aliases,20076,15623,2014-10-02.07:23:59,15623,4,2
Add utf8 alias for email charsets,4487,9649,2011-04-03.17:58:05,9663,4,2
"Add utilities to ""clean"" surrogate code points from strings",18814,1309,2018-03-30.06:52:39,None,4,1
Add utilities to get/set pipe and socket buffer sizes?,33733,2377,2018-06-20.10:13:51,None,4,2
Add VCS support,3814,9215,2008-09-09.11:29:10,None,4,2
Add version changed notes for OpenSSL 1.1.0 compatibility,31215,1309,2018-06-09.01:29:20,12260,4,2
Add version info to python,23018,16632,2015-02-20.17:13:35,16632,4,2
add versionadd to new functions,834444,1178,2003-11-02.09:53:04,None,4,2
Add versionchanged note for error when create_module() is not defined by loaders,26184,37,2017-03-24.23:41:35,12260,4,2
Add versionchanged notes for string.Formatter,33828,21530,2018-06-13.02:40:48,12260,4,2
Add Vista/7  symlink support,7901,11821,2010-02-10.16:05:54,None,4,2
Add VS CRT redist to the MSI installer,1569,3108,2008-05-01.22:09:54,None,3,2
"Add warning about undefined ""global""",233532,6,2001-02-27.05:20:15,9,3,2
Add warning that Python doesn't verify SSL certs by default,19508,3108,2013-12-22.17:48:59,12260,3,2
add warning to os.getlogin,678077,1015,2003-02-03.15:42:22,20,4,2
add warnings for intra-package imports,3444,4455,2010-08-21.18:11:27,None,2,2
Add warnings to unsafe Cookie classes,655760,20,2002-12-29.18:20:46,None,4,2
add way to detect bsddb version,584409,441,2003-02-07.22:57:38,None,4,2
add weakref support to types.SimpleNamespace,15004,14000,2013-06-25.05:16:50,14000,4,1
Add weighted random choice to random package,22048,19736,2014-07-23.17:20:44,None,4,2
Add What's New for Idle.,21961,155,2015-05-23.22:31:03,155,4,2
Add width and precision formatters to PyBytes_FromFormatV(),11580,12118,2014-06-17.23:38:22,2377,4,1
Add Windows 9x/ME (lack of) support information to README.TX,1510853,3250,2006-07-24.05:06:07,20,4,2
Add windows_helper module helper,22080,12504,2015-10-02.18:05:00,None,4,1
Add worker process lifetime to multiprocessing.Pool - patch included,6963,11224,2010-01-27.03:36:56,5849,4,2
add wrapper for SSL_CTX_set_default_verify_paths,10443,2040,2010-11-17.20:29:57,None,4,2
Add write buffering to gzip,1501108,114,2010-04-03.12:45:17,None,4,2
Add writelines test coverage in tempfile,11488,13934,2011-03-14.14:03:40,9663,4,2
Add wsgiref.util.dump_wsgistr & load_wsgistr,22264,1309,2018-06-09.11:06:24,None,4,2
Add xml pretty print option to ElementTree,23847,114,2018-08-17.15:22:53,None,4,2
Add XML-RPC Fault Interoperability to XMLRPC libraries,1360243,2361,2009-06-20.16:55:32,None,4,2
Add xturtle to the standard library?,2309,5,2008-03-17.19:24:37,None,4,2
Add xz support to shutil,5411,10173,2014-08-11.15:11:21,15623,4,2
Add zip64 support to shutil,17189,14495,2015-02-05.21:20:26,None,4,2
"Add {Create|Delete}KeyEx to _winreg, doc and test updates",7347,10080,2010-04-21.23:56:50,10080,4,2
"Add {encode, decode}_filter_properties() functions to lzma module",14736,4348,2012-05-07.08:47:50,None,4,2
add {implementation} to sysconfig.py,22308,15782,2015-03-09.21:16:21,None,4,1
add-to-pydotorg does not support .exe installers for Windows,23415,2731,2015-09-08.07:53:14,93,4,2
"Add.isascii() to str, bytes and bytearray",32677,10371,2018-01-28.01:01:04,None,4,2
Add/check os.PathLike support for the tempfile module's 'dir' arguments,29447,37,2017-05-08.18:39:25,None,4,1
Add/Remove programs shows Martin v Löwis,1737210,1659,2007-09-01.06:39:30,None,4,2
Add\Remove Programs entry is not created.,32791,27908,2018-02-08.19:34:02,None,4,2
add_option in optparse no longer accepts unicode string,9161,10719,2012-08-14.13:14:53,None,4,2
added acts_like decorator to dataclasses module,32977,28031,2018-03-01.23:20:59,None,4,1
Added clearerr() to clear EOF state,1706039,3133,2011-03-11.15:56:21,None,4,1
Added datetime_diff to datetime.py.,29866,24258,2017-03-22.18:04:40,12260,4,2
Added description for assert statement,19562,18460,2013-12-13.21:25:03,None,4,2
"Added HTTP{,S}ProxyConnection",515003,489,2003-11-04.20:32:33,8,5,2
Added Misc/python.pc to 'distclean' Rule,6297,9692,2009-08-31.14:54:28,1118,4,2
Added missing archive programs.,30122,24258,2017-04-21.18:13:30,12260,4,1
Added mouse and colour support to Game of Life curses	demo,10525,13380,2010-11-25.14:57:48,None,4,2
Added Proxyauth command to imaplib,638673,3412,2004-06-16.02:25:55,35,4,2
Added support for custom readline functions,1690201,3781,2016-06-21.06:24:07,None,4,1
Added test coverage for calendar print functions,18856,17884,2013-09-15.01:08:13,7047,4,2
Added test to test_random.py testing Random.shuffle,15837,16477,2012-11-04.01:11:50,None,4,2
added/corrected containment relationship for networks in lib ipaddress,21828,19816,2014-06-23.12:40:25,None,4,2
addheaders for urlopen / open / xxxx_open,1453973,1814,2013-03-13.21:22:16,None,4,1
adding --quiet to bdist_rpm,5378,4555,2009-02-28.10:17:39,4555,4,2
adding __dir__,1591665,2639,2007-03-12.13:18:22,93,3,2
Adding __getitem__ as a class method doesn't work as expected,15289,4331,2012-07-10.14:48:09,None,4,2
Adding __iter__ to class Values of module optparse,2444,4698,2008-04-02.21:10:48,44,4,2
Adding _collections to static build,9545,1741,2010-08-15.14:42:51,1741,3,2
"Adding a done callback to a concurrent.futures Future once it has already completed, may raise an exception, contrary to docs",33110,28137,2018-03-22.00:00:44,None,4,1
Adding a git developer's guide to Mercurial to devguide,22992,17261,2015-01-16.18:00:17,None,4,2
Adding a mutually exclusive group to an argument group results in segmentation fault under linux,28063,13963,2016-09-10.15:16:02,None,4,2
Adding a new regex module (compatible with re),2636,3478,2017-12-09.13:48:13,None,4,1
Adding a read_pkg_file to DistributionMetadata,7457,4555,2013-11-10.23:25:25,1290,4,2
Adding a recvexactly() to socket.socket: receive exactly n bytes,1103213,931,2016-04-08.22:49:31,None,4,1
Adding a SyncManager Queue proxy to a SyncManager dict or Namespace proxy raises an exception,30256,26064,2018-07-02.12:02:53,None,4,1
Adding a syslog.conf reader in syslog,10595,4555,2014-06-18.09:59:03,None,4,1
Adding a testcase for the bug in find_longest_match,1678339,2733,2007-03-19.02:01:22,None,4,2
