Authors,Year,Title,Journal,DOI,Abstract,"Additional Link URL",Keywords,"PMID Number","Link to PubMed page","Citation Information","ISSN Number"
"Cioffredi LA, Yerby LG, Burris HH, Cole KM, Engel SM, Murray TM, Slopen N, Volk HE, Acheson A",2024,"Assessing prenatal and early childhood social and environmental determinants of health in the HEALthy Brain and Child Development Study (HBCD).","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101429,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. The charge of the HBCD Social and Environmental Determinants (SED) working group is to develop and implement a battery of assessments to broadly characterize the social and physical environment during the prenatal period and early life to characterize risk and resilience exposures that can impact child growth and development. The SED battery consists largely of measures that will be repeated across the course of the HBCD Study with appropriate modifications for the age of the child and include participant demographics, indicators of socioeconomic status, stress and economic hardship, bias and discrimination (e.g., racism), acculturation, neighborhood safety, child and maternal exposures to adversity, environmental toxicants, social support, and other protective factors. Special considerations were paid to reducing participant burden, promoting diversity, equity, and inclusion, and adopting trauma-informed practices for the collection of sensitive information such as domestic violence exposure and adverse childhood experiences. Overall, the SED battery will provide essential data to advance understanding of child development and approaches to advance health equity across infant and child development.
",,"Adverse childhood events, Child development, Environmental exposures, HBCD, Intimate partner violence, Neighborhood, Pregnancy, Resilience, Social determinants, Social services, Social support, Stress, Toxicants",39208687,https://pubmed.ncbi.nlm.nih.gov/39208687,"Cioffredi LA, Yerby LG, Burris HH, Cole KM, Engel SM, Murray TM, Slopen N, Volk HE, Acheson A. Assessing prenatal and early childhood social and environmental determinants of health in the HEALthy Brain and Child Development Study (HBCD). Developmental cognitive neuroscience. 2024/08/21. 10.1016/j.dcn.2024.101429. PMID: 39208687. ",
"Menu I, Ji L, Bhatia T, Duffy M, Hendrix CL, Thomason ME",2024,"Beyond average outcomes: A latent profile analysis of diverse developmental trajectories in preterm and early term-born children from the Adolescent Brain Cognitive Development study.","Child development",10.1111/cdev.14143,"Preterm birth poses a major public health challenge, with significant and heterogeneous developmental impacts. Latent profile analysis was applied to the National Institutes of Health Toolbox performance of 1891 healthy prematurely born children from the Adolescent Brain and Cognitive Development study (970 boys, 921 girls; 10.00 ± 0.61 years; 1.3% Asian, 13.7% Black, 17.5% Hispanic, 57.0% White, 10.4% Other). Three distinct neurocognitive profiles emerged: consistently performing above the norm (19.7%), mixed scores (41.0%), and consistently performing below the norm (39.3%). These profiles were associated with lasting cognitive, neural, behavioral, and academic differences. These findings underscore the importance of recognizing diverse developmental trajectories in prematurely born children, advocating for personalized diagnosis and intervention to enhance care strategies and long-term outcomes for this heterogeneous population.
",,,39136075,https://pubmed.ncbi.nlm.nih.gov/39136075,"Menu I, Ji L, Bhatia T, Duffy M, Hendrix CL, Thomason ME. Beyond average outcomes: A latent profile analysis of diverse developmental trajectories in preterm and early term-born children from the Adolescent Brain Cognitive Development study. Child development. 2024/08/13. 10.1111/cdev.14143. PMID: 39136075. ",
"Cole KM, Jordan CJ, Parkinson M, Estrada KR, Hoffman EA, Croff JM, Freund MP, Howlett KD",2024,"Communications, engagement, and dissemination strategies for the HEALthy Brain and Child Development (HBCD) Study.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101431,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. Study success depends on the engagement and inclusion of diverse populations of pregnant participants and their children across the United States, including those at high and low risk for prenatal substance use. The Communications, Engagement, and Dissemination (CED) Committee is responsible for the development and implementation of a strategy to promote awareness about the study, encourage participation, and engage HBCD families, community partners, and collaborators. Initial work involved developing versatile recruitment and awareness materials with a consistent and inclusive message that reduces stigma and negative bias towards marginalized populations, including people with substance use and other mental health conditions. These efforts were shaped by an integrated product development workflow and early engagement with HBCD partners to address challenges. Ongoing work includes the expansion of HBCD outreach through newsletters and social media platforms with an emphasis on protecting participant privacy. Future activities will focus on disseminating scientific information through generation of infographics and webinars that will inform participants, families, and the public of discoveries generated from HBCD Study data.
",,"Brain development, Communication, Dissemination, Early-life development, Engagement, HBCD, Prenatal exposures, Social media",39173581,https://pubmed.ncbi.nlm.nih.gov/39173581,"Cole KM, Jordan CJ, Parkinson M, Estrada KR, Hoffman EA, Croff JM, Freund MP, Howlett KD. Communications, engagement, and dissemination strategies for the HEALthy Brain and Child Development (HBCD) Study. Developmental cognitive neuroscience. 2024/08/13. 10.1016/j.dcn.2024.101431. PMID: 39173581. ",
"Si Y, Bandoli G, Cole KM, Daniele Fallin M, Stuart EA, Gurka KK, Althoff KN, Thompson WK",2024,"Advancing high quality longitudinal data collection: Implications for the HEALthy Brain and Child Development (HBCD) Study design and recruitment.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101432,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. The HBCD Study aims to reflect the sociodemographic diversity of pregnant individuals in the U.S. The study will also oversample individuals who use substances during pregnancy and enroll similar individuals who do not use to allow for generalizable inferences of the impact of prenatal substance use on trajectories of child development. Without probability sampling or a randomization-based design, the study requires innovation during enrollment, close monitoring of group differences, and rigorous evaluation of external and internal validity across the enrollment period. In this article, we discuss the HBCD Study recruitment and enrollment data collection processes and potential analytic strategies to account for sources of heterogeneity and potential bias. First, we introduce the adaptive design and enrollment monitoring indices to assess and enhance external and internal validity. Second, we describe the visit schedule for in-person and remote data collection where dyads are randomly assigned to visit windows based on a jittered design to optimize longitudinal trajectory estimation. Lastly, we provide an overview of analytic procedures planned for estimating trajectories.
",,"Adaptive enrollment, External and internal validity, HBCD, Longitudinal trajectory",39213717,https://pubmed.ncbi.nlm.nih.gov/39213717,"Si Y, Bandoli G, Cole KM, Daniele Fallin M, Stuart EA, Gurka KK, Althoff KN, Thompson WK. Advancing high quality longitudinal data collection: Implications for the HEALthy Brain and Child Development (HBCD) Study design and recruitment. Developmental cognitive neuroscience. 2024/08/10. 10.1016/j.dcn.2024.101432. PMID: 39213717. ",
"Edwards RC, Planalp EM, Bosquet Enlow M, Akshoomoff N, Bodison SC, Brennan MB, Ciciolla L, Eiden RD, Fillipi CA, Gustafsson HC, McKelvey LM, Morris AS, Peralta-Carcelén M, Poehlmann J, Wakschlag LS, Wilson S",2024,"Capturing the complexity of child behavior and caregiver-child interactions in the HEALthy Brain and Child Development (HBCD) Study using a rigorous and equitable approach.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101422,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. This article outlines methodological considerations and the decision-making process for measurement selection for child behavior, parenting/caregiver-child interactions, and the family/home environment for HBCD. The decision-making process is detailed, including formation of a national workgroup (WG-BEH) that focused on developmentally appropriate measures that take a rigorous and equitable approach and aligned with HBCD objectives. Multi-level-observational and caregiver-report measures were deemed necessary for capturing the desired constructs across multiple contexts while balancing the nuance of observational data with pragmatic considerations. WG-BEH prioritized developmentally sensitive, validated assessments with psychometrics supporting use in diverse populations and focused on mechanistic linkages and prediction of desired constructs. Other considerations included participant burden and retention, staff training needs, and cultural sensitivity. Innovation was permitted when it was grounded in evidence and filled key gaps. Finally, this article describes the rationale for the selected constructs (e.g., temperament, social-emotional development, parenting behaviors, family organization) and corresponding measures chosen for HBCD visits from early infancy through 17 months of age.
",,"Caregiver-child interactions, HBCD, Home environment, Infant development, Parenting, Socioemotional development",39126821,https://pubmed.ncbi.nlm.nih.gov/39126821,"Edwards RC, Planalp EM, Bosquet Enlow M, Akshoomoff N, Bodison SC, Brennan MB, Ciciolla L, Eiden RD, Fillipi CA, Gustafsson HC, McKelvey LM, Morris AS, Peralta-Carcelén M, Poehlmann J, Wakschlag LS, Wilson S. Capturing the complexity of child behavior and caregiver-child interactions in the HEALthy Brain and Child Development (HBCD) Study using a rigorous and equitable approach. Developmental cognitive neuroscience. 2024/08/03. 10.1016/j.dcn.2024.101422. PMID: 39126821. ",
"Volkow ND, Gordon JA, Bianchi DW, Chiang MF, Clayton JA, Klein WM, Koob GF, Koroshetz WJ, Perez-Stable EJ, Simoni JM, Trombert BJ, Woychik RP, Hommer R, Spotts EL, Xu B, Zehr JL, Cole KM, Dowling GJ, Freund MP, Howlett KD, Jordan CJ, Murray TM, Pariyadath V, Prabhakar J, Rankin ML, Sarampote CS, Weiss SRB",2024,"The HEALthy Brain and Child Development Study (HBCD): NIH collaboration to understand the impacts of prenatal and early life experiences on brain development"," Developmental Cognitive Neuroscience",https://doi.org/10.1016/j.dcn.2024.101423,"The human brain undergoes rapid development during the first years of life. Beginning in utero, a wide array of biological, social, and environmental factors can have lasting impacts on brain structure and function. To understand how prenatal and early life experiences alter neurodevelopmental trajectories and shape health outcomes, several NIH Institutes, Centers, and Offices collaborated to support and launch the HEALthy Brain and Child Development (HBCD) Study. The HBCD Study is a multi-site prospective longitudinal cohort study, that will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. Influenced by the success of the ongoing Adolescent Brain Cognitive DevelopmentSM Study (ABCD Study®) and in partnership with the NIH Helping to End Addiction Long-term® Initiative, or NIH HEAL Initiative®, the HBCD Study aims to establish a diverse cohort of over 7,000 pregnant participants to understand how early life experiences, including prenatal exposure to addictive substances and adverse social environments as well as their interactions with an individual’s genes, can affect neurodevelopmental trajectories and outcomes. Knowledge gained from the HBCD Study will help identify targets for early interventions and inform policies that promote resilience and mitigate the neurodevelopmental effects of adverse childhood experiences and environments.
",https://www.sciencedirect.com/science/article/pii/S1878929324000847,"HBCD; brain development; neuro; imaging; longitudinal; prenatal substance use; social determinants of health",,,"Volkow ND, Gordon JA, Bianchi DW, Chiang MF, Clayton JA, Klein WM, Koob GF, Koroshetz WJ, Perez-Stable EJ, Simoni JM, Trombert BJ, Woychik RP, Hommer R, Spotts EL, Xu B, Zehr JL, Cole KM, Dowling GJ, Freund MP, Howlett KD, Jordan CJ, Murray TM, Pariyadath V, Prabhakar J, Rankin ML, Sarampote CS, Weiss SRB. The HEALthy Brain and Child Development Study (HBCD): NIH collaboration to understand the impacts of prenatal and early life experiences on brain development  Developmental Cognitive Neuroscience. 2024/07/27. https://doi.org/10.1016/j.dcn.2024.101423. ",
"Harden BJ, McKelvey LM, Poehlmann JA, Edwards RC, Anunziata F, Beasley L, Bomberger M, Chinaka O, De La Cruz S, Gurka K, Parkinson M",2024,"The HEALthy Brain and Child Development Study (HBCD) experience: Recruiting and retaining diverse families in a longitudinal, multi-method early childhood study.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101421,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. Given its aim to examine the impact of adversity and protective factors on children&#8217;s outcomes, the recruitment and retention of families who have a wide diversity in experiences are essential. However, the unfortunate history of inequitable treatment of underrepresented families in research and the risks with which some participants will contend (e.g., substance use) makes their recruitment and retention in social science and neuroscience research particularly challenging. This article explores strategies that the HBCD Study has developed to recruit and retain participants, including marginalized, underserved, and hard-to-reach populations, capitalizing on the extant literature and the researchers&#8217; own experiences. In this paper, we address strategies to recruit and retain families within HBCD, including: 1) creating experiences that engender trust and promote relationships; 2) maintaining connections with participants over time; 3) ensuring appropriate compensation and supports; 4) considerations for study materials and procedures; and 5) community engagement. The implementation of these strategies may increase representation and inclusiveness, as well as improve the quality of the resulting data.
",,"Diversity, Early childhood, HBCD, Infancy, Poverty, Recruitment, Retention, Trauma",39106549,https://pubmed.ncbi.nlm.nih.gov/39106549,"Harden BJ, McKelvey LM, Poehlmann JA, Edwards RC, Anunziata F, Beasley L, Bomberger M, Chinaka O, De La Cruz S, Gurka K, Parkinson M. The HEALthy Brain and Child Development Study (HBCD) experience: Recruiting and retaining diverse families in a longitudinal, multi-method early childhood study. Developmental cognitive neuroscience. 2024/07/25. 10.1016/j.dcn.2024.101421. PMID: 39106549. ",
"Murray TM, Slopen N",2024,"Investment, integration, and innovation: Fostering diversity, equity, and inclusion across the HEALthy Brain and Child Development (HBCD) Study consortium.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101420,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social, and emotional development beginning prenatally and planned through early childhood. From the outset, the HBCD Study integrated diversity, equity, and inclusion (DEI) into its core mission, with key elements like an Associate Director for DEI, a DEI values statement, and establishing a DEI committee to help ensure sustainable progress for the future. The DEI Coordinating Committee supports DEI efforts impacting members of the HBCD consortium, study participants, and the analysis and dissemination of HBCD data. Committee members include representatives from every study site and workgroup which contributes to DEI integration throughout the study. Committee activities include reviewing all measures and protocols, creating accountability metrics, and supporting training opportunities for consortium members. Several successes and lessons have been learned through the Committee&#8217;s activities like implementing consortium-wide unconscious bias training and changing the DEI leadership and committee structure. This article presents an overview of HBCD&#8217;s DEI components within HBCD and provides examples of collaborative efforts between the DEI Coordinating Committee and other workgroups. The article concludes with plans for future activities and recommendations for other large consortia considering formal DEI structures.
",,"Diversity, Equity, HBCD, Inclusion, Leadership, Training",39053394,https://pubmed.ncbi.nlm.nih.gov/39053394,"Murray TM, Slopen N. Investment, integration, and innovation: Fostering diversity, equity, and inclusion across the HEALthy Brain and Child Development (HBCD) Study consortium. Developmental cognitive neuroscience. 2024/07/23. 10.1016/j.dcn.2024.101420. PMID: 39053394. ",
"Seamon E, Mattera JA, Keim SA, Leerkes EM, Rennels JL, Kayl AJ, Kulhanek KM, Narvaez D, Sanborn SM, Grandits JB, Schetter CD, Coussons-Read M, Tarullo AR, Schoppe-Sullivan SJ, Thomason ME, Braungart-Rieker JM, Lumeng JC, Lenze SN, Christian LM, Saxbe DE, Stroud LR, Rodriguez CM, Anzman-Frasca S, Gartstein MA",2024,"Leveraging machine learning to study how temperament scores predict pre-term birth status.","Global pediatrics",10.1016/j.gpeds.2024.100220,"Preterm birth (birth at ",,"Infancy, Preterm birth, Quantitative methodology, Temperament",39301448,https://pubmed.ncbi.nlm.nih.gov/39301448,"Seamon E, Mattera JA, Keim SA, Leerkes EM, Rennels JL, Kayl AJ, Kulhanek KM, Narvaez D, Sanborn SM, Grandits JB, Schetter CD, Coussons-Read M, Tarullo AR, Schoppe-Sullivan SJ, Thomason ME, Braungart-Rieker JM, Lumeng JC, Lenze SN, Christian LM, Saxbe DE, Stroud LR, Rodriguez CM, Anzman-Frasca S, Gartstein MA. Leveraging machine learning to study how temperament scores predict pre-term birth status. Global pediatrics. 2024/07/22. 10.1016/j.gpeds.2024.100220. PMID: 39301448. ",
"Cioffredi LA, Garner B, Maxwell JR, Merhar S, Peralta-Carcelen M, Scott LS, Sisodia M, DeMauro SB",2024,"Infant and early childhood physical health assessments in the HEALthy Brain and Child Development (HBCD) Study.","Developmental cognitive neuroscience",10.1016/j.dcn.2024.101414,"The HEALthy Brain and Child Development (HBCD) Study, a multi-site prospective longitudinal cohort study, will examine human brain, cognitive, behavioral, social and emotional development beginning prenatally and planned through early childhood. Many prenatal and early childhood exposures impact both later physical health and development. Moreover, early deficits in physical health, such as growth and vision, are associated with differences in brain development, language and cognitive functioning. For these reasons, the HBCD Study includes measures of early childhood physical health, many of which have clinical relevance, and are applicable for use as both predictors and outcomes. Study measures assess a broad range of physical health domains and include both objective measurement of child growth and health and subjective caregiver report of behaviors and attitudes about constructs known to influence growth and physical development. Lastly, we obtain caregiver report of the child&#8217;s routine medical care as well as acute and chronic medical issues. We anticipate that these data will contextualize the impact of child physical growth and health on child brain development and function. In this report we present the rationale for each domain and an overview of the physical health measures included in the current HBCD Study protocol.
",,"Child Development, Greenspace, Growth, HBCD, Nutrition, Physical Activity, Physical Health, Quality of Life, Screen Media, Sleep, Vision",39032415,https://pubmed.ncbi.nlm.nih.gov/39032415,"Cioffredi LA, Garner B, Maxwell JR, Merhar S, Peralta-Carcelen M, Scott LS, Sisodia M, DeMauro SB. Infant and early childhood physical health assessments in the HEALthy Brain and Child Development (HBCD) Study. Developmental cognitive neuroscience. 2024/07/14. 10.1016/j.dcn.2024.101414. PMID: 39032415. ",
"Hartwell M, Bloom M, Elenwo C, Gooch T, Dunn K, Breslin F, Croff JM",2024,"Association of prenatal substance exposure and the development of the amygdala, hippocampus, and parahippocampus.","Journal of osteopathic medicine",10.1515/jom-2023-0277,"Prenatal substance exposure (PSE) can lead to various harmful outcomes for the developing fetus and is linked to many emotional, behavioral, and cognitive difficulties later in life. Therefore, examination of the relationship between the development of associated brain structures and PSE is important for the development of more specific or new preventative methods.
",,"prenatal alcohol exposure, prenatal opioid exposure, prenatal substance exposure, prenatal tobacco exposure",38915228,https://pubmed.ncbi.nlm.nih.gov/38915228,"Hartwell M, Bloom M, Elenwo C, Gooch T, Dunn K, Breslin F, Croff JM. Association of prenatal substance exposure and the development of the amygdala, hippocampus, and parahippocampus. Journal of osteopathic medicine. 2024/06/26. 10.1515/jom-2023-0277. PMID: 38915228. ",
"Hui SCN, Murali-Manohar S, Zöllner HJ, Hupfeld KE, Davies-Jenkins CW, Gudmundson AT, Song Y, Yedavalli V, Wisnowski JL, Gagoski B, Oeltzschner G, Edden RAE",2024,"Integrated Short-TE and Hadamard-edited Multi-Sequence (ISTHMUS) for advanced MRS.","Journal of neuroscience methods",10.1016/j.jneumeth.2024.110206,"To examine data quality and reproducibility using ISTHMUS, which has been implemented as the standardized MR spectroscopy sequence for the multi-site Healthy Brain and Child Development (HBCD) study.
",,"HBCD, Hadamard encoding, MR spectroscopy, PRESS, Spectral editing",38942238,https://pubmed.ncbi.nlm.nih.gov/38942238,"Hui SCN, Murali-Manohar S, Zöllner HJ, Hupfeld KE, Davies-Jenkins CW, Gudmundson AT, Song Y, Yedavalli V, Wisnowski JL, Gagoski B, Oeltzschner G, Edden RAE. Integrated Short-TE and Hadamard-edited Multi-Sequence (ISTHMUS) for advanced MRS. Journal of neuroscience methods. 2024/06/26. 10.1016/j.jneumeth.2024.110206. PMID: 38942238. ",
"Miller AP, Bogdan R, Agrawal A, Hatoum AS",2024,"Generalized genetic liability to substance use disorders.","The Journal of clinical investigation",10.1172/JCI172881,"Lifetime and temporal co-occurrence of substance use disorders (SUDs) is common and compared with individual SUDs is characterized by greater severity, additional psychiatric comorbidities, and worse outcomes. Here, we review evidence for the role of generalized genetic liability to various SUDs. Coaggregation of SUDs has familial contributions, with twin studies suggesting a strong contribution of additive genetic influences undergirding use disorders for a variety of substances (including alcohol, nicotine, cannabis, and others). GWAS have documented similarly large genetic correlations between alcohol, cannabis, and opioid use disorders. Extending these findings, recent studies have identified multiple genomic loci that contribute to common risk for these SUDs and problematic tobacco use, implicating dopaminergic regulatory and neuronal development mechanisms in the pathophysiology of generalized SUD genetic liability, with certain signals demonstrating cross-species and translational validity. Overlap with genetic signals for other externalizing behaviors, while substantial, does not explain the entirety of the generalized genetic signal for SUD. Polygenic scores (PGS) derived from the generalized genetic liability to SUDs outperform PGS for individual SUDs in prediction of serious mental health and medical comorbidities. Going forward, it will be important to further elucidate the etiology of generalized SUD genetic liability by incorporating additional SUDs, evaluating clinical presentation across the lifespan, and increasing the granularity of investigation (e.g., specific transdiagnostic criteria) to ultimately improve the nosology, prevention, and treatment of SUDs.
",,,38828723,https://pubmed.ncbi.nlm.nih.gov/38828723,"Miller AP, Bogdan R, Agrawal A, Hatoum AS. Generalized genetic liability to substance use disorders. The Journal of clinical investigation. 2024/06/03. 10.1172/JCI172881. PMID: 38828723. ",
"Frei O, Hindley G, Shadrin AA, van der Meer D, Akdeniz BC, Hagen E, Cheng W, O'Connell KS, Bahrami S, Parker N, Smeland OB, Holland D,  , de Leeuw C, Posthuma D, Andreassen OA, Dale AM",2024,"Improved functional mapping of complex trait heritability with GSA-MiXeR implicates biologically specific gene sets.","Nature genetics",10.1038/s41588-024-01771-1,"While genome-wide association studies are increasingly successful in discovering genomic loci associated with complex human traits and disorders, the biological interpretation of these findings remains challenging. Here we developed the GSA-MiXeR analytical tool for gene set analysis (GSA), which fits a model for the heritability of individual genes, accounting for linkage disequilibrium across variants and allowing the quantification of partitioned heritability and fold enrichment for small gene sets. We validated the method using extensive simulations and sensitivity analyses. When applied to a diverse selection of complex traits and disorders, including schizophrenia, GSA-MiXeR prioritizes gene sets with greater biological specificity compared to standard GSA approaches, implicating voltage-gated calcium channel function and dopaminergic signaling for schizophrenia. Such biologically relevant gene sets, often with fewer than ten genes, are more likely to provide insights into the pathobiology of complex diseases and highlight potential drug targets.
",,,38831010,https://pubmed.ncbi.nlm.nih.gov/38831010,"Frei O, Hindley G, Shadrin AA, van der Meer D, Akdeniz BC, Hagen E, Cheng W, O'Connell KS, Bahrami S, Parker N, Smeland OB, Holland D,  , de Leeuw C, Posthuma D, Andreassen OA, Dale AM. Improved functional mapping of complex trait heritability with GSA-MiXeR implicates biologically specific gene sets. Nature genetics. 2024/06/03. 10.1038/s41588-024-01771-1. PMID: 38831010. ",
"Paul SE, Baranger DAA, Johnson EC, Jackson JJ, Gorelik AJ, Miller AP, Hatoum AS, Thompson WK, Strube M, Dick DM, Kamarajan C, Kramer JR, Plawecki MH, Chan G, Anokhin AP, Chorlian DB, Kinreich S, Meyers JL, Porjesz B, Edenberg HJ, Agrawal A, Bucholz KK, Bogdan R",2024,"Alcohol milestones and internalizing, externalizing, and executive function: longitudinal and polygenic score associations.","Psychological medicine",10.1017/S003329172400076X,"Although the link between alcohol involvement and behavioral phenotypes (e.g. impulsivity, negative affect, executive function [EF]) is well-established, the directionality of these associations, specificity to stages of alcohol involvement, and extent of shared genetic liability remain unclear. We estimate longitudinal associations between transitions among alcohol milestones, behavioral phenotypes, and indices of genetic risk.
",,"ADHD, Alcohol initiation, alcohol intoxication, alcohol use disorder, conduct disorder, executive function, externalizing, internalizing, longitudinal, polygenic scores, social anxiety, suicidal ideation",38721768,https://pubmed.ncbi.nlm.nih.gov/38721768,"Paul SE, Baranger DAA, Johnson EC, Jackson JJ, Gorelik AJ, Miller AP, Hatoum AS, Thompson WK, Strube M, Dick DM, Kamarajan C, Kramer JR, Plawecki MH, Chan G, Anokhin AP, Chorlian DB, Kinreich S, Meyers JL, Porjesz B, Edenberg HJ, Agrawal A, Bucholz KK, Bogdan R. Alcohol milestones and internalizing, externalizing, and executive function: longitudinal and polygenic score associations. Psychological medicine. 2024/05/09. 10.1017/S003329172400076X. PMID: 38721768. ",
"Silemek AH, Chen H, Sati P, Gao W",2024,"The Brain's First ""Traffic Map"" through Unified Structural and Functional Connectivity (USFC) Modeling.","Research square",10.21203/rs.3.rs-4184305/v1,"The brain&#8217;s white matter connections are thought to provide the structural basis for its functional connections between distant brain regions but how our brain selects the best structural routes for effective functional communications remains poorly understood. In this study, we propose a Unified Structural and Functional Connectivity (USFC) model and use an &#8220;economical assumption&#8221; to create the brain&#8217;s first &#8220;traffic map&#8221; reflecting how frequently each structural connection segment of the brain is used to achieve the global functional communication system. The resulting USFC map highlights regions in the subcortical, default-mode, and salience networks as the most heavily traversed nodes and a midline frontal-caudate-thalamus-posterior cingulate-visual cortex corridor as the backbone of the whole brain connectivity system. Our results further revealed a striking negative association between structural and functional connectivity strengths in routes supporting negative functional connections as well as much higher efficiency metrics in the USFC connectome when compared to structural and functional ones alone. Overall, the proposed USFC model opens up a new window for effective brain connectome modeling and provides a considerable leap forward in brain mapping efforts for a better understanding of the brain&#8217;s fundamental communication mechanisms.
",,,38699356,https://pubmed.ncbi.nlm.nih.gov/38699356,"Silemek AH, Chen H, Sati P, Gao W. The Brain's First ""Traffic Map"" through Unified Structural and Functional Connectivity (USFC) Modeling. Research square. 2024/04/19. 10.21203/rs.3.rs-4184305/v1. PMID: 38699356. ",
"Stead WW, Aliferis C",2024,"Health AI Assurance Laboratories.",JAMA,10.1001/jama.2024.1084,,,,38345804,https://pubmed.ncbi.nlm.nih.gov/38345804,"Stead WW, Aliferis C. Health AI Assurance Laboratories. JAMA. 2024/03/26. 10.1001/jama.2024.1084. PMID: 38345804. ",
"Hermosillo RJM, Moore LA, Feczko E, Miranda-Domínguez Ó, Pines A, Dworetsky A, Conan G, Mooney MA, Randolph A, Graham A, Adeyemo B, Earl E, Perrone A, Carrasco CM, Uriarte-Lopez J, Snider K, Doyle O, Cordova M, Koirala S, Grimsrud GJ, Byington N, Nelson SM, Gratton C, Petersen S, Feldstein Ewing SW, Nagel BJ, Dosenbach NUF, Satterthwaite TD, Fair DA",2024,"A precision functional atlas of personalized network topography and probabilities.","Nature neuroscience",10.1038/s41593-024-01596-5,"Although the general location of functional neural networks is similar across individuals, there is vast person-to-person topographic variability. To capture this, we implemented precision brain mapping functional magnetic resonance imaging methods to establish an open-source, method-flexible set of precision functional network atlases-the Masonic Institute for the Developing Brain (MIDB) Precision Brain Atlas. This atlas is an evolving resource comprising 53,273 individual-specific network maps, from more than 9,900 individuals, across ages and cohorts, including the Adolescent Brain Cognitive Development study, the Developmental Human Connectome Project and others. We also generated probabilistic network maps across multiple ages and integration zones (using a new overlapping mapping technique, Overlapping MultiNetwork Imaging). Using regions of high network invariance improved the reproducibility of executive function statistical maps in brain-wide associations compared to group average-based parcellations. Finally, we provide a potential use case for probabilistic maps for targeted neuromodulation. The atlas is expandable to alternative datasets with an online interface encouraging the scientific community to explore and contribute to understanding the human brain function more precisely.
",,,38532024,https://pubmed.ncbi.nlm.nih.gov/38532024,"Hermosillo RJM, Moore LA, Feczko E, Miranda-Domínguez Ó, Pines A, Dworetsky A, Conan G, Mooney MA, Randolph A, Graham A, Adeyemo B, Earl E, Perrone A, Carrasco CM, Uriarte-Lopez J, Snider K, Doyle O, Cordova M, Koirala S, Grimsrud GJ, Byington N, Nelson SM, Gratton C, Petersen S, Feldstein Ewing SW, Nagel BJ, Dosenbach NUF, Satterthwaite TD, Fair DA. A precision functional atlas of personalized network topography and probabilities. Nature neuroscience. 2024/03/26. 10.1038/s41593-024-01596-5. PMID: 38532024. ",
"Beeghly M",2024,"Toward a multi-level approach to the study of the intergenerational transmission of trauma: Current findings and future directions.","Development and psychopathology",10.1017/S0954579424000555,"A central goal in the field of developmental psychopathology is to evaluate the complex, dynamic transactions occurring among biological, psychological, and broader social-cultural contexts that predict adaptive and maladaptive outcomes across ontogeny. Here, I briefly review research on the effects of a history of childhood maltreatment on parental, child, and dyadic functioning, along with more recent studies on the intergenerational transmission of trauma. Because the experience and sequelae of child maltreatment and the intergenerational transmission of trauma are embedded in complex biopsychosocial contexts, this research is best conceptualized in a developmental psychopathology framework. Moreover, there is a pressing need for investigators in this area of study to adopt dynamic, multi-level perspectives as well as using developmentally guided, sophisticated research methods. Other directions for research in this field are suggested, including the implementation of collaborative interdisciplinary team science approaches, as well as community-based participatory research, to increase representation, inclusion, and equity of community stakeholders. A greater focus on cultural and global perspectives is also recommended.
",,"Developmental psychopathology, intergenerational transmission of trauma, maternal childhood maltreatment, multi-level perspectives, new directions",38516836,https://pubmed.ncbi.nlm.nih.gov/38516836,"Beeghly M. Toward a multi-level approach to the study of the intergenerational transmission of trauma: Current findings and future directions. Development and psychopathology. 2024/03/22. 10.1017/S0954579424000555. PMID: 38516836. ",
