Project/Initiative Name,Country/Countries,Year,Organisation,Description,Novelty,Impact & Results,"Other relevant URL(s) - eg reports, press",Source,Language
2030 Agenda at the PGE (Attorney General's Office of the State of Bahia),Brazil,2021,Procuradoria Geral do Estado da Bahia,"The Project ""Agenda 2030 in the PGE"" seeks to collaborate with the intelligent management of information within the State Attorney General of Bahia (PGE/BA) and consequently in the implementation of the agenda at the regional level, through monitoring and dissemination of the manifestations of the Legal Consulting that have adherence to the sustainable development goals (SDGs) of Agenda 2030. This monitoring occurs through the analysis and indexing of the manifestations of the PGE's Legal Consulting, performed in the electronic administrative process environment. 

In addition, public observatories were created to provide data and diagnostics on the situation of municipalities and/or the state, related to the achievement of SDG targets and good practices implemented, as well as the state mechanisms to disseminate and reward good practices that contribute to the achievement of SDG targets by public and private managers were not established"" 

The monitoring of the manifestations of PGE/BA regarding the SDGs helps both in the follow-up of the actions of the State of Bahia that seek to meet the goals established for each of the SDGs, and in the governance of PGE/BA itself, since the results contribute to the direction of the activities of the Legal Consultancy.

Furthermore, the aforementioned project resonates both with PGE/BA's mission (to practice public law, acting actively in the construction and implementation of state policies with a view to promoting justice and social harmony) and its vision (to be a reference of excellence in the search for innovative and efficient legal solutions), since it will contribute to the achievement of the goals associated with the SDGs of Agenda 2030, and consequently will also have repercussions on the implementation of state public policies and the promotion of social peace. ","The ""Project Agenda 2030 at the PGE"" is innovative because it seeks to contribute to improving the governance of the PGE/BA in interlocution with other state agencies, as well as to increase the transparency of state actions, allowing greater interaction with the public. The project creates an intelligent and innovative system of data governance that can be replicated in other organs of the Public Attorney's Office, generating a large network of information usable by different state agencies.","The first practical effect was the publication of ordinance 109/2022, which institutionalizes the 2030 Agenda at PGE/BA. This ordinance creates a multi-sectorial Committee with the competency to coordinate actions with the purpose of implementing the SDGs at PGE. Other state agencies were sensitized by sending reports linking the activities of PGE/BA to the SDGs. PGE/BA's employees (about 1000) are stimulated through the dissemination of informative material on social networks and institutional e-mail. ",https://www.pge.ba.gov.br/agenda-2030/ ,Call for Innovations,Portuguese
National Interoperability Platform,Morocco,2022,Agence de Développement du Digital,"The Moroccan interoperability platform reinforces the modernization of the Moroccan public administration by setting up a secure technical base for data exchange between administrations. The platform aims, therefore, the interconnection of all the information systems of Moroccan institutions in order to simplify the administrative procedures of citizens / companies.

The establishment of a platform for data exchange between administrations is a basic foundation for the interconnection of information systems of different administrations and public institutions for the benefit of simplifying the administrative procedures of citizens and businesses.

Thus, this solution will come to answer two major brakes of the fluidity of public services:
1.	The minimization of supporting documents to produce a citizen/company service;
2.	The digitization of data exchanges between administrations in a standard, secure and efficient way (no intermediary intervention, from the service requester, between administrations).","The innovative character of the proposed solution is present by the fact that the platform is based on an API Management solution interconnecting the Moroccan administrations without any storage of business data at the platform level to respect the principle of confidentiality and security of the exchanged data.

The API is a tool for operational efficiency and is used as a tool for modernizing information systems to meet a technical need to optimize the architecture. It is an approach that allows to be more agile, to improve the efficiency of internal processes and to reduce development costs.

Also, the micro-service architecture, which is becoming more and more widespread, makes massive use of APIs to ensure communications between the user interface and the micro-services.","The platform has reduced the processing time of citizen/business requests and reduced their interactions with related administrations.
Also, it has allowed more than 30 administrations and public institutions to interconnect and exchange data on citizens to verify their eligibility for social programs or to make the data declared by citizens (in the framework of administrative procedures) more reliable, thus digitizing inter-administration exchanges.",www.gisre.gov.ma,Call for Innovations,French
REUSE Communities | Multimaterial Circularity in the Greater Porto Region,Portugal,2019,LIPOR - Intermunicipal Waste Management Service of Greater Porto,"LIPOR has created the present strategy to promote the reuse of used (non-food) products, reducing waste and benefiting the local Community. Within this scope, it has been promoting the creation of Reuse Centres based on the synergic work between local partners. In parallel, it promotes education, awareness and empowerment of the community and the collection and monitoring of data.

LIPOR's Integrated Municipal Waste Management System has created a strategy to promote multi-material circularity at local level, aiming at the reuse of end-of-life products and sustainable consumption. It aims to boost operations dedicated to reuse in a broad sense - creative recovery, repair, among others - maximizing the extension of the useful life of products and avoiding their disposal as waste. 

This Strategy for the promotion of the circularity of end-of-life products in the local community opens the opportunity to create Reuse Centres and other collaborative models (e.g. exchange & share) that are disseminated in other European countries, but do not exist in LIPOR's area of influence, representing radical innovation and breaking away from traditional paradigms related to the use of used products. Furthermore, the ongoing study to identify local entities that operate in the social reuse sector allows for the creation of networks, community and synergic work, thus increasing results. ",It promotes access to products and goods for people/families in need and contributes to meeting environmental challenges regarding waste management and promotion of the circular economy.,"From 2020 to 2022 (1st semester) with the implemented actions, 13 tons of waste were diverted from treatment, which is equivalent to 30 tons of CO2eq emissions and 582 euros avoided with the treatment. 36 workshops, 3 trainings, 5 visits to the reuse center and 2 exchange markets were carried out, reaching 750 people. 

Partnerships were created with 14 entities. The impact of the work carried out by LIPOR and partners is reflected in figures in the reduction and reuse area of LIPOR's Waste Observatory. Foram publicadas 47 notícias nos orgãos de comunicação social, correspondendo a um media value de 35.631 €.","https://www.lipor.pt/pt/sensibilizar/100-desperdicio/centro-de-recuperacao-e-reutilizacao/
https://www.lipor.pt/pt/sensibilizar/100-desperdicio/reducao-e-reutilizacao-de-texteis/ 
https://www.lipor.pt/pt/sensibilizar/100-desperdicio/bookcrossing-lipor/h ",Call for Innovations,Portuguese
Simple Flight Program,Brazil,2020,National Civil Aviation Agency - ANAC,"The Simple Flight is aimed at air transport users (individuals and companies), scheduled and general aviation companies, airport operators, aircraft manufacturers, aircraft maintenance companies, air transport workers.

The innovative character of Voo Simples (Simple Flights) is demonstrated by its pioneering character in the regulatory context of the national civil aviation, its comprehensiveness if compared to other Regulatory Agencies, and the structural changes it has promoted.

The objectives of Simple Flights are 
- Continually seek the simplification and debureaucratization of ANAC's actions aiming to reduce administrative costs for airlines and travelers;
- Promote actions related to improving the effectiveness and efficiency of public services provided by the Agency;
- Promote the improvement of ANAC's interaction with the regulated ones;
- Increase the transparency and dissemination of actions and results obtained;
- Guarantee the appropriate treatment to contributions for improvement and simplification of processes forwarded to ANAC.

The Simple Flight program currently (August 2022) has 70 actions in its portfolio, of which 46 have been completed and 18 are in progress. In just 3 months after the program's launch, 27 of the 52 originally planned had already been delivered.","ANAC's scope of activity is one of the largest among the Federal Regulatory Agencies. ANAC regulates all aspects of the airline industry, except airspace control (DECEA's competence). Thus, Simple Flights affects practically all aspects of civil aviation.

Simple Flights is the largest program ever launched for Brazilian civil aviation and one of the largest reviews of regulatory practices and public services provided by Regulatory Agencies in Brazil. Another innovation is in the way the program was created. For the first time in the history of Brazilian civil aviation, a program was structured where the starting point was to listen to the problems from the perspective of those regulated by ANAC and the focus was to look at the practical application of regulation in civil aviation.","The Simple Flight actions resulted in the revocation of 279 outdated norms and in the simplification of the Civil Aviation Supervisory Fee (TFAC) that is charged for services rendered by the Agency. From 342 generating factors, there are now only 25. In addition, the values charged were revised and rationalized, significantly reducing costs for companies and civil aviation workers.",https://www.gov.br/anac/pt-br/assuntos/voo-simples ,Call for Innovations,Portuguese
Reducing the Impact of Covid-19 on Civil Aviation,Brazil,2020,National Civil Aviation Agency - ANAC,"The National Civil Aviation Agency (ANAC) adopted in a short period of time almost 100 regulatory measures to reduce the impacts of Covid-19 on civil aviation, obtaining results that impacted the lives of millions of people among air transport passengers, air transport workers. passenger and cargo transport companies, airport operators, such as:

Maintenance of the logistical interconnection of the entire country, ensuring that no Unit of the Federation was left without at least one air connection. The emergency network maintained 1,241 weekly flights even during the most critical period of the pandemic, one of the highest domestic frequencies in the world during the Covid-19 crisis.

Short-term economic-financial rebalancing of the 10 airport concessionaires in the amount of R$2 billion, which is equivalent to approximately 39% of their total revenues in 2019. The approval of the requests for financial rebalancing and the postponement of concession payments avoided the worsening of the crisis caused by the pandemic, preserving tens of thousands of direct and indirect jobs and ensuring high standards of service quality for millions of passengers.

ANAC's regulatory changes regarding the transport of hospital supplies on aircraft resulted in more than a billion items such as respirators, medicines, Covid tests, vaccine production supplies, and vaccination material (such as needles and syringes) arriving throughout Brazil via air transport. Just in the period from 05/03 to 07/19/2020 a single Brazilian airline transported 240 million masks.","ANAC's actions to safeguard civil aviation were unprecedented. Changes in regulations at various levels: operational, training, passenger rights, economic regulation have changed the landscape of civil aviation to avoid the complete interruption of scheduled air transport and without renouncing to the safety and excellence of civil aviation. 

Dozens of new regulations have allowed for novelties in civil aviation such as new possibilities for aero medical transport, training based on technological resources, and meeting specific economic needs of passengers and airlines arising from Covid-19. ANAC's timely actions have brought about a positive change never before seen in civil aviation, making it more agile while maintaining strict safety standards.","113 measures, which were discussed with the industry and resulted in the implementation of 95 measures in various areas within ANAC.
- More than 1 billion items and medical supplies and almost 500 million vaccines transported.
- Maintenance of the logistic interconnection of the whole country, guaranteeing that no Federation Unit was left without at least one air connection. The emergency network maintained 1,241 weekly flights.
- Short-term economic-financial rebalancing of the 10 airport concessionaires in the amount of R$ 2 billion reais, equivalent to approximately 39% of their total revenues in 2019.
- Brazilian airports transported, in July 2022, more than 7.6 million passengers in the domestic market. This was the highest value for the month in the last three years. In comparison with the same period last year, the value was 30% higher.",https://www.gov.br/anac/pt-br/assuntos/coronavirus ,Call for Innovations,Portuguese
Hello Health Floripa (Alô Saúde),Brazil,2020,TopMed Health Care LTDA,"The city of Florianópolis and TopMed have innovated health care with the creation of Hello Health Floripa. The service fulfills the principle of universality, guaranteeing access to health care for 100% of the population. Using digital channels (telephone or application), it connects any citizen to a health professional, 24 hours a day, without any displacement. The innovation also organizes access to health care, generates savings and balance for public health. The proposal is disruptive in the relationship of citizens with health.

The innovation of Hello Health Floripa is the first pre-clinical care service for users of the Brazilian Unified Health System, developed by TopMed in partnership with the City of Florianópolis, and which has proven to be of immense scope and social relevance, serving as an example, especially in the period of the Covid-19 pandemic, in the biennium 2020/2021, and in the post-pandemic period. 

Remote assistance is divided into two levels: the first contact, called 'level 1', occurs through a smartphone application, tablets, computers, or by calling a toll-free number. The user is assisted by a nursing professional who, with clinical algorithms, i.e., a neural tree of questions and answers about the reported problem, provides the most appropriate referral; the service at 'level 2', the responsibility of a nurse, occurs with the presentation of symptoms and can generate from self-care guidelines, even referral to Health Units. To have access to a health professional, the user waits no longer than 60 seconds. Each service lasts, on average, 10 minutes for triage and another 5 minutes for health information.

Alô Saúde Floripa turned out to be a national reference on how to welcome all its users, without subjecting them to risks and allocating each case to its respective and adequate resource for that moment. The service was responsible for more than 32% of the COVID cases registered in the city of Florianópolis. ","The project emerged as a unique and exclusive proposal in public health in Brazil. Offering the users of the Unified Health System (SUS) a digital gateway, i.e., anywhere with access to telephone or internet and that operates 24 hours a day, after the Pandemic may seem obvious, but this project predates COVID-19. It was an innovation tested in practice, in an extreme moment, which proved its effectiveness and resilience.

Furthermore, we believe that the proposal is innovative when it offers conditions to organize the demand for care and, consequently, effectiveness and resoluteness in assistance, guiding the patient to the right place at the right time, without risks due to lack of timely care and without crowding.","In total there are 596,914 registered users and 354,115 users seen so far, the majority being female - 60.61%, with an NPS (net promoter score) of 93 points, and a resolutivity of 95%. The services are recorded and made available to the Municipality's management by means of dashboards for real-time follow-up and measurement of results. ",https://alosaude.floripa.br/ ,Call for Innovations,Portuguese
Leaders Who Transform Program,Brazil,2022,National School of Public Administration (Enap),"Leaders Who Change is a professionalization program for senior public management in Brazil. Inspired by the best international practices and using an innovative methodology of assessment and certification of behavioral competencies, supported by artificial intelligence, the Leaders Program helps the government select the best talents for positions of free employment. A qualified, agile and transparent process of leadership recruitment and selection to transform the future of public service.

Its main objective is to contribute to the improvement of the procedures for choosing professionals who will occupy senior public management positions, through the adoption of prior, clear, and isonomic recruitment and pre-selection processes, providing more transparency in the choice and legitimizing the leadership's performance. 1) Two possibilities are offered - recruitment and pre-selection, 2) Customized selection process: used in complementary membership, 3) Profile Bank: used for standard membership.

The management of the Program employs technologies that are widely validated in the market, such as the Platform that manages the stages of the selection process, the Artificial Intelligence tool, customized to meet the specificities of the Program's selections, and the instrument for the certification of behavioral competencies, developed in a customized way for Enap.

The initiative has proven to be very successful and has contributed to the generation of public value. It is possible to perceive a direct gain for the institutions, which can now count on the right talents for the positions; for the selected leaders, who see their careers valorized, achieving yet another career achievement, and for the teams, which now have a technical, qualified, and legitimately chosen leader. ","It makes it possible to carry out selection processes in a personalized way or via a Profile Bank. Adhesion and permanence is voluntary, but it counts on a system of incentives that encourages the adhesion of agencies from the three levels of government, and includes the possibility of full financing of the selection costs, as well as follow-up and development actions for the selected leaders and People Management areas.

It professionalizes and transforms the culture of occupation of positions that can be freely filled, changing the political appointment process for a qualified choice aligned with the competencies and challenges of the Public Administration, without removing the decision-making autonomy of the managers.","The Program has already pre-selected more than 240 people, counts on a bank of 4,000 registered resumes, and has already 40 leaders nominated via the selection process. 

The evaluation of people, candidates, and the requesting agencies, measured by surveys applied throughout the selection stages, show a 90% rate of satisfaction with the quality of the process.

The Special Secretary of Treasury and Budget and the Special Secretary of Productivity and Competitiveness (both linked to the Ministry of the Economy), the Ministry of the Environment, IBAMA and ICMBio have already officially joined the Program. ",https://lideresquetransformam.enap.gov.br/ ,Call for Innovations,Portuguese
Challenges Platform,Brazil,2019,National School of Public Administration (Enap),"Challenges is an initiative of GNova Open Innovation - a unit of the Innovation Directorate of the National School of Public Administration (Enap), which offers help to public managers to innovate together with society, taking advantage of collective intelligence to reduce the insecurities of the innovation process and increase the chances of success.

The strategy of inviting society to propose ideas and solutions is not exactly a novelty and, throughout history, has provided great technological leaps. However, competitions and awards are experiencing a renaissance. In the last 10 years, governments around the world have instituted open innovation programs and platforms. The experiences prove that this is an effective way to increase the level of knowledge and engagement on a topic, accelerate change, and create new alternatives to complex problems.

With the documents produced and the resources mobilized, it is time to launch the challenge. We mobilize the innovation ecosystems that we identified in the definition of the target audience and wait for the receipt of proposals from the participants. From there, we select and evaluate the proposals for innovative solutions according to the criteria defined in the calls for proposals, choose the winners, and award the prizes.

In 2022 we launched version 2.0 of the platform, which now has an environment for the public agent to navigate through the toolkit and templates and better understand the steps. In addition, it is possible to publish and launch a competition through the platform, without the direct involvement of Gnova/Enap. Expanding the vision of government as a platform, in which the government agencies themselves can engage in the open innovation agenda that stimulates intersectoral innovation at different levels of government.","For Enap, the launching of the Platform represented an advance in a new frontier in the innovation agenda, which had not yet been explored in the federal government. And this frontier not only brings us closer to citizens, the private sector, and academia, but also promotes the breaking of the informational asymmetry, fosters the exchange of ideas and technology among sectors, and searches for the best solutions to public problems.

After three years of the project we were able to generate impact and place Enap as a promoter of open innovation challenges. Nevertheless, in the current phase of the platform, the aim is to gain scale in the platform itself, building more standardized journeys and providing content that allows autonomy to those who wish to hold their competitions autonomously or with minimal Enap participation.","Since its launch, 55 challenges have been launched, with more than 2,000 participants from all over the country, who sent more than 750 proposals, of which more than 50 were awarded. Around 3 million reais in prizes were mobilized. 

The platform recognizes the best proposals for solutions to a problem; builds technological capabilities; incorporates solutions; and promotes new businesses. But the main impact generated by the platform was the search for a change in the environment and culture of innovation and public procurement in Brazil.",https://gov.br/desafios ,Call for Innovations,Portuguese
TV and podcast Innovation Barueri,Brazil,2020,Barueri Center for Innovation and Technology,"Disseminate courses/training and training for employees and the general population, in addition to broadcasting live material inherent to technology, entrepreneurship and innovation. 
 
+9 programs and podcasts available in + 06 platforms and application in google play. 
 Making content so widely available in conjunction with the inclusion of a new digital format to broaden access to Innovation initiatives in the city.

On July 02, 2020 the TV and podcast Innovation Barueri was launched by with the presence of the current Minister of MCTI, Paulo Guedes, and the illustrious astronaut and Minister Marcos Pontes of the Ministry of Science, Technology and Innovations, in its first program had the reach of more than 17 thousand people. Since then, it has been playing its role with the goal of disseminating courses/training and training for employees and the general population, in addition to transmitting live material inherent to technology, entrepreneurship and innovation, we broadcast the program ""Innovation Barueri"" live on youtube: https://youtu.be/EMHQiPu2wdM. ","The availability of content in such a broad way together with the inclusion of a new digital format to expand access to Innovation initiatives in the city. Among them we can mention: programs in Podcasts present in more than 6 different platforms, being them: Deezer, Spotify, Apple podcasts, Breaker, Google Podcasts, Pocket Casts, RadioPublic and Anchor. We can also mention the Tv Inovação Barueri application that facilitates the access to the programs and works like a TV set, because when you open the application the program that is live at that moment is exhibited, without the need to send or share links. ","Through the launch of TV and Podcast Inovação Barueri, we increased the number of people reached by more than 1,618% and the interaction by more than 394%, this reflected directly on citizen information. 
The reach on social networks averaged 17K, and after the start of TV on 2/7/2020 the reach increased to over 67K. Regarding Facebook we had an average of 2,200 people/month, but after the launch of TV the reach was exponential, and went up to over 33,700 people. Other important metrics are: 
- + 528,000 interactions/impressions on social media; 
- + 200,000 social media reaches;
- + 147 thousand views on the YouTube channel of TV Inovação Barueri;
- + 109 guests have been through our programs;
- 440 programs carried out; 
- + 406 hours of public viewing only on Youtube 
- + 10 trainings in the process of being recorded by the team of trainees in the Talent Development program.",https://servicos.barueri.sp.gov.br/tvinovacaobarueri/ ,Call for Innovations,Portuguese
"School-Effect Indicator - AN ANALYSIS OF SCHOOLS, USING AI",Brazil,2021,Audit Court of the State of São Paulo (TCESP),"TCESP has built a new analysis methodology, the ""School Effect Indicator"" (IEE), which evaluates school effectiveness based on the analysis of factors related both to school and extra-school factors, such as the socioeconomic status of students. The work done was inspired by an article published in 2007 called School Effect Indicator: a methodology for the identification of school successes based on data from the Prova Brasil, authored by the researchers Amaury Patrick Gremaud, Fabiana de Felicio and Roberta Loboda Biondi.

The hypothesis of the methodology predicts that schools located in neighborhoods/districts whose population has higher purchasing power achieve a higher average result for their students on the national exam called Sistema de Avaliação da Educação Básica (SAEB), formerly Prova Brasil. Meanwhile, schools whose students belong to the poorer socioeconomic strata of the population tend to present lower results in the final score of the exam. 

The project uses Artificial Intelligence to calculate the expected score of the students in each school and compares it with the observed score on the SAEB exam. The difference between the observed and expected value becomes the school's added value, that is, how much it has added to the proficiency of its students. Using the average score of the schools and the socioeconomic data, we are able to estimate the portion of the score that is due to socioeconomic factors and, consequently, the residual value added by schools to their students' performance (IEE - School Effect Indicator).

The IEE evaluation methodology allows the auditor to select the schools that stood out the most (highest IEE) in order to identify the good practices that possibly influenced the performance above expectations and thus, such actions can be disseminated to other schools. On the other hand, the schools with the worst EEI scores are also selected for evaluation and possible identification of the factors that determined a lower than expected performance. As the suggestions are included in the audit report, the public manager is aware of the findings and can work to suppress the factors that caused the low scores and disseminate the good practices recognized by the TCESP evaluation. ","The methodology of the School Effect Indicator is innovative because:
1) It brings to light the analysis, by external control, of public policies in the area of education, so that it is inclusive, of quality and equitable. 
2) It allows TCESP to achieve a greater impact on public management, reinforcing the value of public auditing by expanding the forecast of recommendations based on the analysis of strategic public policies in education, promoting good governance through the dissemination of knowledge and good practices;
3) Using Artificial Intelligence techniques allows TCESP to synthesize a significant mass of data and find solutions to critical problems, such as school performance evaluation. The partnership with the University of São Paulo, through its Institute of Mathematical and Computer Sciences, provides a new perspective for improving the methodology and dissemination of the IEE, for managers from all over the country and for the academic world.","The state education system in the state of São Paulo has 5,351 teaching units, of which 5,044 are regular schools, 38 Indian education units, 4 quilombola schools, 16 in rural settlements, 153 prison classes, and 96 centers for socio-educational assistance. This universe corresponds to a total of 3,466,547 students attended in 2021, according to data from the Secretariat of Education.

The School-Effect Indicator (IEE) was used for the first time in 2021 by TCESP as a benchmark for the evaluation of public policies in the area of education. The IEE was able to help the TCESP audit to select schools considered more or less effective by the proposed methodology, identifying educational policies with greater evidence of impact on school performance. These audit findings were compiled in a report that came to the attention of state public managers in the form of 13 recommendations that can contribute to better school performance of students.",,Call for Innovations,Portuguese
Barueri Smart and Sustainable City,Brazil,2022,Innovation and Technology Center,"The fully digitized service throughout the municipal administration, including internal document management system, digital signature, and taxpayer service. 
The technological infrastructure that we have, allowed the implementation of an IT park, formed by servers and software, which allows the accommodation of these scanned images. The project presented a value proposition that, besides low cost, also impacted the environment in an assertive way.

Smart and Sustainable City - one of the first sectors to be worked on, in Barueri, was Health: where medical records started to be shared among the health units of the network. The process of document collection and organization of this operation began in November 2020, and the digitization of documents started on January 4, 2021, focusing on the inclusion of sustainable ways to save inputs, public spending and a new mentality for the preservation of the environment. 

Today, the service is fully digitalized throughout the municipal administration, including an internal document management system, digital signature, taxpayer service, and interconnected services in the areas of Health, Education, Security, and procurement. To make these changes effective, the civil service workforce is being prepared through meetings, lectures, and workshops. 
 
The technological infrastructure we have allowed the implementation of a computer park, composed of servers and software, which allows the hosting of these digitalized images. Barueri has a cloud structure to store and facilitate access to this digital collection. ","The City of Barueri in partnership with CIT - Center for Innovation and Technology, on January 21, 2020, implemented the CIT Portal in order to promote greater transparency in public services by publishing the catalog of more than 200 smart city projects in Barueri, serving more than 20 departments, keeps citizens informed of all systems, APPS, infrastructure, events and awards of the city, through the CIT Portal available to all. 

A ""Hotpage"" is available, a page designed to highlight the main information about Barueri's progress in becoming a smart city, along with all the news published in national and international media about the city's technology projects. 

There is a Free Agents space in Barueri for the server and team to develop pilot projects in a proper environment, the Inovação Barueri, the possibility to learn, design and produce several types of objects, has 3D printers, plotter, etc.","'-Live Cameras: 53 monitoring cameras spread around the city that can be accessed by citizens through a website to observe the city in real time. 
-Monitoring Center: 455 cameras in operation, resulting in agility in the monitoring of occurrences, a reduction in thefts and robberies, an increase in the population's sense of security (a 12% decrease in crime), the expansion of the monitoring performance area and a decrease in the response time to occurrences. 
-Social Internet: Free wi-fi internet in squares and in housing complex buildings - The aim is to install it in 2,700 points in the city. ",,Call for Innovations,Portuguese
ANTT's Highway Concessions Regulation,Brazil,2022,National Land Transport Agency,"The new regulatory architecture overcomes flaws observed from the diagnosis of the concessions program, with the objective of improving service provision to users. The RCR intends, in an innovative way, to promote the migration from contractual regulation to a predominantly normative regulation model, based on the precepts of responsive regulation. The proposal contemplates 5 normative acts: a) CRR 1: general guidelines; b) CRR 2: goods, works and services; c) CRR 3: economic and financial management; d) CRR 4: inspection and penalties; e) CRR 5: contract termination and controversy resolution. 

The main objectives of the RCR are the simplification of the regulatory process, the increase in competition among concessionaires for the best service through the discrimination obtained by the classification of the concessionaires, the decrease in regulatory and transaction costs in future updates, the generation of an incentive environment and the reduction of barriers to entry of new businesses and technologies.

The classification of the concessionaires is among its main innovations. The classification is based on the main aspects of the provision of quality service to users, covering the quality of maintenance of road infrastructure (sidewalk, signs, bridges, viaducts and drainage), the execution of works (annual and accumulated) and the operation of services (medical assistance, mechanical assistance and customer service on the consumidor.gov.br platform). 

The RCR also introduces other innovations in service regulatory aspects, by instituting, for example, the system of toll collection in free flow, the integration between management systems of the concession, among other disciplines. 

From an institutional point of view, the RCR represents the reconstruction of the architecture of the regulatory environment, currently characterized by several dysfunctionalities that imply high management costs of the concessions program by the Agency.","The new regulatory framework absorbs and improves the innovations tried out in the most recent contracts, such as: free flow fare collection, with sophisticated interoperability between traffic sensing equipment and means of payment; application of fare discounts for frequent users; escrow account mechanism, with a reserve of resources to guarantee future payments and project sustainability; accredited inspection of projects and independent verifiers to support inspection; among others.","In substitution of the analytical cost appraisal model, RCR 2 instituted a table with pre-established rates to remunerate the indirect costs of the work. This table is already being adopted as a guideline in the appreciation of projects, reducing regulatory cost and analysis time.",https://anttlegis.antt.gov.br/action/ActionDatalegis.php,Call for Innovations,Portuguese
Closer Public Prosecutor's Office,Brazil,2021,Public Ministry of the State of Santa Catarina (MPSC),"The goal is to promote a complete approach of the population, especially the neediest, to the services of the Public Ministry, benefiting all 7 million citizens of Santa Catarina, especially those who need to be attended to by the Public Ministry (as a rule, the needy) and do not have digital inclusion (in order to get the service by digital means) or the means to travel to the headquarters of the MPSC.

The project was conceived from Design Thinking workshops of the Innovation Lab (ImpulsoLAB), when an innovation event was held at the headquarters of the MPSC and it was decided to focus on the problem of expanding access to the citizens of Santa Catarina who do not have digital inclusion in their lives (a reality still very present in Brazil). Problems were cited in the needy areas of the state capital (Florianopolis), as well as the problem of municipalities where the MPSC is not physically present, forcing the citizen to travel to the County's headquarters in order to receive the effective service (removing from the MPSC's action, therefore, that citizen who is more needy - without digital inclusion and with difficulties of displacement, which can reach up to 100km away).

This innovation was inspired by the digitalization of the assistance instituted in the MPSC, which started to provide assistance through messaging applications, videoconferences, etc., which allowed an exponential approximation of the Prosecutors with the citizens, remaining, however, solutions that could approach that citizen who does not have a digital inclusion (a large portion of the Brazilian population still) and who have difficulty to appear in person at the headquarters of the MPSC.","The Brazilian Public Ministry is composed of 30 Units, the Judiciary even more.
Thus, the great innovation is to make an institution that is part of this traditional reality, change its conception to, through technology and partnerships, be present in all municipalities and also in distant places of larger municipalities, thus promoting a democratization of access to those who need it most.","Results and impacts: Increase in the demand for MPSC services by citizens who had difficulty in accessing them, which is measured through the statistics of services recorded in the Citizen Service Sector - all services are recorded and integrated into the monitoring systems.",https://www.canva.com/design/DAEUKk8xqb4/D4JJH2x4qmm33q9CNan9iQ/watch,Call for Innovations,Portuguese
Crea-SP Transformation Process,Brazil,2020,"Regional Council of Engineering, Agronomy and Geosciences (CREA-SP)","The transformation of CREA-SP is born from the opportunity to bring the professional to the center of our actions and make the Council a reference in quality of services in the public sector and more active in the safety of society. Through building an agile and collaborative culture, strengthening connections with startups, educational institutions, businesses and governments, transparency in management, expansion of digital enforcement and professional training.

Crea-SP has started its transformation process and the proposals for this project were developed with the participation of employees, professionals, and leaders who represent the council. They are supported by the pillars of Modernization, Efficiency, Valuing of Professions and Transparency in Management. The goal is to make Crea-SP a reference in innovation and efficiency in services, offering a complete platform of solutions that serve professionals in Engineering, Agronomy, Geosciences, and Technologists. 

Another goal is to access innovation hubs to connect with startups and cutting-edge technological solutions. Besides capturing external knowledge for the implementation of strategic projects. To update management technologies, replacing them with the most advanced ones used in today's most innovative companies. The project also wants to promote the creation of model companies, with a program that must be focused on the incentive, teaching, and development of Engineering, Agronomy, and Geosciences. 

To implement a new organizational culture based on innovation and collaboration developing the necessary skills to make employees able to work in a new collaborative management approach. Upgrading management technologies, replacing them with the most advanced ones used in today's most innovative companies. Develop an Innovation advisory committee. Implement Crea-Lab, the innovation lab for the execution of digital transformation projects. ","With technological advances, society expects to access public services with the same ease, agility and quality as private services. This social pressure, coupled with the reduction in public revenue with the pandemic, imposes on CREA-SP the need to accelerate its digital transformation and, at the same time, requires public managers trained and with appropriate tools to implement innovations to improve operational efficiency.

It seeks to understand the needs of its stakeholders and develops, in an agile and propositional way, solutions and services to meet their expectations, becoming recognized as a reference in its category. The proposal is to develop a service platform that is a reference in the public sector, with the professional as the strategic pillar of management.","For the first time in the borough's history, the Council brought together the main people impacted by its work routine to discuss ideas and find new solutions to common problems. From this format, which we call open innovation, emerged initiatives that have already been implemented and have proven to be relevant, such as the digital professional card, the Minerva chatbot, the new website and the services portal, in addition to the digitization of 100% of our processes. In parallel to these deliveries, the Crea-SP has advanced towards other important areas, such as professional training, providing an educational environment for professionals to update themselves with hybrid courses in partnership with renowned educational institutions, the Crea-SP Capacita. ",https://www.creasp.org.br/transformacao/ ,Call for Innovations,Portuguese
