Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
NSF Logo Letter (pdf),7/1/2004,6/26/2020,EPA 705-G-2020-3533,FIFRA; Pesticides; Antimicrobial;,Letter describing the NSF logo that can be used on pesticide labels. Remove,https://www.epa.gov/sites/production/files/2020-04/documents/nsf_logo_letter.pdf
"Interpretive Statement on Change in Ownership of Real Property Contaminated with PCBs August 14, 2003 (pdf)",8/14/2003,2/28/2020,EPA 705-G-2020-2311,PCBs,"Memorandum from R.E.Fabricant, EPA General Counsel. August 14, 2003.  Interpretive Statement on Change in Ownership of Real Property Contaminated with PCBs: not prohibited distribution in commerce under TSCA PCB regulations.",https://www.epa.gov/sites/production/files/2015-08/documents/distincom.pdf
User Documentation for the AOT425StatPgm Program (pdf),6/1/2003,2/28/2020,EPA 705-G-2020-2859,acute oral toxicity; up and down; 870.1100; OECD 425,Guidance for how to use the AOT425StatPgm Program.,https://www.epa.gov/sites/production/files/2015-06/documents/aot425manual.pdf
Consumer Specialty Products Association (CSPA) Fruit Graphic Letter (pdf),11/13/2002,6/26/2020,EPA 705-G-2020-2615,"FIFRA, Antimicrobial",This letter addressed to CSPA provides Guidance regarding the use of graphics depicting fruit on antimicrobial labels.,https://www.epa.gov/sites/production/files/2020-04/documents/consumer_specialty_products_association_cpsa_fruit_graphic_letter.pdf
Standard Format for Electronic Submission of Supplemental Data Files in Support of Chronic/Sub-Chronic Studies. (pdf),7/31/2002,2/28/2020,EPA 705-G-2020-3132,Electronic Submission; Toxicology Data; Pesticide Registration,The following formats and instructions are designed to be used as an example or guide for registrants to format electronic files for submission of animal toxicology data to the USEPA Office of Pesticide Programs for review in support of registration and re-registration of pesticides.,https://www.epa.gov/sites/production/files/documents/chronic-subchronic_supplemental.pdf
Standard Format for Electronic Submission of Supplemental Data Files in Support of Developmental Neurotoxicity (DNT) Studies. (pdf),7/31/2002,2/28/2020,EPA 705-G-2020-3133,Electronic Submission; Toxicology Data; Pesticide Registration,The following formats and instructions are designed to be used as an example or guide for registrants to format electronic files for submission of animal toxicology data to the USEPA Office of Pesticide Programs for review in support of registration and re-registration of pesticides.,https://www.epa.gov/sites/production/files/documents/dnt_supplemental_0.pdf
Standard Format for Electronic Submission of Supplemental Data Files in Support of Multi-Generation Reproduction Studies. (pdf),7/31/2002,2/28/2020,EPA 705-G-2020-3135,Electronic Submission; Toxicology Data; Pesticide Registration,The following formats and instructions are designed to be used as an example or guide for registrants to format electronic files for submission of animal toxicology data to the USEPA Office of Pesticide Programs for review in support of registration and re-registration of pesticides.,https://www.epa.gov/sites/production/files/documents/multi-gen_repro_supplemental.pdf
Standard Format for Electronic Submission of Supplemental Data Files in Support of Prenatal Developmental Toxicity Data. (pdf),7/31/2002,2/28/2020,EPA 705-G-2020-3134,Electronic Submission; Toxicology Data; Pesticide Registration,registrants to format electronic files for submission of animal toxicology data to the USEPA Office of Pesticide Programs for review in support of registration and re-registration of pesticides.,https://www.epa.gov/sites/production/files/documents/prenatal-dev_supplemental.pdf
OECD Guideline for Testing of Chemicals (pdf),12/17/2001,2/28/2020,EPA 705-G-2020-2860,acute oral toxicity; up and down; 870.1100; OECD 425,"Guidance providing information and descriptions on the OECD Test Guideline 425, how to perform the studies and what data needs to be submitted.",https://www.epa.gov/sites/production/files/2015-06/documents/e425guideline.pdf
Presswood and Laminated Products Industry Guidance Document (pdf),8/1/2001,2/28/2020,EPA 260-B-01-013,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Presswood and Laminated Products Industry who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Presswood and Laminated Products Industry.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/presswood and laminated products.pdf
Chemical Nomenclature for Monomer Acid and Derivatives for TSCA Inventory  (pdf),6/27/2001,2/28/2020,EPA 705-G-2020-2337,TSCA Inventory,Corrects a 1985 EPA letter on the chemical nomenclature of monomer acid and derivatives,https://www.govinfo.gov/content/pkg/FR-2001-06-27/pdf/01-16124.pdf
QA Testing for the AOT425StatPgm Program (pdf),6/1/2001,2/28/2020,EPA 705-G-2020-2861,acute oral toxicity; up and down; 870.1100; OECD 425,"Guidance for how to use the AOT425StatPgm Program; description of the model, how to use, how to construct data sets and compare.",https://www.epa.gov/sites/production/files/2015-06/documents/aotqatest.pdf
"Draft Interim Guidance for Non-Residual Sanitizers on Hard, Inanimate Food Contact Surfaces Using Pre-Saturated Towelettes (pdf)",4/12/2001,6/26/2020,EPA 705-G-2020-2613,"FIFRA, Antimicrobial",This protocol can be used to conduct efficacy testing to support a pre-saturated towelette registration for use on food contact surfaces.  ,https://www.epa.gov/sites/production/files/2020-04/documents/draft-guidance-non-residual-sanitization-hard-surfaces.pdf
"Printing, Publishing, and Packaging Industry Guidance Document (pdf)",5/1/2000,2/28/2020,EPA 745-B-00-005,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Printing, Publishing, and Packaging Industry who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Printing, Publishing, and Packaging Industry.","https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/printing, publishing and packaging industry.pdf"
Rubber and Plastics Manufacturing Guidance Document (pdf),5/1/2000,2/28/2020,EPA 745-B-00-017,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Rubber And Plastics Manufacturing who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Rubber And Plastics Manufacturing.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/rubber and plastics manufacturing.pdf
Textile Processing Industry Guidance Document (pdf),5/1/2000,2/28/2020,EPA 745-B-00-008,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Textile Processing Industry who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Textile Processing Industry.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/textile processing industry.pdf
Leather Tanning and Finishing Guidance Document (pdf),4/1/2000,2/28/2020,EPA 745-B-00-012,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Leather Tanning And Finishing who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Leather Tanning And Finishing.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/leather tanning and finishing industry.pdf
Coal Mining Facilities Guidance Document (pdf),2/1/2000,2/28/2020,EPA 745-B-00-003,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Coal Mining Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Coal Mining Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/coal mining facilities.pdf
Electricity Generating Facilities Guidance Document (pdf),2/1/2000,2/28/2020,EPA 745-B-00-004,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Electricity Generating Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Electricity Generating Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/electricity generating facilities.pdf
Petroleum Terminals and Bulk Storage Facilities Guidance Document (pdf),2/1/2000,2/28/2020,EPA 745-B-00-002,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Petroleum Terminals and Bulk Storage Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Petroleum Terminals and Bulk Storage Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/petroleum terminal and bulk storage facilities.pdf
Classification of Seed Treatments as Food or Nonfood Uses (pdf),10/28/1999,2/28/2020,EPA 705-G-2020-2429,seed treatment; food; nonfood,Chem SAC determination of seed treatment uses as food versus nonfood based on the results of radiolabeled studies,https://www.epa.gov/sites/production/files/2018-01/documents/seedtrt.001.pdf
Interpretations of Waste Management Activities (pdf),8/1/1999,2/28/2020,EPA 705-G-2020-2259,Toxics Release Inventory (TRI) Program,"This document contains guidance for reporting facilities on the interpretation of the term “waste management” as it relates to EPCRA Section 313. Facilities may also use this document to learn more about EPA’s interpretations of different waste management methods for TRI reporting purposes, including recycling, recovery for energy, treatment for destruction, and release.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/interpretations of waste management activities.pdf
Semiconductor Manufacturing Guidance Document (pdf),7/1/1999,2/28/2020,EPA 745-R-99-007,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Semiconductor Manufacturing who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Semiconductor Manufacturing.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/semiconductor manufacturing.pdf
Guidelines for Dental Issues (pdf),3/31/1999,6/26/2020,EPA 705-G-2020-3516,FIFRA; Pesticides; Antimicrobial;,"This document describes examples of recent inquiries of antimicrobial dental uses, the website is archived.",https://www.epa.gov/sites/production/files/2020-04/documents/guidelines_for_dental_issues_0.pdf
Chemical Distribution Facilities Guidance Document (pdf),1/1/1999,2/28/2020,EPA 745-B-99-005,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Chemical Distribution Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Chemical Distribution Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/chemical distribution facilities.pdf
Metal Mining Facilities Guidance Document (pdf),1/1/1999,2/28/2020,EPA 745-B-99-001,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Metal Mining Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Metal Mining Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/metal mining facilities.pdf
RCRA Subtitle C TSD Facilities and Solvent Recovery Facilities Guidance Document (pdf),1/1/1999,2/28/2020,EPA 745-B-99-004,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for RCRA Subtitle C TSD Facilities And Solvent Recovery Facilities who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to RCRA Subtitle C TSD Facilities And Solvent Recovery Facilities.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/rcra subtitle c tsd facilities and solvent recovery facilities.pdf
Endocrine Disruptor Screening Program; Proposed Statement of Policy (pdf),12/28/1998,2/28/2020,EPA 705-G-2020-3564,Endocrine Disruptor Screening Program; EDSP; Policy; EDSTAC,Policy Notice; Further additional details of the Endocrine Disruptor Screening Program (EDSP),https://www.govinfo.gov/content/pkg/FR-1998-12-28/pdf/98-34298.pdf
Spray Applications and Electrodeposition of Organic Coatings Guidance Document (pdf),12/1/1998,2/28/2020,EPA 745-R-98-014,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Spray Application and Electrodeposition of Organic Coatings who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Spray Application and Electrodeposition of Organic Coatings.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/spray application and electrodeposition of organic coatings.pdf
Food Processors Guidance Document (pdf),9/1/1998,2/28/2020,EPA 745-R-98-011,Toxics Release Inventory (TRI) Program,"This document is a step-by-step guide for Food Processors who must report to TRI. Guidance on determining your reporting requirements, recording quantities of chemicals manufactured, processed, or otherwise used, and calculating releases and other waste management activities is contained within the following sections. Companies may also use this document to consult examples of chemical management activities common to Food Processors.",https://ofmpub.epa.gov/apex/guideme_ext/guideme_ext/guideme/file/food processors.pdf
Endocrine Disruptor Screening Program (pdf),8/11/1998,2/28/2020,EPA 705-G-2020-3563,Endocrine Disruptor Screening Program; EDSP; Policy; EDSTAC,Policy Notice; EPA's Initial outline of the Endocrine Disruptor Screening Program (EDSP),https://www.govinfo.gov/content/pkg/FR-1998-08-11/pdf/98-21522.pdf
Response to Comments Document on the Proposed Rule -- Disposal of Polychlorinated Biphenyls (PCBs) OPPTS Docket #66009A May 1998 (pdf),5/1/1998,2/28/2020,EPA 705-G-2020-2305,PCBs,EPAs response to comments on the 1994 proposed PCB disposal amendments rule.,https://www.epa.gov/sites/production/files/2015-08/documents/response.pdf
875.2300 Indoor Surface Residue Dissipation (pdf),2/10/1998,6/26/2020,EPA 705-G-2020-2366,"FIFRA, Pesticides, Antimicrobial",This document explains indoor surface residue test guidelines.,https://www.epa.gov/sites/production/files/2020-04/documents/875.2300-indoor-surface-residue-dissipation.pdf
875.2700 Product Use Information (Post Application) (pdf),2/10/1998,6/26/2020,EPA 705-G-2020-2367,"FIFRA, Pesticides, Antimicrobial",This document explains the guidelines for product use information.,https://www.epa.gov/sites/production/files/2020-04/documents/875.2700-product-use-information-post-application.pdf
Points to Consider in the Preparation of TSCA Biotechnology Submissions for Microorganisms (pdf),6/2/1997,2/28/2020,EPA 705-G-2020-3095,Biotechnology; microorganisms; ,Points to Consider when submitting biotechnology submissions for microorganisms to the new chemicals program,https://www.epa.gov/sites/production/files/2015-08/documents/biotech_points_to_consider.pdf
Points to Consider in the preparation of TSCA biotechnology submissions for microorganisms:  (pdf),6/2/1997,2/28/2020,EPA 705-G-2020-3115,biotechnology,Points to consider for microorganism submissions,https://www.epa.gov/sites/production/files/2015-08/documents/biotech_points_to_consider.pdf
"Ecological Effects Test Guidelines: Aquatic Fauna Test Guidelines, 850.1350, Mysid Chronic Toxicity Test (pdf)",4/1/1996,2/28/2020,EPA 712-C-96-166,Public Draft; Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.epa.gov/sites/production/files/2015-07/documents/850-1350.pdf
"Ecological Effects Test Guidelines: Aquatic Fauna Test Guidelines, 850.1500, Fish Life Cycle Toxicity (pdf)",4/1/1996,2/28/2020,EPA 712-C-96-122,Public Draft; Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.epa.gov/sites/production/files/2015-07/documents/850-1500.pdf
"Ecological Effects Test Guidelines: Aquatic Fauna Test Guidelines, 850.1790, Chironomid Sediment Toxicity Test (pdf)",4/1/1996,2/28/2020,EPA 712-C-96-313,Public Draft; Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.epa.gov/sites/production/files/2015-07/documents/850-1790.pdf
"Ecological Effects Test Guidelines: Aquatic Fauna Test Guidelines, 850.1085, Fish Acute Toxicity Mitigated by Humic Acid (pdf)",4/1/1996,2/28/2020,EPA 712-C-96-117,Public Draft; Test Guideline; Ecological Effects,"The following test guideline is part of a series that has been developed by EPA for use in the testing of pesticides and toxic substances, and the development of test data for submission to the Agency for review.",https://www.epa.gov/sites/production/files/2015-07/documents/850-1085.pdf
"June 10 , 1994 letter to Latham & Watkins re: ""FDA Exemption"" under TSCA (pdf)",6/10/1994,6/26/2020,EPA 705-G-2020-3705,TSCA and FFDCA Jurisdiction; FDA; process wastes and effluents,Letter outlining EPA's position on TSCA jurisdictional issues regarding process wastes and effluents from pharmaceutical manufacturing,https://www.epa.gov/sites/production/files/2020-06/documents/fda_exemption_letter_6-10-94.pdf
"March 30, 1994 letter to Sidley & Austin re: ""TSCA/FFDCA Jurisdiction"" (pdf)",3/30/1994,6/26/2020,EPA 705-G-2020-3706,TSCA and FFDCA Jurisdiction; FDA,Letter outlining EPA's position on TSCA and FFDCA jurisdictional issues,https://www.epa.gov/sites/production/files/2020-06/documents/epa_letter_on_tsca-fda_jurisdiction_-_3-30-94.pdf
EPA Response to Williams & Vanino letter from Marcia E. Williams regarding TSCA Definitions Applied to Recycling and IUR/CDR Requirements for Wastes and Byproducts (pdf),12/2/1993,2/28/2020,EPA 705-G-2020-3142,Inventory Update Rule/Chemical Data Reporting,EPA Response to Williams & Vanino letter from Marcia E. Williams regarding TSCA Definitions Applied to Recycling and Inventory Update Rule (IUR)/Chemical Data Reporting (CDR) Requirements for Wastes and Byproducts,https://www.epa.gov/sites/production/files/2020-02/documents/epa_response_to_williamsvanino_letter_iur_recycling-wastes-byproducts_1993-12-02.pdf
FIFRA Pesticides Export Policy Interpretative Guidance Issue: Multilingual Labeling (pdf),4/8/1993,2/28/2020,EPA 705-G-2020-2769,FIFRA Pesticides Export Policy,This document addresses the requirement that certain labeling statements appear in English and in the languages of destination countries if known or reasonably ascertainable by the exporter. ,https://www.epa.gov/sites/production/files/2014-05/documents/multilanglabel.pdf
Guidance for Reregistration of Pesticide Products Containing Chlorinated Isocyanurates as the Active Ingredient (pdf),9/1/1992,6/26/2020,EPA 705-G-2020-2388,"FIFRA, Antimicrobial",This gives guidance for products containing chlorinated isocyanurates.,https://www.epa.gov/sites/production/files/2020-04/documents/chlorinated-isocyanurates.pdf
Guidelines for Exposure Assessment (pdf),5/29/1992,2/28/2020,EPA 705-G-2020-3655,TSCA and FIFRA,"The Guidelines for Exposure Assessment are intended for risk assessors in EPA, and those exposure and risk assessment consultants, contractors, or other persons who perform work under Agency contract or sponsorship. In addition, publication of these Guidelines makes information on the principles, concepts, and methods used by the Agency available to all interested members of the public.",https://www.epa.gov/sites/production/files/2014-11/documents/guidelines_exp_assessment.pdf
Reregistration Eligibility Document Sodium and Calcium Hypochlorite Salts (pdf),2/1/1992,2/28/2020,EPA 705-G-2020-2395,"FIFRA, Antimicrobial",RED for Sodium and Calcium hypochlorite (aka bleach),https://www3.epa.gov/pesticides/chem_search/reg_actions/reregistration/red_G-77_1-Feb-92.pdf
Policy on Existing Stocks of Pesticide Products (pdf),6/26/1991,2/28/2020,EPA 705-G-2020-1259,Pesticide Labels; Existing Stocks,"This statement establishes general principles the Agency generally will apply in determining whether and under what conditions to allow the sale and use of existing stocks of pesticides for which the registration has been amended, canceled, or suspended.",https://www.epa.gov/sites/production/files/2015-04/documents/56-fr-29362.pdf
Section 313 Emergency Planning and Community Right to Know Act Estimating Releases for Mineral Acid Discharges Using pH Measurements (pdf),6/1/1991,6/26/2020,EPA 740-R-91-003,Toxics Release Inventory,The document provides estimates for estimating certain releases of certain mineral acid discharges.,https://ofmpub.epa.gov/apex/guideme_ext/guideme/file/estimating releases for mineral acid discharges.pdf
"Polychlorinated Biphenyls (PCBs) Penalty Policy April 9, 1990 (pdf)",4/9/1990,2/28/2020,EPA 705-G-2020-2313,PCBs,EPA guidance on penalty calculation for violations of TSCA PCB regulations.,https://www.epa.gov/sites/production/files/documents/pcbpen.pdf
Releases During Cleaning of Equipment (pdf),7/27/1988,6/26/2020,EPA 705-G-2020-3692,Toxics Release Inventory,The document provides an overview of methods for estimating releases of chemicals into the environment for TRI related to certain cleaning activities.,https://ofmpub.epa.gov/apex/guideme_ext/guideme/file/releases during cleaning of equipment.pdf
Product Registration Batching Guidance for Quaternary Ammonium Compounds (Cases 03503 and 3003)--Acute Mammalian Toxicity Data Requirements (pdf),2/26/1988,2/28/2020,EPA 705-G-2020-3390,"acute, toxicity, DCI, quats",This document identifies batches or groups of certain products which may rely on the same acute toxicity data to support product reregistration Data Call-In (DCI) requirements for quats.,https://www.epa.gov/sites/production/files/2015-09/documents/pr88-2.pdf
Label Guidance for Antimicrobial Pesticides Used for Poultry House Disinfection (pdf),1/17/1980,6/26/2020,EPA 705-G-2020-2342,"FIFRA, Antimicrobial",The purpose of this guidance is to outline the use directions for antimicrobial pesticides used in poultry houses.,https://www.epa.gov/sites/production/files/2020-04/documents/label_requirements_for_poultry_house_disinfectants.pdf
"Label Guidance for Antimicrobial Pesticides on Hard, Non-Porous Surfaces (pdf)",12/2/1979,6/26/2020,EPA 705-G-2020-2379,"FIFRA, Antimicrobial",This document provides information on products used on hard non-porous surfaces.,https://www.epa.gov/sites/production/files/2020-04/documents/label-requirements-for-antimicrobial-pesticides-used-on-hard-surfaces.pdf
Label Guidance for Antimicrobial Pesticides Used for Sanitation of Food Contact Surfaces (pdf),12/2/1979,6/26/2020,EPA 705-G-2020-2581,"FIFRA, Antimicrobial",This document gives information on sanitizing food contact surfaces,https://www.epa.gov/sites/production/files/2020-04/documents/label_requirements_for_pesticides_used_for_sanitation_of_food_contact_surfaces.pdf
PRN-2023-2: Establishment of the Vector Expedited Review Voucher (VERV) Program  (pdf),12/18/2023,7/21/2025,PRN 2023-2,Pesticide Regitration Notice; 2023-2;  Vector Expedited review,EPA established the Agency’s Vector Expedited Review Voucher (VERV) Program. The implementation of the VERV Program will incentivize the development of new insecticides to control and prevent the spread of vector-borne disease. ,https://www.epa.gov/system/files/documents/2023-12/prn-2023-02.pdf
Small Entity Compliance Guidance for the TSCA PFAS Data Call (pdf),6/14/2023,7/21/2025,EPA-705-G-2023-3730,"Small Entity, TSCA, PFAS, Reporting","This document is published by EPA as the official compliance guide for small entities, as required by the Small Business Regulatory Enforcement Fairness Act of 1996. Before you begin using the guide you should know that the information in this guide was compiled based on the regulation entitled “TSCA Section 8(a)(7) Reporting and Recordkeeping Requirements for Perfluoroalkyl and Polyfluoroalkyl Substances.”",https://www.epa.gov/system/files/documents/2023-11/tsca-8a7-small-entity-compliance-guidance-10-11-23.pdf
Instructions for Reporting PFAS under TSCA Section 8(a)(7) (pdf),6/14/2023,7/21/2025,EPA-705-G-2023-3727,"PFAS, TSCA, Reporting","The primary goal of this document is to help the regulated community comply with the requirements of the TSCA Section 8(a)(7) Reporting and Recordkeeping Requirements for Perfluoroalkyl and Polyfluoroalkyl Substances rule, hereafter referred to as section 8(a)(7) reporting. This document does not substitute for that rule, nor is it a rule itself. It does not impose legally binding requirements on the regulated community or on the U.S. Environmental Protection Agency (EPA).
Document updated November 2024.",https://www.epa.gov/system/files/documents/2024-12/tsca-8a7-reporting-instructions_11-25-24.pdf
Pesticide Submission Portal CDX User Guide (pdf),8/17/2021,7/21/2025,EPA 705-G-2021-3739,FIFRA FFDCA CDX Pesticides,"CDX user guide for the submission of pesticides including registration, notifications, petitions, data callins, and acknowledgements. ",https://www.epa.gov/system/files/documents/2021-08/psp-user-guide_opp.pdf
Pesticide Submission Portal - FPAS Quick Guide  (pdf),8/17/2121,7/21/2025,EPA 705-G-2021-3738,FIFRA CDX ,CDX user guide for submitting Foregin Purchasers Acknowledgement Statements. ,https://www.epa.gov/system/files/documents/2021-08/psp-user-guide_opp.pdf
Test Orders Under TSCA Section 4: Questions and Answers  (pdf),8/11/2021,7/21/2025,EPA 705-G-2021-3737,TSCA Section 4 Test Order,"This policy memorandum document describes certain EPA policies on the Agency’s use of this authority pertaining to the Agency’s identification of persons, chemical manufacturers (including importers) and processors required to conduct testing pursuant to Section 4(a) (i.e., under a rule, consent agreement, or order).",https://www.epa.gov/system/files/documents/2022-01/section-4-test-order-faqs-final_2.pdf
Section 4(a)(2) of the Toxic Substances Control Act User Guide  (pdf),7/27/2021,7/21/2025,EPA 705-G-2021-3735,TSCA CDX ,User guide for sumbission of test order documents ,https://www.epa.gov/system/files/documents/2022-01/cdx-section-4-user-guide-final.pdf
Section 5 Notices and Supports User Guide - Primary Authorized Official (pdf),7/27/2021,7/21/2025,EPA 705-G-2021-3734,TSCA CDX ,User guide for submitting new chemicals forms ,https://www.epa.gov/sites/default/files/2015-08/documents/tdd_9.21_oppt_cis_section_5_notices_and_supports_primary_authorized_official_user_guide_v1_12152014.pdf
Risk Evaluation Rule User Guide - Primary Authorized Official  (pdf),7/27/2021,7/21/2025,EPA 705-G-2021-3733,TSCA CDX ,User guide for submission of section 5 documents. ,https://www.epa.gov/sites/default/files/2020-03/documents/risk_evaluation_rule_user_guide_-_primary_authorized_official_v2.0.pdf
PRN-2023-1: Final Guidance for Pesticide Registrants on the Lists of Pests of Significant Public Health Importance (pdf),3/1/2023,7/21/2025,PRN-2023-1,"Pesticide Registrants, Pest list, Public Health","The final Pesticide Registration Notice (PR Notice) entitled, “Lists of Pests of Significant Public Health Importance” and identified as PR Notice 2023-1. PR Notices are issued by the Office of Pesticide Programs (OPP) to inform pesticide registrants and other interested persons about important policies, procedures, and registration related decisions, and serve to provide guidance to pesticide registrants and OPP personnel. This PR Notice updates and replaces the PR Notice 2002-1, which identifies pests of significant public health importance. The Health and Human Services (HHS), United States Department of Agriculture (USDA), and the Environmental Protection Agency (EPA) determined that updating the lists to reflect the current public health situation were warranted because vector-borne diseases and related research has changed significantly since the original PR Notice was published almost 20 years ago. This update includes the addition or removal of pests, new impacts, renaming pests, or grouping pests of similar species.",https://www.epa.gov/system/files/documents/2023-03/EPA-HQ-OPP-2020-0260-001.pdf
Suggestions to Registrants on Providing Benefits Information for New Conventional Pesticide Registrations and New Outdoor Uses of Conventional Pesticides (pdf),11/4/2024,7/21/2025,,"FIFRA, benefits","In November 2024, EPA updated its suggestions to registrants when providing benefits information for new conventional pesticide registrations and new outdoor uses of conventional pesticides. These suggestions can help registrants ensure registrants are submitting useful and complete benefits-related information, helping save time in EPA’s review of new pesticide registrations and uses.

During the registration process for pesticides under Federal Insecticide, Fungicide, and Rodenticide Act, EPA conducts risk and benefit assessments to consider the economic, social, and environmental costs and benefits of the proposed pesticide. To assist EPA’s evaluation of the benefits, registrants may provide information regarding the potential benefits of a pesticide. EPA offers suggestions on the format and content of benefit submissions to better facilitate the Agency’s review of the potential benefits of new conventional pesticide registrations and new outdoor uses of conventional pesticides.

The updated suggestions provide registrants with expanded instructions on the preferred format and content for submitted benefits information including draft labels and summaries of use, key target pests, and other registered pesticides available. In addition, examples are provided for what information can complicate the benefit assessment process or increase uncertainty, such as submitting marketing information in lieu of data generated from research trials, existing scientific literature, or scientific rationale.",https://www.epa.gov/system/files/documents/2024-11/suggestions-to-registrants-on-providing-benefits-information-for-new-conventional-pesticide-registrations-and-new-outdoor-uses-of-conventional-pesticides.pdf
Guidance and Instructions for Reporting Asbestos Under TSCA Section 8(a)(1)  (pdf),10/1/2023,7/21/2025,EPA-740-B-23-005,Asbestos TSCA 8(a) reporting guidance,"The primary goal of this document is to help the regulated community comply with the
requirements of the TSCA Section 8(a)(1) Reporting and Recordkeeping Requirements for
Asbestos rule",https://www.epa.gov/system/files/documents/2024-03/guidance-and-instructions-for-reporting-asbestos-under-tsca-section-8a1-1_0.pdf
