
"Category Type","Title","DOI","URL","Citation","Abstract","Authors","Keywords","Full Text","Year of Publication","Conference"
"Presentations","Development of Metadata, Conversion and Archiving of the Time Series Data of the Completed Censuses and Surveys of the BBS","10.5281/zenodo.2530091","https://doi.org/10.5281/zenodo.2530091","Roy CShekhar.  
2018.  Development of Metadata, Conversion and Archiving of the Time Series Data of the Completed Censuses and Surveys of the BBS. ","","C.Shekhar Roy","","","2018","EDDI"
"Presentations","The Picasso project","10.5281/zenodo.1217584","https://doi.org/10.5281/zenodo.1217584","Sanjari F.  
2018.  The Picasso project. ","","F. Sanjari","","","2018","NADDI"
"Presentations","Collect, Store, and Re-Use Paradata in DDI – we need a working group","10.5281/zenodo.2545139","https://doi.org/10.5281/zenodo.2545139","Schiller DH.  
2018.  Collect, Store, and Re-Use Paradata in DDI – we need a working group. ","","D.H. Schiller","","","2018","EDDI"
"Presentations","A new Data Publisher for the SSH community","10.5281/zenodo.2545137","https://doi.org/10.5281/zenodo.2545137","Schiller DH.  
2018.  A new Data Publisher for the SSH community. ","","D.H. Schiller","","","2018","EDDI"
"Presentations","DDI R-UI: a tool for describing data in R","10.5281/zenodo.2530080","https://doi.org/10.5281/zenodo.2530080","Scisci D.  
2018.  DDI R-UI: a tool for describing data in R. ","","D. Scisci","","","2018","EDDI"
"Presentations","The new CESSDA data catalogue","10.5281/zenodo.2530106","https://doi.org/10.5281/zenodo.2530106","Shepherdson J, Thiel C.  
2018.  The new CESSDA data catalogue. ","","J. Shepherdson; C. Thiel","","","2018","EDDI"
"Presentations","Blaise and Colectica - Building on Metadata Standards","","https://naddiconf.org/2018/program-abstracts.html","Smith D.  
2018.  Blaise and Colectica - Building on Metadata Standards. ","","D. Smith","","","2018","NADDI"
"Presentations","Using DDI to drive data governance in the 21st century","10.5281/zenodo.1230510","https://doi.org/10.5281/zenodo.1230510","Stent C.  
2018.  Using DDI to drive data governance in the 21st century. ","","C. Stent","","","2018","NADDI"
"Presentations","A role for DDI in management of data as a record","10.5281/zenodo.1231533","https://doi.org/10.5281/zenodo.1231533","Stent C.  
2018.  A role for DDI in management of data as a record. ","","C. Stent","","","2018","NADDI"
"Presentations","Discovering and using administrative data","10.5281/zenodo.1231532","https://doi.org/10.5281/zenodo.1231532","Stent C.  
2018.  Discovering and using administrative data. ","","C. Stent","","","2018","NADDI"
"Presentations","DDI: Where we've been, where we're going","10.5281/zenodo.1217152","https://doi.org/10.5281/zenodo.1217152","Thomas W.  
2018.  DDI: Where we've been, where we're going. ","","W. Thomas","","","2018","NADDI"
"Presentations","Kuha2: A New Open Source DDI Aware Metadata Server","10.5281/zenodo.2530112","https://doi.org/10.5281/zenodo.2530112","Toni S, Heinonen M.  
2018.  Kuha2: A New Open Source DDI Aware Metadata Server. ","","S. Toni; M. Heinonen","","","2018","EDDI"
"Presentations","DataverseEU. Repository system for (emerging) Service Providers","10.5281/zenodo.2530072","https://doi.org/10.5281/zenodo.2530072","Tykhonov V.  
2018.  DataverseEU. Repository system for (emerging) Service Providers. ","","V. Tykhonov","","","2018","EDDI"
"Presentations","DDI: Current products, future developments, and strategic directions","10.5281/zenodo.3775671","https://doi.org/10.5281/zenodo.3775671","Wackerow J, Radler B, Thomas W, Greenfield J, McEachern S.  
2018.  DDI: Current products, future developments, and strategic directions. ","","J. Wackerow; B. Radler; W. Thomas; J. Greenfield; S. McEachern","","","2018","IASSIST"
"Presentations","Using DDI to build open source solutions for curation and dissemination","10.5281/zenodo.1217515","https://doi.org/10.5281/zenodo.1217515","Welch MJohn, Asghar M.  
2018.  Using DDI to build open source solutions for curation and dissemination. ","","M.John Welch; M. Asghar","","","2018","NADDI"
"Presentations","Metadata Improvements on historical polling at the Roper Center","10.5281/zenodo.3775617","https://doi.org/10.5281/zenodo.3775617","Weldon K, Block W.  
2018.  Metadata Improvements on historical polling at the Roper Center. ","","K. Weldon; W. Block","","","2018","IASSIST"
"Presentations","DDI Drives Roper@Cornell Improvements","10.5281/zenodo.1217975","https://doi.org/10.5281/zenodo.1217975","Weldon K, Block W.  
2018.  DDI Drives Roper@Cornell Improvements. ","","K. Weldon; W. Block","","","2018","NADDI"
"Workshops","Same Same But Different v2 - Documenting Panel Data Using DDI","10.5281/zenodo.1745499","https://doi.org/10.5281/zenodo.1745499","Wenzig K.  
2018.  Same Same But Different v2 - Documenting Panel Data Using DDI. ","","K. Wenzig","","","2018","EDDI"
"Presentations","Practical Implementations of the DDILimDAS Results at the GESIS Data Archive","10.5281/zenodo.1118393","https://doi.org/10.5281/zenodo.1118393","Akdeniz E, Zenk-Möltgen W.  
2017.  Practical Implementations of the DDILimDAS Results at the GESIS Data Archive. ","","E. Akdeniz; W. Zenk-Möltgen","","","2017","EDDI"
"Presentations","C2Metadata project","","https://iassistdata.org/conferences/archive/2017-lawrence/","Alter G, Lyle J, Iverson J.  
2017.  C2Metadata project. ","","G. Alter; J. Lyle; J. Iverson","","","2017","IASSIST"
"Posters","CISER Setup-File Creator and its DDI Codebook","10.5281/zenodo.556236","https://doi.org/10.5281/zenodo.556236","Arguillas F.  
2017.  CISER Setup-File Creator and its DDI Codebook. ","","F. Arguillas","","","2017","NADDI"
"Presentations","A school survey management system for educational assessments in Switzerland","10.5281/zenodo.3776887","https://doi.org/10.5281/zenodo.3776887","Barkow I, Wasner C.  
2017.  A school survey management system for educational assessments in Switzerland. ","","I. Barkow; C. Wasner","","","2017","IASSIST"
"Presentations","Metadata in the Educational Sciences","10.5281/zenodo.556228","https://doi.org/10.5281/zenodo.556228","Barkow I.  
2017.  Metadata in the Educational Sciences. ","","I. Barkow","","","2017","NADDI"
"Presentations","Research Data Management - A Swiss perspective","10.5281/zenodo.1118443","https://doi.org/10.5281/zenodo.1118443","Barkow I.  
2017.  Research Data Management - A Swiss perspective. ","","I. Barkow","","","2017","EDDI"
"Posters","Working Across Boundaries Public and Private Domains, Part 3 A follow-up survey","10.5281/zenodo.1120237","https://doi.org/10.5281/zenodo.1120237","Bonifacio F.  
2017.  Working Across Boundaries Public and Private Domains, Part 3 A follow-up survey. ","","F. Bonifacio","","","2017","EDDI"
"Presentations","Perspectives on the Implementation of the CESSDA Metadata Model","10.5281/zenodo.1118378","https://doi.org/10.5281/zenodo.1118378","Brvar IVipavc, Bolko I.  
2017.  Perspectives on the Implementation of the CESSDA Metadata Model. ","","I.Vipavc Brvar; I. Bolko","","","2017","EDDI"
"Posters","An Enterprise Codebook: Using DDI to Represent the Metadata of Multiple Survey Programs Conducted by the U.S. Census Bureau","","https://naddiconf.org/2017/NADDI2017Program.pdf","Carrino C.  
2017.  An Enterprise Codebook: Using DDI to Represent the Metadata of Multiple Survey Programs Conducted by the U.S. Census Bureau. ","","C. Carrino","","","2017","NADDI"
"Workshops","DDI Moving Forward: Production Framework and Bindings","","http://www.dagstuhl.de/en/program/calendar/evhp/?semnr=17423","Chatain K, Hoyle L, Johnson J, Thomas W, Wackerow J.  
2017.  DDI Moving Forward: Production Framework and Bindings. ","Motivation
Background
The DDI (Data Documentation Initiative) metadata standard, originally created in 1995 to document social science research data, has in recent years become relevant to new user groups, including the official statistics and medical research communities. In order to respond to these new users, DDI is developing a model-based specification (DDI Version 4) that can be expressed in XML Schema, RDF-S/OWL, relational database schema, and program languages. Such a data model will make it easier to interact with other disciplines and other standards, to understand the specification, to develop and maintain it in a consistent and structured way, and to enable software development that is less dependent on specific DDI versions.
Goals
The overall goal is to achieve a solid basis for a DDI 4 prototype. This workshop will extend and build upon the progress made during the past 4 years of development. It focuses on the production framework and specific bindings of the model.
","K. Chatain; L. Hoyle; J. Johnson; W. Thomas; J. Wackerow","","","2017",""
"Workshops","DDI Moving Forward: Integration of Core Components / DDI-based Infrastructure Vision","","http://www.dagstuhl.de/en/program/calendar/evhp/?semnr=17433","Chatain K, Hoyle L, Johnson J, McEachern S, Thomas W, Wackerow J.  
2017.  DDI Moving Forward: Integration of Core Components / DDI-based Infrastructure Vision. ","Motivation
Background
The DDI (Data Documentation Initiative) metadata standard, originally created in 1995 to document social science research data, has in recent years become relevant to new user groups, including the official statistics and medical research communities. In order to respond to these new users, DDI is developing a model-based specification (DDI Version 4) that can be expressed in XML Schema, RDF-S/OWL, relational database schema, and program languages. Such a data model will make it easier to interact with other disciplines and other standards, to understand the specification, to develop and maintain it in a consistent and structured way, and to enable software development that is less dependent on specific DDI versions.
Goals
The overall goal is to achieve a solid basis for a DDI 4 prototype. This workshop will extend and build upon the progress made during the past 4 years of development. It focuses on the integration of Data Description and Data Capture, and related modeling. Additionally, a plan for a DDI-based infrastructure for the empirical social sciences will be developed.
","K. Chatain; L. Hoyle; J. Johnson; S. McEachern; W. Thomas; J. Wackerow","","","2017",""
"Posters","Switching from Field Work Using ODK Powered Electronic Data Collection to Data Documentation in DDI: A Junior Data Documentation Officer’s Initial Impressions of DDI Codebook, Malawi Epidemiology Interventions and Research Unit (MEIRU)","","https://iassistdata.org/conferences/archive/2017-lawrence/","Chirwa TMasangulus, Kanjala C, Nzundah D.  
2017.  Switching from Field Work Using ODK Powered Electronic Data Collection to Data Documentation in DDI: A Junior Data Documentation Officer’s Initial Impressions of DDI Codebook, Malawi Epidemiology Interventions and Research Unit (MEIRU). ","","T.Masangulus Chirwa; C. Kanjala; D. Nzundah","","","2017","IASSIST"
"Presentations","DDI is not enough","10.5281/zenodo.1154006","https://doi.org/10.5281/zenodo.1154006","Dekker R.  
2017.  DDI is not enough. ","","R. Dekker","","","2017","EDDI"
"Presentations","Overview of the RMéS project","10.5281/zenodo.1119579","https://doi.org/10.5281/zenodo.1119579","Duffes G.  
2017.  Overview of the RMéS project. ","","G. Duffes","","","2017","EDDI"
"Presentations","DDI in Agriculture? Why not!","10.5281/zenodo.1118397","https://doi.org/10.5281/zenodo.1118397","Edwards M, Perry C.  
2017.  DDI in Agriculture? Why not! ","","M. Edwards; C. Perry","","","2017","EDDI"
"Presentations","Why We Need Survey Data and Data Archives to Understand Mass Incarceration","","https://naddiconf.org/2017/NADDI2017Program.pdf","Enns P.  
2017.  Why We Need Survey Data and Data Archives to Understand Mass Incarceration. ","","P. Enns","","","2017","NADDI"
"Presentations","No tools, No standard. An introduction to standards based tools","","https://iassistdata.org/conferences/archive/2017-lawrence/","Fihn J.  
2017.  No tools, No standard. An introduction to standards based tools. ","","J. Fihn","","","2017","IASSIST"
"Presentations","DDI use in Dataverse","10.5281/zenodo.556224","https://doi.org/10.5281/zenodo.556224","Gautier J, Durand G.  
2017.  DDI use in Dataverse. ","","J. Gautier; G. Durand","","","2017","NADDI"
"Presentations","Sample Use Cases for the Codebook View in DDI Views (DDI4)","","https://iassistdata.org/conferences/archive/2017-lawrence/","Gillman D, Gregory A, Hoyle L, Wenzig K.  
2017.  Sample Use Cases for the Codebook View in DDI Views (DDI4). ","","D. Gillman; A. Gregory; L. Hoyle; K. Wenzig","","","2017","IASSIST"
"Posters","A Complex Use Case - Documenting the Consumer Expenditure Survey at BLS","10.5281/zenodo.3776909","https://doi.org/10.5281/zenodo.3776909","Gillman D, Hubener E, Noel R, Rigg B, Rojas A, Tan L, Wilson T.  
2017.  A Complex Use Case - Documenting the Consumer Expenditure Survey at BLS. ","","D. Gillman; E. Hubener; R. Noel; B. Rigg; A. Rojas; L. Tan; T. Wilson","","","2017","IASSIST"
"Presentations","Sample Use Cases for the Data Dictionary View in DDI Views (DDI4)","10.5281/zenodo.556225","https://doi.org/10.5281/zenodo.556225","Gillman D, Gregory A, Hoyle L, Wenzig K.  
2017.  Sample Use Cases for the Data Dictionary View in DDI Views (DDI4). ","","D. Gillman; A. Gregory; L. Hoyle; K. Wenzig","","","2017","NADDI"
"Presentations","Documenting the Consumer Expenditure Surveys with DDI and Colectica – An Update","10.5281/zenodo.556223","https://doi.org/10.5281/zenodo.556223","Gillman D, Hubener E, Noel R, Rigg B, Rojas A, Tan L, Wilson T.  
2017.  Documenting the Consumer Expenditure Surveys with DDI and Colectica – An Update. ","","D. Gillman; E. Hubener; R. Noel; B. Rigg; A. Rojas; L. Tan; T. Wilson","","","2017","NADDI"
"Presentations","The DDI-4 Variable Cascade and the Datum-Centered Approach","10.5281/zenodo.1118491","https://doi.org/10.5281/zenodo.1118491","Gillman D.  
2017.  The DDI-4 Variable Cascade and the Datum-Centered Approach. ","","D. Gillman","","","2017","EDDI"
"Posters","CISER Data Support Services: A Cornell Resource for the Social Sciences","10.5281/zenodo.556235","https://doi.org/10.5281/zenodo.556235","Heslop J.  
2017.  CISER Data Support Services: A Cornell Resource for the Social Sciences. ","","J. Heslop","","","2017","NADDI"
"Presentations","Efficient and flexible DDI handling for the development of multiple applications","","https://iassistdata.org/conferences/archive/2017-lawrence/","Hopt O, Klas C-P, Zenk-Möltgen W, Mühlbauer A.  
2017.  Efficient and flexible DDI handling for the development of multiple applications. ","","O. Hopt; C.P. Klas; W. Zenk-Möltgen; A. Mühlbauer","","","2017","IASSIST"
"Presentations","DDI to DATS: ICPSR Metadata on the DataMed Portal","https://hdl.handle.net/2027.42/136221	","","Ionescu S, Lyle J.  
2017.  DDI to DATS: ICPSR Metadata on the DataMed Portal. ","","S. Ionescu; J. Lyle","","","2017","NADDI"
"Posters","Controlled Vocabularies Published by the DDI Alliance","","https://hdl.handle.net/2027.42/136570	","Ionescu S.  
2017.  Controlled Vocabularies Published by the DDI Alliance. ","","S. Ionescu","","","2017","NADDI"
"Workshops","Document Questionnaires and Datasets with DDI: A Hands-On Introduction with Colectica","","https://naddiconf.org/2017/NADDI2017Program.pdf","Iverson J, Smith D.  
2017.  Document Questionnaires and Datasets with DDI: A Hands-On Introduction with Colectica. ","This workshop offers a hands-on, practical approach to creating and documenting both surveys and datasets with DDI and Colectica. Participants will build and field a DDI-driven survey and then ingest, annotate, and publish DDI dataset descriptions using the collected survey data. 
","J. Iverson; D. Smith","","","2017","NADDI"
"Presentations","Preparing Data Files for Preservation with Colectica Datasets","10.5281/zenodo.556221","https://doi.org/10.5281/zenodo.556221","Iverson J.  
2017.  Preparing Data Files for Preservation with Colectica Datasets. ","","J. Iverson","","","2017","NADDI"
"Presentations","Automated Capture and Description of Data Transformations","","https://hdl.handle.net/2027.42/136235","Iverson J, Smith D, Heus P, Risnes Ø, Lyle J, Alter G.  
2017.  Automated Capture and Description of Data Transformations. ","","J. Iverson; D. Smith; P. Heus; Ø. Risnes; J. Lyle; G. Alter","","","2017","NADDI"
"Workshops","Document Questionnaires and Datasets with DDI: A Hands-On Introduction with Colectica","","https://www.eddi-conferences.eu/wp-content/uploads/2020/02/09_EDDI_2017_Lausane_program.pdf","Iverson J, Smith D.  
2017.  Document Questionnaires and Datasets with DDI: A Hands-On Introduction with Colectica. ","","J. Iverson; D. Smith","","","2017","EDDI"
"Presentations","Tutorial on DDI controlled vocabularies","10.5281/zenodo.1134823","https://doi.org/10.5281/zenodo.1134823","Jääskeläinen T, Etheridge A.  
2017.  Tutorial on DDI controlled vocabularies. ","","T. Jääskeläinen; A. Etheridge","","","2017","EDDI"
"Presentations","Lessons Learned with Additional Mappings into DDI- FlatDB","10.5281/zenodo.1118391","https://doi.org/10.5281/zenodo.1118391","Klas C-P, Hopt O, Mühlbauer A.  
2017.  Lessons Learned with Additional Mappings into DDI- FlatDB. ","","C.P. Klas; O. Hopt; A. Mühlbauer","","","2017","EDDI"
"Presentations","DDI-FlatDB: Next steps","10.5281/zenodo.1118384","https://doi.org/10.5281/zenodo.1118384","Klas C-P, Hopt O, Mühlbauer A.  
2017.  DDI-FlatDB: Next steps. ","","C.P. Klas; O. Hopt; A. Mühlbauer","","","2017","EDDI"
"Presentations","CMM1 in Retrospect and Forecast for CMM2 - The CESSDA Metadata Management Project","10.5281/zenodo.1118374","https://doi.org/10.5281/zenodo.1118374","Kleemola M, Borschewski K.  
2017.  CMM1 in Retrospect and Forecast for CMM2 - The CESSDA Metadata Management Project. ","","M. Kleemola; K. Borschewski","","","2017","EDDI"
"Presentations","Metadata-driven Gamification: Exploring a New System for Crowdsourcing Antebellum History","10.5281/zenodo.556229","https://doi.org/10.5281/zenodo.556229","Kowalski BT.  
2017.  Metadata-driven Gamification: Exploring a New System for Crowdsourcing Antebellum History. ","","B.T. Kowalski","","","2017","NADDI"
"Presentations","Experiments with Crowdsourcing Metadata in a Social Science Environment","","https://naddiconf.org/2017/NADDI2017Program.pdf","Lagoze C, Vilhuber L, Block W, Brumsted K, Simmer C, Barker B.  
2017.  Experiments with Crowdsourcing Metadata in a Social Science Environment. ","","C. Lagoze; L. Vilhuber; W. Block; K. Brumsted; C. Simmer; B. Barker","","","2017","NADDI"
"Posters","Using METS and DDI to Improve Preservation Workflows for Research Data in Archives/Libraries","10.5281/zenodo.556233","https://doi.org/10.5281/zenodo.556233","Leahey A.  
2017.  Using METS and DDI to Improve Preservation Workflows for Research Data in Archives/Libraries. ","","A. Leahey","","","2017","NADDI"
"Presentations","Progress with the CESSDA Euro Question Bank Project","10.5281/zenodo.1118382","https://doi.org/10.5281/zenodo.1118382","MahmoudHashemi A, Mühlbauer A, Zenk-Möltgen W.  
2017.  Progress with the CESSDA Euro Question Bank Project. ","","A. MahmoudHashemi; A. Mühlbauer; W. Zenk-Möltgen","","","2017","EDDI"
"Presentations","Recent Progress on the DDI Moving Forward Program","","https://iassistdata.org/conferences/archive/2017-lawrence/","McEachern S.  
2017.  Recent Progress on the DDI Moving Forward Program. ","","S. McEachern","","","2017","IASSIST"
"Presentations","Recent Progress on the DDI Moving Forward Program","","https://iassistdata.org/conferences/archive/2017-lawrence/","McEachern S.  
2017.  Recent Progress on the DDI Moving Forward Program. ","","S. McEachern","","","2017","IASSIST"
"Presentations","CLOSER Discovery: Past, Present and Future","10.5281/zenodo.1134539","https://doi.org/10.5281/zenodo.1134539","Mills H.  
2017.  CLOSER Discovery: Past, Present and Future. ","","H. Mills","","","2017","EDDI"
"Publications","Towards Common Metadata Using GSIM and DDI 3.2","https://doi.org/10.29173/iq782","","Nielsen MGrosen, Dannevang F.  
2017.  Towards Common Metadata Using GSIM and DDI 3.2. IASSIST Quarterly. 40(2)","","M.Grosen Nielsen; F. Dannevang","","","2017",""
"Presentations","Two Paths Converge - DDI Translation to and from the Roper Center for Public Opinion Research","","https://naddiconf.org/2017/NADDI2017Program.pdf","Parsons T.  
2017.  Two Paths Converge - DDI Translation to and from the Roper Center for Public Opinion Research. ","","T. Parsons","","","2017","NADDI"
"Presentations","Elaborating an XML crosswalk between DDI and EAD for an emerging data archive service","10.5281/zenodo.1120253","https://doi.org/10.5281/zenodo.1120253","Peuch B.  
2017.  Elaborating an XML crosswalk between DDI and EAD for an emerging data archive service. ","","B. Peuch","","","2017","EDDI"
"Presentations","Search Engine Topics","10.5281/zenodo.1134533","https://doi.org/10.5281/zenodo.1134533","Poynter W.  
2017.  Search Engine Topics. ","","W. Poynter","","","2017","EDDI"
"Presentations","Capturing Metadata Early In The Research Data Lifecycle","10.5281/zenodo.556227","https://doi.org/10.5281/zenodo.556227","Radler BT.  
2017.  Capturing Metadata Early In The Research Data Lifecycle. ","","B.T. Radler","","","2017","NADDI"
"Presentations","A DDI-driven Conference Evaluation Research Project","10.5281/zenodo.1134507","https://doi.org/10.5281/zenodo.1134507","Radler B, Iverson J, McChesney S, Smith D.  
2017.  A DDI-driven Conference Evaluation Research Project. ","","B. Radler; J. Iverson; S. McChesney; D. Smith","","","2017","EDDI"
"Presentations","Question Banks and Colectica Questionnaires","10.5281/zenodo.556220","https://doi.org/10.5281/zenodo.556220","Smith D.  
2017.  Question Banks and Colectica Questionnaires. ","","D. Smith","","","2017","NADDI"
"Presentations","Reuse of Questionnaire Generator Based on DDI - ESSNet Sharing common functionalities in ESS","10.5281/zenodo.1134741","https://doi.org/10.5281/zenodo.1134741","Špeh T.  
2017.  Reuse of Questionnaire Generator Based on DDI - ESSNet Sharing common functionalities in ESS. ","","T. Špeh","","","2017","EDDI"
"Presentations","A Reusable (and Reused) Questionnaire Generator Based on DDI","10.5281/zenodo.1134513","https://doi.org/10.5281/zenodo.1134513","Speh T, Cotton F.  
2017.  A Reusable (and Reused) Questionnaire Generator Based on DDI. ","","T. Speh; F. Cotton","","","2017","EDDI"
"Presentations","The Picasso project","10.5281/zenodo.1118395","https://doi.org/10.5281/zenodo.1118395","Stevenson K.  
2017.  The Picasso project. ","","K. Stevenson","","","2017","EDDI"
"Workshops","Getting Started with DDI","","https://naddiconf.org/2017/NADDI2017Program.pdf","Thomas W.  
2017.  Getting Started with DDI. ","This workshop will look at the major uses of metadata, how DDI supports them, and how to use this information to determine what parts of DDI are important to your work. Following this we will focus in on the first three areas which are of particular use to libraries, archives, and individual researchers. We will explore various decision points regarding version selection, depth, and breadth of coverage. Finally we review the available tools noting any special functions or limitations. The attendee should gain an understanding of what DDI can support as well as how to integrate the use of DDI into their data/metadata management work. 
","W. Thomas","","","2017","NADDI"
"Presentations","Using Standards to Help Achieve Long Term Goals at the Minnesota Population Center","","https://naddiconf.org/2017/NADDI2017Program.pdf","Thomas W.  
2017.  Using Standards to Help Achieve Long Term Goals at the Minnesota Population Center. ","","W. Thomas","","","2017","NADDI"
"Presentations","What you get with DDI 3.3","10.5281/zenodo.1118690","https://doi.org/10.5281/zenodo.1118690","Thomas W.  
2017.  What you get with DDI 3.3. ","","W. Thomas","","","2017","EDDI"
"Workshops","Documenting Questions: A crash course","10.5281/zenodo.1118372","https://doi.org/10.5281/zenodo.1118372","Thomas W, Johnson J, Duffes G.  
2017.  Documenting Questions: A crash course. ","The most significant area of DDI adoption since 2008 has been around the development, management, and use of Questions. The creation of question banks, development of tools to organize and field questionnaires, and interest in new and specialized means of data capture has fueled development in the DDI. For those of you that have ""Questions"" and want to do something with them this half-day tutorial will address the following:  Question structures in DDI:  30/36 9th Annual European DDI User Conference (EDDI17) - Program and Abstracts as of 2017-11-27 - Tutorials o What have these structures been designed to support o How do they work - with what types of questions o How can they be organized - grouping and questionnaires  Creating Question Banks:  o What features are used o Where are problems - and how to deal with them o Trade-offs between semantics and representation: the special case of question grids  Creating Questionnaires:  o Organizing question flows and adding content - instructions, statements, and visual display o Managing the flow of data from capture to variable  Question development and management:  o Creating new questions o Managing old questions  Future proofing:  o New features are proposed in DDI3.3, including the capability to describe measurements o Thinking about a world where persistent identifiers on questions are the norm and how this changes how you might manage questions. 
","W. Thomas; J. Johnson; G. Duffes","","","2017","EDDI"
"Presentations","A Vision for a Future Research Infrastructure","","https://iassistdata.org/conferences/archive/2017-lawrence/","Wackerow J, Barkow I, Block W, Greenfield J, McEachern S.  
2017.  A Vision for a Future Research Infrastructure. ","","J. Wackerow; I. Barkow; W. Block; J. Greenfield; S. McEachern","","","2017","IASSIST"
"Posters","Automated DDI-Compliant Metadata Extraction and Verification from Common Statistical Software File Formats","10.5281/zenodo.556230","https://doi.org/10.5281/zenodo.556230","Wang G.  
2017.  Automated DDI-Compliant Metadata Extraction and Verification from Common Statistical Software File Formats. ","","G. Wang","","","2017","NADDI"
"Posters","Discovering the Archive – An Overview of the Collection at the Roper Center for Public Opinion Research at Cornell University","10.5281/zenodo.556231","https://doi.org/10.5281/zenodo.556231","Weldon K, Powell BM.  
2017.  Discovering the Archive – An Overview of the Collection at the Roper Center for Public Opinion Research at Cornell University. ","","K. Weldon; B.M. Powell","","","2017","NADDI"
"Presentations","Next Time Try Recycling - What Reusable Metadata (Should) Look Like","10.5281/zenodo.1084106","https://doi.org/10.5281/zenodo.1084106","Wenzig K.  
2017.  Next Time Try Recycling - What Reusable Metadata (Should) Look Like. ","","K. Wenzig","","","2017","EDDI"
"Presentations","The past, present, and future of the National Data Archive on Child Abuse and Neglect","10.5281/zenodo.556222","https://doi.org/10.5281/zenodo.556222","Wildeman C.  
2017.  The past, present, and future of the National Data Archive on Child Abuse and Neglect. ","","C. Wildeman","","","2017","NADDI"
"Presentations","Using DDI to Link Metadata in CharmStats","10.5281/zenodo.1134531","https://doi.org/10.5281/zenodo.1134531","Winters K, Friedrichs M.  
2017.  Using DDI to Link Metadata in CharmStats. ","","K. Winters; M. Friedrichs","","","2017","EDDI"
"Presentations","Developing a DDI-Driven Data Visualization Application in Dataverse","10.5281/zenodo.556445","https://doi.org/10.5281/zenodo.556445","Worthington K.  
2017.  Developing a DDI-Driven Data Visualization Application in Dataverse. ","","K. Worthington","","","2017","NADDI"
"Presentations","Documenting non-survey data in the Social Sciences with DDI-Lifecycle","","https://iassistdata.org/conferences/archive/2017-lawrence/","Zenk-Möltgen W, Borschewski K.  
2017.  Documenting non-survey data in the Social Sciences with DDI-Lifecycle. ","","W. Zenk-Möltgen; K. Borschewski","","","2017","IASSIST"
"Publications","Design Considerations for DDI-Based Data Systems","https://doi.org/10.29173/iq126","","Amin A, Barkow I, Kramer S, Schiller D, Williams J.  
2016.  Design Considerations for DDI-Based Data Systems. IASSIST Quarterly. 39(3)","","A. Amin; I. Barkow; S. Kramer; D. Schiller; J. Williams","","","2016",""
"Publications","The Challenges of Metadata Management in Computer-Based Surveys and Assessments","","http://doktori.bibl.u-szeged.hu/id/eprint/3182/1/Dissertation_Barkow_DataManagement_in_Education_Public_Defense_Edition_Final.pdf","Barkow I.  
2016.  The Challenges of Metadata Management in Computer-Based Surveys and Assessments. Institute of Education. Information and Communication Technologies in Education:222.","In the first part the current situation of data curation in the educational and social sciences will be analysed in form of a literature review. To get a clearer picture of the as needs of data producers (i.e. researchers who conduct surveys or cogniti ve tests) as well data users (i.e. researchers who perform secondary analyses of datasets from research data centres or data archives) a survey on data management was conducted from November 2014 to December 2014. The second chapter of the dissertation will show how the instrument was constructed and discuss the data collection process. In the third chapter the results from the data management survey will be analysed with different statistical methods. Lastly the results will be used in the fourth chapte r to draw conclusions for the futu re of data management. In the last step i t will also be possible to draw requirements for software development out of this process as the author is heavily involved in software design. reason the dissertation will For this close with some example objects to demonstrate how certain processes of educational assessment can be put into software code. A longterm goal of the research on data management in educational assessment should be to generate a generic model to facilitate necessary processes into one toolchain.
","I. Barkow","","","2016",""
"Publications","MMRepo - Storing qualitative and quantitative data into one big data repository","https://doi.org/10.29173/iq908","","Barkow I, Wasner C, Odoni F.  
2016.  MMRepo - Storing qualitative and quantitative data into one big data repository. IASSIST Quarterly. 40(4)","","I. Barkow; C. Wasner; F. Odoni","","","2016",""
"Presentations","Beam us up Scotty. The CESSDA Metadata Management Core Metadata Model goes into Round Two","10.5281/zenodo.259570","https://doi.org/10.5281/zenodo.259570","Borschewski K, Zenk-Möltgen W, Hermann J.  
2016.  Beam us up Scotty. The CESSDA Metadata Management Core Metadata Model goes into Round Two. ","","K. Borschewski; W. Zenk-Möltgen; J. Hermann","","","2016","EDDI"
"Posters","The Metadata Model of The Dataverse Project: Helping More Data Become Discoverable","","https://iassistdata.org/conferences/archive/2016-bergen/","Castro E.  
2016.  The Metadata Model of The Dataverse Project: Helping More Data Become Discoverable. ","","E. Castro","","","2016","IASSIST"
"Presentations","Enhancing the quality of metadata: harmonising with DDI-Lifecycle","10.5281/zenodo.259559","https://doi.org/10.5281/zenodo.259559","Danciu A, Mairot A.  
2016.  Enhancing the quality of metadata: harmonising with DDI-Lifecycle. ","","A. Danciu; A. Mairot","","","2016","EDDI"
"Publications","DDI Questionnaire Modelling","","https://unece.org/fileadmin/DAM/stats/documents/ece/ces/ge.58/2016/mtg4/Paper_29_France_-_DDI_Questionnaire_Generator.pdf","Dubois T., Duffes G.  
2016.  DDI Questionnaire Modelling. UNECE Workshop on Implementing Standards for Statistical Modernisation. ","This document is a guide to good pratices for modelling statistical questionnaires using DDI . The point is to make explicite the top (or mid)-level business object representation in DDI constituting a questionnaire. It does not give any detail on the DDI objects used, information provided by a DDI profile, to which the reader could refer if necessary.
","T. Dubois; G. Duffes","","","2016",""
