titulo,keywords,abstract,tipo,tema
Instrument development tools and activities for measure validation using Rasch models: Part I--instrument development tools.,"Instrument
arguments
development
efforts
measurement",Instrument development is an arduous task that if undertaken with care and consideration can lay the foundation for the development of validity arguments relating to the inferences and decisions that are based on test measures. This article Part I of a two-part series provides an overview of validity concepts and describes how instrument development efforts can be conducted to facilitate the development of validity arguments. Our discussion focuses on documentation of the purpose of measurement creation of test specifications item development expert review and planning of pilot studies. Through these instrument development activities and tools essential information is documented that will feed into the analysis summary and reporting of data relevant to validity arguments discussed in Part II of this series.,0,Ciencias exactas
Poultry Ownership and Genetic Antibiotic Resistance Determinants in the Gut of Preschool Children,HUMAN MEDICINE HUMANS,Zoonotic transmission is likely a pathway for antibiotic resistance. Data from a randomized trial of pediatric antibiotic administration were secondarily evaluated to determine if poultry ownership was significantly associated with the presence of gut genetic antibiotic resistance determinants among 118 children in Burkina Faso. Antimicrobial resistance (AMR) determinants were classified using DNA sequencing. We measured the relationship between genetic resistance determinants and chicken ownership using a logistic regression model adjusted for confounding variables. Children in households reporting poultry ownership had four times the odds of tetracycline resistance determinants in the gut compared with those without household poultry (odds ratio [OR]: 4.08 95% CI: 1.08-15.44 P = 0.04). There was no statistically significant difference found for other antibiotic classes. Understanding the origins of antibiotic resistance may help spur the development of interventions to combat the global AMR crisis.,1,Medicina
World Health Organization Ranking of Antimicrobials According to Their Importance in Human Medicine: A Critical Step for Developing Risk Management Strategies for the Use of Antimicrobials in Food Production Animals,"RESISTANT STAPHYLOCOCCUS-AUREUS 
BLOOD-STREAM INFECTIONS  
ESCHERICHIA-COLI 
ANTIBIOTIC-RESISTANCE 
BACTERIAL-INFECTIONS 
BETA-LACTAMASE 
SUSCEPTIBILITY 
CAMPYLOBACTER 
PIGS 
QUINOLONE ","The use of antimicrobials in food animals creates an important source of antimicrobial-resistant bacteria that can spread to humans through the food supply. Improved management of the use of antimicrobials in food animals particularly reducing the usage of those that are ""critically important"" for human medicine is an important step toward preserving the benefits of antimicrobials for people. The World Health Organization has developed and applied criteria to rank antimicrobials according to their relative importance in human medicine. Clinicians regulatory agencies policy makers and other stakeholders can use this ranking when developing risk management strategies for the use of antimicrobials in food production animals. The ranking allows stakeholders to focus risk management efforts on drugs used in food animals that are the most important to human medicine and thus need to be addressed most urgently such as fluoroquinolones macrolides and third-and fourth-generation cephalosporins.",0,Medicina
Poultry Ownership Associated with Increased Risk of Child Diarrhea: Cross-Sectional Evidence from Uganda,"POISSON 
REGRESSION 
APPROACH 
FECAL CONTAMINATION 
DRINKING-WATER 
YOUNG-CHILDREN 
INFECTIONS 
EXPOSURE 
INFANTS 
HYGIENE 
HOUSEHOLDS 
LIVESTOCK ",Domestic animals have been associated with enteric infections in young children and can also be carriers of respiratory viruses. We conducted a cross-sectional assessment of health outcomes in children aged < 5 years associated with animal presence among 793 rural households in Uganda. We recorded the 2-week prevalence of diarrhea and respiratory infections in children and the number of cows poultry sheep/goats and pigs in the household. We used generalized linear models with robust standard errors to estimate the prevalence ratio (PR) for diarrhea and respiratory infections associated with households owning the above- versus below-median number of animals. We conducted unadjusted and adjusted analyses controlling for socioeconomic water sanitation and hygiene indicators. Children in households with the above-median number (> 5) of poultry had 83% higher diarrhea prevalence than those with <= 5 poultry (adjusted PR = 1.83 [1.04 3.23] P = 0.04). Children in households with the above-median number (> 2) of cows had 48% lower prevalence of respiratory infection than those with <= 2 cows (adjusted PR = 0.52 [0.35 0.76] P < 0.005). There were no other significant associations between domestic animals and child health. Studies should assess if barring chickens from indoor living quarters and sanitary disposal of chicken and other animal feces can reduce childhood zoonotic infections,0,Medicina
Clinical and economic impact of antibiotic resistance in developing countries: A systematic review and meta-analysis,"INTENSIVE-CARE-UNIT 
BLOOD-STREAM INFECTIONS 
ACINETOBACTER-BAUMANNII BACTEREMIA 
PSEUDOMONAS-AERUGINOSA BACTEREMIA 
STAPHYLOCOCCUS-AUREUS BACTEREMIA 
VENTILATOR-ASSOCIATED PNEUMONIA 
RISK-FACTORS 
MULTIDRUG-RESISTANT 
ESCHERICHIA-COLI 
KLEBSIELLA-PNEUMONIAE ","Introduction Despite evidence of the high prevalence of antibiotic resistant infections in developing countries studies on the clinical and economic impact of antibiotic resistance (ABR) to  form interventions to contain its emergence and spread are limited. The aim of this study was to analyze the published literature on the clinical and economic implications of ABR in developing countries. Methods

A systematic search was carried out in Medline via PubMed and Web of Sciences and included studies published from January 01 2000 to December 09 2016. All papers were considered and a quality assessment was performed using the Newcastle-Ottawa quality assessment scale (NOS). Results

Of 27 033 papers identified 40 studies met the strict inclusion and exclusion criteria and were finally included in the qualitative and quantitative analysis. Mortality was associated with resistant bacteria and statistical significance was evident with an odds ratio (OR) 2.828 (95% CI 2.231 -3.584; p = 0.000). ESKAPE pathogens was associated with the highest risk of mortality and with high statistical significance (OR 3.217; 95% CIs; 2.395- 4.321; p = 0.001). Eight studies showed that ABR and especially antibiotic-resistant ESKAPE bacteria significantly increased health care costs.

Conclusion

ABR is associated with a high mortality risk and increased economic costs with ESKAPE pathogens implicated as the main cause of increased mortality. Patients with non-communicable disease co-morbidities were identified as high-risk populations.",0,Medicina
Antimicrobial drug-resistant Escherichia coli from humans and poultry products Minnesota and Wisconsin 2002-2004,"PHYLOGENETIC GROUP 
RETAIL FOODS 
CLONAL GROUP 
COMMUNITY 
ENTEROBACTERIACEAE 
INFECTIONS 
EMERGENCE 
PLASMIDS 
ANIMALS",The food supply including poultry products may transmit antimicrobial drug-resistant Escherichia coli to humans. To assess this hypothesis 931 geographically and temporally matched E. coli isolates from human volunteers (hospital inpatients and healthy vegetarians) and commercial poultry products (conventionally raised or raised without antimicrobial drugs) were tested by PCR for phylogenetic group (A B1 B2 D) and 60 virulence genes associated with extraintestinal pathogenic E coli. Isolates resistant to trimethoprim-sulfamethoxazole quinolones and extended-spectrum cephalosporins (n = 331) were compared with drug-susceptible isolates (n = 600) stratified by source. Phylogenetic and virulence markers of drug-susceptible human isolates differed considerably from those of human and poultry isolates. In contrast drug-resistant human isolates were similar to poultry isolates and drug-susceptible and drug-resistant poultry isolates were largely indistinguishable. Many drug-resistant human fecal E coli isolates may originate from poultry whereas drug-resistant poultry-source E. coli isolates likely originate from susceptible poultry-source precursors.,0,Medicina
How Safe is Chicken Litter for Land Application as an Organic Fertilizer?: A Review,antibiotic residues chicken litter contaminants growth hormones heavy metals human animal and environmental health pathogenic microorganisms,Chicken litter application on land as an organic fertilizer is the cheapest and most environmentally safe method of disposing of the volume generated from the rapidly expanding poultry industry worldwide. However little is known about the safety of chicken litter for land application and general release into the environment. Bridging this knowledge gap is crucial for maximizing the benefits of chicken litter as an organic fertilizer and mitigating negative impacts on human and environmental health. The key safety concerns of chicken litter are its contamination with pathogens including bacteria fungi helminthes parasitic protozoa and viruses; antibiotics and antibiotic-resistant genes; growth hormones such as egg and meat boosters; heavy metals; and pesticides. Despite the paucity of literature about chicken litter safety for land application the existing information was scattered and disjointed in various sources thus making them not easily accessible and difficult to interpret. We consolidated scattered pieces of information about known contaminants found in chicken litter that are of potential risk to human animal and environmental health and how they are spread. This review tested the hypothesis that in its current form chicken litter does not meet the minimum standards for application as organic fertilizer. The review entails a meta-analysis of technical reports conference proceedings peer-reviewed journal articles and internet texts. Our findings indicate that direct land application of chicken litter could be harming animal human and environmental health. For example counts of pathogenic strains of Eschericiacoli (10(5)-10(10) CFU g(-1)) and Coliform bacteria (10(6)-10(8) CFU g(-1)) exceeded the maximum permissible limits (MPLs) for land application. In Australia 100% of broiler litter tested was contaminated with Actinobacillus and re-used broiler litter was more contaminated with Salmonella than non-re-used broiler litter. Similarly in the US all (100%) broiler litter was contaminated with Eschericiacoli containing genes resistant to over seven antibiotics particularly amoxicillin ceftiofur tetracycline and sulfonamide. Chicken litter is also contaminated with a vast array of antibiotics and heavy metals. There are no standards set specifically for chicken litter for most of its known contaminants. Even where standards exist for related products such as compost there is wide variation across countries and bodies mandated to set standards for safe disposal of organic wastes. More rigorous studies are needed to ascertain the level of contamination in chicken litter from both broilers and layers especially in developing countries where there is hardly any data; set standards for all the contaminants; and standardize these standards across all agencies for safe disposal of chicken litter on land.,0,Medicina
Hysterical tetracycline in intensive poultry farms accountable for substantial gene resistance health and ecological risk in Egypt-manure and fish,GRAM-NEGATIVE BACTERIA PRESSURIZED LIQUID EXTRACTION ESCHERICHIA-COLI STRAINS ANTIBIOTIC-RESISTANCE VETERINARY ANTIBIOTICS ANTIBACTERIAL AGENTS BROILER-CHICKENS OXYTETRACYCLINE SOIL DETERMINANTS,Although the poultry production sector plays a key role in sustaining the majority of animal protein demand in Egypt the deleterious effects of widespread antibiotic resistance on health and environment are currently not well recognized. Litter and dropping samples from broiler and layer poultry farms as well as tilapia samples from the Nile River and aquaculture farms were collected from Upper Egypt. Samples were extracted and examined for tetracycline residues (tetracycline (TC) chlortetracycline (CTC) oxytetracycline (OTC) and doxycycline (DC)] using HPLC. In addition tetracycline resistance genes [tet (M) tet (W) tet (Q) and tet (G)] were screened from pooled intestinal contents collected from twelve broiler farms in Upper Egypt. The antibiotic resistance genes results revealed that tet (W) was confirmed to be expressed in all intestinal samples. In contrast tet (Q) and tet (M) were detected only in 42% and 17% of the samples respectively. CTC and OTC were the antimicrobial compounds with the highest concentrations in poultry litter and droppings with concentrations of 6.05 and 2.47 mu g g(-1) (CTC) and 5.9 and 1.33 mu g g(-1) (OTC) respectively. However the concentrations of DC were significantly higher than those of the other compounds in both aquaculture and Nile River tilapia. The tetracycline residue levels in aquaculture tilapia were significantly higher than those in Nile River tilapia. The hazard quotients (HQs) exceeded 1 for OTC CTC and DC which highlights the great risk of using broiler litter to fertilize agricultural land. Moreover the presence of DC and CTC indicates that consumption of aquaculture tilapia poses a considerable health risk. Therefore poultry litter or droppings containing tetracycline residues and tet resistance determinants used for aquaculture or as farmland fertilizers could be major sources of antibiotic resistance in fish humans and environment. (C) 2019 Elsevier Ltd. All rights reserved.,0,Medicina
Antibiotic Use in Agriculture and Its Consequential Resistance in Environmental Sources: Potential Public Health Implications,FOOD ANIMAL PRODUCTION GRAM-NEGATIVE BACTERIA DRINKING-WATER SOURCES ANTIMICROBIAL RESISTANCE ESCHERICHIA-COLI STAPHYLOCOCCUS-AUREUS SALMONELLA-ENTERICA PRODUCTION SYSTEMS MOLECULAR CHARACTERIZATION TETRACYCLINE RESIDUES,Due to the increased demand of animal protein in developing countries intensive farming is instigated which results in antibiotic residues in animal-derived products and eventually antibiotic resistance. Antibiotic resistance is of great public health concern because the antibiotic-resistant bacteria associated with the animals may be pathogenic to humans easily transmitted to humans via food chains and widely disseminated in the environment via animal wastes. These may cause complicated untreatable and prolonged infections in humans leading to higher healthcare cost and sometimes death. In the said countries antibiotic resistance is so complex and difficult due to irrational use of antibiotics both in the clinical and agriculture settings low socioeconomic status poor sanitation and hygienic status as well as that zoonotic bacterial pathogens are not regularly cultured and their resistance to commonly used antibiotics are scarcely investigated (poor surveillance systems). The challenges that follow are of local national regional and international dimensions as there are no geographic boundaries to impede the spread of antibiotic resistance. In addition the information assembled in this study through a thorough review of published findings emphasized the presence of antibiotics in animal-derived products and the phenomenon of multidrug resistance in environmental samples. This therefore calls for strengthening of regulations that direct antibiotic manufacture distribution dispensing and prescription hence fostering antibiotic stewardship. Joint collaboration across the world with international bodies is needed to assist the developing countries to implement good surveillance of antibiotic use and antibiotic resistance.,0,Medicina
Molecular epidemiology of antibiotic-resistant Enterococcus spp. from the farm-to-fork continuum in intensive poultry production in KwaZulu-Natal South Africa,ANTIMICROBIAL RESISTANCE STAPHYLOCOCCUS-AUREUS VIRULENCE FACTORS FAECALIS FOOD ANIMALS CHAIN IDENTIFICATION FAECIUM SAMPLES,The poultry industry is among the main protein suppliers worldwide. Thus this study determined the antibiotic resistance and virulence profiles of Enterococcus spp. along the farm-to-fork production chain of an intensive poultry system in the uMgungundlovu District Kwazulu-Natal South Africa. Overall 162 samples along the continuum (growth phase transport and post-slaughter) were evaluated for the presence of Enterococcus spp. using selective media biochemical tests and polymerase chain reaction (PCR). Resistance profiles were assessed by Kirby-Bauer disk diffusion method following the WHO-AGISAR recommended antibiotics panel for Enterococcus spp. Antibiotic resistance and virulence genes were detected using real-time PCR. Clonal relatedness was evaluated by REP-PCR. Overall 131 isolates were recovered across the continuum (34% E. faecalis 32% E. faecium 2% E. gallinarum and 32% other Enterococcus spp.). Resistance to tetracycline (79%) erythromycin (70%) nitrofurantoin (18%) ampicillin (15%) streptomycin (15%) chloramphenicol (10%) ciprofloxacin (4%) tigecycline (4%) gentamicin (4%) teicoplanin (3%) was observed among all Enterococcus spp.; no vancomycin resistance (0%) was recorded. Also 24% of E. faedum were resistant to quinupristin-dalfopristin. Twenty-four multidrug resistance (MDR) antibiograms were observed across all species: E. faecium (43%) showed the highest frequency of MDR. The most frequently observed antibiotic resistomes were tetM (76%) and ermB (66%) while smaller percentages were noted for aph(3')-IIIa (12%) and vanC1 (1%). Virulence genes efaAFs (100%) cpd (96%) and gelE (80%) were more prevalent in E. faecalis. Clonality revealed that isolates along the continuum were highly diverse with major REP-types consisting of isolates from the same sampling point. This study highlights the diversity MDR Enterococcus in the food chain with isolates harbouring resistance and virulence genes. These could be reservoirs for the potential transfer of pathogenic enterococci carrying these genes from poultry to humans through the food chain continuum thus underscoring the need for routine antibiotic resistance surveillance in food animals. (C) 2019 Elsevier B.V. All rights reserved.,0,Medicina
Exposure to Livestock Feces and Water Quality Sanitation and Hygiene (WASH) Conditions among Caregivers and Young Children: Formative Research in Rural Burkina Faso,ENVIRONMENTAL ENTEROPATHY FECAL CONTAMINATION DIARRHEA INFECTIONS RISK HOUSEHOLDS SHANTYTOWN PNEUMONIA GEOPHAGY POULTRY,Livestock farming is common in low-income settings as a source of income and animal-sourced food. However there is growing evidence of the harmful health effects of proximity of animals to infants and young children especially through exposure to zoonotic pathogens. Poultry ownership is almost universal in rural Burkina Faso. Poultry feces are a significant risk factor for enteric diseases that are associated with child undernutrition. To investigate the extent of exposure to livestock feces among young children and caregivers we conducted direct observations of 20 caregiver-child dyads for a total of 80 hours (4 hours per dyad) and recorded water quality sanitation and hygiene (WASH)-related behaviors. We also undertook in-depth interviews with these caregivers and focus group discussions with separate groups of men and women who were poultry farmers. Poultry and other livestock feces were visible in all 20 and 19 households respectively in both kitchen areas and in the household courtyards where children frequently sit or crawl. Direct soil ingestion by young children was observed in almost half of the households (45%). Poor handwashing practices were also common among caregivers and children. Although latrines were available in almost all households child feces disposal practices were inadequate. This body of research suggests an urgent need to adapt conventional WASH and livestock interventions to reduce the exposure of infants and young children to livestock feces.,0,Medicina
Gut Resistome After Oral Antibiotics in Preschool Children in Burkina Faso: A Randomized Controlled Trial,ANTIMICROBIAL RESISTANCE,We evaluated the effect of systemic antibiotics (azithromycin amoxicillin cotrimoxazole or placebo) on the gut resistome in children aged 6 to 59 months. Azithromycin and cotrimoxazole led to an increase in macrolide and sulfonamide resistance determinants. Resistome expansion can be induced with a single course of antibiotics.,0,Medicina
Effect of Commonly Used Pediatric Antibiotics on Gut Microbial Diversity in Preschool Children in Burkina Faso: A Randomized Clinical Trial,DOUBLE-BLIND AZITHROMYCIN COTRIMOXAZOLE ASSOCIATION PREVALENCE MORTALITY OBESITY,"Background. Exposure to antibiotics may result in alterations to the composition of intestinal microbiota. However few trials have been conducted and observational studies are subject to confounding by indication. We conducted a randomized controlled trial to determine the effect of 3 commonly used pediatric antibiotics on the intestinal microbiome in healthy preschool children.

Methods. Children aged 6-59 months were randomized (1:1:1:1) to a 5-day course of 1 of 3 antibiotics including amoxicillin (25 mg/kg/d twice-daily doses) azithromycin (10 mg/kg dose on day 1 and then 5 mg/kg once daily for 4 days) cotrimoxazole (240 mg once daily) or placebo. Rectal swabs were obtained at baseline and 5 days after the last dose and were processed using 16S rRNA gene sequencing. The prespecified primary outcome was inverse Simpson's alpha-diversity index.

Results. Post-treatment Simpson's diversity was significantly different across the 4 arms (P = .003). The mean Simpson's alpha-diversity among azithromycin-treated children was significantly lower than in placebo-treated children (6.6; 95% confidence interval [CI] 5.5-7.8; vs 9.8; 95% CI 8.7-10.9; P = .0001). Diversity in children treated with amoxicillin (8.3; 95% CI 7.0-9.6; P = .09) or cotrimoxazole (8.3; 95% CI 8.2-9.7; P = .08) was not significantly different than placebo.

Conclusions. Azithromycin affects the composition of the pediatric intestinal microbiome. The effect of amoxicillin and cotrimoxazole on microbiome composition was less clear",0,Medicina
Household Animal and Human Medicine Use and Animal Husbandry Practices in Rural Bangladesh: Risk Factors for Emerging Zoonotic Disease and Antibiotic Resistance,PERUVIAN SHANTYTOWN ANTIMICROBIAL USE ESCHERICHIA-COLIFOOD ANIMALS COMMUNITY POULTRY HEALTH DISTRICT CHILDREN WORKERS,Animal antimicrobial use and husbandry practices increase risk of emerging zoonotic disease and antibiotic resistance. We surveyed 700 households to elicit information on human and animal medicine use and husbandry practices. Households that owned livestock (n=265/459 57.7%) reported using animal treatments 630 times during the previous 6months; 57.6% obtained medicines including antibiotics from drug sellers. Government animal healthcare providers were rarely visited (9.7%) and respondents more often sought animal health care from pharmacies and village doctors (70.6% and 11.9% respectively) citing the latter two as less costly and more successful based on past performance. Animal husbandry practices that could promote the transmission of microbes from animals to humans included the following: the proximity of chickens to humans (50.1% of households reported that the chickens slept in the bedroom); the shared use of natural bodies of water for human and animal bathing (78.3%); the use of livestock waste as fertilizer (60.9%); and gender roles that dictate that females are the primary caretakers of poultry and children (62.8%). In the absence of an effective animal healthcare system villagers must depend on informal healthcare providers for treatment of their animals. Suboptimal use of antimicrobials coupled with unhygienic animal husbandry practices is an important risk factor for emerging zoonotic disease and resistant pathogens.,0,Medicina
Human animal and environmental contributors to antibiotic resistance in low-resource settings: integrating behavioural epidemiological and One Health approaches,SPECTRUM BETA-LACTAMASE HOSPITAL WASTE-WATER ESCHERICHIA-COLI ANTIMICROBIAL RESISTANCE CHINESE SWINE GENES PREVALENCE POULTRY TRENDS SPREAD,Antibiotic resistance (ABR) is recognized as a One Health challenge because of the rapid emergence and dissemination of resistant bacteria and genes among humans animals and the environment on a global scale. However there is a paucity of research assessing ABR contemporaneously in humans animals and the environment in low-resource settings. This critical review seeks to identify the extent of One Health research on ABR in low-and middle-income countries (LMICs). Existing research has highlighted hotspots for environmental contamination; food-animal production systems that are likely to harbour reservoirs or promote transmission of ABR as well as high and increasing human rates of colonization with ABR commensal bacteria such as Escherichia coli. However very few studies have integrated all three components of the One Health spectrum to understand the dynamics of transmission and the prevalence of community-acquired resistance in humans and animals. Microbiological epidemiological and social science research is needed at community and population levels across the One Health spectrum in order to fill the large gaps in knowledge of ABR in low-resource settings.,0,Medicina
Effect of Antibiotics on Short-Term Growth among Children in Burkina Faso: A Randomized Trial,SEVERE ACUTE MALNUTRITION MASS TREATMENT DOUBLE-BLIND GUT MICROBIOTA AZITHROMYCIN MORTALITY EXPOSURE MALARIA COTRIMOXAZOLE CHILDHOOD,Antibiotics improve both weight and height gain in randomized trials of preschool children with preexisting morbidity. Here we assess the effect of a short course of three different antibiotics (amoxicillin azithromycin and cotrimoxazole) on short-term linear and ponderal growth in a population-based sample of preschool children in rural Burkina Faso. We randomized households with at least two children in the Nouna district Burkina Faso to a 5-day course of amoxicillin azithromycin cotrimoxazole or placebo. Within each antibiotic-randomized household one child was randomly assigned to receive the antibiotic and the other to receive the placebo. Weight and height measurements were taken at baseline and 30 days following the last study medication dose. Weight-for-height Z (WHZ) height-for-age Z (HAZ) and weight-for-age Z (WAZ) scores were calculated based on the 2006 World Health Organization standards. Of the 124 households and 248 children enrolled 229 had anthropometry measurements at 1 month and were analyzed. Children randomized to amoxicillin gained significantly more weight compared with both the placebo household (mean difference 317 g 95% confidence interval [CI]: 115-519 g) and placebo sibling (mean difference 315 g 95% CI: 147-482 g) controls. Growth velocity in g/kg/day and WHZ and WAZ scores were higher in amoxicillin-treated children compared with placebo households and siblings. There were no differences in weight gain in children randomized to azithromycin or cotrimoxazole compared with placebo households or placebo siblings. There were no differences in height gain or HAZ across any of the study arms. Amoxicillin may have short-term growth-promoting effects in healthy children.,0,Medicina
Dietary diversity and nutritional status among children in rural Burkina Faso,RANDOMIZED CONTROLLED-TRIAL MIDDLE-INCOME COUNTRIES MALARIA UNDERNUTRITION MALNUTRITION CHILDHOOD PREDICTOR GROWTH,"Background: Burkina Faso has a seasonal malnutrition pattern with higher malnutrition prevalence during the rainy season when crop yields are low. We investigated the association between dietary diversity and nutritional status among children aged 6-59 mo during the low crop yield season in rural Burkina Faso to assess the role of dietary diversity during the lean season on childhood nutritional status.

Methods: Caregivers reported the dietary diversity of the past 7 d consisting of 11 food groups summed into a scale. Anthropometric measurements were taken from all children. Height-for-age (HAZ) weight-for-height (WHZ) and weight-for-age (WAZ) z-scores were calculated based on 2006 WHO standards. Stunting wasting and underweight were defined as HAZ WHZ and WAZ <-2 SD respectively. Multivariable regression models adjusting for potential confounders including household food insecurity and animal ownership were used to assess the relationship between anthropometric indices and dietary diversity.

Results: Of 251 children enrolled in the study 20.6% were stunted 10.0% wasted and 13.9% underweight. Greater dietary diversity was associated with greater HAZ (SD 0.14 95% CI 0.04 to 0.25) among all children. There was no association between dietary diversity and wasting or mid-upper arm circumference in this study.

Conclusions: Increasing dietary diversity may be an approach to reduce the burden of stunting and chronic malnutrition among young children in regions with seasonal food insecurity.",0,Medicina
The analyses of human inherited disease and tissue-specific proteins in the interaction network,HUMAN PROTEOME GENES MEDICINE DRAFT,"Objectives: With the announcement of human proteome and interaction data it becomes possible to comprehensively investigate the tissue-expression and network properties of inherited disease proteins. In this study our goal was to develop methods to map the disease and expression data and analyze the disorder-tissue associations.

Methods: In this paper we manually classified the human disease proteins into 22 disorder classes and systematically analyzed the properties of disease proteins in different disorder classes. Then we investigated the similarity of different disorder classes by computing the overlap of different disorder proteins and networks. We proposed two novel measures Enrichment Ratio and P-value for comparative analysis of disease proteins across tissues and revealed the associations between disorder classes and tissues/cells.

Results: Compared with non-disease proteins disease proteins tend to express in more tissues have higher expression levels and interact with more other proteins in the network. The overlap percentages of networks are much higher than those of proteins implying that different disorder classes usually influence each other by means of their interacting neighbors. The metabolic muscular and hematologic proteins are related with most tissues/cells and cancer proteins are closely associated with the disorders in immune cells.

Conclusion: This paper provided novel methods to investigate proteome-wide disease proteins and their interacting networks in order to understand different disease's associations. (C) 2016 Elsevier Inc. All rights reserved.",1,Medicina
Network medicine: a network-based approach to human disease,PROTEIN-INTERACTION NETWORK GENE-COEXPRESSION NETWORK TOPOLOGICAL FEATURES COMMUNITY STRUCTURE MOLECULAR NETWORKS SMALL-WORLD INTERACTOME CANCER MODULARITY DISCOVERY,Given the functional interdependencies between the molecular components in a human cell a disease is rarely a consequence of an abnormality in a single gene but reflects the perturbations of the complex intracellular and intercellular network that links tissue and organ systems. The emerging tools of network medicine offer a platform to explore systematically not only the molecular complexity of a particular disease leading to the identification of disease modules and pathways but also the molecular relationships among apparently distinct (patho)phenotypes. Advances in this direction are essential for identifying new disease genes for uncovering the biological significance of disease-associated mutations identified by genome-wide association studies and full-genome sequencing and for identifying drug targets and biomarkers for complex diseases.,0,Medicina
Comparative Analysis of Human Tissue Interactomes Reveals Factors Leading to Tissue-Specific Manifestation of Hereditary Diseases,BETA-DYSTROGLYCAN GENE-EXPRESSION DATABASE NETWORKS CANCER IDENTIFICATION ASSOCIATION MUTATIONS PATHOLOGY DOMAIN,An open question in human genetics is what underlies the tissue-specific manifestation of hereditary diseases which are caused by genomic aberrations that are present in cells across the human body. Here we analyzed this phenomenon for over 300 hereditary diseases by using comparative network analysis. We created an extensive resource of protein expression and interactions in 16 main human tissues by integrating recent data of gene and protein expression across tissues with data of protein-protein interactions (PPIs). The resulting tissue interaction networks (interactomes) shared a large fraction of their proteins and PPIs and only a small fraction of them were tissue-specific. Applying this resource to hereditary diseases we first show that most of the disease-causing genes are widely expressed across tissues yet enigmatically cause disease phenotypes in few tissues only. Upon testing for factors that could lead to tissue-specific vulnerability we find that disease-causing genes tend to have elevated transcript levels and increased number of tissue-specific PPIs in their disease tissues compared to unaffected tissues. We demonstrate through several examples that these tissue-specific PPIs can highlight disease mechanisms and thus owing to their small number provide a powerful filter for interrogating disease etiologies. As two thirds of the hereditary diseases are associated with these factors comparative tissue analysis offers a meaningful and efficient framework for enhancing the understanding of the molecular basis of hereditary diseases.,0,Medicina
Tissue specificity and the human protein interaction network,YEAST MAP EXPRESSION RESOURCE MOUSE COMPLEXES FRAMEWORK DATABASE REVEALS,A protein interaction network describes a set of physical associations that can occur between proteins. However within any particular cell or tissue only a subset of proteins is expressed and so only a subset of interactions can occur. Integrating interaction and expression data we analyze here this interplay between protein expression and physical interactions in humans. Proteins only expressed in restricted cell types like recently evolved proteins make few physical interactions. Most tissue-specific proteins do however bind to universally expressed proteins and so can function by recruiting or modifying core cellular processes. Conversely most 'housekeeping' proteins that are expressed in all cells also make highly tissue-specific protein interactions. These results suggest a model for the evolution of tissue-specific biology and show that most and possibly all 'housekeeping' proteins actually have important tissue-specific molecular interactions. Molecular Systems Biology 7 April 2009; doi:10.1038/msb.2009.17,0,Medicina
Exploring the human diseasome: the human disease network,PROTEIN-INTERACTION NETWORK MOLECULAR-BASIS COMPLEX INTERACTOME DISORDERS MEDICINE GENES BIOLOGY,Advances in genome-scale molecular biology and molecular genetics have greatly elevated our knowledge on the basic components of human biology and diseases. At the same time the importance of cellular networks between those biological components is increasingly appreciated. Built upon these recent technological and conceptual advances a new discipline called the network medicine an approach to understand human diseases from a network point-of-view is about to emerge. In this review article we will survey some recent endeavours along this direction centred on the concept and applications of the human diseasome and the human disease network. Questions and partial answers thereof such as how the connectivity between molecular parts translates into the relationships between the related disorders on a global scale and how central the disease-causing genetic components are in the cellular network will be discussed. The use of the diseasome in combination with various interactome networks and other disease-related factors is also reviewed.,0,Medicina
The human disease network,PROTEIN INTERACTION NETWORK TOPOLOGICAL FEATURES GENES INTERACTOME MODULARITY GENOMICS BIOLOGY YEAST,A network of disorders and disease genes linked by known disorder-gene associations offers a platform to explore in a single graph-theoretic framework all known phenotype and disease gene associations indicating the common genetic origin of many diseases. Genes associated with similar disorders show both higher likelihood of physical interactions between their products and higher expression profiling similarity for their transcripts supporting the existence of distinct disease-specific functional modules. We find that essential human genes are likely to encode hub proteins and are expressed widely in most tissues. This suggests that disease genes also would play a central role in the human interactome. In contrast we find that the vast majority of disease genes are nonessential and show no tendency to encode hub proteins and their expression pattern indicates that they are localized in the functional periphery of the network. A selection-based model explains the observed difference between essential and disease genes and also suggests that diseases caused by somatic mutations should not be peripheral a prediction we confirm for cancer genes.,0,Medicina
Online Mendelian Inheritance in Man (OMIM) a knowledgebase of human genes and genetic disorders,Biotechnology gene mutation genetics human electronically ,Online Mendelian Inheritance in Man (OMIM(TM)) is a comprehensive authoritative and timely knowledgebase of human genes and genetic disorders compiled to support human genetics research and education and the practice of clinical genetics. Started by Dr Victor A. McKusick as the definitive reference Mendelian Inheritance in Man OMIM (http://www.ncbi.nim.nih.gov/omim/) is now distributed electronically by the National Center for Biotechnology Information where it is integrated with the Entrez suite of databases. Derived from the biomedical literature OMIM is written and edited at Johns Hopkins University with input from scientists and physicians around the world. Each OMIM entry has a full-text summary of a genetically determined phenotype and/or gene and has numerous links to other genetic databases such as DNA and protein sequence PubMed references general and locus-specific mutation databases HUGO nomenclature MapViewer GeneTests patient support groups and many others. OMIM is an easy and straightforward portal to the burgeoning information in human genetics.,0,Medicina
