"uid","datasetinformation_agency","name","url","description","type","category","tags","last_metadata_updated_date","last_data_updated_date","api_endpoint","domain","derived_view","parent_uid","attribution","attribution_link","contact_email","datasetsummary_datasetowner","datasetsummary_organization","datasetsummary_contactinformation","datasetsummary_timeperiod","datasetsummary_postingfrequency","datasetsummary_coverage","datasetsummary_granularity","disclaimers_limitations","notes_notes","additionalresources_seealso","disclaimers_disclaimer"
"jrac-r9vc","Labor, Department of","Elevator Contractor License: New York State Department of Labor","https://data.ny.gov/d/jrac-r9vc","The dataset includes a comprehensive list of contractor licenses that have been issued to businesses for the purpose of elevator inspection and contracting within New York State.  The dataset includes contractor information such as name, address, phone and license information such as license number, license type, issued date and expiration date.","dataset","Government & Finance","inspection,elevator,contractor,license","2026-04-01T09:11:25.000","2026-04-01T09:11:25.000","https://data.ny.gov/resource/jrac-r9vc.json","data.ny.gov","false",,"New York State Department of Labor","https://dol.ny.gov/elevator-licensing-information","license&certificate@labor.ny.gov","New York State Department of Labor","Division of Safety and Health","license&certificate@labor.ny.gov","The data includes all active licenses and licenses that have expired within the last 2 years","Daily","Statewide","City",,,"https://dol.ny.gov/",
"7xrz-ds9m","Energy Research and Development Authority","NYSERDA 2024 Soils Data for use in the Large-Scale Renewables and NY-Sun Programs","https://data.ny.gov/d/7xrz-ds9m","THE NYSERDA 2024 SOILS DATA IS TO BE USED FOR NYSERDA’S RENEWABLE ENERGY STANDARD (RES) REQUEST FOR PROPOSAL (RFP) ISSUED AFTER THE PUBLICATION OF THIS DATA OR THE NY-SUN PROGRAM AND IS NOT INTENDED TO REPRESENT ACTUAL IN SITU SOIL CONDITIONS. 

In order to facilitate the protection of agricultural lands, developers participating in RESRFPs or the NY-Sun program may be responsible for making an agricultural mitigation payment to a designated fund based on the extent to which the solar project’s facility area overlaps with an Agricultural District and New York’s highly productive agricultural soils, identified as Mineral Soil Groups (MSG) classifications 1 through 4 (MSG 1-4). This mitigation approach is designed to discourage solar projects from siting on MSG 1-4.  Furthermore, this mitigation approach is designed to encourage retaining agricultural productivity on the project site.  Instances where Proposers cannot avoid or minimize impacts on MSG 1-4 will result in a payment to a fund administered by NYSERDA. Disbursement of collected agricultural mitigation payment funds will be informed by consultation with the New York State Department of Agriculture and Markets (AGM) to support ongoing regional agricultural practices and/or soil conservation initiatives.

This dataset contains a combination of soils data from multiple sources to serve participants of NYSERDA’s Large-Scale Renewable and NY-Sun programs. The NYSERDA 2024 Soils Data was created by converting the 2024 New York State Agricultural Land Classification master list of soils maintained by AGM to a tabular form and providing a corresponding unique identifier for each listed soil that enables the user to link the soils to the Natural Resources Conservation Service (NRCS) SSURGO soils database, allowing for a geographical representation.  When the NYSERDA 2024 Soils Data is joined with spatial data from the Natural Resources Conservation Service (NRCS) SSURGO soils database, the corresponding soil unit can be mapped in a geographic information system software.  The latest version of the SSURGO database should be used to get the most accurate join.  Data is updated yearly from both NRCS and from AGM, however, NYSERDA will not update this dataset and it will remain intact for future reference. NYSERDA intends on creating new soils datasets for future procurements on an annual basis.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","dataset","Energy & Environment","mineral soil groups,lsr,large-scale renewables,tier 1 recs,clean energy standard,ces,res,agriculture,agm,resrfp24-1,soils,mwh,mw,msgs","2026-03-30T19:38:43.000","2024-05-17T19:44:44.000","https://data.ny.gov/resource/7xrz-ds9m.json","data.ny.gov","false",,"New York State Energy Research and Development Authority (NYSERDA)","https://www.nyserda.ny.gov/All-Programs/clean-energy-standard/renewable-generators-and-developers/res-tier-one-eligibility/solicitations-for-long-term-contracts","openny@nyserda.ny.gov","New York State Energy Research and Development Authority (NYSERDA)","New York State Energy Research and Development Authority:  Large Scale Renewables, NY-Sun","openny@nyserda.ny.gov; res@nyserda.ny.gov; solardata@nyserda.ny.gov ","2024; NYSERDA intends on creating new soils datasets for future procurements on an annual basis.","Static - Not Updated","Statewide (but not inclusive of counties within New York City nor the St. Regis tribal territory)","Soil map unit","This data represents the best available data as of the time of its release in May of 2024.  NYSERDA will not update this dataset; rather, it will remain intact for future reference.  NYSERDA intends on creating new soils datasets for future procurements on an annual basis.  The NYSERDA 2024 Soils Data is to be used for NYSERDA’s procurement purposes or the NY-Sun program and is not intended to represent actual in situ soil conditions. NYSERDA does not warrant or represent this data as suitable for other uses outside of this intended use.   The compiled soils data covers all MSGs in the state, but also includes soils codes no longer in use by NRCS.  Records not included in this data include non-soil types such as water, quarries, and landfills.  Six areas are not in the source data, including all counties of New York City and the St. Regis tribal territory.  The 2024 New York State Agricultural Land Classification contains a subset of soils which may have multiple potential MSG values depending on various soil modifier attributes, among other variables. For the purposes of NYSERDA’s programs, for these subsets of soils, the NYSERDA 2024 Soils Data will default to the lowest potential MSG value (i.e., highest quality soil type) for the respective subset of soils.  For example, the Albany County soil Hamlin can potentially be designated with a MSG value of 1, 3 or 5. The NYSERDA 2024 Soils Data will assign the Hamlin soil an MSG value of 1.   Additional fields provide all possible mineral soil group values and the corresponding soil modifier fields. ",,"Natural Resources Conservation Service (NRCS) SSURGO database - https://nrcs.app.box.com/v/soils",
"nhjr-rpi2","Motor Vehicles, Department of","Facilities Licensed by the Department of Motor Vehicles (DMV)","https://data.ny.gov/d/nhjr-rpi2","Data set containing information on the facilities licensed by DMV in accordance with Vehicle and Traffic Law.","dataset","Transportation","scrap,inspection,salvage,yacht,dealers,wholesale,snowmobile,station,used,automobile,atv,car,dismantler,boat,new,repair","2026-03-02T21:50:24.000","2026-03-02T21:51:01.000","https://data.ny.gov/resource/nhjr-rpi2.json","data.ny.gov","false",,"NYS DMV","http://www.dmv.ny.gov/repairshop.htm","TechServ@dmv.ny.gov","NYS DMV — Vehicle Safety Services","Vehicle Safety","TechServ@dmv.ny.gov","Current Data","Annually","Statewide","Facility type","Facilities expired less than 6 years are included in the data set.  ",,,
"84qh-f5nv","Taxation and Finance, Department of","New York State Corporate Tax Credits by Major Industry Group: Beginning Tax Year 2001","https://data.ny.gov/d/84qh-f5nv","The Department of Taxation and Finance annually produces a mandated dataset of credit activity under the General Business Corporation Franchise Tax (Article 9‐A) to help analyze the effects of the claims. 
The data used to generate this report come from an annual study file based on the latest available data drawn from New York State corporation tax returns.  The totals in the summary datasets may not match the detail datasets due to rounding and disclosure requirements.  The totals in the summary datasets may not match the detail data due to rounding and disclosure requirements.  Total values for numbers of taxpayers and amount of credit, in addition to mean and median credit, were computed using all taxpayers in the study file.

A series of datasets presents profiles of the credits distributed by different subgroupings. These include:
•	Summarization of tax credit activity by credit and component
•	Summarization of tax credit activity by credit, component and basis of taxation.
•	Summarization of tax credit activity by credit, component and NAICS industry description.  
•	Summarization of tax credit activity by credit, component and the size of the credit used.  
•	Summarization of tax credit activity by credit, component and the size of the entire net income of the taxpayer.  

Secrecy provisions preclude providing all subgroupings for all credits and also generally require the omission of credit refund data.  These datasets only contains data for corporate franchise taxpayers filing under Article 9-A. It does not include statistics for taxpayers filing as banks under Article 32 (however, starting in 2015 banks and general business corporations will file under the same tax article, Article 9A), insurance companies filing under Article 33, or taxpayers filing under any of the various sections of Article 9. Nor does it provide data for taxpayers claiming credits under Article 22, the Personal Income Tax.  These taxpayers claim credit by virtue of being sole proprietors or as recipients of credit that originated with flow-through entities (i.e., S corporations, limited liability companies, or partnerships).","dataset","Government & Finance","general business corporation franchise tax credits,t&f business tax,article 9‐a,credits","2025-12-19T19:45:36.000","2025-12-19T19:45:37.000","https://data.ny.gov/resource/84qh-f5nv.json","data.ny.gov","false",,"New York State Department of Taxation and Finance","https://www.tax.ny.gov/research/stats/stat_corp/9a_tax_credits/article_9a_general_business_corporation_franchise_tax_credits_beginning_tax_year_2001.htm","OTPA.OpenNYData@tax.ny.gov","New York State Department of Taxation and Finance","Office of Tax Policy Analysis","OTPA.OpenNYData@tax.ny.gov","Beginning Tax Year 2001","Annually","Statewide",," There are several notable limitations of data use.  First, data cannot be disclosed where there are fewer than three taxpayers reporting values.  However, to prevent data users from backing into the undisclosed data, corresponding data suppression had to occur in another categorical range.  These suppressed data items often had observations greater than three.  For credits where a limited number of claims trigger disclosure provisions, only credit component totals are displayed. In some cases, specifically in tax years 2001 through 2010, even this level of aggregation is not sufficient and consequently there is no data provided for certain credits.  However, beginning with tax year 2011 all credits will be reported.  Therefore, a disproportionate number of zeros may be present signifying a lack of credit utilization.  Second, the datasets only contain data for corporate franchise taxpayers filing under Article 9-A and do not include credit claimed under other articles of the tax law. Third, due to the use of fiscal (as opposed to calendar) year periods and statutorily-permitted filing extensions, the Tax Department does not have complete data for a tax year until several years later.  Accordingly, the data in this dataset may not accurately portray the magnitude of the fiscal impact of these credits in the most recently reported fiscal year.  Other limitations include data not reflecting changes made in the course of an audit or resulting from an amended filing.  Amounts carried forward from one year may not match amounts reported as carried in for the following year for several reasons. Audit adjustments in one year will change the utilization of credit in future years. Changes in the filing composition of a taxpayer due to mergers, acquisitions, or divestitures may impact the amount of credit reported. Some taxpayers may go out of business altogether.  On the Department’s internal file from which this dataset is compiled, credit carry forwards are not perpetuated in the absence of a credit form. If a taxpayer fails to file a credit form, the amount of credit carried forward is eliminated from the file.  Furthermore, historical data presented in these datasets may differ from that presented in archived reports posted on the Department’s website. This can occur as a result of changes made to the data collection process and minor adjustments made to the original data files. In certain limited instances, errors made on either prior or current year credit claim forms may also result in discrepancies.  Lastly, legislative changes may impact the computation of particular credit components in different tax years. Where this occurs, it is noted in a footnote specific to the impacted credit.",,"Tax and Finance’s Analysis of Article 9-A General Business Corporation Franchise Tax Credits page: https://www.tax.ny.gov/research/stats/stat_corp/9a_tax_credits/article_9a_general_business_corporation_franchise_tax_credits_beginning_tax_year_2001.htm",
"hezw-um6e","Empire State Development","ESD Broadband Awarded Census Blocks Phase 1, 2, 3 Overlay","https://data.ny.gov/d/hezw-um6e","Awarded Census Blocks (CB) in Phases 1,2, and 3 of the New NY Broadband Program, including the number of homes connected and whether or not the entire CB was served.","map","Government & Finance","esd,census block,broadband,new ny broadband,internet","2022-04-25T15:14:25.000","2021-12-21T21:29:11.000","https://data.ny.gov/resource/hezw-um6e.json","data.ny.gov","true","y522-pesw","Empire State Development","https://broadband.ny.gov/new-ny-broadband-program","nysbroadband@esd.ny.gov","Empire State Development","ConnectALL Office","nysbroadband@esd.ny.gov","Current","Static - Not updated","Statewide","Census block",,,,
"wm3m-sami","Transportation, Department of","Upstate Primary Airport Hub Enplanements: Beginning 1997","https://data.ny.gov/d/wm3m-sami","The dataset lists the number of passengers boarding an aircraft at the NYS Airports.","filter","Transportation",,"2025-01-08T22:57:44.000","2025-03-27T19:23:25.000","https://data.ny.gov/resource/wm3m-sami.json","data.ny.gov","true","vpv5-zd4k","New York State Department of Transportation","http://www.faa.gov/airports/planning_capacity/passenger_allcargo_stats/passenger/","Reyhan.Doganaksoy@dot.ny.gov","New York State Department of Transportation","Aviation Bureau","Reyhan.Doganaksoy@dot.ny.gov","Beginning 1997","Annually","Statewide","Statewide by Airport — including Newark which serves the New York Metro Area. Airports grouped by region.",,,,
"664z-q5vk","Environmental Conservation, Department of","Harmful Algal Bloom Statewide Occurrence Summary Map: 2012-2018","https://data.ny.gov/d/664z-q5vk","A map based on a summary of the maximum bloom status that was documented by the DEC HABs Program in each waterbody in each year from 2012-2018.  Continuing data available at https://data.ny.gov/Energy-Environment/Harmful-Algal-Blooms-by-Waterbody-Summary-Beginnin/95my-wijm.","map","Energy & Environment",,"2020-09-30T23:16:52.000","2019-05-31T20:33:03.000","https://data.ny.gov/resource/664z-q5vk.json","data.ny.gov","true","qtg2-hjth","New York State Department of Environmental Conservation","http://www.dec.ny.gov/chemical/77118.html",,"New York State Department of Environmental Conservation","Division of Water, Bureau of Water Assessment and Management","HABsInfo@dec.ny.gov","Beginning 2012","Annually","Statewide","Waterbody",,,"https://www.dec.ny.gov/pubs/109457.html",
"4n7x-kstx","Thruway Authority","NYS Thruway Origin and Destination Points for All Vehicles - 15 Minute Intervals: 2016 Q1","https://data.ny.gov/d/4n7x-kstx","This file contains data on the number and types of vehicles that entered from each entry point on the tolled section of the Thruway with their exit points.","dataset","Transportation","interstate,destination,commercial,toll collection,toll,thruway,toll road,traffic,origin,e-zpass","2019-10-08T19:30:34.000","2016-04-07T19:25:16.000","https://data.ny.gov/resource/4n7x-kstx.json","data.ny.gov","false",,"New York State Thruway Authority",,"Eric.Christensen@thruway.ny.gov","Toll Collection, NYS Thruway Headquarters","Toll Collection, NYS Thruway Headquarters","Eric.Christensen@thruway.ny.gov","Single quarter (Q1: Jan - Mar; Q2: Apr - Jun; Q3: Jul - Sep; Q4: Oct- Dec) for year specified","Static - Not Updated","Statewide","Thruway exit","Excludes U-turns.  Data is unaudited/unadjusted and may differ slightly when compared to official annual Origin and Destination reports published by the Thruway.","This data can be used to study traffic patterns of vehicles on the Thruway over time.",,
"ubwk-iraf","Environmental Conservation, Department of","Legally Defined Closed Big Game Areas Map","https://data.ny.gov/d/ubwk-iraf","Areas of New York State closed to Big Game (deer & bear) hunting","map","Recreation",,"2021-11-20T03:06:19.000","2021-11-02T15:45:43.000","https://data.ny.gov/resource/ubwk-iraf.json","data.ny.gov","true","hnas-ffuy","NYS Department of Environmental Conservation (DEC)","https://www.dec.ny.gov/outdoor/hunting.html",,"NYS Department of Environmental Conservation (DEC)","Bureau of Wildlife","james.farquhar@dec.ny.gov","Current","As needed","Statewide","Closed area","  New York State Department of Environmental Conservation (NYSDEC) provides these geographic data \""as is\"". NYSDEC makes no guarantee or warranty concerning the accuracy of information contained in the geographic data. NYSDEC further makes no warranty, either expressed or implied, regarding the condition of the product or its fitness for any particular purpose. The burden for determining fitness for use lies entirely with the user. Although these data have been processed successfully on a computer system at NYSDEC, no warranty expressed or implied is made regarding the accuracy or utility of the data on any other system or for general or scientific purposes. This disclaimer applies both to individual use of the data and aggregate use with other data. It is strongly recommended that careful attention be paid to the contents of the metadata file associated with these data. NYSDEC shall not be held liable for improper or incorrect use of the data described and/or contained herein.","Borders based on 1:24,000 roads and streams","https://www.dec.ny.gov/outdoor/9998.html",
"7pay-q3uw","Olympic Regional Development Authority","ORDA Snowmaking: Beginning 2019","https://data.ny.gov/d/7pay-q3uw","This data set contains the hours of snowmaking, gallons of water pumped, and calculated Acre-ft of snow produced annually at ORDA’s Alpine Ski Venues since 2019.","dataset","Recreation","water withdrawal,snowmaking","2023-04-28T14:39:45.000","2023-04-28T14:39:46.000","https://data.ny.gov/resource/7pay-q3uw.json","data.ny.gov","false",,"Olympic Regional Development Authority","https://orda.org","foil@orda.org","Olympic Regional Development Authority","Olympic Regional Development Authority","foil@orda.org","Beginning 2019","Annually","ORDA Alpine Ski Venues","Individual site",,,,
"qs56-dsqp","Children and Family Services, Office of","Runaway and Homeless Youth Program Agencies Map","https://data.ny.gov/d/qs56-dsqp","Included in this data set are data elements that will help the public identify agencies that are certified to operate programs for runaway and homeless youth. These programs are available to assist runaway and homeless youth in emergency situation and provide independent living skills for youth in transition. Data elements include the agency name, agency business address, phone number, website and type of program offered.","map","Human Services","homeless youth,runaway youth","2026-03-19T21:27:41.000","2025-03-13T20:05:52.000","https://data.ny.gov/resource/qs56-dsqp.json","data.ny.gov","true","q88j-j2mi","New York State Office of Children and Family Services","http://ocfs.ny.gov/main/youth",,"Office of Children and Family Services","Division of Child Welfare and Community Services, Office of Youth Development","Matt.Beck@ocfs.ny.gov","Current","Annually","Statewide","Granularity  Agency","Locations of emergency shelters are confidential.",,"http://ocfs.ny.gov/",
"iyse-eb8d","Energy Research and Development Authority","RSBS SMO: Pool and Spa, New York State Residential Statewide Baseline Study: Single and Multifamily Occupant Telephone or Web Survey","https://data.ny.gov/d/iyse-eb8d","The New York State Energy Research and Development Authority (NYSERDA), in collaboration with the New York State Department of Public Service (DPS), conducted a statewide residential baseline study (study) from 2011 to 2014 of the single-family and multifamily residential housing segments, including new construction, and a broad range of energy uses and efficiency measures. This dataset includes 2,982 single-family and 379 multifamily occupant survey completes for a total of 3,361 responses. The survey involved 2,285 Web, 1,041 telephone, and 35 mini-inspection surveys. The survey collected information on the following building characteristics: building shell, kitchen appliances, heating and cooling equipment, water heating equipment, clothes washing and drying equipment, lighting, pool and spa equipment, small household appliances, miscellaneous energy consuming equipment, as well as behaviors and characteristics of respondents.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","filter","Energy & Environment","market characterization,rsbl study,energy efficiency,single-family homes,baseline study","2026-03-30T19:20:25.000","2015-10-29T21:25:38.000","https://data.ny.gov/resource/iyse-eb8d.json","data.ny.gov","true","87mp-9bnv","The New York State Energy Research and Development Authority Performance and Market Standards Group","http://www.nyserda.ny.gov/Residential-Statewide-Baseline-Study-of-New-York-State.aspx","openny@nyserda.ny.gov","New York State Energy Research and Development Authority","New York State Energy Research and Development Authority","openny@nyserda.ny.gov","2011 - 2014","Static - Not updated","Statewide","Survey Participant",,,,
"taxm-rhpv","Environmental Conservation, Department of","Aquatic Biological Monitoring Sampling Locations Map","https://data.ny.gov/d/taxm-rhpv","The Division of Water Stream Biomonitoring Unit (SBU) dataset contains the point sampling locations at which benthic macroinvertebrates, field chemistry, and at some locations, sediment, fish or diatoms have been collected as part of the Rotating Integrated Basin Studies (RIBS) program, Rapid Biological Assessments (RAS), or special studies. The data collected are used for water quality assessment (input to the Waterbody Inventory, completion of the 305(b) report and 303(d) list of impaired Waters) and for track-down of water quality problems. The data set is maintained by the Division of Water, Bureau of Water Assessment and Management, Stream Biomonitoring Unit.","map","Energy & Environment","ras,streams,water quality assessment,macroinvertebrates,rivers,ribs","2020-11-11T03:21:04.000","2025-05-19T16:15:56.000","https://data.ny.gov/resource/taxm-rhpv.json","data.ny.gov","true","absp-7rbm","New York State Department of Environmental Conservation","http://www.dec.ny.gov/chemical/23847.html",,"New York State Department of Environmental Conservation","Division of Water, Bureau of Water Assessment and Management","DOWInformation@dec.ny.gov","Beginning 1980","Annually","Statewide, with a small number of sites located outside the state on waters entering or leaving New York","Point locations","Any documentation provided is an integral part of the data set. Failure to use the documentation in conjunction with the digital data could lead to errors in analysis. Although every effort has been made to ensure the accuracy of information, errors may be reflected in the data supplied. The user must be aware of data conditions and bear responsibility for the appropriate use of the information with respect to possible errors, original map scale, collection methodology, currency of data, and other conditions.",,"http://www.dec.ny.gov/pubs/109457.html",
"6puw-im3v","Energy Research and Development Authority","RSBS SMO: Building Shell, New York State Residential Statewide Baseline Study: Single and Multifamily Occupant Telephone or Web Survey","https://data.ny.gov/d/6puw-im3v","The New York State Energy Research and Development Authority (NYSERDA), in collaboration with the New York State Department of Public Service (DPS), conducted a statewide residential baseline study (study) from 2011 to 2014 of the single-family and multifamily residential housing segments, including new construction, and a broad range of energy uses and efficiency measures. This dataset includes 2,982 single-family and 379 multifamily occupant survey completes for a total of 3,361 responses. The survey involved 2,285 Web, 1,041 telephone, and 35 mini-inspection surveys. The survey collected information on the following building characteristics: building shell, kitchen appliances, heating and cooling equipment, water heating equipment, clothes washing and drying equipment, lighting, pool and spa equipment, small household appliances, miscellaneous energy consuming equipment, as well as behaviors and characteristics of respondents.

The New York State Energy Research and Development Authority (NYSERDA) offers objective information and analysis, innovative programs, technical expertise, and support to help New Yorkers increase energy efficiency, save money, use renewable energy, and reduce reliance on fossil fuels. To learn more about NYSERDA’s programs, visit https://nyserda.ny.gov or follow us on X, Facebook, YouTube, or Instagram.","filter","Energy & Environment","baseline study,market characterization,rsbl study,single-family homes,energy efficiency","2026-03-30T18:47:30.000","2015-10-29T21:27:47.000","https://data.ny.gov/resource/6puw-im3v.json","data.ny.gov","true","3m6x-h3qa","The New York State Energy Research and Development Authority Performance and Market Standards Group","http://www.nyserda.ny.gov/Residential-Statewide-Baseline-Study-of-New-York-State.aspx","openny@nyserda.ny.gov","New York State Energy Research and Development Authority","The New York State Energy Research and Development Authority Performance and Market Standards Group","openny@nyserda.ny.gov","2011-2014","Static - Not updated","Statewide","Survey participant",,,,
"8fxv-ujra","Commission on Judicial Conduct, New York State","Public Determinations per Determination Type of the NYS Commission on Judicial Conduct: Beginning 1977","https://data.ny.gov/d/8fxv-ujra","All public determinations of judicial misconduct rendered by the NYS Commission on Judicial Conduct since the current Commission's inception in 1978, together with earlier determinations of the prior Commission.","filter","Transparency","judge,judicial conduct,court","2026-03-25T19:33:07.000","2025-03-20T14:51:36.000","https://data.ny.gov/resource/8fxv-ujra.json","data.ny.gov","true","gnpf-e4p2","New York State Commission on Judicial Conduct","http://www.cjc.ny.gov","cjc@cjc.ny.gov","New York State Commission on Judicial Conduct","Administrator’s Office","cjc@cjc.ny.gov","Beginning 1977","Annually","Statewide04/","Town or village","Non-public Commission determinations, including dismissals and private letters of caution, are confidential pursuant to Judiciary Law § 45 and are excluded from this dataset.",,"http://www.cjc.ny.gov/Publications/AnnualReports.htm",
"5y5b-3gjx","Aging, Office for","Home Delivered Meals Served, by County, by the Office for the Aging: Beginning 1974","https://data.ny.gov/d/5y5b-3gjx","This dataset is a listing of congregate and home delivered meals served 1974 to the present by the network of Area Agencies on Aging (AAAs).  AAAs - local offices for the Aging - provide services at senior center locations either directly or through subcontracts. Services may include but are not limited to congregate meals, health promotion, educational programs, recreation, etc.","filter","Human Services","aging resources,congregate meals,home delivered meals,aging offices","2026-03-19T14:45:08.000","2025-07-16T15:37:53.000","https://data.ny.gov/resource/5y5b-3gjx.json","data.ny.gov","true","uhw9-gyvi","New York State Office for the Aging","http://aging.ny.gov","webmaster@ofa.state.ny.us","New York State Office for the Aging","Division of Aging Network Operations","Steve.Sconfienza@Aging.NY.gov","Beginning 1974","Annually","Statewide","County",,,,"During the period covered by this data there have been many system changes that may impact its quality. Many different software programs have been written and utilized over the years to collect and store this data. Also the hardware used has gone from “main frame” to servers. Each of these changes introduced an opportunity for error that may affect data quality.  NYC-area reporting changes are responsible for the spike in meals served for the 1989-1990 period."
"cm2g-u3jb","Environmental Conservation, Department of","MOVES 2021 Input Data Tables","https://data.ny.gov/d/cm2g-u3jb","Inputs for the publicly available EPA modeling utility MOVES (MOtor Vehicle Emissions Simulator), used to estimate air pollution emissions from mobile sources. Please contact dec.sm.MOVES@dec.ny.gov with questions.","file","Energy & Environment","electric vehicles,emissions,fuels,mobile,moves 3,motor vehicles,vehicle miles traveled,vehicle population,moves,mobile emissions,modeling,motor vehicle emissions simulator,moves3","2024-04-15T18:23:13.000","2024-01-17T03:21:03.000","https://data.ny.gov/resource/cm2g-u3jb.json","data.ny.gov","false",,"NYS Department of Environmental Conservation","https://www.dec.ny.gov/chemical/281.html#mobile","dec.sm.MOVES@dec.ny.gov","NYS Department of Environmental Conservation","Bureau of Air Quality Planning, Mobile Source & Climate Change Planning Section","dec.sm.MOVES@dec.ny.gov","2021 Model Year","Static - Not Updated","Statewide","County",,,"CRC Report No. A-100, Improvement to Default Inputs for MOVES and SMOKE-MOVES: http://crcsite.wpengine.com/wp-content/uploads/2019/05/ERG_FinalReport_CRCA100_28Feb2017.pdf ","Vehicle populations are estimated based on records obtained from NYS DMV. This data contains some records with incomplete or inaccurate data. As a result, sourceID populations are estimates for New York State and not exact.   Because we are modeling a large area with a large amount of data, the inputs, and thus the results, are not perfectly accurate; however, they represent an estimation of emissions at the county scale. Additionally, to meet required VMT to VPOP ratios set be the EPA, some vehicles had to be moved from their listed county into another county. As a result, the sourceID populations provided do not perfectly match the raw data obtained from the NYS Department of Motor Vehicles. The populations for sourceIDs 42, 43, 51, 54, 61 and 62 have been slightly reallocated to meet the required VMT to VPOP ratios for those sourceIDs. This reallocation was done in accordance with EPA requirements. See the provided overview for more information."
"rcgp-qd58","Port Authority of New York and New Jersey","Average Weekday Interstate Ferry Ridership Figures for Port Authority:  Beginning 1998","https://data.ny.gov/d/rcgp-qd58","This dataset provides average weekday ridership trends on New York/New Jersey interstate ferry routes.   It counts ridership as unlinked trips, covering both directions of travel between the two states.  It includes only scheduled interstate ferry services, and excludes tour and charter trips.  The dataset provides separate totals columns for ferry terminals serving Midtown (W 39th St/Pier 79) and Downtown (Pier 11 and the World Financial Center).","dataset","Transportation","port authority of ny & nj,ferries,transportation,transit","2019-06-10T17:59:20.000","2016-10-21T18:04:07.000","https://data.ny.gov/resource/rcgp-qd58.json","data.ny.gov","false",,"Port Authority of NY & NJ",,"abhowmick@panynj.gov","Port Authority of NY & NJ and NYC Dept. of Transportation","Planning and Regional Development Department, Port Authority of NY & NJ","abhowmick@panynj.gov","Beginning 1998","Quarterly","New York Harbor","Midtown (W 39th St/Pier 79) vs. Downtown (Pier 11 or the World Financial Center)","The Staten Island Ferry and New York Harbor tourist ferries are not included.","Data include only scheduled ferry services running between Manhattan and Bergen, Hudson, or Monmouth Counties, NJ.   The Staten Island Ferry and New York Harbor tourist ferries are not included.  Each leg of a round-trip journey is counted as a separate trip.  ",,"Data originate with private operators, and their continued participation is needed to maintain this time series."
"6ivk-p4gh","Thruway Authority","NYS Thruway Origin and Destination Points for All Vehicles - 1 Hour Intervals: 2015","https://data.ny.gov/d/6ivk-p4gh","This file contains data on the number and types of vehicles that entered from each entry point on the tolled section of the Thruway with their exit points.","dataset","Transportation","interstate,e-zpass,traffic,toll road,toll collection,toll,commercial,origin,thruway,destination","2019-06-10T18:04:05.000","2016-03-18T20:47:53.000","https://data.ny.gov/resource/6ivk-p4gh.json","data.ny.gov","false",,"New York State Thruway Authority",,"Eric.Christensen@thruway.ny.gov","Toll Collection, NYS Thruway Headquarters","Toll Collection, NYS Thruway Headquarters","Eric.Christensen@thruway.ny.gov","2015","Static - Not Updated","Statewide","Thruway exit ","Excludes U-turns.  Data is unaudited/unadjusted and may differ slightly when compared to official annual Origin and Destination reports published by the Thruway.","This data can be used to study traffic patterns of vehicles  on the Thruway over  time.",,
"27dc-dsd2",,"City of Albany Revenues: 2013","https://data.ny.gov/d/27dc-dsd2","In the accompanying data, each type of revenue is listed by category. The categories used are those promulgated by State Comptroller so that reporting among all localities is uniform.","dataset","Government & Finance","albany,budget,revenues,finance","2019-06-10T18:00:52.000","2013-03-05T20:24:46.000","https://data.ny.gov/resource/27dc-dsd2.json","data.ny.gov","false",,"City of Albany","http://albanyny.gov/Government/MayorsOffice/Budget.aspx","mayor@ci.albany.ny.us","City of Albany","Budget Office","mayor@ci.albany.ny.us","2013","Static - Not Updated","City of Albany","Type of revenue source",,,"http://www.albanyny.gov/_files/2013%20Adopted%20Budget.pdf",
