year,agency,tool_name,tool_desc,purpose_type,purpose_desc,date_first_use,data_training,data_input,data_output,data_2022,identifying_info,analysis_type,computation_type,population_type,population_type_individual,population_type_other,vendor_name,vendor_desc,vendor_2022,updated,updated_desc
2022,Office of Chief Medical Examiner,STRMix,"STRmix™ combines sophisticated biological modelling and standard mathematical processes to interpret a wide range of complex DNA profiles.  Using well-established statistical methods, the software builds millions of conceptual DNA profiles.  It grades them against the evidential sample, finding the combinations that best explain the profile.  A range of Likelihood Ratio options are provided for subsequent comparisons to reference profiles. Using a Markov Chain Monte Carlo engine, STRmix™ models any types of allelic and stutter peak heights as well as drop-in and drop-out behavior.  It does this rapidly, accessing evidential information previously out of reach with traditional methods.  STRmix™ is supported by comprehensive empirical studies with its mathematics readily accessible to DNA analysts, so results are easily explained in court.",NA,STRMix is a probabilistic genotyping tool that is used to analyze mixtures of DNA profiles to help associate the crime scene evidence to potential victims or suspects of crimes.,2017/01,NA,NA,NA,"Training data:  Training data was not used in the sense of AI software. The OCME performed thousands of tests using the software to validate it for optimum use with our current laboratory standard operating procedures and genetic analyzers.

Input data:  Forensic DNA profiles from crime scenes as well as the DNA profiles from victims and suspects of crimes.",NA,NA,NA,NA,NA,NA,NA,NA,The software has been developed by New Zealand Crown Institute of Environmental Science and Research (ESR) with Forensic Science South Australia.  The developer assisted the NYC OCME analyze and interpret our data during the validation of the software.,NA,NA
2023,Administration for Children's Services,Accelerated Safety Analysis Protocol (ASAP) Tool,"Predictions of Severe Harm (identifying likelihood of substantiated allegations of physical or sex abuse within the next 24 months) are based on a machine learning methodology and are calculated for all children involved in active investigations early in the investigation (day 10). An investigation is assigned a numeric likelihood of this outcome based on the child in the case with the highest likelihood. The ACS Quality Assurance unit in the Division of Child Protection reviews about 3,000 active investigations annually, selecting those with the highest likelihood of severe harm.",NA,"The Quality Assurance Unit in the Division of Child Protection at ACS has the capacity to review about 3,000 investigation cases out of about 50,000 investigations annually. ACS developed this predictive model to support the selection of cases for Quality Assurance review. Open investigations involving children with the greatest likelihood to experience future severe harm – substantiated allegations of physical or sex abuse in the following 24 months – are selected for review. The tool does not support decisions about services or interventions for individuals or families involved with ACS, beyond the selection of the case for this additional Quality Assurance review. 

If the Quality Assurance review team identifies gaps in routine, required documentation or practice, the team speaks with the field office conducting the investigation and follows up to make certain these gaps have been addressed. Scores are not shared with staff in the Quality Assurance unit or the investigative unit. The model only supports the decision about which investigations are prioritized for review by the Quality Assurance (QA) unit.",2018/05,"ACS trained the model on ACS historic administrative data about closed investigations from April 2014 to April 2016. The training set included about 142,026 observations. The model was tested on closed investigations from April 2016 to April 2017 with 53,477 observations.",Predictions are based on administrative data about prior and current child welfare involvement including investigations triggered by a New York State Central Register (SCR) call and time spent in foster care. Only ACS administrative data are used in the model.,"Rank ordered list of open investigation cases involving children with the highest likelihood to experience future severe harm, defined as substantiated allegations of physical or sex abuse in the following 24 months to be reviewed by a special QA Review Team.",NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,None,NA,NA,No,NA
2023,Administration for Children's Services,Housing Prioritization,The city has allocated 100 housing vouchers to families receiving ACS Prevention Services. The shelter application model identifies the likelihood of a family in prevention services applying for homeless shelter within 12 months beyond the current prevention case. The model uses a machine learning methodology and is calculated for all children in a prevention case. ACS Prevention Services reaches out to the Service Providers assisting the families with the highest risk for applying for shelter.,NA,"The model estimates a risk score for a child receiving prevention services whose family will apply and be eligible for a homeless shelter within 12 months from the start of service (day 14 of the prevention case). 

The model helps predict the risk of application for homeless shelters among families receiving prevention services. With a limited number of vouchers available, the risk model helps ACS prioritize housing assistance for those families at greatest risk of becoming homeless. 

The Service Provider meets with the family to conduct a qualitative assessment of the family’s housing needs and vouchers are offered based on their findings.",2023/04,"ACS trained the model on ACS historic administrative data regarding preventive services started between 2014 and 2020. An 80/20 split of data to train on 80 percent and test on 20 percent ensuring that no family appears in both sets. The training set contains 140,242 observations between Jan 2014 and December 2020. The test set consisted of 34,508 observations between Jan 2014 and December 2020.",Predictions are based on administrative data about prior and current child welfare involvement at the start of a case. This includes SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.,Rank ordered list of open prevention cases involving children whose families have the highest likelihood of applying for a homeless shelter within 12 months of starting a prevention service.,NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,None,NA,NA,No,NA
2023,Administration for Children's Services,Prevention Score Card,Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the next 24 months at the start of service) are based on a machine learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers.,NA,"The Repeat Maltreatment model is used to make predictions on day 10 from the start of the prevention case to assess the risk of the family at the beginning of the service. A prevention case is assigned a numeric likelihood of an indicated investigation based on a New York State Central Register (SCR) within 24 months from the start of a prevention service. 

The prevention providers are assessed for their performance based on the service needs/risk levels of the families they’ve served during the previous fiscal year. 

The programs were sorted and ranked based on their average risk, and then divided into four quartiles by rank order: the top 25 percent of programs are classified as the Very High-Risk Cohort, the next 25 percent of programs as the High-Risk Cohort, the next 25 percent as the Medium-Risk Cohort, and the lowest 25 percent as the Low-Risk Cohort. Assignment to a cohort is not a way of performance assessment of the program but to group prevention service providers for fair comparisons based on the risk level of families they served.",2021/09,"ACS trained the model on ACS historic administrative data about closed investigations from July 2009 to June 2016. Training set included about 158,787 observations. The model was tested on closed investigations from July 2016 to June 2018 with 46,969 observations.",Predictions are based on administrative data about prior and current child welfare involvement at the start of a case. This includes SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.,"The model is used for generating a scorecard of prevention service providers by categorizing prevention programs based on the average risk profile of the cases they served during the assessment year. These groupings of program cohorts provide context for understanding the Scorecard, as it allows for performance comparison of programs that accepted and served families with similar risk profiles.",NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,None,NA,NA,Yes,"In August 2023, ACS retrained the model on recent ACS historic administrative data about closed investigations with an 80/20 split in data from July 2009 to June 2018. The training set included 80 percent (about 338, 467) observations. The model was tested on 20 percent of closed investigations from July 2009 to June 2018 with 84,494 observations."
2023,Administration for Children's Services,Service Termination Conference (STC),Predictions of Repeat Maltreatment (identifying the likelihood of being involved in a future indicated investigation within the following 24 months towards the end of service) are based on a machine learning methodology and are calculated for all children receiving prevention services from ACS prevention service providers. The prediction is made with the assumption that the case is closed the day the model is run. A prevention case is assigned a numeric likelihood of an indicated investigation based on a New York State Central Register (SCR) within 24 months from the end of a prevention service.,NA,"The Repeat Maltreatment model was known as the Service Termination Conference (STC) model and was used by Preventive Services managers to identify whether or not a case should have ACS or provider-agency facilitation at the service termination conference. The model was initially used to prioritize ACS facilitation of prevention termination conferences so that ACS could be certain that services had been provided in these cases. When a family is ready to exit ACS prevention services, an end-of-services conference is required (known as a “Service Termination Conference”). However, Service Termination Conferences are generally no longer facilitated by ACS and this prioritization is no longer necessary. 

In November 2022, a pilot was initiated with the STC list to recommend low-risk families to prevention service providers in case they were interested in discontinuing service. This pilot was stopped in January 2023.",2017/07,"ACS trained the model on ACS historic administrative data about closed investigations from July 2009 to December 2015. Training set included about 130,982 observations. The model was tested on closed investigations from January 2016 to December 2018 with 48,771 observations.",Predictions are based on administrative data about prior and current child welfare involvement at the end of a prevention service case. It includes SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.,"As of September 2021, ACS is no longer required to facilitate prevention termination conferences (all conferences are facilitated by the contract prevention programs) and the STC model is no longer being used for this purpose.",NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,None,NA,NA,No,NA
2023,Administration for Children's Services,Un-Involvement Model,"Predictions of “Un-Involvement” (identifying the likelihood of no future involvement with ACS within 24 months beyond the current investigation) are based on a machine learning methodology and are calculated for all children in an ongoing investigation. This future engagement for families may be in the form of ACS prevention services, court-ordered supervision, or foster care services. There are two models run on day 10 and day 40 to ensure that a case that was recommended for early closure on day 10 is still eligible and recommended on day 40, right before actually closing the case.",NA,"The model helps Child Protection managers identify low-risk cases that are likely not to require further ACS involvement beyond the “current” investigation and therefore could be considered for early closure, sooner than the typical 60 days. 

The model generates initial risk predictions on the 10th day of a new investigation to identify low-risk cases. Subsequently, on the 40th day of the investigation, the model re-evaluates these cases with a new set of risk predictions to determine if they continue to be classified as low-risk. If new information collected during the intervening 30 days suggests that a case is no longer eligible or is no longer considered low-risk, the recommendation to close the case will be revised.",2023/05,"ACS trained the model on ACS historic administrative data about closed investigations from 2012 to 2017. An 80/20 split of data to train on 80 percent and test on 20 percent ensuring that no family appears in both sets. The training set contains 381,649 children from 183,516 investigations ending between Jan 2012 and December 2017. The test set consisted of 101,369 children from 48,794 investigations ending between Jan 2012 and December 2017.",Predictions are based on administrative data about prior and current child welfare involvement at the start of a case. This includes SCR investigations and time spent in foster care. Only ACS administrative data are used in the model.,"A recommendation and description are displayed on both day 10 and day 40 of all open cases via a reporting platform, viewable to only deputy directors. Upon discussion with the deputy directors on day 40, the case worker makes a determination to close the case or not. The case workers are not aware that the recommendation is generated by a machine learning model, to not bias the decision-making process. Alternatively, the deputy directors use the list to inform their workload planning conversations with managers and staff, when caseloads are high.",NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,None,NA,NA,No,NA
2023,Department of Consumer and Worker Protection,Route Automation,"Inspection Supervisor selects an inspector, enters a date and the number of businesses to be inspected, and the geographic area to be considered. The system identifies businesses in the selected area and assigns them to the route based on inspection priority until the number of businesses entered has been reached. Then the tool runs a Simulated Annealing Algorithm to optimize the order businesses appear on the route based on proximity and method of travel.",NA,"DCWP inspectors conduct inspections based on a route, or list of businesses to be inspected on a specific day, which must be pre-approved by their supervisor. The Route Automation tool generates a route for an inspector on a specific date based on configuration variables and geographic area. All routes generated by the tool still require supervisor review and approval.",2020/07,"The tool is not trained in an AI or Machine Learning sense. The tool makes decisions based on configuration tables, businesses and their licenses (if any), and inspection and violation history, and uses a Simulated Annealing Algorithm to optimize the order in which businesses appear on a route.","Inspection date, business category and address, licenses held (if any), last inspection date and type, violation history (if any), date of inspection request or license application/renewal (if applicable), Inspection Unit (of the inspector), and geographic area.",An ordered list of businesses to be inspected on a given day by a given inspector.,NA,FALSE,Optimization,NA,"Group, organization, or business",NA,NA,PruTech,"The tool was designed and built by PruTech, an outside vendor contracted to design and build DCWP’s Automated Inspection Management System (AIMS) and its accompanying Mobile Enforcement platform. The tool is part of the AIMS system.",NA,No,NA
2023,Department of Environmental Protection,Idling Complaints Program,A contractor helped create an AI tool that analyzes the audio and visual aspects of pictures and videos submitted by citizens of alleged car idling complaint occurrences that are in violation of New York City air pollution laws.,NA,The analysis from the tool makes a recommendation to staff reviewers whether the submitted evidence support an occurrence of car idling in violation of New York City laws. The tool also provides a level of confidence in its recommendation. The tool does not make the review decision in the Idling Complaints system. It is still entirely up to the staff to decide whether to take the tool’s recommendation or not.,2022/08,"Videos and pictures of cars idling submitted by citizens, along with staff decisions on whether the picture/video constituted as an idling violation.",Videos and pictures submitted by citizens through our web portal.,"Recommendation, confidence level, description of its decision from the tool.",NA,FALSE,Computer vision,NA,Individuals,NA,NA,Acuvate,Acuvate developed the AI tool that performs the automated analysis of the submitted evidence.,NA,Yes,"Retraining model with newer data, modified the description text generated to be more useful for reviewer staff."
2023,Department of Health and Mental Hygiene,Bionumerics,A suite of tools used to align and analyze bacterial genomes.,NA,BioNumerics is used to 1) re-assemble the bacterial genome (since the sequencing process involves fragmenting the bacterial DNA and then amplifying it into millions of pieces) 2) identify the genus; species; and serotype of the bacterial isolate 3) perform quality control checks to ensure the sequence meets certain quality standards 4) perform whole genome multi-locus sequence typing (wgMLST; a technique used to type bacteria based on their genetic code) 5) perform cluster analysis for cases related to one another based upon case definitions recommended by the Centers for Disease Control and Prevention (CDC). This information is then communicated to partners including foodborne epidemiologists at the Bureau of Communicable Disease; who investigate all reported cases of foodborne disease; with those investigations potentially resulting in restaurant inspections; closures; and food recalls.,2017/09,N/A,Fastq.,txt; Excel.,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,Bionumerics,Developed and maintains the tool.,NA,No,NA
2023,Department of Health and Mental Hygiene,Bowtie2,Aligns sequencing data to a reference sequence. Bowtie2 aligns sequencing data to a reference using Burrows-Wheeler transformations. It is geared to use with Illumina sequencing data.,NA,Bowtie2 is an intermediate step in the workflow to analyze COVID variants in wastewater.,2022/06,N/A,Sequence reads (fastq) for single or paired-end runs (sequence reads can be considered strings).,Aligned reads in SAM format,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Updated variable weights/bug fixes/dependencies.
2023,Department of Health and Mental Hygiene,BWA,Aligns sequencing data to a reference sequence.,NA,Burrows-Wheeler Aligner (BWA) is aligning sequence data to reference using Burrows-Wheeler transformations. This tool is optimal for low-divergent genomic data and short read data; such as Illumina sequence data. This tool is used to predict the order in which the fragments generated by sequencers are pieced together to form a complete genomic sequence data. This tool is used for Legionella and PulseNet sequencing analyses.,2017/07,N/A,Sequence reads (fastq) for single or paired-end runs (sequence reads can be considered strings).,Aligned reads in SAM format,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,No,NA
2023,Department of Health and Mental Hygiene,ChoiceMaker (CM),ChoiceMaker (CM) is a record-matching tool that identifies duplicate records belonging to the same individual.,NA,CM is used by BOI and Healthy Homes to identify duplicate immunization and lead records. The outputs produced by CM are used in ongoing manual and automated deduplication processes (record merging).,2003/06,N/A,CM uses demographic data (e.g.; names; date of birth; address; identifiers) and health event data (e.g.; date and type of event) from BOI’s Citywide Immunization Registry (CIR) and Healthy Homes’ LeadQuest registry in its evaluation.,The program outputs a series of record pairs and a match probability for each pair.,NA,TRUE,Predictive modeling; Optimization; Matching,NA,Individuals,NA,NA,HLN Consulting,A vendor was involved in the development of the program initially. CM is now available as an open-source program. The DOHMH implementation is maintained by HLN Consulting.,NA,No,NA
2023,Department of Health and Mental Hygiene,GATK,A suite of tools for variant calling and filtering after sequence alignment. It uses naive Bayesian to qualify aligned bases as sequence or erroneous data; which would be excluded from the final genomic sequence.,NA,Used to identify mutations and call upon differences from the reference; which is used to generate the predicted complete sequence.,2017/10,Sets of known variant sites.,Fasta; uBam; SAM/BAM/CRAM; VCF.,Bam; txt; vcf.,NA,FALSE,Predictive modeling,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Updated variable weights/bug fixes/dependencies.
2023,Department of Health and Mental Hygiene,Guppy,Converts electric signals to predict a nucleotide and enables filtering of low-quality calls.,NA,This is a tool designed specifically for Oxford Nanopore Technology (ONT) data. This is a neural network based basecaller; a tool that determines nucleotide bases of a genetic material; that converts electric signals into strings to represent genomic data. In addition to basecalling; the tool also performs filtering of low-quality reads; a stretch of sequenced genetic material. This is the initial step that converts electric signals to fragments of sequence data; which can then be used for COVID-19 sequencing analysis.,2020/06,The default models within Guppy are trained on a mixture of native and amplified DNA/RNA; from multiple organisms including plant; animal; bacterial and viral genomes.,DNA/RNA strand passing through the nanopore. Raw data is stored as .fast5 files,.fast5 files; fastq; or BAM files.,NA,FALSE,Predictive modeling,NA,Individuals; Other,NA,Sequence data can belong to any species,Oxford Nanopore Technologies,Developed and maintains the tool.,NA,No,NA
2023,Department of Health and Mental Hygiene,ICE - Immunization Calculation Engine,The Immunization Calculation Engine (ICE) is an immunization evaluation and forecasting system; whose default immunization schedule supports all routine childhood; adolescent; and adult immunizations based on the recommendations of the Advisory Committee on Immunization Practices (ACIP). ICE is free and open-source available through https://cdsframework.atlassian.net/wiki/spaces/ICE/overview.,NA,ICE is used by the Bureau of Immunization to evaluate a patient’s immunization history and generate appropriate immunization recommendations.,1997/00,N/A,ICE uses demographic data (e.g. date of birth) and vaccination data (e.g.; immunization date; vaccine group and type) in the evaluation process. Data used are stored in the Citywide Immunization Registry (CIR).,The program returns recommendations on whether a patient has completed a vaccine series or is due for vaccines.,NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,HLN Consulting,A vendor was involved in the development of the program and continues to be involved in program enhancements. ICE is also available as an open-source program. The DOHMH implementation is maintained by HLN Consulting.,NA,Yes,New vaccine groups and recommendations were added.
2023,Department of Health and Mental Hygiene,Improving Foodborne Disease Outbreak Detection by Incorporating Complaints Identified in Social Media Data,Restaurant associated foodborne disease outbreaks are often identified through complaints received via New York City's 311 non-emergency information system; however not all individuals report to 311. The New York City Department of Health and Mental Hygiene (NYC DOHMH) in collaboration with Columbia University developed a text classifier program which monitors Yelp and Twitter data to identify complaints of foodborne illness which was supported by grants from the Alfred P Sloan Foundation and the National Science Foundation. As of April 2023; the tool no longer uses data from Twitter/X due to API changes.,NA,The model uses data from Yelp restaurant reviews and previously used Twitter data that was available on Twitter’s publicly available API. Twitter (X) removed free access to their publicly available API in April 2023; so these data are no longer included in our analyses. The classifiers assign a “sick score” to each Yelp review or tweet indicating the likelihood that the review or tweet pertains to foodborne illness. The sick score is based on whether the review/tweet contains key words indicative of foodborne illness (“e.g. vomit”); the Yelp classifier also incorporates if the review indicates that multiple people became sick and if the review indicates a time between eating at a restaurant and illness onset (incubation period) that is consistent with foodborne illness. Each review and tweet with a sick score greater than or equal to a threshold value are reviewed and annotated by DOHMH foodborne disease epidemiology and environmental health staff to determine if the review/tweet was actually reporting foodborne illness possibly associated with a New York City restaurant; if yes; Yelp messages are sent to Yelp reviewers; requesting that they contact DOHMH; and a Twitter message with a survey link was tweeted back to Twitter users to confirm foodborne illness. Data from annotations are used to improve classifier performance. Foodborne disease complaints identified through Yelp and previously Twitter are combined with foodborne disease complaints reported to 311 to improve efficiency of outbreak detection.,2016/11,Training data was used in the development of both the Yelp and Twitter classifiers. The training data consisted of restaurant reviews and tweets obtained; respectively; from Yelp and Twitter by Columbia University; a subset of these data were joined with annotations provided by DOHMH staff. The annotations of restaurant reviews focused on the following: 1) if the review indicated foodborne illness; 2) if the incident occurred in the past 30 days; 3) if multiple people were sick and 4) if the incubation period was consistent with foodborne illness. For tweets; the annotations focused on if the tweet was indicating foodborne illness and if the incident occurred in New York City. The training data is periodically updated (with annotations from DOHMH) to improve the classifiers.,Yelp reviews of New York City restaurants are pulled from a privately available application programming interface (API) provided by Yelp. Publicly available data from Twitter’s API was used through April 2023.,The output data includes a “sick score” that the classifiers assign to each Yelp review or tweet (when that data were being used) indicating the likelihood that the review or tweet pertains to foodborne illness.,NA,FALSE,Speech and language processing,NA,"Individuals; Group, organization, or business",NA,NA,Columbia University,DOHMH staff; including Bureau of Communicable Disease; Office of Environmental Investigations; and Division of Informatics and Information Technology & Telecommunications and Columbia University are involved in making decisions about the tool. Columbia University Department of Computer Science professors and doctoral students maintain the classifier. The project was previously funded by the Alfred P Sloan Grant; for which The Fund for Public Health in New York provided administrative support and grant management to DOHMH. This support and management ended at the completion of the grant in 2021.,NA,Yes,As of April 2023; the tool no longer uses data from Twitter/X due to API changes.
2023,Department of Health and Mental Hygiene,IQTREE,IQTREE uses maximum-likelihood regression to create phylogenetic trees from genomes.,NA,Produced phylogenetic trees are used to help rule in or out outbreaks of COVID or other organisms.,2020/05,N/A,FASTA; NEXUS; CLUSTALW; PHYLIP.,Readable report; ML tree in NEWICH format; log file for entire run.,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Updated variable weights/bug fixes/dependencies.
2023,Department of Health and Mental Hygiene,kSNP3,kSNP3 can use multiple algorithms (maximum-likelihood; parsimony; neighbor-joining) to infer phylogenetic trees from genomes.,NA,Produced phylogenetic trees are used to help rule in or out outbreaks of bacteria.,2022/03,N/A,Fasta,ML tree in NEWICH format; log & configuration files; Fasta file,NA,FALSE,Predictive modeling,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,No,NA
2023,Department of Health and Mental Hygiene,MAFFT,Aligns multiple sequencing data.,NA,MAFFT (for Multiple Alignment using Fast Fourier Transform) includes several algorithmic methods; including guided tree; scoring matrices; and sequence alignment algorithms to realign multiple genomic sequencing data. The realignment tool is used to locally re-arrange sequence data to make all sequences comparable but the same genomic coordinates. This is used in all sequencing analysis prior to building a phylogenetic tree or distance tree.,2021/01,N/A,Sequences can be in GCG; FASTA; EMBL (Nucleotide only); GenBank; PIR; NBRF; PHYLIP or UniProtKB/Swiss-Prot (Protein only) format,Fasta or Clustalw,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,No,NA
2023,Department of Health and Mental Hygiene,Minimap2,Aligns sequencing data to a reference sequence.,NA,Minimap2 uses optimal chaining scores to align sequencing data to reference genomes.  This tool is faster and more optimal for long read sequences; such as Oxford Nanopore Technologies (ONT) data. This tool is used to predict the order in which the fragments generated by sequencers are pieced together to form a complete genomic sequence data. This tool is used for COVID-19 and monkeypox virus (MPXV) sequencing analyses.,2020/05,N/A,Sequence reads (fastq) for single or paired-end runs (sequence reads can be considered strings).,Aligned reads in SAM format,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Fixed the broken Python package. Updated variable weights/bug fixes.
2023,Department of Health and Mental Hygiene,Pangolin,Assigns lineage names to SARS-CoV-2.,NA,Pangolin uses a combination of several methods; including random forest tree; classification methods; and maximum parsimony to assign lineage names to SARS-CoV-2 genomic sequences to bin sequences that are more likely to be similar. This is a tool that designates a name based on a nomenclature for COVID-19 sequence data.,2021/07,Trained on a data set of genomes that have been designated to Pango lineages using whole genome information.,Fasta files.,.csv fiile with taxon name and lineage assigned.,NA,FALSE,Predictive modeling,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Updated variable weights/bug fixes/dependencies.
2023,Department of Health and Mental Hygiene,PHYLOViZ,For representing the possible evolutionary relationships between strains; PHYLOViZ uses the goeBURST algorithm; a refinement of eBURST algorithm by Feil et al.; and its expansion to generate a complete minimum spanning tree (MST).,NA,Used to generate the minimum spanning tree relationships.,2017/10,N/A,txt; NEWICK; FASTA.,Minimmum spanning tree.,NA,FALSE,Optimization,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,No,NA
2023,Department of Health and Mental Hygiene,Spades,Spades uses several algorithms to simplify genomic read data into de Brujin graphs and finds overlaps to assemble genomes.,NA,Spades is an intermediate step in the workflows of bacterial analyses.,2017/10,N/A,Fastq.,Fastas and other files for corrected reads; scaffolds; contigs; paths in GFA format; fastg assembly graph.,NA,FALSE,Predictive modeling; Matching,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,No,NA
2023,Department of Health and Mental Hygiene,Vsearch,Vsearch uses the Needleman-Wunsch algorithm to merge read pairs and align and dereplicate sequences to detect chimeric genomic sequences.,NA,Vsearch is an intermediate step in the workflow to analyze COVID variants in wastewater.,2022/06,N/A,Sequence reads (fastq; Fasta) for single or paired-end runs (sequence reads can be considered strings).,FASTA; FASTQ; tables; alignments; SAM.,NA,FALSE,Predictive modeling,NA,Individuals; Other,NA,Sequence data can belong to any species,None,NA,NA,Yes,Updated variable weights/bug fixes/dependencies.
2023,Department of Investigation,Facial Recognition Technology,"The tool analyzes an uploaded image or video and searches and compares it with lawfully possessed images to generate a pool of possible matches. If possible matches are identified, a trained DOI examiner visually analyzes and evaluates potential matches to assess reliability of a match consistent with agency policy and applicable laws. A match serves as an investigative lead for additional investigative steps and does not constitute a positive identification.",NA,Facial recognition is a digital technology that DOI uses to analyze uploaded images or videos of people and objects obtained during an investigation by comparison with lawfully possessed images. Facial recognition generates possible matches of an object or individual from this analysis and comparison. The purpose of the tool is to assist DOI investigations of matters within its jurisdiction including fraud and other criminal activity.,2019/03,Self-trained in system usage.,Images.,Images.,NA,TRUE,Computer vision; Optimization; Matching,NA,Individuals,NA,NA,Not disclosable,Out-of-the-box products. The vendors provide ongoing technical assistance. Confidentiality agreements are in place with the vendors.,NA,Yes,DOI acquired additional facial recognition technology in the past year for the above described purpose. DOI's facial recognition tools receive product updates and data sets on an ongoing basis.
2023,Department of Social Services,Homebase Risk Assessment Questionnaire (RAQ),"Homebase applicants answer screening questions about their current housing situation, history of disruptive experiences, shelter history, and other domains. Each of the answers is assigned a number of points, and applicants that reach a certain point threshold are eligible for deeper Homebase services, such as financial assistance and case management. Workers are able to override a limited number of model decisions with permission of a supervisor.",NA,"The Homebase program was created to prevent households from entering the DHS shelter system. Since NYC has a range of antipoverty programs and the number of households entering shelter is small compared to the pool of New Yorkers who have an eviction filing each year, the Agency had to ensure that the households who most needed additional homelessness prevention services were being enrolled in Homebase programs. Research showed that staff were not accurately able to predict who would or would not enter the DHS shelter system and that using a risk assessment would provide a better way to match resources to the families who would benefit the most.",2012/06,"The RAQ was developed based on analysis of data on Homebase enrollees from 2004 to 2008, conducted in conjunction with a team of academic researchers, to determine predictive factors for those entering shelter.  It was updated in 2023 based on analysis led by NYC DSS researchers of 2013-2016 Homebase data.","Factors include, among others: personal characteristics such as age and pregnancy; educational attainment and employment status; housing issues such as eviction, discord, a move in the past year; past and recent experience of homelessness.",The tool produces a score that is used to assess eligibility for full versus brief Homebase services.,NA,TRUE,Predictive modeling,NA,Individuals,NA,NA,Multiple researchers,"DHS contracted with researchers to evaluate years of Homebase administrative data to develop a risk assessment. The DSS research team then led an updated analysis that led to tool revisions. The published research papers are listed below: https://ajph.aphapublications.org/doi/10.2105/AJPH.2013.301468 https://www.journals.uchicago.edu/doi/abs/10.1086/686466?mobileUi=0&journalCode=ssr
https://www.tandfonline.com/doi/abs/10.1080/10511482.2022.2077801",NA,Yes,Fresh training data. Started using on 12/21/2023.
2023,Department of Social Services,SmartVAN / TargetSmart,"The Mayor’s Public Engagement Unit (PEU) uses SmartVAN to manage outreach across a range of projects. SmartVAN provides functionality to create lists of potential clients to contact, collect personal information and survey responses from clients, and conduct outreach via phone banks and canvassing. SmartVAN also contains a frequently updated commercial dataset, provided by TargetSmart, of New York City residents and their demographic, contact, and other information. PEU uses this preloaded data to create outreach lists when data on existing clients or from partner agencies is unavailable or insufficient to meet the scope of the outreach project.",NA,"In 2023, PEU has the TargetSmart data within SmartVAN on a number of projects. PEU frequently uses the data to create lists of residents who live within certain zip codes that PEU wants to target for outreach. For example, PEU created lists using TargetSmart data to conduct door-knocking and phone banking outreach to New Yorkers identified as potentially eligible for the DOF Rent Freeze program based on TargetSmart data. In cases like these, TargetSmart’s determination of who lives in which zip codes as well as estimated income affects whether New Yorkers receive PEU outreach. Additionally, the algorithm that TargetSmart uses to match phone numbers to individuals impacts the type of outreach that New Yorkers receive.",2019/11,Training data is part of vendor’s proprietary processes.,Input data is part of vendor’s proprietary processes.,"The algorithmically-derived data that PEU accesses is the output of proprietary algorithmic processes developed and operated by TargetSmart. These algorithmic processes include matching multiple input datasets to determine residency, contact information, and demographics on New York City residents. SmartVAN also includes a number of algorithmically-determined likelihood scores, including scores for the likelihood that a household contains children under 18, etc.",NA,TRUE,Predictive modeling; Matching,NA,Individuals,NA,NA,EveryAction and TargetSmart,EveryAction and TargetSmart jointly provide the SmartVAN product. EveryAction is the software provider. TargetSmart is the data provider. TargetSmart is the entity who applies algorithmic techniques. EveryAction provides access to this data through their platform.,NA,Yes,TargetSmart data available in SmartVAN is updated on a regular basis by the vendors.
