Data Element Name,Preferred Physical Name,Subject Category Code,Description Text,Data Type Code,Maximum Length,Precision Number,Pattern Text,Unit of Measure,Value Domain,Business Owner Name,Data Asset Abbreviation,Data Asset Name,System Number
Axle Count 30,AX_CT_30,,Number of axles in bin with mid-point weight equal to  29.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 31,AX_CT_31,,Number of axles in bin with mid-point weight equal to  30.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 32,AX_CT_32,,Number of axles in bin with mid-point weight equal to  31.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 33,AX_CT_33,,Number of axles in bin with mid-point weight equal to  32.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 34,AX_CT_34,,Number of axles in bin with mid-point weight equal to  33.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 35,AX_CT_35,,Number of axles in bin with mid-point weight equal to  34.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 36,AX_CT_36,,Number of axles in bin with mid-point weight equal to  35.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 37,AX_CT_37,,Number of axles in bin with mid-point weight equal to  36.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 38,AX_CT_38,,Number of axles in bin with mid-point weight equal to  37.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 39,AX_CT_39,,Number of axles in bin with mid-point weight equal to  38.5 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count 40,AX_CT_40,,Number of axles in bin with weight greater than 39 times WEIGHT_BIN_SIZE,Integer,7,0,,Axles,>= 0,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count Bin,AX_CT_BIN,,The axle weight bin  to which this axle will be assigned.,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Count Field,AX_CT_FIELD,,"The name, in uppercase,  of the field containing counts of axle weights for which these values are set.",Character,11,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Location Code,LOCATION_OF_AXLE,,Code indicating which side of joint the axle was located.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Weight 1,A_Axle_Weight,,"Enter the total axle 1 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 10,J_Axle_Weight,,"Enter the total axle 10 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
BAKCAL_BASE_THICKNESS,BAKCAL_BASE_THICKNESS,,Thickness of base layer used in the backcalculation process.,Integer,5,0,,mm,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle Weight 11,K_Axle_Weight,,"Enter the total axle 11 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 12,L_Axle_Weight,,"Enter the total axle 12 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 13,M_Axle_Weight,,"Enter the total axle 13 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
BC_LAYER_NO,BC_LAYER_NO,,Backcalculation layer number. Layer 1 is the surface layer.,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Stage_User_Id,Stage_User_Id,,,Character,25,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Axle Weight 2,B_Axle_Weight,,"Enter the total axle 2 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 3,C_Axle_Weight,,"Enter the total axle 3 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 4,D_Axle_Weight,,"Enter the total axle 4 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 5,E_Axle_Weight,,"Enter the total axle 5 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 6,F_Axle_Weight,,"Enter the total axle 6 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 7,G_Axle_Weight,,"Enter the total axle 7 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 8,H_Axle_Weight,,"Enter the total axle 8 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle Weight 9,I_Axle_Weight,,"Enter the total axle 9 weight as a right-justified, decimal value, in units of pounds. For example, the axle weight measured as 9,120 pounds could be entered as "" _ 9120"" or as ""09120"" (where ""_"" represents a blank space.)",Integer,5,0,"""99999""",Pounds,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axle_Group,Axle_Group,,Axle Group,Character,1,,,,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
AXLE_GROUP - LTPP,AXLE_GROUP - LTPP,,Number of axles in this group.,Integer,6,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axle_Type,Axle_Type,,Axle Type,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 10-11 Spacing,J_K_Axle_Spacing,,"Enter the total spacing between axles 10 and 11 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 11-12 Spacing,K_L_Axle_Spacing,,"Enter the total spacing between axles 11 and 12 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 1-2 Spacing,A_B_Axle_Spacing,,"Enter the total spacing between axles 1 and 2 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 12-13 Spacing,L_M_Axle_Spacing,,"Enter the total spacing between axles 12 and 13 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Backfill Other,BACKFILL_OTHER,,Type of material used to backfill around the load transfer restoration device if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Data_Type,Data_Type,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Axles 2-3 Spacing,B_C_Axle_Spacing,,"Enter the total spacing between axles 2 and 3 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Backfill Material Type Code,BACKFILL_MATERIAL,,Code identifying the type of material used to backfill around the load transfer restoration device.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Caution_Records,Caution_Records,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
BALANCE - LTPP,BALANCE - LTPP,,Code indicating whether or not the individual channel was balanced prior to testing -  Used with the auto balance function to electronically balance the sensors prior to testing.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Axles 3-4 Spacing,C_D_Axle_Spacing,,"Enter the total spacing between axles 3 and 4 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 4-5 Spacing,D_E_Axle_Spacing,,"Enter the total spacing between axles 4 and 5 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 5-6 Spacing,E_F_Axle_Spacing,,"Enter the total spacing between axles 5 and 6 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 6-7 Spacing,F_G_Axle_Spacing,,"Enter the total spacing between axles 6 and 7 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 7-8 Spacing,G_H_Axle_Spacing,,"Enter the total spacing between axles 7 and 8 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 8-9 Spacing,H_I_Axle_Spacing,,"Enter the total spacing between axles 8 and 9 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles 9-10 Spacing,I_J_Axle_Spacing,,"Enter the total spacing between axles 9 and 10 as a right-justified value, in units of tenths of feet. All axle spacings are reported in tenths of feet with an implied decimal between digits 3 and 4. For example, an axle spacing of 11.35 feet would be entered as ""0114"" or ""_114"" and an axle spacing of 9.6 feet would be entered as ""0096"" or ""__96"" (where ""_"" represents a blank space).",Integer,4,1,"""9999""",Feet,,HPPI,TMAS,Travel Monitoring Analysis System,Single System
Axles Truck,AXLES_TRUCK,,Average number of this type of axle for a vehicle in this class,Decimal,4,2,,,0.1 - 5,HRDI,LTPP,Long-Term Pavement Performance,Single System
B_STATUS,B_STATUS,,"A code indicating for which records the level B QC checks should apply (i.e., a means to perform QC on records at level A.)",Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backcalculation Error Status Code,ERROR_STATUS,,Code identifying whether the backcalculated modulus is within or outside the standard range for the type of material and the error of the fit.,Character,1,,,,"1, 2",HRDI,LTPP,Long-Term Pavement Performance,Single System
Backcalculation Layer Thickness,BC_LAYER_THICKNESS,,Layer thickness assigned for backcalculation purposes.,Decimal,4,1,,in,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backcalculation Layer Type,BC_LAYER_TYPE,,Code identifying the layer type assigned for backcalculation purposes.,Decimal,5,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backcalculation Program Used,BACKCALCULATION_PROGRAM,,The backcalculation program used in the backcalculation process to determine the elastic modulus values.,Character,12,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backcalculation Structure Number,BC_STRUCTURE_NO,,Number identifying the structure used for backcalculation purposes,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backer Brand,BACKER_BRAND,,Brand name of the backer material.,Character,20,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backer Material Type Code,BACKER_TYPE,,Code indicating backer material under sealant.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backer Source,BACKER_SOURCE,,The supplier name along with any current mailing address.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Backfill Material Bonding Agent Code,BOND_AGENT_BACKFILL,,Code identifying the material used to bond the backfill material to the existing PCC pavement.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
BAKCAL_LAYER_NO,BAKCAL_LAYER_NO,,Layer numbering scheme used for backcalculation. One is used for the surface layer and is incremented for each additional layer below the surface layer.,Integer,2,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
BAKCAL_LAYER_THICKNESS,BAKCAL_LAYER_THICKNESS,,Thickness of each individual layer number used in the backcalculation process.,Decimal,5,3,,mm,,HRDI,LTPP,Long-Term Pavement Performance,Single System
BAKCAL_PCC_THICKNESS,BAKCAL_PCC_THICKNESS,,Thickness of PCC layer used in the backcalculation process.,Integer,4,0,,mm,,HRDI,LTPP,Long-Term Pavement Performance,Single System
BAKCAL_POISSON_RATIO,BAKCAL_POISSON_RATIO,,Poisson's ratio used in the backcalculation process.,Decimal,3,2,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Balance Code,BALANCE,,Code indicating whether or not the individual channel was balanced prior to testing -  Used with the auto balance function to electronically balance the sensors prior to testing.,Character,1,,,,"Y, N",HRDI,LTPP,Long-Term Pavement Performance,Single System
Bar Diameter,BAR_DIAMETER,,Diameter of bar.,Decimal,3,2,,in,0.25 - 0.75,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bar Height,BAR_HEIGHT,,Spray bar height of distributor.,Integer,2,0,,in,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bar Length,BAR_LENGTH,,Length of lane/shoulder joint tie bar.,Decimal,3,1,,in,Dec-36,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bar Size,BAR_SIZE,,Bar number used in transverse cracks for control of reflective cracking.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bar Spacing,BAR_SPACING,,Spacing of lane/shoulder joint tie bar.,Integer,2,0,,in,18 - 60,HRDI,LTPP,Long-Term Pavement Performance,Single System
Base Highway Network,BASE_HWY_NETWORK_012,Bridge,No Longer Used,Character,1,,,,,HIF,NBI,National Bridge Inventory System,
Base Material Drainage Coefficient,DRAINAGE_COEFF_BASE,,Drainage coefficient of material if base or subbase course.,Decimal,3,2,,,0.4 - 1.4,HRDI,LTPP,Long-Term Pavement Performance,Single System
Base Material Replacement Data Source Code,REPLACE_MATL_SOURCE,,Code indicating the data source for replace material used.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Base Material Replacement Other,REPLACE_MATL_OTHER,,Material used for base replacement if other than those specified.,Character,40,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Base Temperature,BASE_TEMP,,The average temperature at the mid-depth of the second layer from the surface used in the backcalculation process.,Decimal,5,1,,deg F,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Base Thickness,Base_Thickness,,The thickness of the base pavement.,Integer,10,0,"""9999999999""",,,HPPI,HPMS,Highway Performance Monitoring System,Single System
Base Type,Base_Type,,The base pavement type.,Integer,1,0,"""9""",,"1 - No base
2 - Aggregate
3 - Asphalt or cement stabilized
5 - Hot mix AC (bituminous)
6 - Lean concrete
7 - Stabilized open-graded permeable
8 - Fractured PCC",HPPI,HPMS,Highway Performance Monitoring System,Single System
Basic Information Record Status,BASIC_INFO_RS,,RECORD_STATUS from minimum RECORD_STATUS for selected BASIC_INFO tables.,Character,1,,,,"NULL, A - E",HRDI,LTPP,Long-Term Pavement Performance,Single System
Basin Characterization Flag,BASIN_CHARACTERIZATION,,Code identifying the type of basin.,Character,1,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Batch Size,BATCH_SIZE,,Typical batch size for the AC mix where sample was produced/obtained.,Character,30,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Batch_Accepted_StationIDs,Batch_Accepted_StationIDs,,,Character,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Batch_Data_Type,Batch_Data_Type,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Batch_Date_Time,Batch_Date_Time,,,Date,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Batch_DateTime,Batch_DateTime,,,Date,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Batch_End,Batch_End,,,Date,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Beam 1,BEAM1,,"Specimen number of beam specimen. The first digit is F. The second digit represents 14(X), 28(Y), or 365(Z) day curing period. The last two digits are sequentially assigned.",Character,6,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beam 2,BEAM2,,"Specimen number of beam specimen. The first digit is F. The second digit represents 14(X), 28(Y), or 365(Z) day curing period. The last two digits are sequentially assigned.",Character,6,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beam 3,BEAM3,,"Specimen number of beam specimen. The first digit is F. The second digit represents 14(X), 28(Y), or 365(Z) day curing period. The last two digits are sequentially assigned.",Character,6,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beam Deflection,DEFL,,Deflection of beam.,Decimal,5,4,,mm,0.08 - 4,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beam Thickness,BEAM_THICK,,Thickness of specimen.,Decimal,3,1,,mm,6.3 - 6.4,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beam Width,BEAM_WIDTH,,Width of specimen.,Decimal,3,1,,mm,12.6 - 12.8,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bearing,BEARING,,Bearing from MERRA centroid to test section.,Integer,3,0,,deg,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 1 2,BEFORE_1_2,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 1 3,BEFORE_1_3,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 2 1,BEFORE_2_1,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 2 2,BEFORE_2_2,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 2 3,BEFORE_2_3,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 3 1,BEFORE_3_1,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 3 2,BEFORE_3_2,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 3 3,BEFORE_3_3,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 4 1,BEFORE_4_1,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 4 2,BEFORE_4_2,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before 4 3,BEFORE_4_3,,Load transfer efficiency before restoration.,Integer,3,0,,%,1 - 100,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before After Regrout Code,BEFORE_AFTER_REGROUT,,Code indicating if undersealing was performed before or after regrouting.,Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before Temperature,BEFORE_TEMP,,Pavement surface temperature at the beginning of the distress survey.,Integer,4,0,,deg C,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before Undersealing Deflection Measurement Start Time,START_TIME_BEFORE,,Time of day at which the deflection measurements before undersealing started.,Timestamp,4,,,hhmm,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Before_Caution_Flags,Before_Caution_Flags,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Before_Critical_Records,Before_Critical_Records,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Before_Invalid_Records,Before_Invalid_Records,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Before_Rejected_Records,Before_Rejected_Records,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Before_Valid_Records,Before_Valid_Records,,,Integer,,0,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Begin Air Temperature,BEGIN_AIR_TEMP,,Air temperature at beginning of testing.,Integer,3,0,,deg F,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Begin Humidity,BEGIN_HUMIDITY,,Air humidity at the beginning of initial grouting and regrouting operations.,Integer,3,0,,%,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Begin Point,Begin_Point,Reference,Indicates the beginning milepoint on the inventory route.,Decimal,9,4,"""+-9999.9999""",Miles,,HPPI,HPMS,Highway Performance Monitoring System,Multiple Systems
Begin Point *,BeginPoint,,The beginning point of a GIS location.,Decimal,10,3,,,,HCF,FMIS 5.0,Fiscal Management Information System (FMIS) 5.0,
Begin Temperature,BEGIN_TEMPERATURE,,Air temperature at beginning of testing.,Integer,3,0,,deg F,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Begin_DateTime,Begin_DateTime,,,Date,,,,,,HPPI,TMAS,Travel Monitoring Analysis System,
Beginning Description,BEGINNING_DESCRIPTION,,Beginning description of the run location.,Character,25,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beginning Region,BEG_REGION,,"A number, 1-4, indicating for which region to begin processing QC data.",Integer,1,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beginning Sealant Temperature,BEGIN_SEALANT_TEMP,,Sealant temperature at the beginning of application.,Integer,3,0,,deg F,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bending Beam Rheometer Model,BBR_MODEL,,Make and model of Bending Beam Rheometer equipment.,Character,30,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bending Beam Rheometer Slope PAV,BBR_SLOPE_PAV,,Bending Beam Rheometer Slope.,Decimal,4,3,,,0 - 1,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bending Beam Rheometer Software,BBR_SOFTWARE,,Name and version of Bending Beam Rheometer software.,Character,30,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bending Beam Rheometer Stiffness Modulus PAV,BBR_STIFFNESS_MODULUS_PAV,,Bending Beam Rheometer Stiffness Modulus.,Integer,4,0,,MPa,100 - 400,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bending Plates in LTPP Lane Code,SENSORS_LTPP_BENDING_PLATES,,Code indicating if bending plates are installed in LTPP lane.,Character,1,,,,"Y, N",HRDI,LTPP,Long-Term Pavement Performance,Single System
Best Fit Layer Thickness,BEST_FIT_LAYER_THICKNESS,,Layer thickness assigned for best-fit calculation purposes.,Decimal,4,1,,in,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Best Fit Layer Type,BEST_FIT_LAYER,,Indicates whether the field was part of the base or PCC layer in the best fit process.,Character,4,,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Beta Factor,BETA_FACTOR,,Beta factor used in best fit analysis for the combined base layers.,Decimal,6,5,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bin 01,BIN01,,"The number of vehicles in the class weighing more than 0 but less than 4,000 lbs.",Integer,7,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bin 01 Factor,FACTOR01,,Factor applied to total bin 1 axles of this axle type.,Decimal,7,4,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bin 02,BIN02,,"The number of vehicles in the class weighing from 4,000 to 7,999 lbs. inclusive.",Integer,7,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bin 02 Factor,FACTOR02,,Factor applied to total bin 2 axles of this axle type.,Decimal,7,4,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
Bin 03,BIN03,,"The number of vehicles in the class weighing from 8,000 to 11,999 lbs. inclusive.",Integer,7,0,,,,HRDI,LTPP,Long-Term Pavement Performance,Single System
