Accession,id,pi0,bins
GSE118490,sheet-HCT116_results_raw_noNA from GSE118490_HCT116_DE_Results.xlsx,0.321759794186903,"(0.3,0.4]"
GSE118581,sheet-Sleuth_mutant_TC_ORFs from GSE118581_DATA_S2.xlsx,0.476214927101151,"(0.4,0.5]"
GSE118592,GSE118592_day10_results.txt.gz,0.959852927444171,"(0.9,1]"
GSE118609,sheet-WT_vs_del_SP from GSE118609_WT_vs_del_ES.xlsx,0.397500417324273,"(0.3,0.4]"
GSE118751,GSE118751_Processed_RNA-seq_DATA.txt.gz,0.870473867109688,"(0.8,0.9]"
GSE118864,sheet-AllData from GSE118864_AllData_170425_RNASeq_ScriptSeq_Lessnick_Results.xlsx,0.373259054685523,"(0.3,0.4]"
GSE118870,sheet-AllData from GSE118870_AllData_180202_RNAseq_Lessnick_Pishas_S_Results.xlsx,0.466518679342962,"(0.4,0.5]"
GSE118896,sheet-Feuil1 from GSM3350390_Defuse_Y15_599_trim_results_filtered.xlsx.gz from GSE118896_RAW.tar,0.794132735217045,"(0.7,0.8]"
GSE119106,GSE119106_dthrB1-dthrB0.txt.gz,0.523562595103291,"(0.5,0.6]"
GSE119158,GSE119158_DESeq2_res_quinazoline_10x_vs_WT.csv.gz,0.7678320547351,"(0.7,0.8]"
GSE119208,GSE119208_F613-TCS.txt.gz,0.10407018714196099,"(0.1,0.2]"
GSE119333,GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,0.383369878430102,"(0.3,0.4]"
GSE119340,GSE119340_DESeq2_NASH_RNA_seq.csv.gz,0.432793591696183,"(0.4,0.5]"
GSE119440,GSE119440_ALL_genes-RNA_seq.txt.gz,0.735200737365712,"(0.7,0.8]"
GSE119454,GSE119454_TE_stat_summary.csv.gz,0.308493327822636,"(0.3,0.4]"
GSE119549,sheet-control_6hr_all from GSE119549_control_6hr_all.xls.gz,0.70462070761115,"(0.7,0.8]"
GSE119582,GSE119582_DESeq2_resLFC_delta-mycP1-eccE1_with-EmptyVector_vs_Rv-wt.csv.gz,0.858519747150187,"(0.8,0.9]"
GSE119729,sheet-Neutrally_Regulated from GSE119729_GT_SO_7843_1209_1210_VS_1211_1212_DGE_Report.xlsx,0.990718230028251,"(0.9,1]"
GSE119754,GSE119754_condition_res_ct_rv-mct_rv.csv.gz,0.660648455273775,"(0.6,0.7]"
GSE119826,GSE119826_genelist.txt.gz,0.722548402161073,"(0.7,0.8]"
GSE119862,sheet-Sheet1 from GSE119862_tkvM1_vs_WT_DGE.xls.gz,0.127550826122048,"(0.1,0.2]"
GSE119931,GSE119931_PANC1.FOXA2KO.genes.edgeR_results.txt.gz,0.976780257779644,"(0.9,1]"
GSE119934,sheet-DE from GSE119934_mH.xlsx,0.575317825315372,"(0.5,0.6]"
GSE120032,sheet-DT900vsBW25113.Differential_ana from GSE120032_DT900vsBW25113.All_genes_Name.xlsx,0.632441955504506,"(0.6,0.7]"
GSE120050,sheet-TU_all from GSE120050_all_genes_BG1_BG546.xlsx,0.282295593018813,"(0.2,0.3]"
GSE120061,GSE120061_GFP_vs_Ehmt1.txt.gz,0.980595892175471,"(0.9,1]"
GSE120063,GSE120063_MA9LC_C1BKOvsWT_RNAseq_EdgeR.txt.gz,0.50863441295596,"(0.5,0.6]"
GSE120257,sheet-RGC_UninjuredvGFP from GSE120257_RGC_GFPvUninjured.xlsx,0.810172631333018,"(0.8,0.9]"
GSE120346,GSE120346_Differential_expression_analysis.txt.gz,0.409830864635264,"(0.4,0.5]"
GSE120399,GSE120399_DiffExpr_Day_25.csv.gz,0.531920308801503,"(0.5,0.6]"
GSE120499,GSE120499_BiofilmvsLiquid.complete.txt.gz,0.254438412281976,"(0.2,0.3]"
GSE120544,GSE120544_NC_014387_Xylan_transcripts.txt.gz,0.607669530897866,"(0.6,0.7]"
GSE120600,GSE120600_c2c12_mrnaseq_diffexpr-results_TNF_vs_control.csv.gz,0.427068570787646,"(0.4,0.5]"
GSE120601,GSE120601_edgeR.txt.gz,0.997437258925767,"(0.9,1]"
GSE120712,GSE120712_WT1_LTP_90min.txt.gz,0.830800092136312,"(0.8,0.9]"
GSE120725,GSE120725_table_zero_mM_K_vs_control.txt.gz,0.308708752990886,"(0.3,0.4]"
GSE120836,sheet-DCM_over_Control_noncoding from GSE120836_RNASeq-DCM_vs_Control.xlsx.gz,0.744519608603082,"(0.7,0.8]"
GSE120861,GSE120861_all_deg_results.at_scale.txt.gz,0.928234557445741,"(0.9,1]"
GSE120996,sheet-raw data from GSE120996_fold-change.xlsx,0.430516542841024,"(0.4,0.5]"
GSE121040,GSE121040_PER_Control_swiss_albino-DE_EdgeR.txt.gz,0.587066649087286,"(0.5,0.6]"
GSE121051,GSE121051_AG_saline_LPS_ID.txt.gz,0.341077311566796,"(0.3,0.4]"
GSE121076,GSE121076_Cpa3cre_vs_Cpa3CremiR9_final_results.txt.gz,0.937829405485033,"(0.9,1]"
GSE121173,GSE121173_gene_exp.diff.txt.gz,0.827857578955919,"(0.8,0.9]"
GSE121448,GSE121448_mattarollo_rna_DE_Eumyc_vs_WT_results.fpm3.FDR0.05.csv.gz,0.300058410281504,"(0.3,0.4]"
GSE121508,GSE121508_set2.OP50.PA14.out.csv.gz,0.878990533194556,"(0.8,0.9]"
GSE121509,sheet-alldetected (14).csv from GSE121509_R24.control.sams.xlsx,0.36807380034876,"(0.3,0.4]"
GSE121535,sheet-pum2rnaseq_DESeq2_results-with- from GSE121535_RNA-Seq_normalized_counts.xlsx,0.572153045364863,"(0.5,0.6]"
GSE121607,GSE121607_limma_DEG_N1-Control_all_genes.txt.gz,0.617145867571933,"(0.6,0.7]"
GSE121629,GSE121629_topTable_sp_ma_vs_sp_mo.txt.gz,0.639983457276841,"(0.6,0.7]"
GSE121659,sheet-EHP_vs_BLM from GSE121659_Deseq_results.xlsx,0.671267473136533,"(0.6,0.7]"
GSE121675,GSE121675_Alterations_in_Gene_Expression_in_Nicotiana_tabacum_Expressing_ISPS.csv.gz,0.710923048987399,"(0.7,0.8]"
GSE121720,GSE121720_RNAseq_subtype_signature_gene_analysis_limma_model_results.txt.gz,0.299168185001725,"(0.2,0.3]"
GSE121728,sheet-results from GSE121728_6_months_induction_with_GFP-.xlsx,0.865680578108765,"(0.8,0.9]"
GSE121832,GSE121832_C_4.4.VS.4.0-all_genes.txt.gz,0.262372927292518,"(0.2,0.3]"
GSE121833,GSE121833_C_5.5.VS.5.0-all_genes.txt.gz,0.349103600288662,"(0.3,0.4]"
GSE121834,GSE121834_C_9.1.VS.9.0-all_genes.txt.gz,0.240869662762782,"(0.2,0.3]"
GSE122015,sheet-DE analysis results from GSE122015_Supplementary_Material_File_S1.xlsx,0.590963145140914,"(0.5,0.6]"
GSE122064,sheet-total Comp-Wt from GSE122064_Deseq2_totRNA_DRsaI.xlsx,0.7691252324878,"(0.7,0.8]"
GSE122065,sheet-MS2RsaImut4vsMS2contr.comp-anno from GSE122065_Deseq2_MS2_all_samples.xlsx,0.739968614902571,"(0.7,0.8]"
GSE122095,GSE122095_N-VS-W.DEGseq_Method.GeneDiffExp.txt.gz,0.317263852595727,"(0.3,0.4]"
GSE122264,GSE122264_diffexpr-results.PHF2.csv.gz,0.826900200174295,"(0.8,0.9]"
GSE122349,GSE122349_res.genes.fat.csv.gz,0.876112977771367,"(0.8,0.9]"
GSE122409,GSE122409_Degust_Voom_Limma_-_IL23_expansion.csv.gz,0.51713651412135,"(0.5,0.6]"
GSE122440,sheet-Table_S6 from GSE122440_Patten_TableS6.xlsx.gz,0.311283001487326,"(0.3,0.4]"
GSE122470,GSE122470_foxo_vs_5905_female_head.csv.gz,0.785659339676537,"(0.7,0.8]"
GSE122483,GSE122483_ren_gene.description.txt.gz,0.485135179286255,"(0.4,0.5]"
GSE122544,GSE122544_N2OP50_vs_N2PA14.deseq.results.significant.csv.gz,0.0980762921348912,"[0,0.1]"
GSE122710,sheet-Sheet1 from GSE122710_genelist.xlsx,0.478179635620515,"(0.4,0.5]"
GSE122791,sheet-DEseq_Samples27-28 over 25-26 from GSE122791_TableS4_DEseq_GFP_vs_KLF4.xlsx.gz,0.781287351262804,"(0.7,0.8]"
GSE122834,GSE122834_processed_data.txt.gz,0.763658295155401,"(0.7,0.8]"
GSE122875,GSE122875_sphere_dge_results.csv.gz,0.0546937994339375,"[0,0.1]"
GSE122941,GSE122941_genes.edgeR_results.txt.gz,0.560951183509658,"(0.5,0.6]"
GSE122991,GSE122991_DEseq_AD5-AD64-AD38-AD24_AD2-AD10-AD26-AD50_DEG_list.csv.gz,0.566972291502081,"(0.5,0.6]"
GSE123002,sheet-KOvsWT.SRSF3 from GSE123002_DGE_KOvsWT.SRSF3.xlsx.gz,0.222690258560348,"(0.2,0.3]"
GSE123118,GSE123118_deseq_Y55.csv.gz,0.519882359688569,"(0.5,0.6]"
GSE123267,GSE123267_reduced_vs_basal.txt.gz,0.895090017447894,"(0.8,0.9]"
GSE123300,GSE123300_between_before_and_8wk.after.txt.gz,0.387055327400798,"(0.3,0.4]"
GSE123374,GSE123374_gvsd.Differential_analysis_results.xls.gz,0.40872294128553,"(0.4,0.5]"
GSE123403,GSE123403_CDK0005_PAO1_results_all.csv.gz,0.894564812257142,"(0.8,0.9]"
GSE123417,sheet-differential expression of gene from GSE123417_differential_expression_Jayavelu_etal.xlsx,0.501926499513598,"(0.5,0.6]"
GSE123459,sheet-CWTvsVWT_0FC from GSE123459_WTCvsWTV.xlsx,0.601419709150939,"(0.6,0.7]"
GSE123462,GSE123462_hepatocyte_polarization_system_counts_and_DE.csv.gz,0.395139112557029,"(0.3,0.4]"
GSE123533,GSE123533_pos_over_neg.txt.gz,0.66833676462806,"(0.6,0.7]"
GSE123547,sheet-sheet1 from GSE123547_RNAseq_logFC_cafNCMmcnfNCM.xlsx.gz,0.706304482956934,"(0.7,0.8]"
GSE123564,GSE123564_patient_vs_healthy_Riboseq.csv.gz,0.515428459204026,"(0.5,0.6]"
GSE123669,GSE123669_HDN_vs_Naive_DEG.csv.gz,0.462899379263385,"(0.4,0.5]"
GSE123771,sheet-GFPvsTdT_results from GSE123771_GFPvsTdT_results.xlsx,0.480299091670579,"(0.4,0.5]"
GSE123773,sheet-LOF_results from GSE123773_LOF_results.xlsx,0.78407608226429,"(0.7,0.8]"
GSE123807,GSE123807_G007MEKi-MEKi.txt.gz,0.624251274625694,"(0.6,0.7]"
GSE123809,GSE123809_Ion_029_036_Yoshimoto_RNAseq_processedData_02162016.txt.gz,0.301517273310028,"(0.3,0.4]"
GSE123815,sheet-IWR_vs_DMSO.DESeq2_comparison from GSE123815_IWR1_vs_DMSO_DESeq2_Foldchange_FPKM.xlsx,0.470902685873054,"(0.4,0.5]"
GSE123901,GSE123901_all_comparisons.txt.gz,0.244258873390556,"(0.2,0.3]"
GSE123916,GSE123916_D300-over-NTG.processed.txt.gz,0.298410262055472,"(0.2,0.3]"
GSE124123,sheet-results.txt from GSE124123_11844R_Treat_vs_Control_gender.xlsx,0.744820994261029,"(0.7,0.8]"
GSE124206,sheet-For GEO from GSE124206_W83_Gal_processed_file_122018.xlsx,0.464421501310378,"(0.4,0.5]"
GSE124209,GSE124209_DESeq2_ATG12KO_vs_ATG12FF_annotated.csv.gz,0.933507535021677,"(0.9,1]"
GSE124211,GSE124211_limma_DEG_Ectopic-Control_all_genes.txt.gz,0.339103451370413,"(0.3,0.4]"
GSE124314,GSE124314_2018.03.26.uvOnly-SAonly.txt.gz,0.717061820308772,"(0.7,0.8]"
GSE124369,GSE124369_iBALT_subsets_degust_Voom_Limma.csv.gz,0.275050944211658,"(0.2,0.3]"
GSE124504,GSE124504_Ax_foxo_vs_5905_female_muscle.csv.gz,0.862573720453841,"(0.8,0.9]"
GSE124526,GSE124526_siRNA-NC_3_reps_vs._siRNA-PiHL_3_reps.xls.gz,0.382367028243078,"(0.3,0.4]"
GSE124548,sheet-AllData from GSE124548_AllData_170308_RNAseq_Kopp_Results.xlsx,0.619528280538927,"(0.6,0.7]"
GSE124586,GSE124586_OHC.Vs.24HE_Allgenes.txt.gz,0.855425500071954,"(0.8,0.9]"
GSE124745,GSE124745_Tug1_Tissues_Testes.csv.gz,0.992586799066598,"(0.9,1]"
GSE124761,GSE124761_edgeR_siCTR_t12_relative_to_t0_QLF-test_filtered_1cpm_3rep.csv.gz,0.509702493666999,"(0.5,0.6]"
GSE124789,sheet-P2 from GSE124789_Conv_v_MAP_DeSeq2.xlsx.gz,0.932378529431428,"(0.9,1]"
GSE125010,GSE125010_RPKM_values_for_ALL_samples.txt.gz,0.290331569476491,"(0.2,0.3]"
GSE125011,GSE125011_RPKM_values_for_ALL_samples.txt.gz,0.268873563535924,"(0.2,0.3]"
GSE125017,GSE125017_edgeR.output.csv.gz,0.301978161065249,"(0.3,0.4]"
GSE125036,GSE125036_Control_LPS_vs_Dropout_LPS_BM.htseq.edgeR.txt.gz,0.97380946271262,"(0.9,1]"
GSE125073,sheet-core_table from GSE125073_RPKM_values_for_ALL_samples.xlsx,0.332916152021082,"(0.3,0.4]"
GSE125110,GSE125110_diff_exp_genes_padj.tsv.gz,0.896555238838103,"(0.8,0.9]"
GSE125125,GSE125125_bs_control_fus_ko_wt_gene.tsv.gz,0.466244241875837,"(0.4,0.5]"
GSE125150,GSE125150_diffexp_summary.csv.gz,0.641590691621413,"(0.6,0.7]"
GSE125152,GSE125152_HOPX_KD.txt.gz,0.301880814674476,"(0.3,0.4]"
GSE125228,GSE125228_GSA_results_root.txt.gz,0.865152285730547,"(0.8,0.9]"
GSE125303,sheet-core_table from GSE125303_RNA-abundance_values_for_ALL_samples.xlsx,0.185235893862934,"(0.1,0.2]"
GSE125332,GSE125332_rtg3_vs_WT_in_myriocin_genes.txt.gz,0.414659680785796,"(0.4,0.5]"
GSE125467,GSE125467_DESeq2_genes_diffexp_by_fc_A_37C_vs_D_48-53C.csv.gz,0.406664463142832,"(0.4,0.5]"
GSE125512,GSE125512_SecondSample_vs_FirstSample.all.gene.result.xls.gz,0.940397366013225,"(0.9,1]"
GSE125685,GSE125685_Tsc2cKO_SNI_DEseq2.csv.gz,0.2545208183084,"(0.2,0.3]"
GSE125977,sheet-sheet1 from GSE125977_microRNA_star_PM_vis_CONTROL_Wald_DESeq2.xls.gz,0.998626430684659,"(0.9,1]"
GSE126217,sheet-Differential_expression_analysi from GSE126217_Cosmc_Glom_RNAseq_processed_readcounts.xlsx,0.59953190446798,"(0.5,0.6]"
GSE126353,sheet-H29 from GSE126353_RNAseqresults.xlsx,0.165849826161254,"(0.1,0.2]"
GSE126469,GSE126469_Placenta_HYBRIDvsSPRET_DESeq2_DE.txt.gz,0.439292174140103,"(0.4,0.5]"
GSE126477,GSE126477_DESeq2_Ctrl_vs_PhenDC3_ALLp-value.xls.gz,0.501223701963256,"(0.5,0.6]"
GSE126492,GSE126492_Non_inj_VS_Inj_KD_TE_DESeq_RUVseq_shrink_result_table.txt.gz,0.927610858306482,"(0.9,1]"
GSE126537,GSE126537_sleuth_all_human.txt.gz,0.473265755427882,"(0.4,0.5]"
GSE126538,GSE126538_sleuth_all.txt.gz,0.460069997515587,"(0.4,0.5]"
GSE126544,sheet-Fold change - M9Glucose vs LB3 from GSE126544_SupplementaryTable6_Transcriptome_Analysis.xlsx,0.470117610244859,"(0.4,0.5]"
GSE126585,GSE126585_AM.EV_AM.anc1_results.csv.gz,0.843636752998772,"(0.8,0.9]"
GSE126736,GSE126736_dds_HMEC_SUM159PT_transcription.csv.gz,0.66964209244224,"(0.6,0.7]"
GSE126840,GSE126840_GSCs_DE.csv.gz,0.89190731236443,"(0.8,0.9]"
GSE126861,GSE126861_KDM2B.CXXCfl.spikenormalised_DESeq2_nucRNA.txt.gz,0.477273510579651,"(0.4,0.5]"
GSE126939,GSE126939_SHPKO_vs_WT.txt.gz,0.515237895283833,"(0.5,0.6]"
GSE126957,sheet-Sheet 1 from GSE126957_Complete_geneList_EdgeR.xlsx,0.76491598021652,"(0.7,0.8]"
GSE127275,sheet-degust-23 from GSE127275_Legrand_etal_2019_ProcessedData.xlsx,0.342535744950242,"(0.3,0.4]"
GSE127478,sheet-DESeq2 Output from GSE127478_MELAS_Project_DE_genes.xlsx,0.551392030678273,"(0.5,0.6]"
GSE127522,GSE127522_YB6vOB6_results.csv.gz,0.853756131582051,"(0.8,0.9]"
GSE127550,sheet-DESeq2_m2_analysis.txt from GSE127550_DESeq2_H397A_by_WT_analysis.xlsx,0.441262918695172,"(0.4,0.5]"
GSE127726,GSE127726_DESeq2_resultsCondition_day4_day2.csv.gz,0.785050296866504,"(0.7,0.8]"
GSE127736,GSE127736_KDvsCTRL.Differential_analysis_results.xls.gz,0.781461919559378,"(0.7,0.8]"
GSE127812,sheet-Sheet1 from GSE127812_Total-expresssion.xlsx,0.911579895990872,"(0.9,1]"
GSE127929,GSE127929_WT_vs_Mdxmtr.deseq.txt.gz,0.526959262571572,"(0.5,0.6]"
GSE128025,sheet-Raw Counts 381 from GSE128025_RNA_seq-381-W83_Motility-Biofilm_processed_file_122021.xlsx,0.158925418567653,"(0.1,0.2]"
GSE128052,sheet-AcrossTime from GSE128052_SDC3_AcrossTimeAnalysis.xls.gz,0.735900448327895,"(0.7,0.8]"
GSE128155,GSE128155_all_genes_all_days_all_treatments.txt.gz,0.974642567718532,"(0.9,1]"
GSE128211,sheet-Venn Diagram-1 from GSE128211_RNAseq_Processed_TPB.xlsx.gz,0.134850404062815,"(0.1,0.2]"
GSE128216,GSE128216_Scla_Ribo_gene_expression.txt.gz,0.339133031036838,"(0.3,0.4]"
GSE128229,GSE128229_EISA.txt.gz,0.892218540787435,"(0.8,0.9]"
GSE128317,GSE128317_RNAseq_Genotype_set7_vs_epr1.tabular.txt.gz,0.527537344844218,"(0.5,0.6]"
GSE128382,GSE128382_HUVECvsHUAEC_DEseq2out.csv.gz,0.728215357949002,"(0.7,0.8]"
GSE128406,GSE128406_shPHF19-expression.txt.gz,0.351563453228497,"(0.3,0.4]"
GSE128430,sheet-Sheet1 from GSE128430_VqsM_RNA-seq_analyzed.xlsx,0.819462722894532,"(0.8,0.9]"
GSE128623,GSE128623_Table3-1_TranscriptomeMapping_LFC1.5.csv.gz,0.586412312339502,"(0.5,0.6]"
GSE128773,GSE128773_Gene_All.miR204vsNC.txt.gz,0.601678429291862,"(0.6,0.7]"
GSE128870,GSE128870_ResultsTable_LA_PV.txt.gz,0.736595053354815,"(0.7,0.8]"
GSE128891,GSE128891_ResultsICAM1vDPP4.csv.gz,0.68745800900094,"(0.6,0.7]"
GSE128906,GSE128906_Table_2.csv.gz,0.943981377151978,"(0.9,1]"
GSE128942,GSE128942_gene_list-BWA-GSA_all_gene.txt.gz,0.61448331035705706,"(0.6,0.7]"
GSE128968,GSE128968_degust.tsv.gz,0.698593217835378,"(0.6,0.7]"
GSE128977,sheet-RNA-seq_P1 from GSE128977_RNA-seq_expr_analysis_P1_P2_P3.xls.gz,0.833799917722141,"(0.8,0.9]"
GSE129081,GSE129081_diff_exp_deseq2_gene.txt.gz,0.846305529148686,"(0.8,0.9]"
GSE129088,sheet-daf-2_ev from GSE129088_hrde1Provisioning_GEOResults.xlsx,0.951933626097042,"(0.9,1]"
GSE129104,sheet-PEN8E.D150_PEN8E.D75 from GSE129104_CellLines_DEanalysis.xlsx,0.470000825486456,"(0.4,0.5]"
GSE129160,GSE129160_GeneOntology_U1plusLL3724hvsControl24h_UpregulatedGO.txt.gz,0.496863283024081,"(0.4,0.5]"
GSE129186,sheet-diff_exp_deseq2_AIDKOvsWt from GSE129186_diff_exp_deseq2_AIDKOvsWt.xlsx,0.584812706895574,"(0.5,0.6]"
GSE129265,sheet-DE table from GSE129265_tac_jq1_veh_DE.xls.gz,0.63663187891208906,"(0.6,0.7]"
GSE129362,GSE129362_diffexpr.KH310uM_vs_DMSO.parsed.txt.gz,0.781925165057103,"(0.7,0.8]"
GSE129430,GSE129430_htseq_deseq2.txt.gz,0.64845386407624,"(0.6,0.7]"
GSE129432,GSE129432_non_normalized.txt.gz,0.576515709045028,"(0.5,0.6]"
GSE129442,GSE129442_htseq_deseq2_api.txt.gz,0.990922832972494,"(0.9,1]"
GSE129619,sheet-sheet1 from GSE129619_DESeq2-data.xls.gz,0.482639039228029,"(0.4,0.5]"
GSE129620,sheet-Smarca4-Upregulated from GSE129620_tumours_bptf_brg1_gene_expression_table.xls.gz,0.238111366142996,"(0.2,0.3]"
GSE129651,sheet-Hoja1 from GSE129651_processed_data_oligo.xlsx,0.609046802632831,"(0.6,0.7]"
GSE129652,sheet-Table from GSE129652_Cufflinks-assembled_transcriptome_FPKMs_DiffSplicing.xlsx,0.719352863318439,"(0.7,0.8]"
GSE129757,sheet-UpRegulatedGenesIndicated from GSE129757_Table_S2_-_Differential_gene_expression.xlsx,0.836077442332056,"(0.8,0.9]"
GSE129761,GSE129761_modA15_C_ON.VS.OFF-all_genes.txt.gz,0.248596584940897,"(0.2,0.3]"
GSE129764,GSE129764_modA18_C_ON.VS.OFF-all_genes.txt.gz,0.567912366355903,"(0.5,0.6]"
GSE129782,GSE129782_12Z_RNA_KD_vs_Control_DESeq2_results.csv.gz,0.744355244668259,"(0.7,0.8]"
GSE129784,GSE129784_Mouse_RNA_DESeq2_HetKO-vs-WT_results.csv.gz,0.781321721441384,"(0.7,0.8]"
GSE129786,GSE129786_modA10_ON.VS.OFF-all_genes.txt.gz,0.454483615011541,"(0.4,0.5]"
GSE129830,sheet-Sheet1 from GSE129830_Hypoxic_RNA_Seq_Processed.xlsx,0.33375091486314,"(0.3,0.4]"
GSE129833,sheet-res_5um_func from GSE129833_5uM_Processed_Data.xlsx,0.572447770497248,"(0.5,0.6]"
GSE129983,GSE129983_RNA-seq_LVSD.All.txt.gz,0.866804079694326,"(0.8,0.9]"
GSE130126,sheet-GeneExpression from GSE130126_DE_lrt_FDR001.xlsx,0.818935883993244,"(0.8,0.9]"
GSE130150,sheet-trimmed from GSE130150_tmp_expression.xlsx,0.711851409049364,"(0.7,0.8]"
GSE130190,sheet-HostDGE from GSE130190_host-dge.xlsx,0.479383731561148,"(0.4,0.5]"
GSE130278,sheet-FG over MG from GSE130278_Deseq2_FG_over_MG.xlsx,0.207524549507125,"(0.2,0.3]"
GSE130447,GSE130447_RNAseq_edgeR.txt.gz,0.70824362158464,"(0.7,0.8]"
GSE130485,sheet-THZ1_DEG_COUNTS_FPKM.csv from GSE130485_SMB56-shSufu-THZ1_DEG_COUNTS_FPKM.xlsx,0.318311190296565,"(0.3,0.4]"
GSE130564,sheet-Sheet1 from GSE130564_PCBP2.xls.gz,0.812313879615914,"(0.8,0.9]"
GSE130658,sheet-S.vs.W from GSE130658_all_gene_expression.xlsx.gz,0.674673541345207,"(0.6,0.7]"
GSE130683,sheet-DE_results from GSE130683_LPS_IL4_supplemental_data.xlsx,0.799871578332589,"(0.7,0.8]"
GSE130690,GSE130690_RNASeq_DESeq2.txt.gz,0.439474189620734,"(0.4,0.5]"
GSE130777,GSE130777_mgrA_vs_LAC.csv.gz,0.385736862888286,"(0.3,0.4]"
GSE130805,GSE130805_DESeq_results_sh2vsCtrl.txt.gz,0.582489981441946,"(0.5,0.6]"
GSE130887,GSE130887_arlRS_vs_LAC.csv.gz,0.291037255906267,"(0.2,0.3]"
GSE130927,sheet-. from GSE130927_Table_S3_-_FACS-RNA-seq_RIS-vs-all.xlsx,0.4602715641229,"(0.4,0.5]"
GSE130958,sheet-6.5.1_KEGG Pathway分类_WT-vs-CDG1 from GSE130958_GENE.xlsx,0.169373621724831,"(0.1,0.2]"
GSE130971,sheet-Sheet1 from GSE130971_deseq2_output.xlsx,0.315822647091094,"(0.3,0.4]"
GSE131104,GSE131104_basal_gene_exp_diff.txt.gz,0.966803933980338,"(0.9,1]"
GSE131237,sheet-DESeq2_D333A_vs_WTnew.txt from GSE131237_DESeq2_D333A_by_WT_analysis.xlsx,0.33799605977979,"(0.3,0.4]"
GSE131243,GSE131243_NIPvsC403.DiffExpGene.anno.txt.gz,0.821132744024984,"(0.8,0.9]"
GSE131336,GSE131336_DESeq2_hnrnpu_RNA_seq.csv.gz,0.94168969826304,"(0.9,1]"
GSE131476,GSE131476_kallisto_table_w_Wald_test_annotated.txt.gz,0.29345720765336,"(0.2,0.3]"
GSE131633,sheet-DEoutput from GSE131633_DEoutput.xlsx,0.878703519730673,"(0.8,0.9]"
GSE131749,GSE131749_EF_pppGpp_vs_wt_pooled.txt.gz,0.568760776749701,"(0.5,0.6]"
GSE131786,GSE131786_IGF1_TFB_edgeR.txt.gz,0.401635577436811,"(0.4,0.5]"
GSE131798,GSE131798_ScxCreERT2_IGF1_edgeR.txt.gz,0.269316321675934,"(0.2,0.3]"
GSE131877,sheet-ESP2_D123 - ESP2_D60 from GSE131877_patientde.xlsx,0.525626014587529,"(0.5,0.6]"
GSE131949,GSE131949_RNAseq_Abaumannii_LB_PF_results_with_function.tsv.gz,0.266452261666913,"(0.2,0.3]"
GSE132038,GSE132038_DESeq_NS_S_genes.txt.gz,0.380469548461068,"(0.3,0.4]"
GSE132039,GSE132039_PRMT_diffgene.txt.gz,0.482361392202132,"(0.4,0.5]"
GSE132116,GSE132116_sleuth-results-14hpf.txt.gz,0.818216540669323,"(0.8,0.9]"
GSE132214,sheet-Quad_vs_Het from GSE132214_supplemental_differential_expression.xlsx,0.910982490393865,"(0.9,1]"
GSE132306,GSE132306_M14KD_Ctl_peak.txt.gz,0.814170385454817,"(0.8,0.9]"
GSE132313,sheet-Differential expression from GSE132313_Fosl2_transcriptional_effect.xlsx,0.158752424418572,"(0.1,0.2]"
GSE132321,GSE132321_DGE_DEseq.txt.gz,0.555783105343989,"(0.5,0.6]"
GSE132343,GSE132343_DEG_list231.csv.gz,0.454544903326959,"(0.4,0.5]"
GSE132373,GSE132373_DESeq_pac3_highPi_vs_mus52_highPi.csv.gz,0.855709292759078,"(0.8,0.9]"
GSE132506,GSE132506_PAX3_GOF_all_salmon.txt.gz,0.910627303796995,"(0.9,1]"
GSE132624,GSE132624_edgeR_501mel_DMEM_1_O2_12h_relative_to_0h_QLF-test_filtered_1cpm_3rep.csv.gz,0.494557830720975,"(0.4,0.5]"
GSE132637,GSE132637_MS6671_edgeR_PBT2-Control.txt.gz,0.567792743997174,"(0.5,0.6]"
GSE132725,GSE132725_Final_DE_combined_RNAseq_vs_Riboseq_wt_vs_XRN1.txt.gz,0.587394545830848,"(0.5,0.6]"
GSE132868,GSE132868_RelA_reconstitued_FPKM.csv.gz,0.585838632205249,"(0.5,0.6]"
GSE132930,GSE132930_Early_Diet_cortex_8wkrun_CD.8weeks.Run.C_vs_CD.8weeks.Sed.C.txt.gz,0.660426721305523,"(0.6,0.7]"
GSE133011,sheet-DE from GSE133011_RAW.tar,0.612702201259919,"(0.6,0.7]"
GSE133055,GSE133055_CB_v_PS_differential_expression_analysis.txt.gz,0.683080371616202,"(0.6,0.7]"
GSE133140,GSE133140_edgeR.output.csv.gz,0.340183814887249,"(0.3,0.4]"
GSE133164,GSE133164_tc-797_MZ1vsDMSO_tt-seq_DESeq2.csv.gz,0.288749815516934,"(0.2,0.3]"
GSE133178,sheet-filtered_labled_used_in_volcano from GSE133178_H_mephisto_FPKM_data.xlsx,0.647809024032493,"(0.6,0.7]"
GSE133331,GSE133331_Processed_file.txt.gz,0.386736461679372,"(0.3,0.4]"
GSE133408,GSE133408_toptags_JA_1_hr.csv.gz,0.951748285630791,"(0.9,1]"
GSE133505,GSE133505_WT_Myf6_KO_deseq2.csv.gz,0.774845859396432,"(0.7,0.8]"
GSE133533,sheet-Sheet1 from GSE133533_Differential_Expression_Analysis_GEO.xlsx,0.431454786824164,"(0.4,0.5]"
