id,GSE,Species,Entity,Technology,Type,Samples,Disease,DOLink,Dsetlink,Datapath,DataAnnot
1495,GSE18476,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"acute promyelocytic leukemia",disease-ontology.org/term/DOID%3A0060318,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18476,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18476.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18476_Annot.csv"
1496,GSE18486,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",9,,"CDK inhibitors PHA-848125 and PHA-690509 profiling on A2780",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18486,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18486.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18486_Annot.csv"
1497,GSE18490,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",24,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18490,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18490.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18490_Annot.csv"
1498,GSE18497,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",82,cancer,disease-ontology.org/term/DOID%3A162,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18497,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18497.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18497_Annot.csv"
1499,GSE18498,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",4,,"CDK inhibitor PHA-793887 profiling on A2780",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18498,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18498.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18498_Annot.csv"
1500,GSE18501,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",4,,"CDK inhibitor PHA-848125 gene expression profiling on MCF7 cell line",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18501,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18501.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18501_Annot.csv"
1501,GSE18504,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",4,,"Flavopiridol profiling on A2780",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18504,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18504.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18504_Annot.csv"
1502,GSE18520,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",63,"spindle cell carcinoma",disease-ontology.org/term/DOID%3A4015,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18520,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18520.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18520_Annot.csv"
1503,GSE18521,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",75,"spindle cell carcinoma",disease-ontology.org/term/DOID%3A4015,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18521,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18521.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18521_Annot.csv"
1504,GSE18549,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",96,"colorectal cancer",disease-ontology.org/term/DOID%3A9256,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18549,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18549.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18549_Annot.csv"
1505,GSE18552,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",35,"spindle cell carcinoma",disease-ontology.org/term/DOID%3A4015,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18552,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18552.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18552_Annot.csv"
1506,GSE18557,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",10,"ovarian hyperstimulation syndrome",disease-ontology.org/term/DOID%3A5425,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18557,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18557.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18557_Annot.csv"
1507,GSE18560,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,,"Deciphering the Wnt-dependent gene signature in colorectal cancer cells",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18560,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18560.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18560_Annot.csv"
1508,GSE18565,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,,"Comparison of gene expression profiles between human and mouse monocyte subsets [human data]",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18565,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18565.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18565_Annot.csv"
1509,GSE18571,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",18,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18571,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18571.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18571_Annot.csv"
1510,GSE18590,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,,"DNMT1 Maintains Progenitor Function in Self-Renewing Somatic Tissue",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18590,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18590.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18590_Annot.csv"
1511,GSE18608,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",24,"coronary artery disease",disease-ontology.org/term/DOID%3A3393,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18608,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18608.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18608_Annot.csv"
1512,GSE18618,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",15,,"Transcriptional Signature and Memory Retention of Human-induced Pluripotent Stem Cells",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18618,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18618.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18618_Annot.csv"
1513,GSE18625,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",7,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18625,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18625.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18625_Annot.csv"
1514,GSE18632,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",8,"frontotemporal dementia",disease-ontology.org/term/DOID%3A9255,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18632,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18632.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18632_Annot.csv"
1515,GSE18637,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",19,"chronic obstructive pulmonary disease",disease-ontology.org/term/DOID%3A3083,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18637,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18637.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18637_Annot.csv"
1516,GSE18640,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",3,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18640,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18640.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18640_Annot.csv"
1517,GSE18670,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",24,"pancreatic ductal adenocarcinoma",disease-ontology.org/term/DOID%3A3498,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18670,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18670.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18670_Annot.csv"
1518,GSE18674,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",24,"liver disease",disease-ontology.org/term/DOID%3A409,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18674,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18674.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18674_Annot.csv"
1519,GSE18676,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",24,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18676,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18676.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18676_Annot.csv"
1520,GSE18679,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",5,,"TimEX from human embryonic stem cells, mesenchymal stem cells, and erythroid cells",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18679,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18679.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18679_Annot.csv"
1521,GSE18680,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18680,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18680.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18680_Annot.csv"
1522,GSE18681,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",9,"ovarian cancer",disease-ontology.org/term/DOID%3A2394,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18681,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18681.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18681_Annot.csv"
1523,GSE18696,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,"alzheimer's disease",disease-ontology.org/term/DOID%3A10652,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18696,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18696.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18696_Annot.csv"
1524,GSE18715,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",18,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18715,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18715.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18715_Annot.csv"
1525,GSE18728,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",61,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18728,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18728.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18728_Annot.csv"
1526,GSE18736,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,"malt lymphoma",disease-ontology.org/term/DOID%3A0050909,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18736,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18736.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18736_Annot.csv"
1527,GSE18739,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",4,,"Establishment of a novel model to assess the function of proteins under in vivo conditions",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18739,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18739.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18739_Annot.csv"
1528,GSE18773,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18773,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18773.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18773_Annot.csv"
1529,GSE18781,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",55,sarcoidosis,"Gene Expression in Inflammatory Diseases",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18781,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18781.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18781_Annot.csv"
1530,GSE18791,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",57,"viral infectious disease",disease-ontology.org/term/DOID%3A934,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18791,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18791.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18791_Annot.csv"
1531,GSE18809,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",10,,"Differentially expressed mRNA transcripts in the placenta delivered by preterm versus term spontaneous labour",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18809,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18809.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18809_Annot.csv"
1532,GSE18810,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18810,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18810.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18810_Annot.csv"
1533,GSE18811,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",31,,"Transcriptome Analysis and Molecular Signature of Human Retinal Pigment Epithelium",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18811,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18811.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18811_Annot.csv"
1534,GSE18826,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18826,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18826.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18826_Annot.csv"
1535,GSE18842,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",91,"lung cancer",disease-ontology.org/term/DOID%3A1324,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18842,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18842.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18842_Annot.csv"
1536,GSE18850,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",10,,"Placentas delivered by term spontaneous labour compared to those delivered by elective term Cesarean section",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18850,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18850.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18850_Annot.csv"
1537,GSE18864,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",84,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18864,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18864.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18864_Annot.csv"
1538,GSE18866,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,"chronic lymphocytic leukemia",disease-ontology.org/term/DOID%3A1040,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18866,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18866.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18866_Annot.csv"
1539,GSE18877,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",15,,"Expression data from human triploid and diploid fibroblast cell cultures",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18877,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18877.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18877_Annot.csv"
1540,GSE18892,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",9,,"Silencing of AEBP1 in U87MG glial cells and Chip-chIP with AEBP1 antibody",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18892,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18892.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18892_Annot.csv"
1541,GSE18897,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",80,obesity,disease-ontology.org/term/DOID%3A9970,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18897,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18897.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18897_Annot.csv"
1542,GSE18903,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",3,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18903,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18903.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18903_Annot.csv"
1543,GSE18906,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",18,"erythema infectiosum",disease-ontology.org/term/DOID%3A8743,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18906,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18906.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18906_Annot.csv"
1544,GSE18912,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",10,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18912,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18912.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18912_Annot.csv"
1545,GSE18913,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",21,atherosclerosis,disease-ontology.org/term/DOID%3A1936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18913,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18913.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18913_Annot.csv"
1546,GSE18914,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,lymphoma,disease-ontology.org/term/DOID%3A0060058,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18914,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18914.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18914_Annot.csv"
1547,GSE18931,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,cancer,disease-ontology.org/term/DOID%3A162,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18931,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18931.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18931_Annot.csv"
1548,GSE18934,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,,"Gene expression in fetal mesenchymal stem cells for identification of epitopes suitable for non-invasive isolation",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18934,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18934.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18934_Annot.csv"
1549,GSE18946,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",18,,"Apoptosis regulation by Kaposis sarcoma microRNAs",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18946,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18946.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18946_Annot.csv"
1550,GSE18947,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18947,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18947.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18947_Annot.csv"
1551,GSE18959,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",3,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18959,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18959.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18959_Annot.csv"
1552,GSE18973,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",9,,"Global expression analysis of HNF4alpha and HNFgamma-mediated transcriptional control",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18973,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18973.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18973_Annot.csv"
1553,GSE18990,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",9,,"Proteomic analysis of native hepatocyte nuclear factor-4{alpha} (HNF4{alpha}) isoforms, phosphorylation status, and interactive cofactors.",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18990,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18990.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18990_Annot.csv"
1554,GSE18995,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",35,"brain disease",disease-ontology.org/term/DOID%3A936,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18995,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18995.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18995_Annot.csv"
1555,GSE18997,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",8,"b-cell lymphoma",disease-ontology.org/term/DOID%3A707,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18997,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18997.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE18997_Annot.csv"
1556,GSE19018,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,"williams-beuren syndrome;systemic lupus erythematosus;duchenne muscular dystrophy",disease-ontology.org/term/DOID%3ANA,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19018,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19018.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19018_Annot.csv"
1557,GSE19060,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",8,,"Analysis of Meniscal Degeneration and Meniscal Gene Expression",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19060,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19060.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19060_Annot.csv"
1558,GSE19067,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",44,lymphoma,disease-ontology.org/term/DOID%3A0060058,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19067,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19067.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19067_Annot.csv"
1559,GSE19069,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",147,"adult T-cell leukemia",disease-ontology.org/term/DOID%3A0050523,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19069,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19069.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19069_Annot.csv"
1560,GSE19072,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",6,"colon cancer",disease-ontology.org/term/DOID%3A219,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19072,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19072.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19072_Annot.csv"
1561,GSE19098,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",12,,"Expression data from human umbilical vein endothelial cells (HUVECs) as a function of cell adhesion and VEGF exposure",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19098,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19098.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19098_Annot.csv"
1562,GSE19123,"Homo sapiens","Gene expression",GPL570,"in situ oligonucleotide",44,"breast cancer",disease-ontology.org/term/DOID%3A1612,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19123,"http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19123.csv","http://dataome.mensxmachina.org/data/Homo sapiens/GPL570/GSE19123_Annot.csv"
