Accession,id,anticons,de_tool
GSE114448,sheet-ProteinCT101800932_Soybean from GSE114448_PCT101800932_Soybean_GEO.xlsx.gz,1,limma
GSE114463,GSE114463_DESeq2_genes_diffexp_by_fc_N2_60_vs_O2_60.csv.gz,1,deseq2
GSE114472,sheet-Total_genelist_Nikita_RNAseq from GSE114472_Total_Genelist.xlsx.gz,0,cuffdiff
GSE114516,sheet-data2 from GSE114516_processed.xlsx.gz,0,unknown
GSE114517,GSE114517_Diff_PDvsCont.csv.gz,1,edger
GSE114528,GSE114528_differential_exp_EVP_TA.tsv.gz,0,deseq2
GSE114531,GSE114531_untreated_vs_SNP+SHAM.txt.gz,0,cuffdiff
GSE114538,GSE114538_Seb1-1_vs_WT_RNA-seq.csv.gz,1,deseq2
GSE114599,GSE114599_Wiehle_et_al_2018_10.transcript_summary.tsv.gz,0,unknown
GSE114624,GSE114624_tss_group_exp.diff.gz,0,cuffdiff
GSE114642,sheet-all.counts.kasumi_1_MIg_vs_kasu from GSE114642_gene_expression_anno.xlsx,0,unknown
GSE114652,GSE114652_trim9_sham_stroke.txt.gz,0,deseq2
GSE114673,GSE114673_DIS3L2edgeR.txt.gz,0,edger
GSE114695,GSE114695_miR_FC_P-val_RPM.txt.gz,0,cuffdiff
GSE114702,sheet-GFp-GFsi from GSE114702_Processed_data_file_2_-_DESeq2_results.xlsx,0,deseq2
GSE114705,GSE114705_co_noNEC_gene_exp.diff.gz,0,cuffdiff
GSE114766,sheet-Sig  from GSE114766_3514Rutgers_DEXvsCONT_gene_exp_diff_copy.xlsx,1,cuffdiff
GSE114781,GSE114781_gene-difference-data-2_h.txt.gz,0,cuffdiff
GSE114794,GSE114794_RPKM-Table_04hrs.txt.gz,1,unknown
GSE114814,sheet-KOD_F_1_vs_WT_All from GSE114814_KOD_F_1_vs_WT_All.xlsx,0,unknown
GSE114850,GSE114850_gencode.v19_GENES_counts_GFP-VS-TMPRSS11B.glmLRT.txt.gz,0,edger
GSE114892,GSE114892_DESeq2_scd6delta_vs_WT.csv.gz,1,deseq2
GSE114917,GSE114917_High_vs_Low_LP4_removed_all_genes.tsv.gz,1,deseq2
GSE114924,GSE114924_gene_exp_allstrains.diff.gz,0,rockhopper
GSE114927,sheet-DESeq2_RESULTS_AKvsWT from GSE114927_DESeq2_RESULTS_AKvsWT.xlsx,1,deseq2
GSE114936,sheet-Sheet1 from GSE114936_SuppFile1.xls.gz,1,deseq2
GSE114938,sheet-Sheet1 from GSE114938_SuppFile2.xls.gz,1,deseq2
GSE114941,sheet-DeSeq2 from GSE114941_DEseq2.xlsx,0,deseq2
GSE114955,sheet-IverNoFood1hrvs.NoIverNoFood1hr from GSE114955_IvermectinFoodNoFood1hr24hr.xlsx,1,edger
GSE114966,GSE114966_HSV_WT_vs_mock_infect_filtered_FDR_0.05_Fold_change_2_total_1198_genes.txt.gz,1,unknown
GSE114987,GSE114987_gene.txt.gz,0,cuffdiff
GSE114995,sheet-Ⅳ. GO_CR_L_DGE from GSE114995_Supplemental_dataset1_DGE.xlsx,0,cuffdiff
GSE114998,sheet-Sheet1 from GSE114998_Spreadsheet1_CT_Repbase.xlsx,0,deseq
GSE115031,GSE115031_Heart_Failure_vs_Control_deseq_131074_1516.txt.gz,0,deseq2
GSE115075,GSE115075_PB-VS-PB_Tfcp2l1.GeneDiffExp.txt.gz,1,unknown
GSE115102,sheet-p53KO_and_p53_Cry_TKO_OKs from GSE115102_RNAseq_p53KO_vs_p53CryKO_UV_CuffDiff.xlsx,1,cuffdiff
GSE115139,GSE115139_shRNA-control_vs_shTHOC5.tabular.txt.gz,0,cuffdiff
GSE115172,GSE115172_WTAvsRes4.txt.gz,0,deseq2
GSE115181,GSE115181_gene_exp.diff.gz,0,cuffdiff
GSE115203,GSE115203_EdgeR-WholePBMC.txt.gz,1,edger
GSE115266,GSE115266_Horvath01_DESeq2_Differential_Gene_Expression.csv.gz,1,deseq2
GSE115272,GSE115272_Chahtane_2018_RNA_DATA.txt.gz,0,cuffdiff
GSE115330,GSE115330_Processeddata_RNAseq_wildtype_diesel_exhaust_atm_vs_standard_laboratory_atm.txt.gz,0,edger
GSE115349,GSE115349_PD09_v_PD11.batch1.novel.gene_exp.diff.txt.gz,0,cuffdiff
GSE115355,sheet-161227_170125_stroma_gene_ANOVA from GSE115355_161227_170125_stroma_gene_ANOVA_8-31-17.xlsx,0,partek
GSE115361,sheet-all.counts.g2_vs_g1.edgeR_all from GSE115361_differentially_expressed_genes_information.xlsx.gz,0,edger
GSE115371,GSE115371_0hv1N.txt.gz,0,cuffdiff
GSE115398,GSE115398_LazyTG_vs_LazyWT.txt.gz,0,deseq2
GSE115400,GSE115400_GATA1KO_RNAseq_DESeq2.txt.gz,0,deseq2
GSE115407,sheet-Sheet 1 from GSE115407_RNAseq_Complete_geneList_EdgeR.xlsx,1,edger
GSE115462,GSE115462_TP63dN_vs_GFP_DOX_FC1242.txt.gz,0,cuffdiff
GSE115474,sheet-Untreated_Control_vs_Treatment. from GSE115474_Untreated_Control_vs_Treatment.genesTABULATED.xls.gz,0,deseq2
GSE115481,GSE115481_EROEvsControl_DEGs.csv.gz,1,edger
GSE115497,sheet-171008_osteo_d0_mutvshIRF8 from GSE115497_171008_osteo_d0_mutvshIRF8.xlsx.gz,0,unknown
GSE115498,GSE115498_cuffdiff_2mmTassel_FPKMvalues.txt.gz,0,cuffdiff
GSE115509,GSE115509_consolidated_sleuth_output.tsv.gz,0,sleuth
GSE115537,GSE115537_T2_RNA-seq_wt_vs_lsr2mutant_Rockhopper_analysis.csv.gz,0,rockhopper
GSE115547,GSE115547_A3SS.MATS.ReadsOnTargetAndJunctionCounts.txt.gz,0,unknown
GSE115554,sheet-2x150 @ FDR=0.01 from GSE115554_RNAseq_Genediff_pilot.xlsx,0,cuffdiff
GSE115606,GSE115606_piRNA.txt.gz,0,deseq2
GSE115618,sheet-Inj00hr_vs_FlushedAorta48hr from GSE115618_normalized_counts_and_comparisons.xlsx.gz,0,deseq2
GSE115636,sheet-Sheet1 from GSE115636_normalized_abundance_measurements.xlsx,0,edger
GSE115649,GSE115649_P20WT_P20M_results.csv.gz,0,deseq2
GSE115737,sheet-Sheet1 from GSE115737_All_genes.xlsx,0,cuffdiff
GSE115739,GSE115739_G3gg.gene_exp.diff.txt.gz,0,cuffdiff
GSE115740,sheet-White_2_V_green_2 from GSE115740_GW.fpkm.xlsx,0,cuffdiff
GSE115743,GSE115743_TgCd2G3.fpkm.txt.gz,0,cuffdiff
GSE115762,GSE115762_GeneExp_cuffdiff_all.txt.gz,0,cuffdiff
GSE115787,GSE115787_RNAseq_KPL_plusOHT_vs_minusOHT.txt.gz,0,edger
GSE115789,GSE115789_Gene_expression_Cuffdiff.txt.gz,0,cuffdiff
GSE115811,GSE115811_WT_InjvsWT_C.txt.gz,1,edger
GSE115815,GSE115815_DESeq.csv.gz,0,deseq2
GSE115828,GSE115828_DE_analysis.txt.gz,0,limma
GSE115845,GSE115845_gene_exp.diff.gz,0,cuffdiff
GSE115849,GSE115849_Patty_RNAseq_wholeList.txt.gz,1,cuffdiff
GSE115905,GSE115905_TB_gene_exp.diff.txt.gz,0,cuffdiff
GSE115950,GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_vs_Migr_pLN_SPF.csv.gz,1,deseq2
GSE115967,GSE115967_DESeq2_results_GMP_cells_Tet2KO_vs_WT.txt.gz,0,deseq2
GSE115988,sheet-DPY30 mean >10 from GSE115988_Normalized_DESeq.xlsx,0,deseq2
GSE115993,GSE115993_NC_007795_transcripts.txt.gz,0,unknown
GSE116059,GSE116059_DE_ES2_C_vs_IMP1_all.csv.gz,0,edger
GSE116087,GSE116087_GD-WT_vs_CM-WT.gene_exp.diff.tsv.gz,0,cuffdiff
GSE116126,GSE116126_siZNF_IL1_vs_siZNF.txt.gz,1,deseq2
GSE116133,GSE116133_DE_HUH7_C_vs_I1_all.txt.gz,0,edger
GSE116178,GSE116178_deTab.tab.gz,1,limma
GSE116188,GSE116188_cuffdiff_WM1976_scrambled_vs_siSLNCR_number_1.txt.gz,0,cuffdiff
GSE116230,GSE116230_Smad4ff_vs_Smad4iECKO.deseq.res.csv.gz,0,deseq2
GSE116234,GSE116234_full_table_iel_con-iel_leuk.txt.gz,0,edger
GSE116241,GSE116241_osc_vs_stat_gene_exp.diff.gz,0,cuffdiff
GSE116270,sheet-Sheet 1 from GSE116270_GO_Results_NormMgHFD_vs_LowMgHFD.xlsx,0,unknown
GSE116329,GSE116329_Mettl16_in_vitro_meth_table.csv.gz,1,deseq2
GSE116364,GSE116364_IFN_gene_exp.diff.txt.gz,0,cuffdiff
GSE116366,sheet-G_vs_D.known.DESeq2.anno from GSE116366_H_vs_L.known.DESeq2.anno.xlsx,1,deseq2
GSE116372,GSE116372_DE_control_vs_BclxL.csv.gz,1,edger
GSE116374,GSE116374_B6CTL_vs_Irf1CTL.txt.gz,0,limma
GSE116419,sheet-DE table from GSE116419_salivary_capd3-wt.xls.gz,0,edger
GSE116458,GSE116458_nESCs_EpiLSCs_desep_table.txt.gz,0,deseq2
GSE116462,GSE116462_Lncenc1_KD_deseq_table.txt.gz,0,deseq2
GSE116475,GSE116475_KO_v_WT.deseq.csv.gz,0,deseq2
GSE116476,sheet-sevgal4EP3037 vs sevgal4GFP from GSE116476_gene_expression_level.xlsx,0,cuffdiff
GSE116499,GSE116499_Control_NB4_vs_JMJD3_NB4.diff.exp.annot.txt.gz,0,deseq2
GSE116508,GSE116508_Control-VS-OA-500-48.PossionDis_Method.GeneDiffExp.txt.gz,0,unknown
GSE116511,sheet-Intestinal tuft cell sequencing from GSE116511_Table_2.xls.gz,0,unknown
GSE116538,sheet-BC_BMDM_HSSvsVR1_6h_HSS_071257 from GSE116538_BC_BMDM_HSSvsVR1_6h_HSS_071257.xlsx,0,deseq2
GSE116548,GSE116548_KnockDown_vs_Control.all.gene.result.xls.gz,1,deseq
GSE116564,sheet-gene_list.txt.tsv from GSE116564_ANOVA_single_contrast_PDL1_vs_Iso.xlsx.gz,1,unknown
GSE116579,GSE116579_1358_1405.a.table.txt.func.txt.gz,0,deseq
GSE116582,sheet-IC9C vs. t3a(2) IC9C vs. t3... from GSE116582_Processed_data.xlsx,0,clc genomics
GSE116587,sheet-RffG_gene_exp from GSE116587_Littleetal_RNASEQ.xlsx,0,cuffdiff
GSE116600,sheet-All from GSE116600_RNA_OPC_Chd7iKO.xlsx,1,unknown
GSE116607,sheet-status = ok from GSE116607_set1_set2_invitro_CD8_GFP_Minus_plus_gene_differential_expression.xlsx,0,deseq2
GSE116610,sheet-hsp90 hsrw66 vs hsp90 from GSE116610_gene_expression_level.xlsx,0,cuffdiff
GSE116620,GSE116620_10.loci_summary.tsv.gz,0,deseq2
GSE116629,GSE116629_differential_gene_expression.txt.gz,0,cuffdiff
GSE116639,sheet-Sheet1 from GSE116639_mass_M.xlsx,1,deseq2
GSE116650,GSE116650_gene_exp.diff.txt.gz,0,cuffdiff
GSE116701,GSE116701_processed_data.txt.gz,0,unknown
GSE116756,GSE116756_10033956.1KT_Glu_Exp_KT_Myr_Exp.toptags_edgeR.csv.gz,1,edger
GSE116758,GSE116758_Twt_vs._Tko_all.txt.gz,0,edger
GSE116759,GSE116759_DESeq2_Normalized_Counts.txt.gz,0,deseq2
GSE116776,GSE116776_KO_vs_WT.txt.gz,0,deseq2
GSE116793,GSE116793_FL-E115-Inv1_vs_FL-E115-Inv1DelCTCF.DESEQ2.txt.gz,0,deseq2
GSE116815,GSE116815_DESeq2_DPlike_ASL.txt.gz,0,deseq2
GSE116819,GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,0,deseq2
GSE116850,sheet-shThoc5_773vsNT from GSE116850_RNAseq_shNT_shThoc5_logFC.xlsx,0,limma
GSE116864,GSE116864_Prostate_cellines_DU145_AREGVsCTRL.FPKM.txt.gz,0,unknown
GSE116865,GSE116865_human_normalized_matrix.csv.gz,0,deseq2
GSE116866,GSE116866_murine_3group_normalized_matrix.csv.gz,0,deseq2
GSE116915,GSE116915_Microbead_vs_control_raw_data_RNAseq_mouse.define_DESeq2.txt.gz,0,deseq2
GSE116916,GSE116916_Processed_data_Wareham2.txt.gz,0,deseq2
GSE116963,GSE116963_TopTags_SUDHL6_GSK591_24hr.txt.gz,0,edger
GSE116977,GSE116977_comp3_CMV_primary_v_CGRP_all_data_corrected_no_sva_top_hits.txt.gz,1,limma
GSE116986,GSE116986_CUFFDIFF_gene_exp.diff.gz,0,cuffdiff
GSE117032,GSE117032_H33BKI_WT_NPC_vs_FIDD8_NPC_gene_exp_diff.txt.gz,0,cuffdiff
GSE117067,GSE117067_gene_quant.txt.gz,0,limma
GSE117068,GSE117068_ZDB160_Control-VS-ZDB160_As.DEseq2_Method.GeneDiffExp.txt.gz,0,deseq2
GSE117089,GSM3271045_da.sites.csv.gz from GSE117089_RAW.tar,0,unknown
GSE117095,GSE117095_Group-B_vs_Group-A_1514.txt.gz,0,unknown
GSE117106,GSE117106_DAY4_NODOX_vs_DOX_fold_change.csv.gz,0,deseq2
GSE117198,GSE117198_48Hour_Treatment_vs_24Hour_Treatment.txt.gz,0,deseq2
GSE117221,sheet-M-TIvH from GSE117221_DEanalysis_MTI-7samples_vs_MH-8samples.xlsx,0,deseq2
GSE117229,GSE117229_Galaxy247-_Cuffdiff_on_data_212__data_203__and_others_gene_differential_expression_testing_.txt.gz,0,cuffdiff
GSE117248,GSE117248_Log2FC_FXS_vs_Control_hiPSC.csv.gz,0,deseq2
GSE117251,sheet-C587-TKV@yw-TKV from GSE117251_Pvalue_0.05_FC_2.0_ISOform_Result.xlsx,0,cuffdiff
GSE117264,GSE117264_KOPTK.All.Gene.RPKM.txt.gz,0,edger
GSE117374,GSE117374_jewelry_wastewater_vs_cyanide.txt.gz,1,rockhopper
GSE117387,sheet-All from GSE117387_DESeq2_final_14-7-2018.xls.gz,0,deseq2
GSE117392,GSE117392_6_genes_expression.txt.gz,0,unknown
GSE117433,GSE117433_37flow_v_37static.RNAseqgene_exp.diff.gz,0,cuffdiff
GSE117471,GSE117471_N2_vs_FAS58_25C_results.txt.gz,1,edger
GSE117482,sheet-Experiment1 from GSE117482_limma.dge_results.xlsx,1,limma
GSE117535,sheet-diff_edgeR_PC3M from GSE117535_CountsTable_PC3M.xlsx,0,edger
GSE117557,GSE117557_DEseq_ES009-ES013-ES015_ES010-ES012-ES014_DEG_list.csv.gz,0,deseq
GSE117559,GSE117559_gene_exp.diff.gz,0,cuffdiff
GSE117564,GSE117564_Sample_Si_vs_Sample_OE.txt.gz,0,deseq
GSE117610,GSE117610_PC9_parental_vs_DTC.csv.gz,0,deseq2
GSE117621,sheet-Original_AllSamples_Garg_2kidat from GSE117621_LaHaye_RNAseq_GeneLevel_Results.xlsx,0,cuffdiff
GSE117631,GSE117631_Cg1-Cre_PU.1_KO_Tumor_vs_control.txt.gz,0,unknown
GSE117632,sheet-Sheet1 from GSE117632_Normoxia_ALKBH1_Knockdown_RNAseq_Processed.xlsx.gz,0,cuffdiff
GSE117669,GSE117669_readcounts.txt.gz,0,unknown
GSE117682,GSE117682_gene_exp.diff.gz,0,cuffdiff
GSE117703,GSE117703_collectedDESeqResults--logFoldShrunk.csv.gz,0,deseq2
GSE117710,sheet-SickVsHealthy from GSE117710_CAGRF11906_SickVsHealthy.xlsx,1,limma
GSE117717,GSE117717_WT_vs_aox2_del.txt.gz,0,cuffdiff
GSE117733,GSM3307878_hitCounts_3017PollenPool2_3017PollenA2.txt.gz from GSE117733_RAW.tar,0,unknown
GSE117746,sheet-TC - TP from GSE117746_RNAseq_DESeq2_LCORNELL.xlsx,0,deseq2
GSE117773,GSE117773_gene_exp.diff.txt.gz,0,cuffdiff
GSE117828,GSE117828_treatment_H1N1_H3N2_tophat_results.csv.gz,0,deseq2
GSE117911,GSE117911_DE-TI006-Mock-Vs-UV-Treated-Virus.txt.gz,1,limma
GSE117961,sheet-BDNFIV from GSE117961_BDNF_dCas9VPR_targeting.xlsx,0,deseq2
GSE117966,GSE117966_Galaxy252-DESeq2_result_file_on_data_MEL1_v_MEL2_at_5_oxygen.csv.gz,0,deseq2
GSE117967,GSE117967_WTvsRing1KO_HFSC_logfc1.txt.gz,0,deseq2
GSE117977,sheet-All from GSE117977_pep2_RNA_seq_Expression_upload.xlsx,0,cuffdiff
GSE117978,GSE117978_groupBvsgroupA.complete.txt.gz,0,deseq2
GSE118004,GSE118004_Differential_Gene_expression_Analysis_results_mir210KO_vs_WT.txt.gz,0,deseq2
GSE118101,sheet-DRAIC_results from GSE118101_DRAIC_RNA-seq_genes.xls.gz,1,deseq2
GSE118108,GSE118108_4groups_gene_exp.diff.gz,0,cuffdiff
GSE118116,GSE118116_sleuth_test_results.txt.gz,1,sleuth
GSE118135,sheet-NKT st1 C vs. NKT st1 K-Tot... from GSE118135_Processed_data_file_Inoue.xlsx.gz,0,unknown
GSE118175,sheet-DAP0 diff from GSM3320045_DAP0.xlsx from GSE118175_RAW.tar,1,deseq2
GSE118217,sheet-KO_AN_vs_WT_AW.txt from GSE118217_AN_vs_AW.xlsx.gz,0,deseq2
GSE118232,GSE118232_BP_allgenes_d1vs0_DEseq_binom_naomit.txt.gz,1,deseq
GSE118239,GSE118239_RP.gene_exp.diff.gz,0,cuffdiff
GSE118269,sheet-AAF1 diff from GSM3320042_AAF1.xlsx from GSE118269_RAW.tar,1,deseq2
GSE118275,GSE118275_gene_exp.diff.gz,0,unknown
GSE118320,GSE118320_KMS12PE_KMS11_325096_vs_DMSO.txt.gz,0,unknown
GSE118323,sheet-no_615734_3pancreas from GSE118323_ILMN_137_mRNAseq_STAR_featureCoutns_edgeR_final.xlsx.gz,0,edger
GSE118326,GSE118326_lymphocytes_WT_vs_leukemia_WT.htseq.edgeR.txt.gz,1,edger
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz,0,unknown
GSE118369,GSE118369_snR4_Mutant_Glucose_vs_BY_Control_Glucose.deseq2.res.tab.gz,1,deseq2
GSE118371,GSE118371_gene_exp_ColxCol_endosperm_ColxCvi_endosperm.txt.gz,0,cuffdiff
GSE118414,GSE118414_cph2_genes.txt.gz,1,deseq2
GSE118423,GSE118423_alc.csv.gz,1,deseq2
GSE118431,GSE118431_e_cig_exposure_Diacetyl_25_ppm_vs_control_full_DESeq2_results.txt.gz,0,deseq2
GSE118443,GSE118443_Transcriptome_profile_of_mouse_genes_MEFs_.txt.gz,0,edger
GSE118448,sheet-BALA014 Normal Cell Treatment V from GSE118448_BALA014_DEG_Normal_Cell_Treatment_Vs._Control.xlsx.gz,0,clc genomics
GSE118449,sheet-Sheet1 from GSE118449_Beta2List.xlsx,0,edger
GSE118450,sheet-Log2FC from GSE118450_Lloyd_et_al_FPKM_Log2FC.xls.gz,0,limma
GSE118454,sheet-ST.PG.vs.ND from GSE118454_expr_genes_part2_06_01_2018.xlsx.gz,1,edger
GSE118479,sheet-DeSeq2 analysis from GSE118479_bsKD_vs_WT_IFMs.xlsx,0,deseq2
GSE118490,sheet-HCT116_results_raw_noNA from GSE118490_HCT116_DE_Results.xlsx,1,deseq2
GSE118501,GSE118501_diffexpr-results.csv.gz,0,deseq2
GSE118505,GSE118505_RBM48-umu1_DESeq2_DEAnalysis.csv.gz,0,deseq2
GSE118523,GSE118523_20161109_old_wt_tg.csv.gz,0,unknown
GSE118552,GSE118552_sorted_results.csv.gz,0,unknown
GSE118559,GSE118559_OA_GEO_DEresult.txt.gz,0,unknown
GSE118566,GSE118566_gene_exp.diff.gz,0,cuffdiff
GSE118581,sheet-Sleuth_mutant_TC_ORFs from GSE118581_DATA_S2.xlsx,1,sleuth
GSE118592,GSE118592_day10_results.txt.gz,1,deseq2
GSE118609,sheet-WT_vs_del_SP from GSE118609_WT_vs_del_ES.xlsx,1,clc genomics
GSE118656,GSE118656_schulman_kla_v_veh_interaction_results-genelist_2_.csv.gz,0,deseq2
GSE118663,GSE118663_SFR_vs_WT_counts_normalized_relative_to_library_size.txt.gz,0,deseq2
GSE118674,sheet-Deseq2_raw_output from GSE118674_Zhu_processed_data.xlsx.gz,0,deseq2
GSE118725,GSE118725_pbs.obs_pval05.tsv.gz,0,unknown
GSE118727,GSE118727_D_V.anno.xls.gz,0,degseq
GSE118751,GSE118751_Processed_RNA-seq_DATA.txt.gz,1,deseq2
GSE118772,GSE118772_NT_vs_U2.deseq.res.csv.gz,0,deseq2
GSE118787,sheet-Fast WTvPparaKO from GSE118787_Differential-Expression-Male-Livers.xlsx,0,deseq2
GSE118796,GSE118796_differential_expression_DESeq2.MDSC_over_MONO.gene.ensembl.count.csv.gz,0,deseq2
GSE118823,GSE118823_DEG_LMO1_KD.txt.gz,0,deseq2
GSE118841,GSE118841_A549-deseq.res.tab.gz,0,deseq2
GSE118842,GSE118842_ABC1-deseq.res.tab.gz,0,deseq2
GSE118859,sheet-170919_0085_rna-seq_results.gen from GSE118859_170919_0085_rna-seq_results.gene.ANOVA.xlsx,0,partek
GSE118864,sheet-AllData from GSE118864_AllData_170425_RNASeq_ScriptSeq_Lessnick_Results.xlsx,1,deseq2
GSE118870,sheet-AllData from GSE118870_AllData_180202_RNAseq_Lessnick_Pishas_S_Results.xlsx,1,deseq2
GSE118896,sheet-Feuil1 from GSM3350390_Defuse_Y15_599_trim_results_filtered.xlsx.gz from GSE118896_RAW.tar,1,unknown
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,0,cuffdiff
GSE118918,GSE118918_FACS-RNAseq_DESeq_result.txt.gz,0,deseq2
GSE118928,sheet-EM-O vs ECT-O from GSE118928_EUT-O_Vs_ECT-O_Vs_EM-O.xlsx,0,deseq2
GSE118994,GSE118994_DESeq2_delta-espL_vs_wt.csv.gz,0,deseq2
GSE119008,sheet-org from GSE119008_Japanese_quail_skin_samples-DEGs.xlsx,0,unknown
GSE119025,GSE119025_BSAVSFHR1_Gene_differential_expression.txt.gz,0,ballgown
GSE119029,GSE119029_gene_exp.diff.gz,0,unknown
GSE119036,GSE119036_48h-Blood-VS-48h-Fe.PossionDis_Method.GeneDiffExp.xls.gz,0,unknown
GSE119046,GSE119046_rpoS819_vs_wtrpoS.csv.gz,0,deseq
GSE119074,GSE119074_edgeR_exact_Test_min60.csv.gz,0,edger
GSE119088,GSE119088_pfeif_Evspfeif_c_DEG.xls.gz,0,unknown
GSE119106,GSE119106_dthrB1-dthrB0.txt.gz,1,deseq2
GSE119138,GSE119138_Theileria_annulata_processed_data_file.txt.gz,0,cuffdiff
GSE119158,GSE119158_DESeq2_res_quinazoline_10x_vs_WT.csv.gz,1,deseq2
GSE119190,sheet-Galaxy271-(DESeq2_result_file_o from GSE119190_DESeq_file.xlsx,0,deseq2
GSE119202,sheet-Balb vs control_Expression ... from GSE119202_Balb_vs_C57.xlsx.gz,0,unknown
GSE119208,GSE119208_F613-TCS.txt.gz,1,unknown
GSE119264,sheet-DESeq2 EryKD vs EryEV from GSE119264_DESeq2_EryKD_vs_EryEV.xlsx,0,deseq2
GSE119273,GSE119273_LR73_AC_results.txt.gz,0,deseq2
GSE119332,sheet-mutant vs. Control from GSE119332_control_vs_rraga_mutants_analyzed.xlsx.gz,0,unknown
GSE119333,GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,1,deseq2
GSE119340,GSE119340_DESeq2_NASH_RNA_seq.csv.gz,1,deseq2
GSE119341,GSE119341_metaseqr_all_out_MU_vs_ML.txt.gz,0,deseq
GSE119422,GSE119422_WTvBmi1gene_exp.diff.gz,0,cuffdiff
GSE119440,GSE119440_ALL_genes-RNA_seq.txt.gz,1,unknown
GSE119454,GSE119454_TE_stat_summary.csv.gz,1,sleuth
GSE119547,GSE119547_mEC_Control_vs_mEC_Stretch.diffexp.rpkm.tsv.gz,0,edger
GSE119549,sheet-control_6hr_all from GSE119549_control_6hr_all.xls.gz,1,deseq2
GSE119582,GSE119582_DESeq2_resLFC_delta-mycP1-eccE1_with-EmptyVector_vs_Rv-wt.csv.gz,1,deseq2
GSE119619,GSE119619_PCGF35ff.spikenormalised_DESeq2_NucRNAseq.txt.gz,0,deseq2
GSE119622,sheet-Shigella vs. Shigella + for... from GSE119622_shigella_formate_comparrison.xlsx,0,clc genomics
GSE119623,sheet-thisse-results-genelist (17) from GSE119623_thisse-results-genelist.xls.gz,0,deseq2
GSE119710,GSE119710_Chaos3MvF_gene_exp.diff.gz,0,cuffdiff
GSE119714,sheet-ASPvsNC15h from GSE119714_ASPvsNC15h.xlsx.gz,0,limma
GSE119718,GSE119718_DeSeq2OutForGEO.csv.gz,0,deseq2
GSE119729,sheet-Neutrally_Regulated from GSE119729_GT_SO_7843_1209_1210_VS_1211_1212_DGE_Report.xlsx,1,cuffdiff
GSE119754,GSE119754_condition_res_ct_rv-mct_rv.csv.gz,1,edger
GSE119769,sheet-All_Genes from GSE119769_Treg_Tcf1_Lef1_CuffDiff_Summary201806.xlsx,0,cuffdiff
GSE119826,GSE119826_genelist.txt.gz,1,partek
GSE119835,GSE119835_PBMC_5_RH-5_media.txt.gz,0,cuffdiff
GSE119840,GSE119840_res_ctrl_v_hmcn-1.txt.gz,0,deseq2
GSE119862,sheet-Sheet1 from GSE119862_tkvM1_vs_WT_DGE.xls.gz,1,edger
GSE119864,GSE119864_NC_Si1_Si2.all_gene.txt.gz,0,unknown
GSE119910,GSE119910_338.412.polyA.deseq.3replicates.txt.gz,0,deseq2
GSE119931,GSE119931_PANC1.FOXA2KO.genes.edgeR_results.txt.gz,1,edger
GSE119934,sheet-DE from GSE119934_mH.xlsx,1,deseq2
GSE119949,sheet-gene_exp from GSE119949_DGE.xls.gz,0,cuffdiff
GSE119951,GSM3389257_MEF_Oct4_DE.interaction.txt.gz from GSE119951_RAW.tar,0,unknown
GSE119999,GSE119999_htseq_output_with_stat_summary.txt.gz,0,deseq2
GSE120032,sheet-DT900vsBW25113.Differential_ana from GSE120032_DT900vsBW25113.All_genes_Name.xlsx,1,deseq
GSE120050,sheet-TU_all from GSE120050_all_genes_BG1_BG546.xlsx,1,deseq
GSE120053,GSE120053_DEseq.and.EdgeR.All_8578NA_15M_8831AF_15M.annoSub.csv.gz,0,deseq
GSE120054,sheet-gene_exp from GSE120054_gene_exp_data.xlsx,0,cuffdiff
GSE120061,GSE120061_GFP_vs_Ehmt1.txt.gz,1,deseq2
GSE120063,GSE120063_MA9LC_C1BKOvsWT_RNAseq_EdgeR.txt.gz,1,edger
GSE120087,sheet-results_CaNRF2_mRNA_TG.v.NTG from GSE120087_results_CaNRF2_mRNA_TG.v.NTG.xlsx,0,deseq2
GSE120161,GSE120161_ss10-inp0.diff.gz,0,cuffdiff
GSE120174,GSE120174_Expression_data_processed_data_C4-C6_T4-T6.txt.gz,0,cuffdiff
GSE120216,GSE120216_CBFB_KOvs_WT.csv.gz,0,deseq2
GSE120241,GSE120241_gene_description.txt.gz,0,unknown
GSE120253,GSE120253_REST--_versus_REST++_DiffExpr.txt.gz,0,deseq
GSE120257,sheet-RGC_UninjuredvGFP from GSE120257_RGC_GFPvUninjured.xlsx,1,deseq2
GSE120268,GSE120268_deseq_differential_expression_results.txt.gz,0,deseq2
GSE120284,GSE120284_DESeq2_values_14d_14dS_SGCs.txt.gz,0,deseq2
GSE120346,GSE120346_Differential_expression_analysis.txt.gz,1,clc genomics
GSE120366,sheet-TAN_002_WT_vs_KO from GSE120366_TAN_002_WT_vs_KO.xlsx,0,edger
GSE120399,GSE120399_DiffExpr_Day_25.csv.gz,1,deseq2
GSE120499,GSE120499_BiofilmvsLiquid.complete.txt.gz,1,deseq2
GSE120544,GSE120544_NC_014387_Xylan_transcripts.txt.gz,1,rockhopper
