Accession,id,anticons,model
GSE115481,GSE115481_EROEvsControl_DEGs.csv.gz,1,illumina hiseq 2500
GSE115498,GSE115498_cuffdiff_2mmTassel_FPKMvalues.txt.gz,0,nextseq 500
GSE115509,GSE115509_consolidated_sleuth_output.tsv.gz,0,illumina hiseq 2500
GSE115537,GSE115537_T2_RNA-seq_wt_vs_lsr2mutant_Rockhopper_analysis.csv.gz,0,illumina hiseq 1500
GSE115554,sheet-2x150 @ FDR=0.01 from GSE115554_RNAseq_Genediff_pilot.xlsx,0,nextseq 500
GSE115618,sheet-Inj00hr_vs_FlushedAorta48hr from GSE115618_normalized_counts_and_comparisons.xlsx.gz,0,illumina hiseq 3000
GSE115649,GSE115649_P20WT_P20M_results.csv.gz,0,illumina hiseq 2500
GSE115737,sheet-Sheet1 from GSE115737_All_genes.xlsx,0,illumina hiseq 2000
GSE115739,GSE115739_G3gg.gene_exp.diff.txt.gz,0,illumina hiseq 2000
GSE115740,sheet-White_2_V_green_2 from GSE115740_GW.fpkm.xlsx,0,illumina hiseq 2000
GSE115743,GSE115743_TgCd2G3.fpkm.txt.gz,0,illumina hiseq 2000
GSE115762,GSE115762_GeneExp_cuffdiff_all.txt.gz,0,illumina hiseq 4000
GSE115789,GSE115789_Gene_expression_Cuffdiff.txt.gz,0,illumina hiseq 3000
GSE115811,GSE115811_WT_InjvsWT_C.txt.gz,1,nextseq 500
GSE115815,GSE115815_DESeq.csv.gz,0,illumina hiseq 2500
GSE115828,GSE115828_DE_analysis.txt.gz,0,illumina hiseq 2500
GSE115849,GSE115849_Patty_RNAseq_wholeList.txt.gz,1,nextseq 500
GSE115905,GSE115905_TB_gene_exp.diff.txt.gz,0,nextseq 500
GSE115950,GSE115950_DESeq2_genes_diffexp_by_fc_Migr_mLN_SPF_vs_Migr_pLN_SPF.csv.gz,1,illumina hiseq 2500
GSE115967,GSE115967_DESeq2_results_GMP_cells_Tet2KO_vs_WT.txt.gz,0,nextseq 550
GSE115988,sheet-DPY30 mean >10 from GSE115988_Normalized_DESeq.xlsx,0,illumina hiseq 2500
GSE115993,GSE115993_NC_007795_transcripts.txt.gz,0,nextseq 500
GSE116059,GSE116059_DE_ES2_C_vs_IMP1_all.csv.gz,0,nextseq 500
GSE116087,GSE116087_GD-WT_vs_CM-WT.gene_exp.diff.tsv.gz,0,nextseq 500
GSE116126,GSE116126_siZNF_IL1_vs_siZNF.txt.gz,1,nextseq 500
GSE116133,GSE116133_DE_HUH7_C_vs_I1_all.txt.gz,0,nextseq 500
GSE116178,GSE116178_deTab.tab.gz,1,illumina hiseq 2500
GSE116188,GSE116188_cuffdiff_WM1976_scrambled_vs_siSLNCR_number_1.txt.gz,0,illumina hiseq 2500
GSE116234,GSE116234_full_table_iel_con-iel_leuk.txt.gz,0,illumina hiseq 4000
GSE116270,sheet-Sheet 1 from GSE116270_GO_Results_NormMgHFD_vs_LowMgHFD.xlsx,0,illumina hiseq 4000
GSE116364,GSE116364_IFN_gene_exp.diff.txt.gz,0,nextseq 500
GSE116366,sheet-G_vs_D.known.DESeq2.anno from GSE116366_H_vs_L.known.DESeq2.anno.xlsx,1,illumina hiseq 4000
GSE116372,GSE116372_DE_control_vs_BclxL.csv.gz,1,nextseq 500
GSE116374,GSE116374_B6CTL_vs_Irf1CTL.txt.gz,0,illumina hiseq 2500
GSE116419,sheet-DE table from GSE116419_salivary_capd3-wt.xls.gz,0,illumina hiseq 2500
GSE116458,GSE116458_nESCs_EpiLSCs_desep_table.txt.gz,0,illumina hiseq 2000
GSE116462,GSE116462_Lncenc1_KD_deseq_table.txt.gz,0,illumina hiseq 2000
GSE116475,GSE116475_KO_v_WT.deseq.csv.gz,0,nextseq 500
GSE116476,sheet-sevgal4EP3037 vs sevgal4GFP from GSE116476_gene_expression_level.xlsx,0,illumina hiseq 2500
GSE116499,GSE116499_Control_NB4_vs_JMJD3_NB4.diff.exp.annot.txt.gz,0,illumina hiseq 4000
GSE116508,GSE116508_Control-VS-OA-500-48.PossionDis_Method.GeneDiffExp.txt.gz,0,illumina hiseq 4000
GSE116511,sheet-Intestinal tuft cell sequencing from GSE116511_Table_2.xls.gz,0,illumina hiseq 2500
GSE116538,sheet-BC_BMDM_HSSvsVR1_6h_HSS_071257 from GSE116538_BC_BMDM_HSSvsVR1_6h_HSS_071257.xlsx,0,nextseq 500
GSE116548,GSE116548_KnockDown_vs_Control.all.gene.result.xls.gz,1,illumina hiseq 1000
GSE116564,sheet-gene_list.txt.tsv from GSE116564_ANOVA_single_contrast_PDL1_vs_Iso.xlsx.gz,1,illumina hiseq 4000
GSE116579,GSE116579_1358_1405.a.table.txt.func.txt.gz,0,illumina genome analyzer iix
GSE116582,sheet-IC9C vs. t3a(2) IC9C vs. t3... from GSE116582_Processed_data.xlsx,0,illumina hiseq 1000
GSE116587,sheet-RffG_gene_exp from GSE116587_Littleetal_RNASEQ.xlsx,0,nextseq 500
GSE116600,sheet-All from GSE116600_RNA_OPC_Chd7iKO.xlsx,1,illumina hiseq 2000
GSE116610,sheet-hsp90 hsrw66 vs hsp90 from GSE116610_gene_expression_level.xlsx,0,illumina hiseq 2500
GSE116620,GSE116620_10.loci_summary.tsv.gz,0,illumina hiseq 2000
GSE116639,sheet-Sheet1 from GSE116639_mass_M.xlsx,1,nextseq 500
GSE116650,GSE116650_gene_exp.diff.txt.gz,0,illumina hiseq 3000
GSE116756,GSE116756_10033956.1KT_Glu_Exp_KT_Myr_Exp.toptags_edgeR.csv.gz,1,illumina hiseq 2500
GSE116758,GSE116758_Twt_vs._Tko_all.txt.gz,0,illumina hiseq 2500
GSE116759,GSE116759_DESeq2_Normalized_Counts.txt.gz,0,illumina hiseq 2500
GSE116776,GSE116776_KO_vs_WT.txt.gz,0,illumina hiseq 2500
GSE116793,GSE116793_FL-E115-Inv1_vs_FL-E115-Inv1DelCTCF.DESEQ2.txt.gz,0,illumina hiseq 2500
GSE116815,GSE116815_DESeq2_DPlike_ASL.txt.gz,0,illumina hiseq 2500
GSE116819,GSE116819_xlaevisrnaseq-run1-results-diffexpr-genelist-treated-vs-control.csv.gz,0,illumina hiseq 4000
GSE116864,GSE116864_Prostate_cellines_DU145_AREGVsCTRL.FPKM.txt.gz,0,hiseq x ten
GSE116865,GSE116865_human_normalized_matrix.csv.gz,0,illumina hiseq 2500
GSE116866,GSE116866_murine_3group_normalized_matrix.csv.gz,0,illumina hiseq 2500
GSE116915,GSE116915_Microbead_vs_control_raw_data_RNAseq_mouse.define_DESeq2.txt.gz,0,illumina novaseq 6000
GSE116916,GSE116916_Processed_data_Wareham2.txt.gz,0,illumina novaseq 6000
GSE116963,GSE116963_TopTags_SUDHL6_GSK591_24hr.txt.gz,0,illumina hiseq 2500
GSE116986,GSE116986_CUFFDIFF_gene_exp.diff.gz,0,bgiseq-500
GSE117032,GSE117032_H33BKI_WT_NPC_vs_FIDD8_NPC_gene_exp_diff.txt.gz,0,illumina hiseq 2000
GSE117067,GSE117067_gene_quant.txt.gz,0,illumina hiseq 4000
GSE117068,GSE117068_ZDB160_Control-VS-ZDB160_As.DEseq2_Method.GeneDiffExp.txt.gz,0,bgiseq-500
GSE117095,GSE117095_Group-B_vs_Group-A_1514.txt.gz,0,illumina hiseq 2500
GSE117106,GSE117106_DAY4_NODOX_vs_DOX_fold_change.csv.gz,0,nextseq 500
GSE117198,GSE117198_48Hour_Treatment_vs_24Hour_Treatment.txt.gz,0,nextseq 500
GSE117221,sheet-M-TIvH from GSE117221_DEanalysis_MTI-7samples_vs_MH-8samples.xlsx,0,illumina hiseq 2000
GSE117229,GSE117229_Galaxy247-_Cuffdiff_on_data_212__data_203__and_others_gene_differential_expression_testing_.txt.gz,0,illumina hiseq 2500
GSE117248,GSE117248_Log2FC_FXS_vs_Control_hiPSC.csv.gz,0,illumina hiseq 4000
GSE117251,sheet-C587-TKV@yw-TKV from GSE117251_Pvalue_0.05_FC_2.0_ISOform_Result.xlsx,0,nextseq 500
GSE117264,GSE117264_KOPTK.All.Gene.RPKM.txt.gz,0,illumina hiseq 2000
GSE117374,GSE117374_jewelry_wastewater_vs_cyanide.txt.gz,1,illumina hiseq 2500
GSE117387,sheet-All from GSE117387_DESeq2_final_14-7-2018.xls.gz,0,nextseq 500
GSE117392,GSE117392_6_genes_expression.txt.gz,0,illumina hiseq 4000
GSE117433,GSE117433_37flow_v_37static.RNAseqgene_exp.diff.gz,0,illumina hiseq 2500
GSE117471,GSE117471_N2_vs_FAS58_25C_results.txt.gz,1,illumina hiseq 2500
GSE117482,sheet-Experiment1 from GSE117482_limma.dge_results.xlsx,1,illumina hiseq 2500
GSE117535,sheet-diff_edgeR_PC3M from GSE117535_CountsTable_PC3M.xlsx,0,illumina hiseq 2000
GSE117557,GSE117557_DEseq_ES009-ES013-ES015_ES010-ES012-ES014_DEG_list.csv.gz,0,illumina hiseq 2000
GSE117559,GSE117559_gene_exp.diff.gz,0,illumina hiseq 4000
GSE117564,GSE117564_Sample_Si_vs_Sample_OE.txt.gz,0,illumina hiseq 2500
GSE117610,GSE117610_PC9_parental_vs_DTC.csv.gz,0,illumina hiseq 2000
GSE117621,sheet-Original_AllSamples_Garg_2kidat from GSE117621_LaHaye_RNAseq_GeneLevel_Results.xlsx,0,illumina hiseq 2500
GSE117669,GSE117669_readcounts.txt.gz,0,illumina hiseq 2500
GSE117682,GSE117682_gene_exp.diff.gz,0,illumina miseq
GSE117703,GSE117703_collectedDESeqResults--logFoldShrunk.csv.gz,0,illumina miseq
GSE117710,sheet-SickVsHealthy from GSE117710_CAGRF11906_SickVsHealthy.xlsx,1,illumina hiseq 2000
GSE117717,GSE117717_WT_vs_aox2_del.txt.gz,0,nextseq 500
GSE117733,GSM3307878_hitCounts_3017PollenPool2_3017PollenA2.txt.gz from GSE117733_RAW.tar,0,illumina hiseq 2000
GSE117746,sheet-TC - TP from GSE117746_RNAseq_DESeq2_LCORNELL.xlsx,0,nextseq 500
GSE117773,GSE117773_gene_exp.diff.txt.gz,0,illumina hiseq 2500
GSE117828,GSE117828_treatment_H1N1_H3N2_tophat_results.csv.gz,0,nextseq 500
GSE117911,GSE117911_DE-TI006-Mock-Vs-UV-Treated-Virus.txt.gz,1,nextseq 500
GSE117961,sheet-BDNFIV from GSE117961_BDNF_dCas9VPR_targeting.xlsx,0,nextseq 500
GSE117966,GSE117966_Galaxy252-DESeq2_result_file_on_data_MEL1_v_MEL2_at_5_oxygen.csv.gz,0,illumina hiseq 2500
GSE117977,sheet-All from GSE117977_pep2_RNA_seq_Expression_upload.xlsx,0,illumina hiseq 2500
GSE117978,GSE117978_groupBvsgroupA.complete.txt.gz,0,nextseq 500
GSE118101,sheet-DRAIC_results from GSE118101_DRAIC_RNA-seq_genes.xls.gz,1,nextseq 500
GSE118108,GSE118108_4groups_gene_exp.diff.gz,0,nextseq 500
GSE118135,sheet-NKT st1 C vs. NKT st1 K-Tot... from GSE118135_Processed_data_file_Inoue.xlsx.gz,0,ion torrent proton
GSE118175,sheet-DAP0 diff from GSM3320045_DAP0.xlsx from GSE118175_RAW.tar,1,hiseq x ten
GSE118217,sheet-KO_AN_vs_WT_AW.txt from GSE118217_AN_vs_AW.xlsx.gz,0,illumina hiseq 2000
GSE118275,GSE118275_gene_exp.diff.gz,0,illumina hiseq 2000
GSE118320,GSE118320_KMS12PE_KMS11_325096_vs_DMSO.txt.gz,0,illumina hiseq 4000
GSE118323,sheet-no_615734_3pancreas from GSE118323_ILMN_137_mRNAseq_STAR_featureCoutns_edgeR_final.xlsx.gz,0,illumina hiseq 4000
GSE118326,GSE118326_lymphocytes_WT_vs_leukemia_WT.htseq.edgeR.txt.gz,1,nextseq 500
GSE118334,GSE118334_Wnt11_WK_RNAseq_DiffExp.txt.gz,0,illumina hiseq 2000
GSE118369,GSE118369_snR4_Mutant_Glucose_vs_BY_Control_Glucose.deseq2.res.tab.gz,1,illumina hiseq 2500
GSE118371,GSE118371_gene_exp_ColxCol_endosperm_ColxCvi_endosperm.txt.gz,0,illumina hiseq 2500
GSE118414,GSE118414_cph2_genes.txt.gz,1,illumina hiseq 2500
GSE118423,GSE118423_alc.csv.gz,1,ion torrent pgm
GSE118431,GSE118431_e_cig_exposure_Diacetyl_25_ppm_vs_control_full_DESeq2_results.txt.gz,0,illumina hiseq 2500
GSE118443,GSE118443_Transcriptome_profile_of_mouse_genes_MEFs_.txt.gz,0,nextseq 500
GSE118448,sheet-BALA014 Normal Cell Treatment V from GSE118448_BALA014_DEG_Normal_Cell_Treatment_Vs._Control.xlsx.gz,0,illumina hiseq 2500
GSE118449,sheet-Sheet1 from GSE118449_Beta2List.xlsx,0,illumina hiseq 2000
GSE118450,sheet-Log2FC from GSE118450_Lloyd_et_al_FPKM_Log2FC.xls.gz,0,illumina hiseq 4000
GSE118454,sheet-ST.PG.vs.ND from GSE118454_expr_genes_part2_06_01_2018.xlsx.gz,1,illumina hiseq 2000
GSE118479,sheet-DeSeq2 analysis from GSE118479_bsKD_vs_WT_IFMs.xlsx,0,illumina hiseq 2000
GSE118490,sheet-HCT116_results_raw_noNA from GSE118490_HCT116_DE_Results.xlsx,1,illumina hiseq 2500
GSE118501,GSE118501_diffexpr-results.csv.gz,0,nextseq 500
GSE118505,GSE118505_RBM48-umu1_DESeq2_DEAnalysis.csv.gz,0,illumina hiseq 2000
GSE118523,GSE118523_20161109_old_wt_tg.csv.gz,0,illumina hiseq 2500
GSE118552,GSE118552_sorted_results.csv.gz,0,illumina genome analyzer iix
GSE118559,GSE118559_OA_GEO_DEresult.txt.gz,0,nextseq 500
GSE118566,GSE118566_gene_exp.diff.gz,0,illumina hiseq 3000
GSE118592,GSE118592_day10_results.txt.gz,1,nextseq 500
GSE118609,sheet-WT_vs_del_SP from GSE118609_WT_vs_del_ES.xlsx,1,nextseq 500
GSE118656,GSE118656_schulman_kla_v_veh_interaction_results-genelist_2_.csv.gz,0,illumina hiseq 2500
GSE118663,GSE118663_SFR_vs_WT_counts_normalized_relative_to_library_size.txt.gz,0,illumina hiseq 2000
GSE118674,sheet-Deseq2_raw_output from GSE118674_Zhu_processed_data.xlsx.gz,0,illumina hiseq 2500
GSE118727,GSE118727_D_V.anno.xls.gz,0,illumina hiseq 4000
GSE118772,GSE118772_NT_vs_U2.deseq.res.csv.gz,0,nextseq 500
GSE118787,sheet-Fast WTvPparaKO from GSE118787_Differential-Expression-Male-Livers.xlsx,0,nextseq 500
GSE118796,GSE118796_differential_expression_DESeq2.MDSC_over_MONO.gene.ensembl.count.csv.gz,0,nextseq 500
GSE118823,GSE118823_DEG_LMO1_KD.txt.gz,0,bgiseq-500
GSE118841,GSE118841_A549-deseq.res.tab.gz,0,nextseq 500
GSE118842,GSE118842_ABC1-deseq.res.tab.gz,0,nextseq 500
GSE118859,sheet-170919_0085_rna-seq_results.gen from GSE118859_170919_0085_rna-seq_results.gene.ANOVA.xlsx,0,illumina hiseq 3000
GSE118864,sheet-AllData from GSE118864_AllData_170425_RNASeq_ScriptSeq_Lessnick_Results.xlsx,1,illumina hiseq 2000
GSE118870,sheet-AllData from GSE118870_AllData_180202_RNAseq_Lessnick_Pishas_S_Results.xlsx,1,illumina hiseq 2000
GSE118896,sheet-Feuil1 from GSM3350390_Defuse_Y15_599_trim_results_filtered.xlsx.gz from GSE118896_RAW.tar,1,illumina hiseq 2000
GSE118915,GSE118915_Ovol2_MutantvsControl_Processed.txt.gz,0,illumina hiseq 2500
GSE118928,sheet-EM-O vs ECT-O from GSE118928_EUT-O_Vs_ECT-O_Vs_EM-O.xlsx,0,nextseq 500
GSE118994,GSE118994_DESeq2_delta-espL_vs_wt.csv.gz,0,illumina hiseq 2500
GSE119008,sheet-org from GSE119008_Japanese_quail_skin_samples-DEGs.xlsx,0,nextseq 500
GSE119025,GSE119025_BSAVSFHR1_Gene_differential_expression.txt.gz,0,illumina hiseq 4000
GSE119029,GSE119029_gene_exp.diff.gz,0,nextseq 500
GSE119046,GSE119046_rpoS819_vs_wtrpoS.csv.gz,0,illumina hiseq 2500
GSE119074,GSE119074_edgeR_exact_Test_min60.csv.gz,0,illumina miseq
GSE119088,GSE119088_pfeif_Evspfeif_c_DEG.xls.gz,0,illumina hiseq 2000
GSE119106,GSE119106_dthrB1-dthrB0.txt.gz,1,nextseq 550
GSE119158,GSE119158_DESeq2_res_quinazoline_10x_vs_WT.csv.gz,1,illumina hiseq 2500
GSE119190,sheet-Galaxy271-(DESeq2_result_file_o from GSE119190_DESeq_file.xlsx,0,nextseq 500
GSE119208,GSE119208_F613-TCS.txt.gz,1,illumina hiseq 2000
GSE119264,sheet-DESeq2 EryKD vs EryEV from GSE119264_DESeq2_EryKD_vs_EryEV.xlsx,0,illumina hiseq 2500
GSE119273,GSE119273_LR73_AC_results.txt.gz,0,nextseq 500
GSE119332,sheet-mutant vs. Control from GSE119332_control_vs_rraga_mutants_analyzed.xlsx.gz,0,illumina hiseq 2000
GSE119333,GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,1,illumina hiseq 2000
GSE119341,GSE119341_metaseqr_all_out_MU_vs_ML.txt.gz,0,ion torrent proton
GSE119422,GSE119422_WTvBmi1gene_exp.diff.gz,0,illumina hiseq 2500
GSE119440,GSE119440_ALL_genes-RNA_seq.txt.gz,1,illumina hiseq 2500
GSE119547,GSE119547_mEC_Control_vs_mEC_Stretch.diffexp.rpkm.tsv.gz,0,illumina hiseq 3000
GSE119549,sheet-control_6hr_all from GSE119549_control_6hr_all.xls.gz,1,illumina hiseq 2000
GSE119582,GSE119582_DESeq2_resLFC_delta-mycP1-eccE1_with-EmptyVector_vs_Rv-wt.csv.gz,1,illumina hiseq 2500
GSE119622,sheet-Shigella vs. Shigella + for... from GSE119622_shigella_formate_comparrison.xlsx,0,nextseq 500
GSE119623,sheet-thisse-results-genelist (17) from GSE119623_thisse-results-genelist.xls.gz,0,illumina hiseq 2000
GSE119710,GSE119710_Chaos3MvF_gene_exp.diff.gz,0,nextseq 500
GSE119714,sheet-ASPvsNC15h from GSE119714_ASPvsNC15h.xlsx.gz,0,ab 5500xl genetic analyzer
GSE119729,sheet-Neutrally_Regulated from GSE119729_GT_SO_7843_1209_1210_VS_1211_1212_DGE_Report.xlsx,1,illumina hiseq 2000
GSE119754,GSE119754_condition_res_ct_rv-mct_rv.csv.gz,1,nextseq 550
GSE119769,sheet-All_Genes from GSE119769_Treg_Tcf1_Lef1_CuffDiff_Summary201806.xlsx,0,illumina hiseq 2000
GSE119826,GSE119826_genelist.txt.gz,1,illumina hiseq 2500
GSE119835,GSE119835_PBMC_5_RH-5_media.txt.gz,0,nextseq 500
GSE119840,GSE119840_res_ctrl_v_hmcn-1.txt.gz,0,illumina hiseq 2000
GSE119864,GSE119864_NC_Si1_Si2.all_gene.txt.gz,0,illumina hiseq 3000
GSE119910,GSE119910_338.412.polyA.deseq.3replicates.txt.gz,0,nextseq 500
GSE119931,GSE119931_PANC1.FOXA2KO.genes.edgeR_results.txt.gz,1,nextseq 500
GSE119934,sheet-DE from GSE119934_mH.xlsx,1,nextseq 500
GSE119949,sheet-gene_exp from GSE119949_DGE.xls.gz,0,illumina hiseq 2500
GSE120032,sheet-DT900vsBW25113.Differential_ana from GSE120032_DT900vsBW25113.All_genes_Name.xlsx,1,illumina hiseq 4000
GSE120050,sheet-TU_all from GSE120050_all_genes_BG1_BG546.xlsx,1,illumina hiseq 2000
GSE120053,GSE120053_DEseq.and.EdgeR.All_8578NA_15M_8831AF_15M.annoSub.csv.gz,0,nextseq 500
GSE120054,sheet-gene_exp from GSE120054_gene_exp_data.xlsx,0,nextseq 550
GSE120061,GSE120061_GFP_vs_Ehmt1.txt.gz,1,nextseq 500
GSE120216,GSE120216_CBFB_KOvs_WT.csv.gz,0,illumina hiseq 2500
GSE120241,GSE120241_gene_description.txt.gz,0,hiseq x ten
GSE120253,GSE120253_REST--_versus_REST++_DiffExpr.txt.gz,0,illumina hiseq 2500
GSE120257,sheet-RGC_UninjuredvGFP from GSE120257_RGC_GFPvUninjured.xlsx,1,illumina hiseq 3000
GSE120268,GSE120268_deseq_differential_expression_results.txt.gz,0,illumina hiseq 2000
GSE120284,GSE120284_DESeq2_values_14d_14dS_SGCs.txt.gz,0,illumina hiseq 4000
GSE120346,GSE120346_Differential_expression_analysis.txt.gz,1,illumina miseq
GSE120366,sheet-TAN_002_WT_vs_KO from GSE120366_TAN_002_WT_vs_KO.xlsx,0,nextseq 500
GSE120499,GSE120499_BiofilmvsLiquid.complete.txt.gz,1,illumina hiseq 2500
GSE120600,GSE120600_c2c12_mrnaseq_diffexpr-results_TNF_vs_control.csv.gz,1,nextseq 500
GSE120601,GSE120601_edgeR.txt.gz,1,illumina hiseq 4000
GSE120602,GSE120602_plusCipro.vs.minusCipro.txt.gz,0,illumina hiseq 2000
GSE120612,GSE120612_THP1_Etoposide_Deseq2.csv.gz,0,illumina hiseq 2000
GSE120689,GSE120689_Diff_expressed_genes.csv.gz,0,illumina hiseq 2500
GSE120712,GSE120712_WT1_LTP_90min.txt.gz,1,illumina hiseq 2000
GSE120725,GSE120725_table_zero_mM_K_vs_control.txt.gz,1,illumina hiseq 2500
GSE120820,GSM3416397_WT_All_Gene.txt.gz from GSE120820_RAW.tar,0,illumina hiseq 2000
GSE120829,sheet-Gene_Expression from GSE120829_T_vs_C_detail.xlsx,0,nextseq 500
GSE120833,sheet-WT_All_Gene from GSE120833_RAW.tar,0,illumina hiseq 2000
GSE120836,sheet-DCM_over_Control_noncoding from GSE120836_RNASeq-DCM_vs_Control.xlsx.gz,1,illumina hiseq 4000
GSE120844,GSE120844_DEG_IFNG_POMIFNG.txt.gz,0,illumina hiseq 4000
GSE120863,GSE120863_sham_DHCA_striatum_mRNA_seq.txt.gz,0,illumina hiseq 1500
GSE120874,GSE120874_deSeq2_KO_vs_WT.txt.gz,0,nextseq 500
GSE120889,sheet-B728a-yedQ-yhjH_RNA_seq_analyze from GSE120889_B728a-yedQ-yhjH_RNA_seq_analyzed.xlsx,0,illumina hiseq 2500
GSE120954,sheet-gene_exp.diff from GSE120954_NH7_8_vs_NH5_6_diff_exp.xlsx,0,illumina hiseq 2000
GSE120986,GSE120986_E16.5_condition.DESeq2_results_allgenes.csv.gz,0,hiseq x ten
GSE120996,sheet-raw data from GSE120996_fold-change.xlsx,1,illumina genome analyzer iix
GSE121040,GSE121040_PER_Control_swiss_albino-DE_EdgeR.txt.gz,1,nextseq 500
GSE121045,GSE121045_ArvsNAr_complete.txt.gz,0,illumina hiseq 2000
GSE121046,GSE121046_nr4Avsunc22_RNAi_head_collapsedisoforms_baseMeanAavg_lessthan100deleted_forGEO.txt.gz,0,illumina hiseq 2000
GSE121051,GSE121051_AG_saline_LPS_ID.txt.gz,1,illumina hiseq 2500
GSE121074,GSE121074_pH5AA_vs_ph5_AA_FLUC.txt.gz,0,illumina hiseq 2000
GSE121076,GSE121076_Cpa3cre_vs_Cpa3CremiR9_final_results.txt.gz,1,illumina hiseq 2500
GSE121092,GSE121092_nanep-rnaseq-diffExp-U87.tab.gz,0,illumina hiseq 4000
GSE121099,GSE121099_DiffOutput_SetD5Neurons.csv.gz,0,illumina hiseq 4000
GSE121104,GSE121104_CufflinksResults_Head_X_Body.txt.gz,0,illumina hiseq 2000
GSE121110,GSE121110_CN-VS-PA.PossionDis_Method.GeneDiffExp.txt.gz,0,illumina hiseq 4000
GSE121120,GSE121120_ko-vs-wt_res.all.tab.gz,0,illumina hiseq 4000
GSE121176,sheet-results_Wt_vs_EV from GSE121176_results_Wt_vs_EV.xlsx,0,nextseq 500
GSE121213,GSE121213_Pax6_Mutants_E16_Neocortex.txt.gz,0,illumina hiseq 2500
GSE121214,GSE121214_Processed_data_Dlx12_mut.txt.gz,0,illumina hiseq 2500
GSE121222,GSE121222_Colvs35SARF18-OE-2.GeneDiffExp.txt.gz,0,illumina hiseq 2000
GSE121223,GSE121223_CRC_CTL_KO_DESeq2.tsv.gz,0,illumina hiseq 2000
GSE121241,GSE121241_Differential_Gene_Expression_CuffDiff.txt.gz,0,illumina hiseq 4000
GSE121243,sheet-rhlR_RNA_seq_analyzed from GSE121243_rhlR_RNA_seq_analyzed.xlsx,0,illumina hiseq 2000
GSE121272,GSE121272_1481_12hr-vs-DMSO_Voom_noFilter.xls.txt.gz,0,illumina hiseq 2500
GSE121278,sheet-deSeq2_8W_vs_6W.txt from GSE121278_DeSeq2_Processed_Data.xlsx,0,illumina hiseq 2500
GSE121304,GSE121304_DexSeq.CTL.vs.GFP_TRA.csv.gz,0,illumina hiseq 3000
GSE121319,GSE121319_tmm_PC3_Control_vs_GPRC5AKO.txt.gz,0,illumina miseq
GSE121320,sheet-C_25_diff.txt from GSE121320_TMM_method.xlsx,0,illumina miseq
GSE121340,sheet-attr_table.biotypes from GSE121340_SupplementaryData1_RNA-Seq_HFD--CD_.xlsx,0,illumina hiseq 2500
GSE121342,sheet-attr_table.biotypes from GSE121342_SupplementaryData6_RNA-Seq_Ad-MAFG--Ad-CMV_.xlsx,0,illumina hiseq 4000
GSE121343,sheet-Ark1 from GSE121343_SupplementaryData8_RNA-Seq_SCR_LNA_CD--SCR_LNA_HFD_.xlsx,0,illumina hiseq 4000
GSE121344,sheet-Sheet1 from GSE121344_SupplementaryData5_RNA-Seq_HS_T2D--OBESE--LEAN_masked.xlsx,0,illumina hiseq 4000
GSE121345,GSE121345_Tissue_Profiling_DIETERICH_gene_exp.diff.txt.gz,0,illumina hiseq 2500
GSE121410,sheet-Unfiltered from GSE121410_ALL_DESeq2.xlsx,0,nextseq 500
GSE121428,GSE121428_RNA-seq_del0.4Mbd11hNCCh_vs_WTd11hNCC.txt.gz,0,illumina hiseq 2500
GSE121448,GSE121448_mattarollo_rna_DE_Eumyc_vs_WT_results.fpm3.FDR0.05.csv.gz,1,nextseq 550
GSE121508,GSE121508_set2.OP50.PA14.out.csv.gz,1,illumina hiseq 2000
GSE121509,sheet-alldetected (14).csv from GSE121509_R24.control.sams.xlsx,1,illumina hiseq 2000
GSE121510,sheet-alldetected (8).csv from GSE121510_37.control.set16.xlsx,0,illumina hiseq 2000
GSE121515,GSE121515_HMCES_EDGER.txt.gz,0,illumina hiseq 3000
GSE121535,sheet-pum2rnaseq_DESeq2_results-with- from GSE121535_RNA-Seq_normalized_counts.xlsx,1,illumina hiseq 2000
GSE121569,GSE121569_dexseq-all.csv.gz,0,illumina hiseq 2000
GSE121591,GSE121591_IgG_vs_Untreated_UP_GO_Biological_Process_2018_table.txt.gz,0,illumina hiseq 4000
GSE121607,GSE121607_limma_DEG_N1-Control_all_genes.txt.gz,1,illumina hiseq 4000
GSE121629,GSE121629_topTable_sp_ma_vs_sp_mo.txt.gz,1,illumina hiseq 2500
GSE121659,sheet-EHP_vs_BLM from GSE121659_Deseq_results.xlsx,1,illumina hiseq 2500
GSE121674,GSE121674_Alterations_in_Gene_Expresion_in_Arabidopsis_thalliana_Expressing_ISPS.csv.gz,0,illumina hiseq 2500
GSE121675,GSE121675_Alterations_in_Gene_Expression_in_Nicotiana_tabacum_Expressing_ISPS.csv.gz,1,illumina hiseq 2500
GSE121685,GSE121685_edgeR_sorted_E2.txt.gz,0,illumina hiseq 2500
GSE121694,GSE121694_Combo_vs._Iso.csv.gz,0,illumina hiseq 4000
GSE121697,GSE121697_Cufflinks_FPKMs_and_TukeyHSD_results.txt.gz,0,illumina hiseq 3000
GSE121725,sheet-Sheet1 from GSE121725_Transcript_differential_expression.xlsx,0,illumina hiseq 4000
GSE121728,sheet-results from GSE121728_6_months_induction_with_GFP-.xlsx,1,illumina hiseq 2500
GSE121739,GSE121739_Atm_Rag2ccp53vsWT.genes.txt.gz,0,illumina hiseq 2000
