Accession,id,Class,log10_n_pvalues,anticons
GSE119036,GSE119036_48h-Blood-VS-48h-Fe.PossionDis_Method.GeneDiffExp.xls.gz,other,4.182443185957241,all other classes
GSE119046,GSE119046_rpoS819_vs_wtrpoS.csv.gz,bimodal,3.604657972047871,all other classes
GSE119074,GSE119074_edgeR_exact_Test_min60.csv.gz,bimodal,4.637289547678175,all other classes
GSE119088,GSE119088_pfeif_Evspfeif_c_DEG.xls.gz,other,4.518224313670486,all other classes
GSE119106,GSE119106_dthrB1-dthrB0.txt.gz,anti-conservative,3.6126779183165016,anti-conservative
GSE119138,GSE119138_Theileria_annulata_processed_data_file.txt.gz,other,3.2496874278053016,all other classes
GSE119158,GSE119158_DESeq2_res_quinazoline_10x_vs_WT.csv.gz,anti-conservative,3.6135247028536526,anti-conservative
GSE119190,sheet-Galaxy271-(DESeq2_result_file_o from GSE119190_DESeq_file.xlsx,other,4.389803762974429,all other classes
GSE119202,sheet-Balb vs control_Expression ... from GSE119202_Balb_vs_C57.xlsx.gz,other,4.32006315959498,all other classes
GSE119208,GSE119208_F613-TCS.txt.gz,anti-conservative,3.7668588110214176,anti-conservative
GSE119264,sheet-DESeq2 EryKD vs EryEV from GSE119264_DESeq2_EryKD_vs_EryEV.xlsx,other,4.43277694076486,all other classes
GSE119273,GSE119273_LR73_AC_results.txt.gz,other,4.29928933408768,all other classes
GSE119332,sheet-mutant vs. Control from GSE119332_control_vs_rraga_mutants_analyzed.xlsx.gz,other,4.410895277968898,all other classes
GSE119333,GSE119333_BSGX001-vs-BSGX001_thi2.DESeq.diff.txt.gz,anti-conservative,3.7726883546821415,anti-conservative
GSE119340,GSE119340_DESeq2_NASH_RNA_seq.csv.gz,anti-conservative,4.222508376039671,anti-conservative
GSE119341,GSE119341_metaseqr_all_out_MU_vs_ML.txt.gz,bimodal,4.147150525210071,all other classes
GSE119422,GSE119422_WTvBmi1gene_exp.diff.gz,bimodal,4.36849142941581,all other classes
GSE119440,GSE119440_ALL_genes-RNA_seq.txt.gz,anti-conservative,3.719248398447946,anti-conservative
GSE119454,GSE119454_TE_stat_summary.csv.gz,anti-conservative,3.2030328870147105,anti-conservative
GSE119547,GSE119547_mEC_Control_vs_mEC_Stretch.diffexp.rpkm.tsv.gz,other,4.368026416113676,all other classes
GSE119549,sheet-control_6hr_all from GSE119549_control_6hr_all.xls.gz,anti-conservative,4.120968565019377,anti-conservative
GSE119582,GSE119582_DESeq2_resLFC_delta-mycP1-eccE1_with-EmptyVector_vs_Rv-wt.csv.gz,anti-conservative,3.6136304349252404,anti-conservative
GSE119619,GSE119619_PCGF35ff.spikenormalised_DESeq2_NucRNAseq.txt.gz,other,4.289878682790416,all other classes
GSE119622,sheet-Shigella vs. Shigella + for... from GSE119622_shigella_formate_comparrison.xlsx,bimodal,3.6854730197227594,all other classes
GSE119623,sheet-thisse-results-genelist (17) from GSE119623_thisse-results-genelist.xls.gz,bimodal,4.298809426529585,all other classes
GSE119710,GSE119710_Chaos3MvF_gene_exp.diff.gz,bimodal,4.36849142941581,all other classes
GSE119714,sheet-ASPvsNC15h from GSE119714_ASPvsNC15h.xlsx.gz,conservative,4.117702061209315,all other classes
GSE119718,GSE119718_DeSeq2OutForGEO.csv.gz,other,4.457806229082977,all other classes
GSE119729,sheet-Neutrally_Regulated from GSE119729_GT_SO_7843_1209_1210_VS_1211_1212_DGE_Report.xlsx,anti-conservative,4.33963029007408,anti-conservative
GSE119754,GSE119754_condition_res_ct_rv-mct_rv.csv.gz,anti-conservative,4.221309890296929,anti-conservative
GSE119769,sheet-All_Genes from GSE119769_Treg_Tcf1_Lef1_CuffDiff_Summary201806.xlsx,bimodal,4.38642761768095,all other classes
GSE119826,GSE119826_genelist.txt.gz,anti-conservative,4.074706756471867,anti-conservative
GSE119835,GSE119835_PBMC_5_RH-5_media.txt.gz,conservative,5.295780346661852,all other classes
GSE119840,GSE119840_res_ctrl_v_hmcn-1.txt.gz,other,4.436273990326049,all other classes
GSE119862,sheet-Sheet1 from GSE119862_tkvM1_vs_WT_DGE.xls.gz,anti-conservative,3.8448498008066387,anti-conservative
GSE119864,GSE119864_NC_Si1_Si2.all_gene.txt.gz,bimodal,4.6492472119686274,all other classes
GSE119910,GSE119910_338.412.polyA.deseq.3replicates.txt.gz,other,4.536356398147368,all other classes
GSE119931,GSE119931_PANC1.FOXA2KO.genes.edgeR_results.txt.gz,anti-conservative,4.186532564592397,anti-conservative
GSE119934,sheet-DE from GSE119934_mH.xlsx,anti-conservative,4.782995469333934,anti-conservative
GSE119949,sheet-gene_exp from GSE119949_DGE.xls.gz,bimodal,4.3881189710303055,all other classes
GSE119951,GSM3389257_MEF_Oct4_DE.interaction.txt.gz from GSE119951_RAW.tar,conservative,4.001257631312231,all other classes
GSE119999,GSE119999_htseq_output_with_stat_summary.txt.gz,other,4.323272731248478,all other classes
GSE120032,sheet-DT900vsBW25113.Differential_ana from GSE120032_DT900vsBW25113.All_genes_Name.xlsx,anti-conservative,3.6178387477170033,anti-conservative
GSE120050,sheet-TU_all from GSE120050_all_genes_BG1_BG546.xlsx,anti-conservative,3.620760489994206,anti-conservative
GSE120053,GSE120053_DEseq.and.EdgeR.All_8578NA_15M_8831AF_15M.annoSub.csv.gz,bimodal,3.967547976218862,all other classes
GSE120054,sheet-gene_exp from GSE120054_gene_exp_data.xlsx,other,5.0128962510116954,all other classes
GSE120061,GSE120061_GFP_vs_Ehmt1.txt.gz,anti-conservative,4.188168858586696,anti-conservative
GSE120063,GSE120063_MA9LC_C1BKOvsWT_RNAseq_EdgeR.txt.gz,anti-conservative,4.151768102895178,anti-conservative
GSE120087,sheet-results_CaNRF2_mRNA_TG.v.NTG from GSE120087_results_CaNRF2_mRNA_TG.v.NTG.xlsx,other,4.326622564515655,all other classes
GSE120161,GSE120161_ss10-inp0.diff.gz,bimodal,4.579554960400999,all other classes
GSE120174,GSE120174_Expression_data_processed_data_C4-C6_T4-T6.txt.gz,other,4.46544233976875,all other classes
GSE120216,GSE120216_CBFB_KOvs_WT.csv.gz,other,4.267781659715359,all other classes
GSE120241,GSE120241_gene_description.txt.gz,other,4.350015298234692,all other classes
GSE120253,GSE120253_REST--_versus_REST++_DiffExpr.txt.gz,other,4.413919742033654,all other classes
GSE120257,sheet-RGC_UninjuredvGFP from GSE120257_RGC_GFPvUninjured.xlsx,anti-conservative,4.29924572803494,anti-conservative
GSE120268,GSE120268_deseq_differential_expression_results.txt.gz,other,4.433097476967988,all other classes
GSE120284,GSE120284_DESeq2_values_14d_14dS_SGCs.txt.gz,other,4.494975080483279,all other classes
GSE120346,GSE120346_Differential_expression_analysis.txt.gz,anti-conservative,3.5462958351214424,anti-conservative
GSE120366,sheet-TAN_002_WT_vs_KO from GSE120366_TAN_002_WT_vs_KO.xlsx,bimodal,4.695350317569429,all other classes
GSE120399,GSE120399_DiffExpr_Day_25.csv.gz,anti-conservative,4.300573746885434,anti-conservative
GSE120499,GSE120499_BiofilmvsLiquid.complete.txt.gz,anti-conservative,3.738066714777469,anti-conservative
GSE120544,GSE120544_NC_014387_Xylan_transcripts.txt.gz,anti-conservative,3.5887197796000563,anti-conservative
GSE120600,GSE120600_c2c12_mrnaseq_diffexpr-results_TNF_vs_control.csv.gz,anti-conservative,4.144356227368183,anti-conservative
GSE120601,GSE120601_edgeR.txt.gz,anti-conservative,4.054804500220955,anti-conservative
GSE120602,GSE120602_plusCipro.vs.minusCipro.txt.gz,bimodal,3.75564621945668,all other classes
GSE120612,GSE120612_THP1_Etoposide_Deseq2.csv.gz,other,4.266184641650907,all other classes
GSE120653,GSE120653_TREE1OEvsShoot_2.0.1.gene_exp.diff.gz,other,4.529096548321951,all other classes
GSE120689,GSE120689_Diff_expressed_genes.csv.gz,other,4.159897901034096,all other classes
GSE120708,GSE120708_WT1_delta_mice.txt.gz,other,4.174844493655455,all other classes
GSE120712,GSE120712_WT1_LTP_90min.txt.gz,anti-conservative,4.0050088206723675,anti-conservative
GSE120725,GSE120725_table_zero_mM_K_vs_control.txt.gz,anti-conservative,3.6094876898532853,anti-conservative
GSE120820,GSM3416397_WT_All_Gene.txt.gz from GSE120820_RAW.tar,bimodal,4.083144143143052,all other classes
GSE120829,sheet-Gene_Expression from GSE120829_T_vs_C_detail.xlsx,bimodal,3.733758835587203,all other classes
GSE120833,sheet-WT_All_Gene from GSE120833_RAW.tar,conservative,4.163519162569878,all other classes
GSE120836,sheet-DCM_over_Control_noncoding from GSE120836_RNASeq-DCM_vs_Control.xlsx.gz,anti-conservative,4.430139581884708,anti-conservative
GSE120844,GSE120844_DEG_IFNG_POMIFNG.txt.gz,bimodal,4.373261506161682,all other classes
GSE120861,GSE120861_all_deg_results.at_scale.txt.gz,anti-conservative,4.67228262478892,anti-conservative
GSE120863,GSE120863_sham_DHCA_striatum_mRNA_seq.txt.gz,other,4.326806774068438,all other classes
GSE120874,GSE120874_deSeq2_KO_vs_WT.txt.gz,other,4.1973357031300615,all other classes
GSE120889,sheet-B728a-yedQ-yhjH_RNA_seq_analyze from GSE120889_B728a-yedQ-yhjH_RNA_seq_analyzed.xlsx,bimodal,3.7136585162083566,all other classes
GSE120921,GSE120921_circRNA.txt.gz,other,3.9618006391916785,all other classes
GSE120954,sheet-gene_exp.diff from GSE120954_NH7_8_vs_NH5_6_diff_exp.xlsx,bimodal,4.375590463466876,all other classes
GSE120986,GSE120986_E16.5_condition.DESeq2_results_allgenes.csv.gz,other,4.311499565460373,all other classes
GSE120996,sheet-raw data from GSE120996_fold-change.xlsx,anti-conservative,4.165719029800832,anti-conservative
GSE121040,GSE121040_PER_Control_swiss_albino-DE_EdgeR.txt.gz,anti-conservative,4.126910294600161,anti-conservative
GSE121045,GSE121045_ArvsNAr_complete.txt.gz,other,4.572929659079372,all other classes
GSE121046,GSE121046_nr4Avsunc22_RNAi_head_collapsedisoforms_baseMeanAavg_lessthan100deleted_forGEO.txt.gz,conservative,4.099438915553507,all other classes
GSE121051,GSE121051_AG_saline_LPS_ID.txt.gz,anti-conservative,4.1851737123573365,anti-conservative
GSE121074,GSE121074_pH5AA_vs_ph5_AA_FLUC.txt.gz,other,3.7188337183038622,all other classes
GSE121076,GSE121076_Cpa3cre_vs_Cpa3CremiR9_final_results.txt.gz,anti-conservative,4.381494132878299,anti-conservative
GSE121092,GSE121092_nanep-rnaseq-diffExp-U87.tab.gz,other,4.554852434372054,all other classes
GSE121099,GSE121099_DiffOutput_SetD5Neurons.csv.gz,other,4.389821462910523,all other classes
GSE121104,GSE121104_CufflinksResults_Head_X_Body.txt.gz,other,4.298372686265604,all other classes
GSE121110,GSE121110_CN-VS-PA.PossionDis_Method.GeneDiffExp.txt.gz,other,4.780374926160122,all other classes
GSE121120,GSE121120_ko-vs-wt_res.all.tab.gz,other,4.429025156711519,all other classes
GSE121173,GSE121173_gene_exp.diff.txt.gz,anti-conservative,4.090469680231161,anti-conservative
GSE121176,sheet-results_Wt_vs_EV from GSE121176_results_Wt_vs_EV.xlsx,other,4.410608542568368,all other classes
GSE121213,GSE121213_Pax6_Mutants_E16_Neocortex.txt.gz,conservative,4.357363030615143,all other classes
GSE121214,GSE121214_Processed_data_Dlx12_mut.txt.gz,other,4.328094057815027,all other classes
GSE121222,GSE121222_Colvs35SARF18-OE-2.GeneDiffExp.txt.gz,other,4.385516903399025,all other classes
GSE121223,GSE121223_CRC_CTL_KO_DESeq2.tsv.gz,other,4.436496591295506,all other classes
GSE121241,GSE121241_Differential_Gene_Expression_CuffDiff.txt.gz,bimodal,4.765906867122167,all other classes
GSE121243,sheet-rhlR_RNA_seq_analyzed from GSE121243_rhlR_RNA_seq_analyzed.xlsx,other,3.7055216134226674,all other classes
GSE121272,GSE121272_1481_12hr-vs-DMSO_Voom_noFilter.xls.txt.gz,other,4.274896445499359,all other classes
GSE121278,sheet-deSeq2_8W_vs_6W.txt from GSE121278_DeSeq2_Processed_Data.xlsx,other,4.428733966181565,all other classes
GSE121304,GSE121304_DexSeq.CTL.vs.GFP_TRA.csv.gz,other,5.609070165199628,all other classes
GSE121319,GSE121319_tmm_PC3_Control_vs_GPRC5AKO.txt.gz,bimodal,4.422999977271616,all other classes
GSE121320,sheet-C_25_diff.txt from GSE121320_TMM_method.xlsx,bimodal,4.369586890736344,all other classes
GSE121340,sheet-attr_table.biotypes from GSE121340_SupplementaryData1_RNA-Seq_HFD--CD_.xlsx,bimodal,4.795782724482922,all other classes
GSE121341,sheet-Ark1 from GSE121341_SupplementaryData2_RNA-Seq_AL--FA_.xlsx,bimodal,4.822612611194309,all other classes
GSE121342,sheet-attr_table.biotypes from GSE121342_SupplementaryData6_RNA-Seq_Ad-MAFG--Ad-CMV_.xlsx,bimodal,4.838830207957979,all other classes
GSE121343,sheet-Ark1 from GSE121343_SupplementaryData8_RNA-Seq_SCR_LNA_CD--SCR_LNA_HFD_.xlsx,conservative,4.844508240048252,all other classes
GSE121344,sheet-Sheet1 from GSE121344_SupplementaryData5_RNA-Seq_HS_T2D--OBESE--LEAN_masked.xlsx,other,4.782608767761329,all other classes
GSE121345,GSE121345_Tissue_Profiling_DIETERICH_gene_exp.diff.txt.gz,other,6.29691056311611,all other classes
GSE121410,sheet-Unfiltered from GSE121410_ALL_DESeq2.xlsx,other,4.519210883619447,all other classes
GSE121428,GSE121428_RNA-seq_del0.4Mbd11hNCCh_vs_WTd11hNCC.txt.gz,bimodal,4.248733229804805,all other classes
GSE121448,GSE121448_mattarollo_rna_DE_Eumyc_vs_WT_results.fpm3.FDR0.05.csv.gz,anti-conservative,4.012330955580147,anti-conservative
GSE121508,GSE121508_set2.OP50.PA14.out.csv.gz,anti-conservative,4.231342137903896,anti-conservative
GSE121509,sheet-alldetected (14).csv from GSE121509_R24.control.sams.xlsx,anti-conservative,4.2507126864591855,anti-conservative
GSE121510,sheet-alldetected (8).csv from GSE121510_37.control.set16.xlsx,conservative,4.25589936673046,all other classes
GSE121515,GSE121515_HMCES_EDGER.txt.gz,other,4.127007557371327,all other classes
GSE121519,GSE121519_DESeq2.txt.gz,other,3.6994908452722046,all other classes
GSE121535,sheet-pum2rnaseq_DESeq2_results-with- from GSE121535_RNA-Seq_normalized_counts.xlsx,anti-conservative,4.188844146546897,anti-conservative
GSE121569,GSE121569_dexseq-all.csv.gz,other,5.666120943820097,all other classes
GSE121591,GSE121591_IgG_vs_Untreated_UP_GO_Biological_Process_2018_table.txt.gz,other,3.2823955047425257,all other classes
GSE121607,GSE121607_limma_DEG_N1-Control_all_genes.txt.gz,anti-conservative,4.154849841520744,anti-conservative
GSE121629,GSE121629_topTable_sp_ma_vs_sp_mo.txt.gz,anti-conservative,4.162713725583078,anti-conservative
GSE121659,sheet-EHP_vs_BLM from GSE121659_Deseq_results.xlsx,anti-conservative,4.183924351757001,anti-conservative
GSE121674,GSE121674_Alterations_in_Gene_Expresion_in_Arabidopsis_thalliana_Expressing_ISPS.csv.gz,other,4.049101678208557,all other classes
GSE121675,GSE121675_Alterations_in_Gene_Expression_in_Nicotiana_tabacum_Expressing_ISPS.csv.gz,anti-conservative,4.649714457001512,anti-conservative
GSE121685,GSE121685_edgeR_sorted_E2.txt.gz,bimodal,4.219296297943339,all other classes
GSE121694,GSE121694_Combo_vs._Iso.csv.gz,other,4.251224409571832,all other classes
GSE121697,GSE121697_Cufflinks_FPKMs_and_TukeyHSD_results.txt.gz,other,4.38327665040765,all other classes
GSE121717,GSE121717_ExpressionArray_shSOX10_LN229_CRISPRi_limma_results_table.txt.gz,other,4.622638781143737,all other classes
GSE121720,GSE121720_RNAseq_subtype_signature_gene_analysis_limma_model_results.txt.gz,anti-conservative,4.4863171082391835,anti-conservative
GSE121725,sheet-Sheet1 from GSE121725_Transcript_differential_expression.xlsx,other,4.5619833937680845,all other classes
GSE121728,sheet-results from GSE121728_6_months_induction_with_GFP-.xlsx,anti-conservative,4.126293790693266,anti-conservative
GSE121739,GSE121739_Atm_Rag2ccp53vsWT.genes.txt.gz,other,4.447313108823568,all other classes
GSE121749,GSE121749_DESeq2_shRai1_TTX_vs_shRai1_Veh.txt.gz,other,4.3261719452891745,all other classes
GSE121790,GSE121790_HEC1A_GFPneg_vs_HEC1A_control.csv.gz,other,4.364062960703078,all other classes
GSE121794,GSE121794_Results_Adult_Skin_Teff_vs_Tregs.csv.gz,other,4.179235721198481,all other classes
GSE121795,GSE121795_ResultsDESeqpaired.csv.gz,other,4.168143775495958,all other classes
GSE121797,sheet-NC_007795_transcripts from GSE121797_SI-3Bvs3A.xls.gz,bimodal,3.725339815909737,all other classes
GSE121809,sheet-NUC_WT_vs_NUC_KO_Differential_E from GSE121809_NUC_WT_vs_NUC_KO_Differential_Expression.xlsx,other,4.274273337758418,all other classes
GSE121832,GSE121832_C_4.4.VS.4.0-all_genes.txt.gz,anti-conservative,3.2425414282983844,anti-conservative
GSE121833,GSE121833_C_5.5.VS.5.0-all_genes.txt.gz,anti-conservative,3.246005904076029,anti-conservative
GSE121834,GSE121834_C_9.1.VS.9.0-all_genes.txt.gz,anti-conservative,3.258876629372131,anti-conservative
GSE121858,GSE121858_MNU-Cre-v-MNU-WT-P005_FC1.5_FPKM1.txt.gz,other,2.484299839346786,all other classes
GSE121863,GSE121863_T1D-ND-DEBrowser_output.txt.gz,bimodal,4.352471951298952,all other classes
GSE121888,GSE121888_DESep_output_results.csv.gz,other,4.417521513804297,all other classes
GSE121911,sheet-Sheet1 from GSE121911_SFTS_Ferret_DEG.xlsx,other,4.253168325901442,all other classes
GSE121920,GSE121920_s105_L4vsN2_L4.Differential_analysis_results.xls.gz,other,4.349083168779591,all other classes
GSE121952,GSE121952_HepG2_shMETTL14_RiboDiff_Differential_Translation_Efficiency.txt.gz,bimodal,4.269863040554411,all other classes
GSE121955,sheet-CycA_vs_GFP from GSE121955_CycA_vs_GFP.xlsx.gz,other,4.14637613307539,all other classes
GSE121956,sheet-SG_vs_BD from GSE121956_SG_vs_BD.xlsx.gz,other,4.173565017858661,all other classes
GSE121980,sheet-tRNA 1 dpi from GSE121980_596B_GEO_PROCESSED_TRNA_MRNA.xlsx,other,2.5622928644564746,all other classes
GSE121989,GSE121989_counts.48hpf_tet23DMvsWT.txt.gz,other,4.368193878266824,all other classes
GSE122015,sheet-DE analysis results from GSE122015_Supplementary_Material_File_S1.xlsx,anti-conservative,4.415791055742342,anti-conservative
GSE122033,GSE122033_DESeq2_lncRNAs_EP_Islets.csv.gz,other,4.576985977417725,all other classes
GSE122045,GSE122045_VCAN-AN_vs_Control-C57_deseq_118473_1276.txt.gz,other,4.299507298700488,all other classes
GSE122047,sheet-WT-vs-hda6_hda9.genes.annot from GSE122047_WT-vs-hda6_hda9.genes.annot.xlsx,bimodal,4.442228840568719,all other classes
GSE122064,sheet-total Comp-Wt from GSE122064_Deseq2_totRNA_DRsaI.xlsx,anti-conservative,3.4369573306694496,anti-conservative
GSE122065,sheet-MS2RsaImut4vsMS2contr.comp-anno from GSE122065_Deseq2_MS2_all_samples.xlsx,anti-conservative,3.4326486600131068,anti-conservative
GSE122089,GSE122089_all.counts.1612297_vs_1605272.edgeR_all.xls.gz,other,4.301854372269586,all other classes
GSE122095,GSE122095_N-VS-W.DEGseq_Method.GeneDiffExp.txt.gz,anti-conservative,5.04181492991395,anti-conservative
GSE122099,GSE122099_ATXN1_82Q_Tg_Inferior_Olive_5weeks.txt.gz,other,4.423540766274301,all other classes
GSE122101,sheet-All genes from GSE122101_List_of_genes_differentially_expressed_by_Ssu72_depletion_ES_cells_.xlsx,bimodal,4.38015695150816,all other classes
GSE122139,GSE122139_DEseq_SW001_SW002_DEG_list.csv.gz,other,4.305028753746333,all other classes
GSE122157,sheet-TAMVsNcaph2.genes_de.tsv from GSE122157_TAMVsNCaph2.genes_de.xlsx,other,4.173972532817962,all other classes
GSE122193,GSE122193_hUCMSC_mock-hUCMSC_MR766_48hpi.genes.xls.gz,bimodal,4.241347217238199,all other classes
GSE122210,sheet-DMSO_vs_CKBA.diff.exp.annot from GSE122210_DMSO_vs_CKBA.diff.exp.annot.xls.gz,bimodal,4.678782335287437,all other classes
GSE122235,GSE122235_cuffdiff_results.txt.gz,conservative,4.816234669491063,all other classes
GSE122249,GSE122249_DESeq-PRC-vs-PRO.txt.gz,other,3.4807253789884878,all other classes
GSE122253,GSE122253_M40-M418.gene_exp.diff.gz,other,3.75564621945668,all other classes
GSE122264,GSE122264_diffexpr-results.PHF2.csv.gz,anti-conservative,4.229963261979429,anti-conservative
GSE122292,sheet-Sheet1 from GSE122292_RNAseq_Nelfb_KO_expression_summary.xlsx,conservative,4.38015695150816,all other classes
GSE122343,GSE122343_res.genes.pituitary.csv.gz,other,4.05816020349183,all other classes
GSE122349,GSE122349_res.genes.fat.csv.gz,anti-conservative,4.05816020349183,anti-conservative
GSE122393,sheet-Expression Browser from GSE122393_LG_MF_E18.5_Expression_Browser_Raw.xlsx,other,4.411367135742734,all other classes
GSE122405,GSE122405_hm_deseq.csv.gz,other,4.463698930919374,all other classes
GSE122409,GSE122409_Degust_Voom_Limma_-_IL23_expansion.csv.gz,anti-conservative,4.137100804579123,anti-conservative
GSE122412,GSE122412_all.csv.gz,other,4.438368279687935,all other classes
GSE122416,GSE122416_A5SS.MATS.JCEC_copy.txt.gz,bimodal,3.1775364999298623,all other classes
GSE122440,sheet-Table_S6 from GSE122440_Patten_TableS6.xlsx.gz,anti-conservative,3.6591552809406296,anti-conservative
GSE122459,sheet-DESeq2 analysis from GSE122459_normalized_genes_all_samples.xlsx.gz,other,4.5957056026935375,all other classes
GSE122470,GSE122470_foxo_vs_5905_female_head.csv.gz,anti-conservative,4.019905199804614,anti-conservative
GSE122483,GSE122483_ren_gene.description.txt.gz,anti-conservative,3.273695587930092,anti-conservative
GSE122486,GSE122486_G510_SOCS3KO_DESeq2.txt.gz,other,4.397957380103888,all other classes
GSE122544,GSE122544_N2OP50_vs_N2PA14.deseq.results.significant.csv.gz,anti-conservative,4.149588567787744,anti-conservative
GSE122554,GSE122554_cuffdiff_iron_phosphorus.diff.gz,bimodal,4.722148360011163,all other classes
GSE122566,sheet-iAsF0 from GSE122566_iAs_F0_2.5ppm_Gas_RNAseq.xlsx,other,4.209836595069655,all other classes
GSE122572,GSE122572_RNA-seq_VCaP_siNON-vs-siBCOR_EtOH-vs-DHT.txt.gz,bimodal,4.682307567815464,all other classes
GSE122629,sheet-1448A-rhpS-KB from GSE122629_RhpR_and_RhpRS_RNA-seq_analyzed.xlsx,bimodal,3.7073998311332486,all other classes
GSE122655,GSE122655_genes.counts.matrix.Mock_vs_Nef.edgeR.DE_results.txt.gz,other,4.141324327275417,all other classes
GSE122665,GSE122665_PP6fl_flmKC_vs_cKOmKC.diff.exp.annot.txt.gz,bimodal,4.678691334012713,all other classes
GSE122679,sheet-Sheet1 from GSE122679_cufflinks_HNPC_v_GBM_comparison.xlsx,bimodal,4.9764233488529905,all other classes
GSE122710,sheet-Sheet1 from GSE122710_genelist.xlsx,anti-conservative,4.172310968521955,anti-conservative
GSE122715,GSE122715_E14vsP24KO.txt.gz,other,4.28539976430243,all other classes
GSE122717,sheet-Sheet1 from GSE122717_WT_cmd1_RNA_seq_FPKM_all.xlsx,bimodal,4.2488556801064314,all other classes
GSE122724,GSE122724_Synapt_Genes_proteinCoding_DE.tsv.gz,other,4.223495940962395,all other classes
GSE122726,sheet-MigR_VS_RevA from GSE122726_processed_193.xlsx,other,4.32608996426356,all other classes
GSE122751,GSE122751_Partek_U_24h_vs_C7_24h_Gene_Diff.txt.gz,other,4.375553883598933,all other classes
GSE122753,GSE122753_RNA_seq_Tam_Dox_vs_WT_mESC.txt.gz,bimodal,4.3793599144876305,all other classes
GSE122767,sheet-Differential Expression from GSE122767_Differential_expression__RNA_seq_data_for_Garcia_et_al.xlsx,bimodal,4.3883321478572155,all other classes
GSE122791,sheet-DEseq_Samples27-28 over 25-26 from GSE122791_TableS4_DEseq_GFP_vs_KLF4.xlsx.gz,anti-conservative,4.146190073315927,anti-conservative
GSE122796,GSE122796_Gene_Levels.txt.gz,other,4.308457694189304,all other classes
GSE122812,sheet-All_23997 from GSE122812_1.shLacZ-1_shLacZ-2_shLacZ-3.vs.shAmd1-2_shAmd1-3_shAmd1-4.xlsx,bimodal,4.38015695150816,all other classes
GSE122816,GSE122816_DE_ps.csv.gz,other,3.8462752424122133,all other classes
GSE122832,GSE122832_Differential_expression_GIC_wt_KDM4C_KD.txt.gz,other,4.5338736952871015,all other classes
GSE122834,GSE122834_processed_data.txt.gz,anti-conservative,4.156215882676762,anti-conservative
GSE122875,GSE122875_sphere_dge_results.csv.gz,anti-conservative,4.161098356450925,anti-conservative
GSE122900,GSE122900_known_gene_counts.csv.gz,other,4.306317781104433,all other classes
GSE122941,GSE122941_genes.edgeR_results.txt.gz,anti-conservative,4.085219201044942,anti-conservative
GSE122950,sheet-Control_vs_Treated from GSE122950_isoform_exp_diff.xls.gz,other,4.515436681141699,all other classes
GSE122951,sheet-merged from GSE122951_IK_OP9_vs_WT_OP9.xls.gz,other,4.32911300268182,all other classes
GSE122990,GSE122990_DEseq_ARC7-ARC10-ARC16_ARM4-ARM5-ARM6_DEG_list_1_.csv.gz,bimodal,4.288696260590256,all other classes
GSE122991,GSE122991_DEseq_AD5-AD64-AD38-AD24_AD2-AD10-AD26-AD50_DEG_list.csv.gz,anti-conservative,4.33799805112296,anti-conservative
GSE122992,GSE122992_DEseq_AR6-AR7-AR13-AR19_AR8-AR9-AR17-AR24_DEG_list.csv.gz,other,4.273232834043045,all other classes
GSE122995,sheet-CPM from GSE122995_RNA160603DE_Counts_and_Analysis.xlsx.gz,bimodal,4.2943559851451605,all other classes
GSE123002,sheet-KOvsWT.SRSF3 from GSE123002_DGE_KOvsWT.SRSF3.xlsx.gz,anti-conservative,4.108023509346088,anti-conservative
GSE123017,GSE123017_RPE1_gene_exp_diff.csv.gz,conservative,4.7828880867645704,all other classes
GSE123019,GSE123019_Ctr_vs_cKO.diff.exp.xls.annot.xls.gz,bimodal,4.678782335287437,all other classes
GSE123068,GSE123068_metaseqr_all_out_Empty_vs_Wnt.txt.gz,bimodal,4.051846838313736,all other classes
GSE123101,GSE123101_TDG_KO_vs_WT_gene_exp_diff.txt.gz,bimodal,4.671533833044678,all other classes
GSE123118,GSE123118_deseq_Y55.csv.gz,anti-conservative,3.818621726375889,anti-conservative
GSE123126,GSE123126_Galaxy173-DESeq2_DEgenes_brafvbrafpi3k.tab.gz,other,4.432424077481354,all other classes
GSE123138,GSM3496281_wt-log2fc.txt.gz from GSE123138_RAW.tar,bimodal,3.846027675364379,all other classes
GSE123144,GSM3496282_swd22D-log2fc.txt.gz from GSE123144_RAW.tar,bimodal,3.846027675364379,all other classes
GSE123152,GSE123152_lettuce.txt.gz,bimodal,4.139879086401237,all other classes
GSE123186,GSE123186_Lanno_et_al_2018_Cuffdiff.txt.gz,other,4.237418056046236,all other classes
GSE123195,GSE123195_WTm_vs_SLm_comparisons.csv.gz,bimodal,3.7538893314598334,all other classes
GSE123267,GSE123267_reduced_vs_basal.txt.gz,anti-conservative,3.585009279902461,anti-conservative
GSE123277,GSE123277_Control_vs_Deferasirox_Treated.diff.gz,conservative,4.110017006792112,all other classes
GSE123282,GSE123282_NanoTi_E1_processed_data.csv.gz,other,4.345961541813141,all other classes
GSE123290,sheet-Sheet1 from GSE123290_GEO_Submission_RNA_seq.xlsx,other,4.2522460504731185,all other classes
GSE123296,GSE123296_gene_exp.diff3.txt.gz,bimodal,5.096395503691826,all other classes
GSE123300,GSE123300_between_before_and_8wk.after.txt.gz,anti-conservative,4.293473048156108,anti-conservative
GSE123303,sheet-RPKM from GSE123303_dgat1_RNAseq_expressiondata.xls.gz,conservative,4.569479251294796,all other classes
