Date Received,Request Number,Requester Category,Request Description
15-Mar-22,OIR-FOI-2022-0031,Journalist,"*as clarified - all records relating to pest control services provided at Leinster House, including inspection reports and invoices, from November 2021 to the present date."
14-Mar-22,OIR-FOI-2022-0030,Journalist,"Revenue generated by the Dail Bar/Restaurant for each month from Sept 1 to present; please give a breakdown by food and drink, and please give a breakdown of drink by beverage type/brand. The total number of customer tabs yet to be paid; the amount on the tab; and the date it was started."
14-Mar-22,OIR-FOI-2022-0029,Journalist,"- copies of all correspondence between Deputy Michael Healy-Rae and/or his office or representatives and the Oireachtas Print Facility and graphic designers in relation to print job number 30356, which was received by the print facility on January 3, 2020"
11-Mar-22,OIR-FOI-2022-0028,Other,"All correspondence between the Oireachtas Bills Office and the Department of Children, Equality, Disability, Integration and Youth in relation to amendments to the Birth Information and Tracing Bill 2022. This request covers the period from 1st February to present."
04-Mar-22,OIR-FOI-2022-0026,Journalist,A list of all persons employed as secretarial assistants and parliamentary assistants by TDs and Senators and the corresponding person who hired them.
02-Mar-22,OIR-FOI-2022-0025,Other,"1. a list of all websites that have been blocked as ""advocacy organisations"" on the Oireachtas network in the period since 1 January 2017.  2. copies of any emails received from members or staff regarding the blocking of such websites during same period.  3. copies of any briefing notes, submissions, emails, or memoranda relating to why websites such as Shannonwatch, Irish Anti-War Movement, or other ""advocacy organisations"" would be blocked from the Oireachtas network.  I identfy the following two business units for FOI searches; Research Library, and Archive Records Management, and ICT."
01-Mar-22,OIR-FOI-2022-0024,Journalist,All correspondence sent / received by the Ceann Comhairle relating to his Dail comments on the Oireachtas Golf Society dinner in Clifden that took place in August 2020.  All correspondence between the Ceann Comhairle and current and former members of the Oireachtas in relation to the Ceann Comhraile's Dail comments on the Oireachtas Golf Society dinner in Clifden that took place in August 2020.  I wish for my request to cover the period from 1/8/2020 - 1/3/2022.
25-Feb-22,OIR-FOI-2022-0022,Journalist,- copies of any records held referring or relating to the issue of charging fees for the use of electronic car charging stations in the Leinster House complex. This request to cover the period 1 Jan 2021 to date of receipt of the request.
25-Feb-22,OIR-FOI-2022-0021,Other,"The names and positions (SA/PA)  of the members of staff employed by each member of the Dail under the Scheme for Secretarial Assistance.  The names of the members of staff employed by each member of the Seanad under the Scheme, the positions and the manner in which they decided to divide their allowance.  The names and positions of the additional members of staff employed by each party under the Party Staffing Entitlements of the Scheme.  The manner in which all eligible parties have chosen to divide their entitlementsunder the scheme."
24-Feb-22,OIR-FOI-2022-0020,Journalist,- copies of the minutes of meetings and correspondence in 2021 from the Print Users Council.
23-Feb-22,OIR-FOI-2022-0019,Journalist,"- a list of all websites blocked or banned from access on the Oireachtas network - records showing the number of times attempts have been made to access these websites during the years 2019, 2020 and 2021, with a breakdown if possible showing the number."
21-Feb-22,OIR-FOI-2022-0018,Journalist,"Copies of any emails since February 2020 which relate to any communications between the Office of the Ceann Comhairle and the Department of Foreign Affairs/Department of the Taoiseach regarding relations with China.  Copies of any correspondence between the Ceann Comhairle and the Government of China, and with representatives of the Taiwanese Government in Taipei (Since Feb 2020).  Copies of any documentation regarding meetings between Ceann Comhairle and any representatives of the Chinese Parliament (Since Feb 2020)."
18-Feb-22,OIR-FOI-2022-0017,Journalist,"Please supply records relating to how often the Oireachtas gym was used last year (2021), ie the number of visits that were made in total and a breakdown of the visits for each month of the year.  Also, please supply details of how many of those visits were made by TDs or Senators.  Could you also please supply records relating to the maintenance and staff costs that were made in 2021 in relation to the gym, and, if possible, to who.  Also, please supply records relating to the opening hours of the gym and staff numbers?  And please supply records relating to what equipment/facilities that the gym has?  Were there any particular classes offered in the gym last year, eg yoga or circuit training?  Finally, please supply records relating to any new facilities that were added last year, or any renovations made, or any new classes that were added?  If so, please supply records relating to the costs of these."
18-Feb-22,OIR-FOI-2022-0016,Journalist,"All records in relation to a new Oireachtas live streaming system planned for 2019, to include reasons the current system is being changed, the particular issues with the current system, any complaints about it, date existing system set up, cost of existing system, any significant maintenance, upgrade or repairs and costs of same, cost of new system, details of tenders.If it is necessary for any reason to redact any information, please redact the minimum necessary and send me the rest of the material, explaining the legal grounds for each redaction."
17-Feb-22,OIR-FOI-2022-0015,Journalist,"breakdown of how much was spenton Christmas decorations (lights, Christmas trees, baubles, Santa hats and all other associated decorations) in 2018, 2019, 2020, 2021 and 2022."
14-Feb-22,OIR-FOI-2022-0014,Other,"Any response submitted by the anonymous whistleblower in relation to the report prepared by ""...""  into allegations of wrongdoing made by a whistleblower against certain members of the investigation team working on the banking enquiry published on 5/10/2015."
11-Feb-22,OIR-FOI-2022-0012,Journalist,An itemised list of payments made to former TD Noel Rock during the period 9 February 2020 - 3 February 2022.  An itemised list of any of the above payments that were returned/refunded to the Oireachtas by former TD Noel Rock during the period 9 February 2020 - 3 February 2022.
31-Jan-22,OIR-FOI-2022-0011,Journalist,"- a datadump of line by line expenditure in the following categories for the calendar year 2021 (Ref FOI R1395): 10000, 20000, 21008, 21013, 21025, 21026, 21054, 21514, 21517, 24009, 24010, 24011, 24013, 24014, 25007, 26006, 26008, 26016, 26018, 26020, 26"
24-Jan-22,OIR-FOI-2022-0010,Journalist,"- copies of certifications/declarations signed by former senator, deputy and minister Katherine Zappone in relation to expenses received under the TAA scheme in each of the years from 2011 to *2016 inclusive (*as amended)"
19-Jan-22,OIR-FOI-2022-0009,Journalist,*Clarification - precluding back and forth emails about figures etc. and looking for deduction amounts from salaries/pensions arising from bar/restaurant bills.
11-Jan-22,OIR-FOI-2022-0008,Journalist,"I am seeking copies of all invoices, receipts, claims for subsistence or travel associated with the following two overseas trips:- the visit of Cathaoirleach Mark Daly and anybody who accompanied him to Washington DC and Florida in late October/early November. - the visit of Senator Fiona O'Loughlin to Strasbourg in late September. I am also seeking a copy of the itinerary associated with the visit of the Cathaoirleach to the United States."
10-Jan-22,OIR-FOI-2022-0007,Oireachtas/Public Representative,"Under the FOI Act 2014, I am seeking a re-release of FOI request OIR-FOI-2020-0181."
10-Jan-22,OIR-FOI-2022-0006,Journalist,"Under the FOI Act 2014, I am requesting details of all costs incurred by all TDs and Senators relating to the printing of material using the Oireachtas printer during 2021. The information released should include the names of the TDs/Senators involved and the number of items printed by each TD/Senator, as well as the cost to each TD and Senator."
04-Jan-22,OIR-FOI-2022-0005,Journalist,"Under the FOI Act 2014, I am seeking the following:- a copy of the following items referenced in the Commission minutes of 27 Sept: https://data.oireachtas.ie/ie/oireachtas/corporate/commissionMinutes/2021/2021-11-16_houses-of-the-oireachtas-commission-minutes_en.pdf"
04-Jan-22,OIR-FOI-2022-0003,Other,a record of the number of external emails received by the Service from the 1st September and 31st December 2021?
04-Jan-22,OIR-FOI-2022-0002,Journalist,Copies of the minutes of  the Business Committee meeting on November 18 2021.  Briefing notes prepared for the Business Committee on November 18 2021.  Correspondence between TDs and the Ceann Comhairle regarding antigen tests between November 1 and November 21 2021.
04-Jan-22,OIR-FOI-2022-0001,Other,The number of new staff hired by the Service in 2021.
21-Dec-21,OIR-FOI-2021-0127,Journalist,"i) a record of all print jobs submitted for processing by senators and TDs during 2020 and to date in 2021, to include details or a description of the document to be printed and the volume of documents to be printed, and the name of the member for whom they were printed, as well as the cost of each print job.  ii) a copy of proofs of sympathy cards printed by the Oireachtas print facility for senators and TDs during 2020 and 2021 to date.  iii) a record of all print jobs that were recycled after not being collected by TDs or senators during 2020 and 2021 to date, to include the names of the TDs or senators for whom they were printed."
21-Dec-21,OIR-FOI-2021-0126,Journalist,A copy of the agendas and minutes of meetings of the Management Board (or its sub-committees) at which Covid-19 and/or public health measures in the Oireachtas were considered. This request should cover the period between September 2020 and April 2021.
17-Dec-21,OIR-FOI-2021-0125,Journalist,The amount each TD and Senator has outstanding to pay off their bill in the Dail bar as of Thursday 16 December 2021.   A month-by-month breakdown on which TDs or Senators have had deductions made from their salaries over an unpaid bill in the bar/restaurant since June 2020
14-Dec-21,OIR-FOI-2021-0124,Journalist,Copies of all correspondence in relation to a previous request (FOI 2021-0109).
07-Dec-21,OIR-FOI-2021-0123,Other,I seek documents that were sent to limerick institute of Tecknolegy and Entreprise Ireland from the public accounts committee Re a complaint on funding.
02-Dec-21,OIR-FOI-2021-0121,Journalist,"I am requesting details of all costs incurred by TDs and Senators printing Christmas Cards and Calendars from October to November of this year. The information released should include the names of the TDs/Senators involved and the number of items printed by each TD/Senator, as well as the cost to each TD and Senator."
29-Nov-21,OIR-FOI-2021-0120,Journalist,"- copies of all records held by members of the Safety team, Facilities Management Unit and relevant senior management referring or relating to the decision process to provide antigen tests to staff members and/or members of the Oireachtas. This request to cover the period 1 October 2021 to date of receipt of the request."
29-Nov-21,OIR-FOI-2021-0119,Journalist,"- a spreadsheet of all travel (overseas) undertaken by members of the Oireachtas in period 1 May 2021 to date of receipt of this request to include name of member, destination, date of travel, flight costs, hotel costs, subsistence and any other incidental costs."
26-Nov-21,OIR-FOI-2021-0118,Journalist,Copies of all correspondence from Oireachtas members to the Dail Clerk and the Ceann Comhairle between September 1 and the date of this request (26/11) regarding Covid-19 measures in Leinster House.
26-Nov-21,OIR-FOI-2021-0117,Journalist,"I'd like to receive records relating to the two Dail bars (both members and visitors' bars), specifically how long each bar has been open since the start of the pandemic in March, 2020 (specifically from March 15) up to now. Also, what are the records relating to the volumes of drinks sold in the members' (TDs' and Senators') bar during this period? Could you please share records relating to the following - what the most popular purchase was at the members' bar and the volumes/measures sold of those drinks and costs.  Also, could you please supply records relating to the most popular alcoholic drinks with a breakdown of volumes/measures sold, and the price for each measure? Please supply, too, records of a breakdown of all other drinks and food items that are for sale at the Dail bar and their respective sales since the spring, 2020. Please share records relating to how much customers spent in total at the members' bar in this period? Please also supply records relating to the cost of running the bar and how many staff are employed to do so? Finally, according to your records, have new measures been introduced regarding payments? (I believe customers are no longer able to order products on credit)."
23-Nov-21,OIR-FOI-2021-0116,Journalist,All correspondence between the Ceann Comhraile Sean O Fearghail and the Covid-19 compliance unit in the Houses of the Oireachtas. I wish for my request to cover the period from 1/9/21 and 22/11/21
22-Nov-21,OIR-FOI-2021-0115,Journalist,"The total number of FFP2 masks ordered for Oireachtas staff, the cost of each mask (per unit), the total number of masks requested for use by TDs, Senators and civil servants (breakdown of each provided, please), and the invoices for orders of masks, including the total spend. Timeline: 1 March 2020 - 19 November 2021."
18-Nov-21,OIR-FOI-2021-0114,Journalist,As clarified -all submissions in 2021. I am requesting the release of all submissions to date that have been made to the Clerk of the both Houses and Clerks of all Oireachtas Committees concerning so-called 'utterances having an adverse affect' and details about any actions taken on foot of such submissions.
18-Nov-21,OIR-FOI-2021-0113,Journalist,"The amount of material requested for printing by each TD each for every month of this year to date, what the printing requests were for (ie calenders, leafelts, flyers, cards), the number of copies requested, and how much each request cost."
18-Nov-21,OIR-FOI-2021-0112,Journalist,1. Records concerning the amount of overtime paid to parliamentary assistants and secretarial assistants by members of the 33rd Dail and 26th Seanad between 20 February 2020 and 31 October 2021. Please include a breakdown of the total hours claimed and total overtime paid per individual. Please redact personal information.
17-Nov-21,OIR-FOI-2021-0111,Journalist,"1. copies of inspection reports, service reports, and all other documentation including invoices provided by pest control companies in respect of services supplied to the Houses of the Oireachtas during 2021.  2. the total amount paid to pest control companies and contractors for goods and services supplied to the Houses of the Oireachtas during 2021. "
12-Nov-21,OIR-FOI-2021-0110,Journalist,"- a copy of all records held referring or relating to the decision by the Oireachtas to stop keeping a daily log relating to breaches of public health guidelines in Leinster House, the Convention Centre, and associated buildings. I believe this decision was made in April so most of the records should date from then. I would like the request however to cover the period 1 Mar 2021 to 31 May to ensure all relevant records are captured."
12-Nov-21,OIR-FOI-2021-0109,Journalist,A list of all parliamentary assistants (PAs) and secretarial assistants (SAs) employed by TDs and Senators in December 2020 and to date in 2021.   The information should include the names of the PAs and SAs; I am also seeking details of the pay scales that applied to PAs and SAs in each of the years 2020 and 2021.
08-Nov-21,OIR-FOI-2021-0108,Journalist,a) a copy of any report including business case for the development of a Members' portal app.  b) a copy of the report on the implementation of the recommendation of the Independent Review of the system for recording members' attendance at Leinster House.
08-Nov-21,OIR-FOI-2021-0107,Other,All written submissions provided to the Oireachtas Joint Committee on Justice on the topic of General Data Protection Regulation (GDPR) in advance of / for the sitting of the Committee on Tuesday 27th April 2021 on the same topic.  
05-Nov-21,OIR-FOI-2021-0106,Journalist,"The five days of the year when the Dail bar took in the most money, listed with the date, the number of drinks sold each day, and the total amount earned on each day.  The total amount spent in the Dail bar between 1 January and the present date and the total number of drinks sold.  The top 20 most popular alcohol and drinks sold in the Dail bar, including the number of individual drinks sold this year, plus the amount each drink costs.  The amount of money still outstanding on all Dail bar tabs as of the present date.  How much the Oireachtas has spent, if anything, on tobacco products between 2020 and the present date, and how many tobacco products have been bought, if any, over the same time period."
01-Nov-21,OIR-FOI-2021-0105,Journalist,As clarified: TDs of the 33rd Dail and Senators of the 26th Seanad.  Copies of claims made by TDs and Senators through the Direct Purchase Scheme since March 2020.
01-Nov-21,OIR-FOI-2021-0104,Journalist,- a table or record of all expenditure under the special secretarial allowance scheme in the period 1 Feb 2021 to date of receipt of request. Happy for this to be processed in the same way as OIR-FOI-2021-0014.
01-Nov-21,OIR-FOI-2021-0103,Other,"I make my request for all documents, records, and correspondence referred to in my previous email under the Freedom of Information Act 2014. For the avoidance of doubt my request relates to any records, documents, or correspondence, including, where necessary, any SMS messages, or WhatsApp or other private messaging services used by members of the committee to communicate with respect to submissions received from ""..."" or on behalf of the ""..."", or any other submissions received which were not included in the report published on the 22nd July 2021."
30-Sept-21,OIR-FOI-2021-0100,Journalist,- a copy of the following correspondence between the Oireachtas Commission and Deputy Michael Ring (from the most recent minutes - Part 10: https://data.oireachtas.ie/ie/oireachtas/corporate/commissionMinutes/2021/2021-09-29_houses-of-the-oireachtas-commission-minutes_en.pdf).
30-Sept-21,OIR-FOI-2021-0099,Journalist,"- a copy of the two business cases referred to below: (i) Business Case for the Development of a Members' Portal Application. The Commission considered a business case seeking approval and funding for the development of a Members' Portal Application. The Commission approved the business case and budget for the project of €781,543. (ii) Business Case for Technology in the Chambers Contract.  The Commission considered a business case seeking approval and funding to establish a framework agreement with a single operator in accordance with Public Procurement Guidelines for the provision of support and maintenance for equipment and systems in the chambers and meeting rooms.The Commission approved the business case and budget for the project of €4,421,052."
29-Sept-21,OIR-FOI-2021-0098,Journalist,"Costs associated with the use of the convention centre for Dail business from January 1st 2020 to date.  Initial fit out costs associated with the same. Costs associated with removing equipment, which had been used to facilitate Dail business."
29-Sept-21,OIR-FOI-2021-0097,Journalist,A copy of complaints made by members of the Oireachtas in relation to mobile phones ringing inside the Dail and Seanad chambers.  I wish for my request to cover the period from 1/1/2021 and 29/9/2021.
27-Sept-21,OIR-FOI-2021-0096,Other,Requesting a copy of all letters sent to the Oireachtas Committee on Disability Matters from August 15th 2021 to September 18th 2021 inclusive. Requesting a copy of all letters sent to the Oireachtas Committee Chair on Disability Matters from August 15th 2021 to September 18th 2021 inclusive.
17-Sept-21,OIR-FOI-2021-0095,Journalist,As clarified: - can I get records relating to any pension payments to former senator Brian O'Domhnaill in the last five years. Can I get these broken down per year.  And the amount per year he has received to date.
16-Sept-21,OIR-FOI-2021-0094,Journalist,"1. A copy of ""…"" 's report into the attendance verification system. 2. A copy of the submission by the Department of Public Expenditure and Reform on the proposed reform of the system."
06-Sept-21,OIR-FOI-2021-0093,Journalist,"A list of guest speakers/motivational speakers hired during each of the years, 2019, 2020, and the first six months of 2021. Please include, the fee paid; where the event took place or if it was a virtual meeting; how long the event lasted; a copy of any presentation material received for the event - ie; slide presentations, handouts, copy of speeches.   A list of appearance fees paid for PR/promotional events guest appearances for each of the years, 2019, 2020, and the first six months 2021. Please include where the event took place or if it was a virtual meeting; how long the event lasted; a copy of any presentation material received for the event - ie; slide presentations, handouts, copy of speeches."
02-Sept-21,OIR-FOI-2021-0092,Journalist,A re-release of FOI request OIR-FOI-2020-0062 which looked for a list of all persons employed as secretarial assistants and parliamentary assistants by TDs and Senators and the corresponding person who hired them.
01-Sept-21,OIR-FOI-2021-0091,Journalist,- copies of any records held referring or relating to the issue of falling plaster near the entrance to the Dail Chamber. This request to cover the period 1 April 2021 to date of receipt of the request.
27-Aug-21,OIR-FOI-2021-0090,Other,"I want the end of year self certifications forms 2020 for the following TDs: Patrick Costello, Francis Noel Duffy, Neasa Hourigan and Stephen Matthews."
16-Aug-21,OIR-FOI-2021-0089,Other,I request end of year statements of PSA payments made to TDs and Senators for 2019 and 2020.
25-Aug-21,OIR-FOI-2021-0088,Journalist," copies of all records held referring or relating to an advisory that issued from the Oireachtas to TDs and Senators with regard to the use of edited Oireachtas footage for publicity, social media, etc."
20-Aug-21,OIR-FOI-2021-0087,Other,"As Clarified 20/08 - the distance declared by the Member for the purposes of payment of the TAA - to establish what each named member has declared as distance of the ""shortest practicable route"", (1) Records created on or after 8 February 2020 and 20 August 2021, relating to the distance between TD and Senator homes and Leinster House, or in the alternative, a listing by name of each of the 160 TDs and 60 Senators and the distance from Leinster House claimed by the individual, for the purposes of claiming the Oireachtas travel allowance. "
19-Aug-21,OIR-FOI-2021-0086,Journalist,"The total amount of money spent on alcohol in both Oireachtas bars between March 16 2020, to July 26 2021, broken down by month and type of alcohol. Records for the 10 days which saw the highest alcohol sales in the Oireachtas members' bar and separately, the Oireachtas visitors' bar, between March 16 2020, to July 26 2021."
19-Aug-21,OIR-FOI-2021-0085,Journalist,Any correspondence between the Ceann Comhairle/office of the ceann comhairle and third parties in the last 5 months on the subject of the use of video from the oireachtas/dail proceedings. Any internal memos created by his office or the OPLA on the use of such video.
19-Aug-21,OIR-FOI-2021-0084,Journalist,"Under the FOI Act 2014, can I request all correspondence between staff and the Ceann Comhairle regarding the email sent to all TDs on 17/8/2021 informing them about the use of Oireachtas TV clips and their use in party political videos. I also request any and all correspondence from TDs to the Ceann Comhairle regarding the email and its contents."
18-Aug-21,OIR-FOI-2021-0083,Other,"All records related to the agricultural knowledge and practical experience of Ms Maria Byrne to contest the Seanad bye-election on the Agricultural Panel in 2021, as is required by Article 18.7 of the Constitution of Ireland."
06-Aug-21,OIR-FOI-2021-0082,Journalist,As clarified: -limited to the Covid-19 Compliance team members and the relevant section heads- copies of any records held by the Houses of the Oireachtas Service referring or relating to failures to adhere to social distancing or other Covid-19 public health measures in the Leinster House complex and/or the Convention Centre. This request to cover the period 24 November 2020 to the date of receipt of the request.
04-Aug-21,OIR-FOI-2021-0081,Journalist,"- access to a copy of ""…""'s report into the attendance verification system. - access to a copy of the submission by the Department of Public Expenditure and Reform on the proposed reform of the system."
03-Aug-21,OIR-FOI-2021-0080,Journalist,- all correspondence with the OPW during 2020 and 2021 in relation to the Percent for Art scheme and Leinster House.
03-Aug-21,OIR-FOI-2021-0079,Journalist,"a copy of the most up to date guidelines for Members as per the image below. i would like a copy of the guidelines with changes tracked compared to the previous version. If not possible, i would like a copy of the new version"
30-Jul-21,OIR-FOI-2021-0078,Journalist,A copy of the internal audit on termination payments to former members.
29-Jul-21,OIR-FOI-2021-0077,Journalist,"Under the FOI Act 2014, I am seeking a copy of the following record (ref Commission meeting 31 May): (ii) Recommendation on the Hosting of Interparliamentary Meetings by the Houses The Commission approved the recommendation from the Finance Committee that the Houses host a programme of interparliamentary meetings and conferences over the period 2022-2024 with an estimated overall funding of €1.2 million."
27-Jul-21,OIR-FOI-2021-0076,Other,"Could you please detail how much it cost for the Oirechtasto use the Convention Centre for the period of June 1 2020 until July 15 2021? Can you also provide a breakdown of all costs over that period, for example, how much it cost to use the Centre, how much was spent on fitting costs, the cost of broadcasting operations etc."
16-Jul-21,OIR-FOI-2021-0074,Other,"1. The minutes of all the meetings held by the Joint Committee on Education, Further and Higher Education, Research, Innovation and Science from June 2020 to date (July 2021). 2. The minutes of all private meetings held by the Joint Committee on Education, Further and Higher Education, Research, Innovation and Science from June 2020 to date (July 2021)."
07-Jul-21,OIR-FOI-2021-0073,Other,"All correspondence between Mr. Ted McEnery (while serving as Secretary/Committee Clerk)/Public Accounts Committee, his successors and Department of Education up to and including Mr. Sean O' Foghlu ( Secretary General) between the following dates - 1st January 2015 to the 30th of June 2016 inclusive to include all records of any meetings, including but not limited to letters, electronic emails, briefing documents, drafts, briefing documents, memorandums, meeting notes and any other associated records regarding any issues raised by Directors and former Directors(2015/16) of NPCPrimary/NPC Post Primary."
03-Jul-21,OIR-FOI-2021-0071,Journalist,As clarified 05/07 -records of all reconciliation days requested by current TDs or Senators since the last election and any additional details provided i.e. reasons and whether they were granted or refused.Copies of any requests sought by current TDs or Senators since the last election as part of a request to change their TAA expense bands.
06-Jul-21,OIR-FOI-2021-0072,Journalist,"Copies of all correspondence (to include memos, emails, text messages, letters etc) to the Ceann Comhairle, Sean O' Fearghail, from members of the Oireachtas regarding the use of the Dublin Convention Centre and the return to Leinster House between January 2021 and the date of this request."
29-Jun-21,OIR-FOI-2021-0070,Journalist,- a copy of the credit card statements for all cards in use by the Oireachtas for the period November 2020 to the most recent statement available.
29-Jun-21,OIR-FOI-2021-0069,Journalist,- copies of the agendas/minutes of the Oireachtas Commission in the period Feb 2021 to date.  - copies of the agenda/minutes of the audit committee in the period Oct 2020 to date.
24-Jun-21,OIR-FOI-2021-0068,Journalist,"Copies of all correspondence sent between the Houses of the Oireachtas Service and the Finance Director of the Convention Centre Dublin ""…"" on the matter of using the CCD for Oireachtas proceedings since March 2020."
24-Jun-21,OIR-FOI-2021-0067,Journalist,"Copies of all correspondence sent between the Houses of the Oireachtas Service and the Chief Executive of the Convention Centre Dublin ""…"" on the matter of using the CCD for Oireachtas proceedings since March 2020."
24-Jun-21,OIR-FOI-2021-0065,Journalist,Copies of all correspondence between the Oireachtas Commission and sitting TDs and Senators in relation to the use of the Convention Centre Dublin (CCD) for Oireachtas business since January 1 this year.
24-Jun-21,OIR-FOI-2021-0066,Journalist,"Copies of all correspondence sent between the Houses of the Oireachtas Service and the Company Secretary of the Convention Centre Dublin ""…"" on the matter of using the CCD for Oireachtas proceeding since March 2020."
23-Jun-21,OIR-FOI-2021-0064,Journalist,"A breakdown of the full costs associated with conducting Oireachtas proceedings in the Convention Centre Dublin (CCD) since March 2020 to the current date. In particular, I would like the costs associated with each of the following categories. 1. Rent on the premises per day and total amount paid to date.  2. The cost of audio-visual equipment for the broadcasting of proceedings from the conference centre. 3. The cost of broadcasting proceedings per day and the total amount to date. 4. The costs of audio-visual equipment used by TDs in the centre such as microphones, projector screens etc. 5. The cost of any miscellaneous items such as additional tables, chairs, plexiglass barriers, signage etc. to date. 6. The total cost of cleaning supplies and equipment for use in the CCD. 7. Copies of any invoices for cleaning services in the CCD paid for by the Oireachtas."
24-Jun-21,OIR-FOI-2021-0063,Journalist,Transcripts/copies of complaints sent to the Oireachtas Customer Service Unit between 1 January 2021 to present.
23-Jun-21,OIR-FOI-2021-0062,Journalist,A record of the names of all websites blocked on the oireachtas wifi. Any recorded breakdown of the most popular websites that people have tried to visit while on the Oir campus using the wifi in the last 3 years.
15-Jun-21,OIR-FOI-2021-0060,Journalist,"All payments for legal services made to ""…"" (Barrister) for the period 1 November 2013 to 8 June 2021."
01-Jun-21,OIR-FOI-2021-0058,Other,I wish for any records about the 'outcome' of the Rehab Group's appearance at PAC.
29-May-21,OIR-FOI-2021-0057,Journalist,"As clarified - for Facilities, Ceann Comhairle's Office and Seanad Office- copies of any correspondence received by the Oireachtas from members or staff seeking a return of all business to Leinster House.- copies of any reports, submissions, memos, or other such review/discussion documents relating to the possibility of returning all business to the Leinster House complex. Both parts of this request to cover the period 1 Feb 2021 to date of receipt of the request."
29-May-21,OIR-FOI-2021-0056,Journalist,1.The overall cost to date related to using the Dublin Convention Centre for sittings of the Dail and the Seanad and the number of sitting days 2. A breakdown of what the spending has been on.
28-May-21,OIR-FOI-2021-0055,Journalist,"- copies of any correspondence received from members, members' staff, or Oireachtas staff relating to pest activity e.g. rodents, birds, insects, other animals during the period 1 June 2020 to date of receipt of the request."
28-May-21,OIR-FOI-2021-0054,Journalist,1. The cost of using the convention centre since it started to be used to present. 2. Any correspondence received by the ceann comhairle from members of the public in relation to the cost of using the centre from January to present.
26-May-21,OIR-FOI-2021-0053,Journalist,Costs associated with the use of the convention centre for Dail business from June 1st 2020 to date. Initial fit out costs associated with the same.
25-May-21,OIR-FOI-2021-0052,Other,"Referring to the Oireachtas Committee on Children, Disability, Equality and Integration for the time frame January 2018-January 2021. Under the freedom of information act I formally request a copy of the records of what stakeholder groups, advocacy groups, organisations, charities and companies made submissions to the Oireachtas in relation to the provision of gender neutral facilities in Irish schools. Under the freedom of information act I formally request a list of the correspondences between the the Oireachtas and stakeholder groups, advocacy groups, organisations, charities and companies in relation to the provision of gender neutral facilities in Irish schools. 3. If the scope of this FOI is too wide I formally request a copy of the submissions and correspondence between TENI Contact and TENI and the Oireachtas in relation to the provision of gender neutral toilets in Irish schools."
24-May-21,OIR-FOI-2021-0051,Journalist,"(a) The number of sexual misconduct complaints made against members of the Oireachtas, broken down by year, between the years of 2010 to 2020. (b) The number of sexual misconduct complaints made against members of the Oireachtas which were upheld, broken down by year, between the years of 2010 to 2020."
11-May-21,OIR-FOI-2021-0050,Journalist,Internal reports on the effectiveness and efficiency of the PBO. Any stakeholder feedback collected as part of this review. The external report that was subsequently done by the former US congress professionals. Any future strategy documents created as a result of the above reports on the effectivneess of the office. 
05-May-21,OIR-FOI-2021-0049,Other,"All legal submissions provided by experts for the Oireachtas Joint Committee on Children, Disability, Equality, and Integration for the sitting of the Committee on 14 April 2021 (specifically, the 'Pre-Legislative scrutiny of the General Scheme of a Certain Institutional Burials (Authorised Interventions) Bill') "
06-May-21,OIR-FOI-2021-0048,Journalist,"Records of how often the Oireachtas gym was used last year (2020), ie the number of visits that were made in total, and a breakdown of the visits for each month of the year. Also, please supply details of how many of those visits were made by TDs or Senators. Could you also give details of maintenance and staff costs that were made in 2020 in relation to the gym, and, if possible, to who. Also, what are the opening hours of the gym and staff numbers? And what equipment/facilities does the gym have? Were there any particular classes offered in the gym last year, eg yoga or circuit training? Were any new facilities added last year, or any renovations made, or any new classes added? If so, what were the costs of these."
05-May-21,OIR-FOI-2021-0046,Journalist,"Waterford TDs and Senators in 2020 since the Feb election: Marc O Cathasaigh, David Cullinane, Mary Butler, Matt Shanahan and John Cummins.  1) Copies of all expense claims for the above members but for the time frame Jan 2021- present.  2) Copies of complaints made to the Oireachtas by the above members about any other member, from Jan 2021- present."
06-May-21,OIR-FOI-2021-0044,Journalist,"As clarified - Any formal internal policy review papers completed between March 1st 2021 - present held by the Oireachtas for 1) Finance Unit,  2) Communications Unit, 3) Seanad Office 4) Bills Office,"
05-May-21,OIR-FOI-2021-0043,Journalist,"As clarified - records of any complaints made by members of the public or staff regarding the following Waterford TDs and Senators, in the last 12 months: David Cullinane, Mary Butler, Marc O Cathasaigh, Matt Shanahan, John Cummins about what they may have said in the Dail or Seanad Chambers"
05-May-21,OIR-FOI-2021-0042,Journalist,"1) Copies of complaints made by members of the public concerning statements made by members in the Oireachtas, Jan 2021 - present.  2) Copies of complaints made by members of the public or staff about Covid compliance in the Leinsteir House complex, Jan 2021-present.  3) Copies of complaints made by members of the public or staff about the use of mobile phones in the Dail chamber, Jan 2021 - present."
30-Apr-21,OIR-FOI-2021-0041,Journalist,A copy of all audits completed by the internal audit division so far in 2021.
30-Apr-21,OIR-FOI-2021-0040,Journalist,"1) How much was spent by Waterford TDs David Cullinane, Marc O'Cathasaigh, Matt Shanahan and Mary Butler, and senator John Cummins, through the special secretarial allowance, for the period of 2020 *from the election (as clarified).  2) A breakdown of how the above was spent - i.e. what it was spent on, how much, and by whom.  3) How much was spent by Waterford TDs David Cullinane, Marc O'Cathasaigh, Matt Shanahan and Mary Butler, and senator John Cummins, through the special secretarial allowance, for the period Jan 1st 2021-present, and a breakdown of this as well."
