title,id,creation,activity,status
IDLE : Display function argument list in ClassBrowser,20827,2014-03-02.15:05:24,2022-04-11.14:57:59,1
asyncio docs should call out that network logging is a no-no,20847,2014-03-03.20:12:20,2022-04-11.14:57:59,1
"pdb ""args"" crashes when an arg is not printable",20853,2014-03-05.10:45:57,2022-04-11.14:57:59,1
"ipaddress ""is_private"" and ""is_global"" are insufficiently documented and is_global probably has a bug",20857,2014-03-06.16:20:35,2022-04-11.14:57:59,1
Context of documentation for conditional expressions,20859,2014-03-06.18:48:00,2022-04-11.14:57:59,1
ipaddress network subnets() method should return object with __getitem__,20860,2014-03-06.18:53:27,2022-04-11.14:57:59,1
Disabling logging to ~/.python_history is not simple enough,20886,2014-03-10.20:30:35,2022-04-11.14:57:59,1
behavioral differences between shutil.unpack_archive and ZipFile.extractall,20907,2014-03-13.09:46:05,2022-04-11.14:57:59,1
ssl.enum_certificates() will not return all certificates trusted by Windows,20916,2014-03-13.19:48:21,2022-04-11.14:57:59,1
Idle: Enhance font change notification system,20917,2014-03-13.20:04:57,2022-04-11.14:57:59,1
Undefined behavior flagged by Clang 3.4 (Python 3.5 from hg),20932,2014-03-15.02:37:32,2022-04-11.14:58:00,1
-Wformat=2 -Wformat-security findings,20948,2014-03-16.17:41:35,2022-04-11.14:58:00,1
Missing platform security integrations,20949,2014-03-16.19:37:03,2022-04-11.14:58:00,1
[doc] contradictory documentation for prog option of argparse,20970,2014-03-18.16:42:49,2022-04-11.14:58:00,1
Calling getdents()/readdir64() repeatedly while closing descriptors provides unexpected behaviour.,20979,2014-03-19.14:53:46,2022-04-11.14:58:00,1
PyArg_ParseTupleAndKeywords doesn't take const char *keywords[],21011,2014-03-21.16:45:16,2022-04-11.14:58:00,1
"if check_hostname is true, context can't be used for server purposes",21025,2014-03-22.11:35:11,2022-04-11.14:58:00,1
previous trace function still invoked after sys.settrace(),21033,2014-03-23.08:36:13,2022-04-11.14:58:00,1
ctypes.util.find_library() should return full pathname instead of filename in linux,21042,2014-03-23.22:47:15,2022-04-11.14:58:00,1
Improve indexing of syntax symbols,21054,2014-03-24.23:26:18,2022-04-11.14:58:00,1
test_xmlrpc waits forever instead of reporting failure,21070,2014-03-26.17:36:51,2022-04-11.14:58:00,1
Turtle Circle Speed 0,21077,2014-03-27.16:16:30,2022-04-11.14:58:00,1
"multiprocessing.managers.BaseManager.__init__'s ""serializer"" argument is not documented",21078,2014-03-27.16:49:51,2022-04-11.14:58:00,1
missing vietnamese codec TCVN 5712:1993 in Python,21081,2014-03-28.01:38:41,2022-04-11.14:58:00,1
File read silently stops after EIO I/O error,21090,2014-03-28.22:29:46,2022-04-11.14:58:00,1
EmailMessage should support Header objects,21095,2014-03-29.03:33:26,2022-04-11.14:58:00,1
Encoding str to IDNA with ellipsis decomposes to empty labels,21103,2014-03-30.17:57:53,2022-04-11.14:58:01,1
tarfile: Traversal attack vulnerability,21109,2014-03-31.08:14:19,2022-04-11.14:58:01,1
Return results from doctest.run_docstring_examples(),21126,2014-04-01.18:12:24,2022-04-11.14:58:01,1
equivalent functools.partial instances should compare equal,21130,2014-04-02.07:57:52,2022-04-11.14:58:01,1
Idle: saving Shell or an OutputWindow should default to .txt,21140,2014-04-03.02:47:39,2022-04-11.14:58:01,1
Daily/weekly ABI scan?,21142,2014-04-03.08:50:16,2022-04-11.14:58:01,1
Add quick links table to argparse docs,21150,2014-04-03.20:47:15,2022-04-11.14:58:01,1
Idle: timed autosave for shell (and maybe editor) window,21152,2014-04-04.08:13:06,2022-04-11.14:58:01,1
doctest cause warnings in tests using generators,21178,2014-04-08.10:49:06,2022-04-11.14:58:01,1
Doctest capture only AssertionError but not printed text,21183,2014-04-09.02:13:50,2022-04-11.14:58:01,1
Enhance obmalloc allocation strategy,21220,2014-04-14.18:23:06,2022-04-11.14:58:01,1
"BaseHTTPRequestHandler, update the protocol version to http 1.1 by default?",21224,2014-04-14.20:43:52,2022-04-11.14:58:01,1
Auto-generate exceptions.c from a Python file,21243,2014-04-15.18:12:29,2022-04-11.14:58:01,1
removing pythonXY.zip from sys.path results in additional test failures,21249,2014-04-15.22:16:21,2022-04-11.14:58:01,1
unittest assertSequenceEqual can lead to Difflib.compare() crashing on mostly different sequences,21253,2014-04-16.15:54:46,2022-04-11.14:58:01,1
doc: PropertyMock refuses to raise AttributeErrror as a side effect,21254,2014-04-16.16:15:17,2022-04-11.14:58:01,1
Attaching a PropertyMock records calls,21255,2014-04-16.16:19:15,2022-04-11.14:58:01,1
Teach IDLE to Autocomplete dictionary keys,21261,2014-04-16.18:21:12,2022-04-11.14:58:02,1
"ConfigParser allows ""get(*, raw=True), but no corresponding ""set(*, raw=True)""",21265,2014-04-16.19:00:24,2022-04-11.14:58:02,1
DEBUGGING: Simultaneous stopping of all threads on breakpoint and switching between threads,21281,2014-04-17.08:52:07,2022-04-11.14:58:02,1
Better support for AF_PACKET on opensolaris (illumos),21287,2014-04-17.18:39:07,2022-04-11.14:58:02,1
hashlib.pbkdf2_hmac Hash Constructor,21288,2014-04-17.18:44:52,2022-04-11.14:58:02,1
C API in debug fails,21292,2014-04-17.21:51:18,2022-04-11.14:58:02,1
smtplib Sends Commands in Lower-Case,21296,2014-04-18.11:03:16,2022-04-11.14:58:02,1
"csv.skipinitialspace only skips spaces, not ""whitespace"" in general",21297,2014-04-18.11:52:21,2022-04-11.14:58:02,1
"Confusing ""see also"" for generic C-level __init__ methods in help output",21309,2014-04-19.02:17:05,2022-04-11.14:58:02,1
configparser can't parse MySQL style config,21329,2014-04-22.15:27:33,2022-04-11.14:58:02,1
Reversing an encoding with unicode-escape returns a different result,21331,2014-04-22.20:58:23,2022-04-11.14:58:02,1
improve documentation indexing,21352,2014-04-25.20:27:40,2022-04-11.14:58:02,1
Augmented assignment doc: clarify 'only evaluated once',21358,2014-04-26.20:38:59,2022-04-11.14:58:02,1
mailbox.Maildir should ignore files named with a leading dot,21360,2014-04-26.22:06:43,2022-04-11.14:58:02,1
urllib.request.urlopen dies on non-basic/digest auth schemes,21413,2014-05-01.23:03:33,2022-04-11.14:58:03,1
NNTPLib connections become corrupt after long periods of activity,21468,2014-05-10.16:23:18,2022-04-11.14:58:03,1
subprocess line-buffering only works in universal newlines mode,21471,2014-05-11.11:25:06,2022-04-11.14:58:03,1
Fix wsgiref handling of absolute HTTP Request-URI,21472,2014-05-11.11:31:53,2022-04-11.14:58:03,1
Idle: test startup scripts.,21473,2014-05-12.00:32:12,2022-04-11.14:58:03,1
"email.header.decode_header sometimes returns bytes, sometimes str",21492,2014-05-13.09:08:05,2022-04-11.14:58:03,1
configparser accepts keys beginning with comment_chars when writing,21498,2014-05-13.14:47:29,2022-04-11.14:58:03,1
freeze.py not working properly with OS X framework builds,21502,2014-05-14.00:11:32,2022-04-11.14:58:03,1
[Windows] installations should include pythonX.exe and pythonX.Y.exe executables,21506,2014-05-14.11:36:10,2022-04-11.14:58:03,1
C API PyArg_ParseTuple doc is innacurate,21508,2014-05-14.14:33:43,2022-04-11.14:58:03,1
fma documentation should provide better example.,21510,2014-05-15.05:19:05,2022-04-11.14:58:03,1
Expose RegUnLoadKey in winreg,21518,2014-05-17.17:12:40,2022-04-11.14:58:03,1
Tkinter + OSX + Spaces : Multiple file dialogues created,21521,2014-05-18.08:55:40,2022-04-11.14:58:03,1
try to use hashtable in pickle,21556,2014-05-22.20:55:07,2022-04-11.14:58:03,1
[doc] os.popen & os.system lack shell-related security warnings,21557,2014-05-22.21:33:48,2022-04-11.14:58:03,1
"Python build should check CPATH, C_INCLUDE_PATH for module dependencies",21571,2014-05-24.21:29:37,2022-04-11.14:58:03,1
Clean up turtle.py code formatting,21573,2014-05-25.01:48:23,2022-04-11.14:58:04,1
Help for ImportError should show a more useful signature.,21577,2014-05-26.04:27:28,2022-04-11.14:58:04,1
Run Tkinter tests with wantobjects=False,21585,2014-05-26.20:53:59,2022-04-11.14:58:04,1
Idle: make editor title bar user configurable,21588,2014-05-27.05:09:14,2022-04-11.14:58:04,1
Make statistics.median run in linear time,21592,2014-05-28.12:11:37,2022-04-11.14:58:04,1
IDLE: Document SaveAs extension display on Mac,21603,2014-05-29.07:41:12,2022-04-11.14:58:04,1
Installer for mac doesn't store the installation location,21613,2014-05-30.14:57:00,2022-04-11.14:58:04,1
importlib reload can fail with AttributeError if module removed from sys.path,21617,2014-05-31.01:56:36,2022-04-11.14:58:04,1
ctypes.util incorrectly fails for libraries without DT_SONAME,21622,2014-06-01.03:28:22,2022-04-11.14:58:04,1
Idle: Improve htests,21624,2014-06-01.04:41:10,2022-04-11.14:58:04,1
Make help() beginner helpful when no PAGER or LESS variable,21625,2014-06-01.12:04:38,2022-04-11.14:58:04,1
"Idle unittests: make gui, mock switching easier.",21647,2014-06-03.05:58:40,2022-04-11.14:58:04,1
urllib urlopener leaves open sockets for FTP connection,21648,2014-06-03.09:03:17,2022-04-11.14:58:04,1
"Substitute @TOKENS@ from sysconfig variables, for python-config and python.pc",21660,2014-06-04.12:51:32,2022-04-11.14:58:04,1
Argparse exceptions should include which argument has a problem,21666,2014-06-05.04:25:08,2022-04-11.14:58:04,1
Idle: hilite search terms in hits in Find in Files output window,21673,2014-06-05.20:09:58,2022-04-11.14:58:04,1
Idle: Add 'find all' in current file,21674,2014-06-05.20:40:32,2022-04-11.14:58:04,1
Idle: test configuration files,21696,2014-06-08.20:11:35,2022-04-11.14:58:04,1
socket.sendfile() should use TransmitFile on Windows,21721,2014-06-11.13:59:08,2022-04-11.14:58:04,1
resetwarnings doesn't reset warnings registry,21724,2014-06-11.16:11:44,2022-04-11.14:58:04,1
Add __file__ attribute to frozen modules,21736,2014-06-12.16:14:48,2022-04-11.14:58:04,1
runpy.run_path() fails with frozen __main__ modules,21737,2014-06-12.16:24:20,2022-04-11.14:58:04,1
Windows cmd.exe character escaping function,21753,2014-06-13.19:10:48,2022-04-11.14:58:04,1
IDLE - ParenMatch fails to find closing paren of multi-line statements,21756,2014-06-14.09:48:15,2022-04-11.14:58:04,1
inspect documentation describes module type inaccurately,21760,2014-06-14.19:58:13,2022-04-11.14:58:04,1
[doc] language reference describes the role of module.__file__ inaccurately,21761,2014-06-14.20:33:24,2022-04-11.14:58:04,1
update the import machinery to only use __spec__,21762,2014-06-14.21:33:51,2022-04-11.14:58:04,1
Clarify requirements for file-like objects,21763,2014-06-14.22:16:50,2022-04-11.14:58:04,1
Idle: make 3.x  Hyperparser.get_expression recognize ...,21787,2014-06-17.06:58:02,2022-04-11.14:58:05,1
unittest: unhelpful truncating of long strings.,21820,2014-06-21.10:34:46,2022-04-11.14:58:05,1
io class name are hardcoded in reprs,21861,2014-06-24.17:36:58,2022-04-11.14:58:05,1
"Clean up quopri, correct method names encodestring and decodestring",21869,2014-06-25.08:51:10,2022-04-11.14:58:05,1
"os.rename(src,dst) does nothing when src and dst files are hard-linked",21876,2014-06-27.17:54:35,2022-04-11.14:58:05,1
wsgi.simple_server's wsgi.input read/readline waits forever in certain circumstances,21878,2014-06-28.06:35:01,2022-04-11.14:58:05,1
IDLE: Ability to run 3rd party code checkers,21880,2014-06-29.18:27:27,2022-04-11.14:58:05,1
shutil.copytree hangs (on copying root directory of a lxc container) (should succeed or raise exception nested),21885,2014-06-30.14:05:12,2022-04-11.14:58:05,1
wsgiref.simple_server sends headers on empty bytes,21890,2014-07-01.03:15:10,2022-04-11.14:58:05,1
signal.pause() and signal handlers don't react to SIGCHLD in non-main thread,21895,2014-07-01.10:01:35,2022-04-11.14:58:05,1
Create unit tests for Turtle guionly,21914,2014-07-04.02:47:17,2022-04-11.14:58:05,1
[doc] telnetlib.Telnet constructor does not match telnetlib.Telnet.__init__ docstring,21915,2014-07-04.03:02:55,2022-04-11.14:58:05,1
Changing cls.__bases__ must ensure proper metaclass inheritance,21919,2014-07-04.20:45:25,2022-04-11.14:58:05,1
IDLE interactive window doesn't display unsaved-indicator,21937,2014-07-08.04:42:03,2022-04-11.14:58:05,1
Allow copying of CodecInfo objects,21944,2014-07-09.11:52:09,2022-04-11.14:58:05,1
WindowsPath constructor does not check for invalid characters,21969,2014-07-13.01:20:03,2022-04-11.14:58:05,1
Broken code for handling file://host in urllib.request.FileHandler.file_open,21970,2014-07-13.01:49:21,2022-04-11.14:58:05,1
"IDLE: catch user cfg file error, better error message, continue",21973,2014-07-13.12:01:45,2022-04-11.14:58:05,1
Idle: review 'missing' attributes of pseudofiles,21995,2014-07-16.22:47:30,2022-04-11.14:58:06,1
Pdb.set_trace debugging does not end correctly,21997,2014-07-17.15:52:11,2022-04-11.14:58:06,1
cross type comparisons clarification,22000,2014-07-17.18:38:32,2022-04-11.14:58:06,1
Idle: better management of Shell window output,22010,2014-07-19.01:16:49,2022-04-11.14:58:06,1
"struct.unpack('?', '\x02') returns (False,) on Mac OSX",22012,2014-07-19.18:30:27,2022-04-11.14:58:06,1
Improve display of OS exception <-> errno mapping,22014,2014-07-20.07:00:24,2022-04-11.14:58:06,1
shutil.make_archive()  root_dir do not work,22021,2014-07-21.09:50:13,2022-04-11.14:58:06,1
Add to shutil the ability to wait until files are definitely deleted,22024,2014-07-21.20:00:08,2022-04-11.14:58:06,1
webbrowser.get(command_line) does not support Windows-style path separators,22025,2014-07-21.20:16:02,2022-04-11.14:58:06,1
argparse - CSS white-space: like control for individual text blocks,22029,2014-07-22.04:46:53,2022-04-11.14:58:06,1
Fatal error in dbm.gdbm,22035,2014-07-22.10:20:40,2022-04-11.14:58:06,1
Implement atomic operations on non-x86 platforms,22038,2014-07-22.17:24:12,2022-04-11.14:58:06,1
Use the _functools module to speed up functools.total_ordering,22070,2014-07-25.16:46:19,2022-04-11.14:58:06,1
Ensure in PyType_Ready() that base class of static type is static,22079,2014-07-26.12:36:39,2022-04-11.14:58:06,1
Add windows_helper module helper,22080,2014-07-26.12:39:33,2022-04-11.14:58:06,1
IDLE: Refactor breakpoint related methods,22083,2014-07-26.15:06:23,2022-04-11.14:58:06,1
asyncio: support multiprocessing (support fork),22087,2014-07-26.18:01:10,2022-04-11.14:58:06,1
Compiling python on OS X gives warning about compact unwind,22093,2014-07-28.04:35:02,2022-04-11.14:58:06,1
Use $HOSTPYTHON when determining candidate interpreter for $PYTHON_FOR_BUILD.,22100,2014-07-29.15:34:01,2022-04-11.14:58:06,1
tempfile module misinterprets access denied error on Windows,22107,2014-07-30.12:40:41,2022-04-11.14:58:06,1
Start IDLE from icon in a better place.,22121,2014-08-02.07:53:51,2022-04-11.14:58:06,1
IDLE: Set correct WM_CLASS on X11,22133,2014-08-04.14:30:22,2022-04-11.14:58:06,1
allow to break into pdb with Ctrl-C for all the commands that resume execution,22135,2014-08-04.20:44:21,2022-04-11.14:58:06,1
Test imaplib API on all methods specified in RFC 3501,22137,2014-08-05.00:17:13,2022-04-11.14:58:06,1
rlcompleter.Completer matches too much,22141,2014-08-05.15:59:59,2022-04-11.14:58:06,1
PosixPath() constructor should not accept strings with embedded NUL bytes,22147,2014-08-05.19:44:08,2022-04-11.14:58:06,1
the frame of a suspended generator should not have a local trace function,22149,2014-08-05.20:39:23,2022-04-11.14:58:06,1
cell object cleared too early?,22164,2014-08-07.14:32:39,2022-04-11.14:58:06,1
iglob() has misleading documentation (does indeed store names internally),22167,2014-08-08.01:09:01,2022-04-11.14:58:06,1
stack smash when using ctypes/libffi to access union,22171,2014-08-08.04:53:59,2022-04-11.14:58:06,1
Make it easy to replace print() calls with logging calls,22195,2014-08-14.15:18:00,2022-04-11.14:58:06,1
Allow better verbosity / output control in test cases,22197,2014-08-14.15:39:01,2022-04-11.14:58:06,1
tarfile can't add in memory files (reopened),22208,2014-08-15.23:29:17,2022-04-11.14:58:07,1
Make pyvenv style virtual environments easier to configure when embedding Python,22213,2014-08-17.11:42:41,2022-04-11.14:58:07,1
Tkinter: Don't stringify callback arguments,22214,2014-08-17.14:24:09,2022-04-11.14:58:07,1
argparse not including '--' arguments in previous optional REMAINDER argument,22223,2014-08-18.09:46:02,2022-04-11.14:58:07,1
Adapt bash readline operate-and-get-next function,22228,2014-08-19.09:42:08,2022-04-11.14:58:07,1
wsgiref doesn't appear to ever set REMOTE_HOST in the environ,22229,2014-08-19.17:34:05,2022-04-11.14:58:07,1
str.splitlines splitting on non-\r\n characters,22232,2014-08-20.10:01:51,2022-04-11.14:58:07,1
urllib.parse.urlparse accepts any falsy value as an url,22234,2014-08-20.12:39:51,2022-04-11.14:58:07,1
"argparse support for ""python -m module"" in help",22240,2014-08-20.19:59:11,2022-04-11.14:58:07,1
"add strptime(s, '%s')",22246,2014-08-21.23:48:56,2022-04-11.14:58:07,1
ConfigParser does not handle files without sections,22253,2014-08-22.18:22:48,2022-04-11.14:58:07,1
Add a resource for CLI tests,22263,2014-08-24.06:47:43,2022-04-11.14:58:07,1
pathlib glob ignores trailing slash in pattern,22276,2014-08-26.11:37:22,2022-04-11.14:58:07,1
webbrowser.py add parameters to suppress output on stdout and stderr,22277,2014-08-26.13:06:36,2022-04-11.14:58:07,1
read() vs read1() in asyncio.StreamReader documentation,22279,2014-08-26.18:36:38,2022-04-11.14:58:07,1
ProcessPoolExecutor/ThreadPoolExecutor should provide introspection APIs,22281,2014-08-27.01:56:42,2022-04-11.14:58:07,1
resolve() on Windows makes some pathological paths unusable,22299,2014-08-29.13:17:08,2022-04-11.14:58:07,1
Windows os.path.isabs UNC path bug,22302,2014-08-29.21:58:22,2022-04-11.14:58:07,1
Write better test for SSLContext.load_verify_locations,22303,2014-08-29.22:24:14,2022-04-11.14:58:07,1
Report actual EOF character instead of assuming Ctrl-D,22310,2014-08-30.23:31:56,2022-04-11.14:58:07,1
Make PYLONG_BITS_IN_DIGIT always available to non-core extensions,22313,2014-08-31.10:22:00,2022-04-11.14:58:07,1
mailbox.MH chokes on directories without .mh_sequences,22319,2014-09-01.00:44:46,2022-04-11.14:58:07,1
Reorganize unittest.mock docs into linear manner,22344,2014-09-05.21:02:07,2022-04-11.14:58:07,1
"mimetypes.guess_type(""//example.com"") misinterprets host name as file name",22347,2014-09-06.02:52:37,2022-04-11.14:58:07,1
nntplib file write failure causes exception from QUIT command,22350,2014-09-07.03:40:18,2022-04-11.14:58:07,1
Idle: highlite tabs,22354,2014-09-07.13:17:02,2022-04-11.14:58:07,1
inconsistent results with inspect.getsource / .getsourcelines,22355,2014-09-07.14:45:41,2022-04-11.14:58:07,1
Ability to join() threads in concurrent.futures.ThreadPoolExecutor,22361,2014-09-08.10:29:45,2022-04-11.14:58:07,1
SSLContext.load_verify_locations(cadata) does not accept CRLs,22365,2014-09-08.14:54:46,2022-04-11.14:58:07,1
Add open_file_descriptor parameter to fcntl.lockf() (use the new F_OFD_SETLK flag),22367,2014-09-08.20:18:49,2022-04-11.14:58:07,1
tests failing with -uall and http_proxy and https_proxy set,22371,2014-09-09.18:00:20,2022-04-11.14:58:07,1
%Z in strptime doesn't match EST and others,22377,2014-09-09.22:24:15,2022-04-11.14:58:07,1
Making tempfile.NamedTemporaryFile a class,22387,2014-09-11.08:15:45,2022-04-11.14:58:07,1
multiprocessing.Pool shouldn't hang forever if a worker process dies unexpectedly,22393,2014-09-11.22:33:06,2022-04-11.14:58:07,1
argparse: 'resolve' conflict handler damages the actions of the parent parser,22401,2014-09-14.05:46:38,2022-04-11.14:58:08,1
ipaddress.py new IPv6 Method for Solicited Multicast Address,22418,2014-09-15.13:36:07,2022-04-11.14:58:08,1
strptime accepts the wrong '2010-06-01 MSK' string but rejects the right '2010-06-01 MSD',22426,2014-09-16.21:59:06,2022-04-11.14:58:08,1
Change format of test runner output,22431,2014-09-17.13:44:38,2022-04-11.14:58:08,1
Argparse considers unknown optional arguments with spaces as a known positional argument,22433,2014-09-17.15:57:56,2022-04-11.14:58:08,1
Not all attributes of the console for a subprocess with creationflags=0 are inherited,22441,2014-09-19.12:27:06,2022-04-11.14:58:08,1
addTypeEqualityFunc is not used in assertListEqual,22452,2014-09-21.11:12:08,2022-04-11.14:58:08,1
__base__ undocumented,22456,2014-09-21.22:54:27,2022-04-11.14:58:08,1
idle editor: replace all in selection,22460,2014-09-22.10:28:55,2022-04-11.14:58:08,1
Support Unicode line boundaries in regular expression,22491,2014-09-25.06:56:27,2022-04-11.14:58:08,1
[SSL: BAD_WRITE_RETRY] bad write retry in _ssl.c:1636,22499,2014-09-26.01:24:30,2022-04-11.14:58:08,1
headerregistry.Address introduces extra quotes without addr_spec parameter,22535,2014-10-01.21:25:24,2022-04-11.14:58:08,1
-W option cannot use non-standard categories,22543,2014-10-02.21:32:00,2022-04-11.14:58:08,1
Automate update of doc references to UCD version when it changes.,22593,2014-10-10.01:11:38,2022-04-11.14:58:08,1
Add mUTF-7 codec (UTF-7 modified for IMAP),22598,2014-10-10.10:24:17,2022-04-11.14:58:08,1
test_socket fails with sem_init: Too many open files,22608,2014-10-11.11:23:01,2022-04-11.14:58:09,1
Add block info to unicodedata,22612,2014-10-11.17:58:45,2022-04-11.14:58:09,1
[doc] urllib.parse.parse_qsl different results after urllib.parse.unquote,22618,2014-10-12.13:56:21,2022-04-11.14:58:09,1
"Port Python to 3DS: micro kernel, homebrew, newlib (Missing guards for some POSIX functions)",22623,2014-10-13.12:44:03,2022-04-11.14:58:09,1
Idle: update htest.py and htests,22629,2014-10-14.03:33:50,2022-04-11.14:58:09,1
`concurrent.futures.Future.set_running_or_notify_cancel` does not notify cancel,22630,2014-10-14.09:05:54,2022-04-11.14:58:09,1
set up and use VM for net access in the test suite,22650,2014-10-15.22:27:08,2022-04-11.14:58:09,1
"Add suggestion about keyword arguments to this error message: ""builtins.TypeError: my_func() takes 1 positional argument but 2 were given""",22652,2014-10-16.10:33:37,2022-04-11.14:58:09,1
subprocess.Popen.communicate causing local tty terminal settings to change inconsistently,22662,2014-10-17.20:44:33,2022-04-11.14:58:09,1
document the special features (eg: fdclose=False) of the standard streams,22673,2014-10-19.19:00:58,2022-04-11.14:58:09,1
Add encodings of supported in glibc locales,22679,2014-10-20.16:49:37,2022-04-11.14:58:09,1
Add constants for ioctl request codes,22698,2014-10-22.15:12:03,2022-04-11.14:58:09,1
Module source files not found when cross-compiling,22699,2014-10-22.15:49:06,2022-04-11.14:58:09,1
email's header_value_parser missing defect report for 'abc@xyz.c:om',22700,2014-10-22.17:27:18,2022-04-11.14:58:09,1
Idle extension configuration: add option-help option,22705,2014-10-23.00:17:13,2022-04-11.14:58:09,1
Idle extension configuration and key bindings,22706,2014-10-23.00:17:33,2022-04-11.14:58:09,1
Idle: changed options should take effect immediately,22707,2014-10-23.00:18:13,2022-04-11.14:58:09,1
httplib/http.client in method _tunnel used HTTP/1.0 CONNECT method,22708,2014-10-23.06:21:23,2022-04-11.14:58:09,1
byte-compile fails for cross-builds,22724,2014-10-24.23:52:39,2022-04-11.14:58:09,1
concurrent.futures `wait` and `as_completed` depend on private api,22729,2014-10-25.20:41:39,2022-04-11.14:58:09,1
Provide a rejected execution model and implementations for futures.,22737,2014-10-27.02:38:59,2022-04-11.14:58:09,1
Specify supported XML version,22743,2014-10-27.17:02:22,2022-04-11.14:58:09,1
cgitb html: wrong encoding for utf-8,22746,2014-10-27.18:48:57,2022-04-11.14:58:09,1
urllib2 localnet Changed test to lookup IP-address of localhost,22753,2014-10-28.14:47:08,2022-04-11.14:58:09,1
contextlib.closing documentation should use a new example,22755,2014-10-28.22:40:52,2022-04-11.14:58:09,1
load_tests chaining into discover from non-discover entry point gets top_level_dir wrong,22763,2014-10-30.03:13:07,2022-04-11.14:58:09,1
Compress the marshalled data in PYC files,22789,2014-11-04.05:00:45,2022-04-11.14:58:09,1
some class attributes missing from dir(Class),22790,2014-11-04.08:44:04,2022-04-11.14:58:09,1
missing test for issue 22457 regression commit,22794,2014-11-04.15:03:57,2022-04-11.14:58:09,1
"tkinter:  ""alloc: invalid block:"" after askopenfilename",22810,2014-11-06.23:24:06,2022-04-11.14:58:09,1
No facility for test randomisation,22813,2014-11-07.10:05:59,2022-04-11.14:58:09,1
TestProgram loading fails when a script is used,22814,2014-11-07.10:17:40,2022-04-11.14:58:09,1
"The decode_header() function decodes raw part to bytes or str, depending on encoded part",22833,2014-11-10.02:42:40,2022-04-11.14:58:10,1
getpass returns garbage when typing tilde on Windows with deadkeys,22837,2014-11-10.11:12:29,2022-04-11.14:58:10,1
Subparser help does not respect SUPPRESS argument,22848,2014-11-11.17:51:37,2022-04-11.14:58:10,1
"urllib.parse wrongly strips empty #fragment, ?query, //netloc",22852,2014-11-12.10:23:30,2022-04-11.14:58:10,1
csv writer with blank lineterminator breaks quoting,22855,2014-11-12.17:05:03,2022-04-11.14:58:10,1
unittest.__init__:main shadows unittest.main,22858,2014-11-13.10:23:24,2022-04-11.14:58:10,1
unittest TestProgram hard to extend,22860,2014-11-13.10:29:51,2022-04-11.14:58:10,1
document behavior of calling atexit.register() while atexit._run_exitfuncs is running,22867,2014-11-13.20:52:37,2022-04-11.14:58:10,1
urlopen timeout failed with SSL socket,22870,2014-11-14.14:11:02,2022-04-11.14:58:10,1
ip_interface can't be broadcast or number net,22876,2014-11-14.23:04:39,2022-04-11.14:58:10,1
Document Linux packages you need to compile Python with all dependencies,22882,2014-11-16.13:07:50,2022-04-11.14:58:10,1
argparse.FileType.__call__ returns unwrapped sys.stdin and stdout,22884,2014-11-16.14:58:06,2022-04-11.14:58:10,1
TestProgram leaves defaultTestLoader.errors dirty,22886,2014-11-17.00:34:33,2022-04-11.14:58:10,1
IDLE: __future__ does not work in startup code.,22893,2014-11-17.22:02:57,2022-04-11.14:58:10,1
Misc/python-config.sh.in: ensure sed invocations only match beginning of strings,22907,2014-11-20.13:00:52,2022-04-11.14:58:10,1
IPv4Interface arithmetic changes subnet mask,22941,2014-11-25.16:41:57,2022-04-11.14:58:10,1
urllib gives incorrect url after open when using HTTPS,22946,2014-11-26.10:37:27,2022-04-11.14:58:10,1
Improved support for prepared SQL statements,22956,2014-11-27.13:38:39,2022-04-11.14:58:10,1
Lib/types.py nit: isinstance != PyType_IsSubtype,22968,2014-11-29.20:38:33,2022-04-11.14:58:10,1
Use CFLAGS when extracting multiarch,22981,2014-12-02.16:20:30,2022-04-11.14:58:10,1
Plistlib fails on certain valid plist values,22993,2014-12-04.06:34:34,2022-04-11.14:58:10,1
Order of _io objects finalization can lose data in reference cycles,22996,2014-12-04.13:50:26,2022-04-11.14:58:10,1
RuntimeError: settrace/setprofile function gets lost,23012,2014-12-08.14:26:18,2022-04-11.14:58:10,1
string.printable.isprintable() returns False,23017,2014-12-09.03:52:01,2022-04-11.14:58:10,1
New matmul operator crashes modules compiled with CPython3.4,23020,2014-12-09.12:31:43,2022-04-11.14:58:10,1
CEnvironmentVariableTests and PyEnvironmentVariableTests test the same implementation,23028,2014-12-10.21:58:49,2022-04-11.14:58:11,1
python -c: Line causing exception not shown for exceptions other than SyntaxErrors,23035,2014-12-12.01:44:07,2022-04-11.14:58:11,1
csv needs more quoting rules,23041,2014-12-12.16:36:45,2022-04-11.14:58:11,1
"doctest ignores ""from __future__ import print_function""",23043,2014-12-12.21:28:18,2022-04-11.14:58:11,1
Add Japanese legacy encodings,23050,2014-12-14.14:34:49,2022-04-11.14:58:11,1
tarfile raises an exception when reading an empty tar in streaming mode,23056,2014-12-15.19:27:54,2022-04-11.14:58:11,1
cmd module should sort misc help topics,23059,2014-12-15.21:02:49,2022-04-11.14:58:11,1
Assert fails in multiprocessing.heap.Arena.__setstate__ on Windows,23060,2014-12-16.02:29:54,2022-04-11.14:58:11,1
Export readline forced_update_display,23067,2014-12-16.19:29:14,2022-04-11.14:58:11,1
Add a way to determine if the current thread has the import lock,23068,2014-12-17.02:14:37,2022-04-11.14:58:11,1
IDLE's F5 Run Module doesn't transfer effects of future import,23069,2014-12-17.02:30:30,2022-04-11.14:58:11,1
